Sample REF	6F7ABE28-0E7B-48F7-9713-F18E9D295340
Composite Element REF	Protein Expression
14-3-3_beta-R-V	0.312821002
14-3-3_epsilon-M-C	0.155283895
14-3-3_zeta-R-V	2.065443593
4E-BP1-R-V	0.612668201
4E-BP1_pS65-R-V	0.0691699790000002
4E-BP1_pT37_T46-R-V	-0.389325492
4E-BP1_pT70-R-V	0.723970018
53BP1-R-E	-1.320540808
A-Raf_pS299-R-C	-0.230530221
ACC_pS79-R-V	-0.0458555169999999
ACC1-R-E	0.510825881
Acetyl-a-Tubulin-Lys40-R-C	-0.375725592
ACVRL1-R-C	0.617274015
ADAR1-M-V	0.27469893
Akt-R-V	-2.242783311
Akt_pS473-R-V	-0.261932581
Akt_pT308-R-V	0.133013779
alpha-Catenin-M-V	0.18931097
AMPK_alpha-R-C	1.670907805
AMPK_pT172-R-V	-0.953633264
Annexin-1-M-E	0.266402133
Annexin_VII-M-V	0.0310238219999999
AR-R-V	-0.167457505
DIRAS3-M-E	0.453950194
ASNS-R-V	-0.734047035
ATM-R-E	-0.977589852
B-Raf-M-C	-1.601330056
Bad_pS112-R-V	-0.218996442
Bak-R-C	-0.326832589
Bap1-c-4-M-E	-1.220378125
Bax-R-V	0.793046463
Bcl-2-M-V	0.339333888
Bcl-xL-R-V	-0.087552904
Beclin-G-C	0.0170031099999999
beta-Catenin-R-V	-2.397879093
Bid-R-C	0.232640322
Bim-R-V	0.112071713
BRCA2-R-C	0.801346196
c-Jun_pS73-R-V	0.735206758
c-Kit-R-V	0.480096543
c-Met-M-E	-0.112052687
c-Met_pY1235-R-V	0.545021589
c-Myc-R-C	2.460318366
C-Raf-R-V	-0.482787738
C-Raf_pS338-R-V	0.360233667
Caspase-7_cleavedD198-R-C	0.555351411
Caspase-8-M-E	-0.350856199
Caveolin-1-R-V	0.000536496000000053
CD20-R-C	-0.150502955
CD31-M-V	0.598410871
CD49b-M-V	0.983097381
CDK1-R-V	0.937131843
Chk1-M-C	-1.151291283
Chk1_pS345-R-C	-0.466077594
Chk2-M-E	-0.401298944
Chk2_pT68-R-C	0.582686916
cIAP-R-V	0
Claudin-7-R-V	0.0883099880000002
Collagen_VI-R-V	1.385248245
Cyclin_B1-R-V	-1.567625991
Cyclin_D1-R-V	1.106950026
Cyclin_E1-M-V	0.398355102
Cyclin_E2-R-C	-0.208753315
DJ-1-R-E	1.050023664
Dvl3-R-V	0.0703998520000002
E-Cadherin-R-V	-3.676145293
eEF2-R-C	-1.03289683
eEF2K-R-V	-1.347871687
EGFR-R-V	-0.137367801
EGFR_pY1068-R-C	-0.24720614
EGFR_pY1173-R-V	0.347842932
eIF4E-R-V	0.0914829560000001
eIF4G-R-C	-1.481699196
ER-alpha-R-V	-0.31800934
ER-alpha_pS118-R-V	-0.193948187
ERCC1-M-V	-0.541543586
ERK2-R-E	-1.866858145
ETS-1-R-V	0.259103948
FASN-R-V	1.392564856
Fibronectin-R-V	1.486757987
FoxM1-R-V	-0.320576992
FOXO3a-R-C	0.0710309579999999
FOXO3a_pS318_S321-R-C	0.261200448
G6PD-M-V	0.0756278179999998
GAB2-R-V	-0.624387186
GAPDH-M-C	1.011090228
GATA3-M-V	0.239693028
GSK3-alpha-beta-M-V	-1.218823042
GSK3-alpha-beta_pS21_S9-R-V	-0.989795638
GSK3_pS9-R-V	-1.440662107
HER2-M-V	-1.289635086
HER2_pY1248-R-C	0.022814428
HER3-R-V	-0.643511656
HER3_pY1289-R-C	0.548582312
Heregulin-R-V	0.0654289219999999
HSP70-R-C	1.519466153
IGFBP2-R-V	0.398475276
INPP4B-R-V	0.453241921
IRS1-R-V	0.346762419
JNK_pT183_pY185-R-V	0.303609789
JNK2-R-C	-1.044530393
Ku80-R-C	-0.548329074
Lck-R-V	-0.0363694760000002
LKB1-M-E	0.642110763
MAPK_pT202_Y204-R-V	-0.668420446
MEK1-R-V	-0.249513715
MEK1_pS217_S221-R-V	0.202746054
MIG-6-M-V	0.4035467
Mre11-R-C	0.550482826
MSH2-M-V	-0.0602339020000004
MSH6-R-C	-1.601497171
mTOR-R-V	-0.988156176
mTOR_pS2448-R-C	-0.514202589
MYH11-R-V	2.638321817
Myosin-IIa_pS1943-R-V	-1.432676389
N-Cadherin-R-V	0.775893385
N-Ras-M-V	0.496028748
NDRG1_pT346-R-V	-0.224650048
NF-kB-p65_pS536-R-C	-0.124697358
NF2-R-C	-1.44385854
Notch1-R-V	-0.667791724
P-Cadherin-R-C	0.0189378739999999
p21-R-V	1.740243553
p27-R-V	0.0743182830000002
p27_pT157-R-C	0.52082196
p27_pT198-R-V	0.71716945
p38_MAPK-R-V	-0.455649875
p38_pT180_Y182-R-V	0.28887934
p53-R-E	0.49790838
p62-LCK-ligand-M-C	-0.742219197
p70S6K-R-V	-1.937426196
p70S6K_pT389-R-V	-0.353577358
p90RSK-R-C	-0.427155865
p90RSK_pT359_S363-R-C	-0.0401116610000001
PAI-1-M-E	2.125725282
PARP_cleaved-M-E	0.4112156
Paxillin-R-C	-1.025523813
PCNA-M-C	-0.111823845
PDCD4-R-C	-0.342111753
PDK1-R-V	0.19834678
PDK1_pS241-R-V	-1.362304003
PEA15-R-V	1.350884014
PEA15_pS116-R-V	-0.366903859
PI3K-p110-alpha-R-C	0.20071527
PI3K-p85-R-V	-1.160346164
PKC-alpha-M-V	-0.061119787
PKC-alpha_pS657-R-C	-0.207520177
PKC-delta_pS664-R-V	0.0205595699999999
PKC-pan_BetaII_pS660-R-V	-1.572846352
PR-R-V	0.129903775
PRAS40_pT246-R-V	-0.112164587
PRDX1-R-V	0.994083193
PREX1-R-E	0.0244552199999999
PTEN-R-V	-1.87863156
Rab11-R-E	0.497588069
Rab25-R-V	0.0548477489999999
Rad50-M-V	-0.731337751
Rad51-R-V	0.695496198
Raptor-R-V	-0.276451684
Rb-M-E	0.449985522
Rb_pS807_S811-R-V	-0.412618821
RBM15-R-V	-2.043774355
Rictor-R-C	-0.512721505
Rictor_pT1135-R-V	-0.00677932999999986
