Sample REF	70D677F9-4C07-4C10-BC21-D75784B8AFA4
Composite Element REF	Protein Expression
14-3-3_beta-R-V	0.197798343
14-3-3_epsilon-M-C	0.0387886530000001
14-3-3_zeta-R-V	2.105834839
4E-BP1-R-V	1.117392685
4E-BP1_pS65-R-V	-0.1699743
4E-BP1_pT37_T46-R-V	-0.615252581
4E-BP1_pT70-R-V	0.184898504
53BP1-R-E	-1.216294011
A-Raf_pS299-R-C	-0.0731432729999999
ACC_pS79-R-V	-0.503488029
ACC1-R-E	0.00393282400000006
Acetyl-a-Tubulin-Lys40-R-C	0.323924795
ACVRL1-R-C	0.584475093
ADAR1-M-V	-0.223651899
Akt-R-V	-2.137581148
Akt_pS473-R-V	-0.731385159999999
Akt_pT308-R-V	-0.432072619
alpha-Catenin-M-V	0.0655697990000004
AMPK_alpha-R-C	1.630119683
AMPK_pT172-R-V	-0.417393419
Annexin-1-M-E	-0.415894808
Annexin_VII-M-V	-0.146765326
AR-R-V	0.22819314
DIRAS3-M-E	0.273800461
ASNS-R-V	0.361346321
ATM-R-E	-1.397802548
B-Raf-M-C	-1.496127893
Bad_pS112-R-V	-0.663174353
Bak-R-C	-0.455484841
Bap1-c-4-M-E	-0.390674169
Bax-R-V	1.311934894
Bcl-2-M-V	0.498215577
Bcl-xL-R-V	1.238164715
Beclin-G-C	-0.565400517
beta-Catenin-R-V	-2.29267693
Bid-R-C	-0.159873828
Bim-R-V	1.179957203
BRCA2-R-C	0.467788305
c-Jun_pS73-R-V	0.866801083
c-Kit-R-V	0.735808626
c-Met-M-E	-0.166250442
c-Met_pY1235-R-V	0.398639631
c-Myc-R-C	2.305508231
C-Raf-R-V	-0.512895249
C-Raf_pS338-R-V	0.52790728
Caspase-7_cleavedD198-R-C	0.954054331
Caspase-8-M-E	0.208744606
Caveolin-1-R-V	-0.312436465
CD20-R-C	-0.19005301
CD31-M-V	0.0410820240000005
CD49b-M-V	0.975401078
CDK1-R-V	0.867349345
Chk1-M-C	-0.211095831
Chk1_pS345-R-C	-0.388825149
Chk2-M-E	0.17184861
Chk2_pT68-R-C	0.874455272
cIAP-R-V	0.141147519
Claudin-7-R-V	1.081296543
Collagen_VI-R-V	1.346479111
Cyclin_B1-R-V	-0.397938615
Cyclin_D1-R-V	0.550352873
Cyclin_E1-M-V	0.657656048
Cyclin_E2-R-C	-0.274790096999999
DJ-1-R-E	1.230837912
Dvl3-R-V	-0.109653941
E-Cadherin-R-V	-2.631821233
eEF2-R-C	-0.777347461
eEF2K-R-V	-0.794902690999999
EGFR-R-V	-0.666679090999999
EGFR_pY1068-R-C	0.288309184
EGFR_pY1173-R-V	0.139054637
eIF4E-R-V	-0.236311534
eIF4G-R-C	-1.376497033
ER-alpha-R-V	0.243455518
ER-alpha_pS118-R-V	0.15409746
ERCC1-M-V	-0.633676296
ERK2-R-E	-1.946991877
ETS-1-R-V	0.502143725
FASN-R-V	-0.535411568
Fibronectin-R-V	0.495819456
FoxM1-R-V	0.36799444
FOXO3a-R-C	0.0556604550000004
FOXO3a_pS318_S321-R-C	0.393656812
G6PD-M-V	-0.134880633
GAB2-R-V	-0.519185023
GAPDH-M-C	0.925700557
GATA3-M-V	-0.0103270859999998
GSK3-alpha-beta-M-V	-1.475725344
GSK3-alpha-beta_pS21_S9-R-V	-1.274326714
GSK3_pS9-R-V	-1.335459944
HER2-M-V	-1.184432923
HER2_pY1248-R-C	0.210225716
HER3-R-V	-0.337114363
HER3_pY1289-R-C	0.0709921720000002
Heregulin-R-V	0.581283142
HSP70-R-C	0.349142017
IGFBP2-R-V	-0.638435334
INPP4B-R-V	1.203132373
IRS1-R-V	0.371820999
JNK_pT183_pY185-R-V	0.410659539000001
JNK2-R-C	-1.263472611
Ku80-R-C	0.629714036
Lck-R-V	0.333851464
LKB1-M-E	0.627200185
MAPK_pT202_Y204-R-V	-0.0564540049999998
MEK1-R-V	-0.384562386
MEK1_pS217_S221-R-V	0.12184058
MIG-6-M-V	0.434737554
Mre11-R-C	0.584520956
MSH2-M-V	-0.409778616
MSH6-R-C	-1.496295008
mTOR-R-V	-0.574810972
mTOR_pS2448-R-C	-0.400320289
MYH11-R-V	-0.2400572
Myosin-IIa_pS1943-R-V	-1.327474226
N-Cadherin-R-V	0.342940539
N-Ras-M-V	0.480281611
NDRG1_pT346-R-V	-2.114530219
NF-kB-p65_pS536-R-C	-0.0329796219999998
NF2-R-C	-1.113089787
Notch1-R-V	0
P-Cadherin-R-C	-0.375522085
p21-R-V	1.215116416
p27-R-V	1.180882234
p27_pT157-R-C	0.513873906
p27_pT198-R-V	0.61997299
p38_MAPK-R-V	-0.222616244
p38_pT180_Y182-R-V	-0.384522153
p53-R-E	0.251469134
p62-LCK-ligand-M-C	-0.945825323
p70S6K-R-V	-1.832224033
p70S6K_pT389-R-V	-0.0454634319999998
p90RSK-R-C	0.671873304
p90RSK_pT359_S363-R-C	0.113011253
PAI-1-M-E	0.48183679
PARP_cleaved-M-E	0.577290508
Paxillin-R-C	-0.92032165
PCNA-M-C	0.652237672
PDCD4-R-C	-0.784155921
PDK1-R-V	0.473248189
PDK1_pS241-R-V	-1.042128652
PEA15-R-V	0.948673881
PEA15_pS116-R-V	-0.581172937
PI3K-p110-alpha-R-C	0.498015918
PI3K-p85-R-V	-1.377679778
PKC-alpha-M-V	0.649305401
PKC-alpha_pS657-R-C	0.657543304
PKC-delta_pS664-R-V	0.00281431200000037
PKC-pan_BetaII_pS660-R-V	-1.467644189
PR-R-V	-0.0217092409999997
PRAS40_pT246-R-V	0.215388015
PRDX1-R-V	1.353408651
PREX1-R-E	-0.00311651199999963
PTEN-R-V	-1.562706704
Rab11-R-E	0.772939175
Rab25-R-V	0.76395718
Rad50-M-V	-1.025506439
Rad51-R-V	0.9600796
Raptor-R-V	-0.933257052
Rb-M-E	0.308694989
Rb_pS807_S811-R-V	-0.321599458999999
RBM15-R-V	-1.938572192
Rictor-R-C	-0.432923886
Rictor_pT1135-R-V	0.178814834
S6-R-E	-1.97377062
S6_pS235_S236-R-V	-1.554247132
S6_pS240_S244-R-V	-1.300772033
SCD-M-V	0.295739807
SETD2-R-E	0.410280072
SF2-M-V	-0.987031899999999
Shc_pY317-R-E	-0.122911152
Smac-M-E	1.389788069
Smad1-R-V	-0.526491987
Smad3-R-V	0.341650418
Smad4-M-V	0.886089427
Snail-M-E	-0.789517515
Src-M-V	-1.212705071
Src_pY416-R-C	0.160191338000001
Src_pY527-R-V	-0.691217685999999
STAT3_pY705-R-V	-0.341275681
STAT5-alpha-R-V	-1.796746838
Stathmin-R-V	1.121888885
Syk-M-V	0.207290653
TAZ-R-V	0.755796926
TIGAR-R-V	1.371413352
Transglutaminase-M-V	-0.862233265
TFRC-R-V	-1.470121039
TSC1-R-C	-1.821756712
TTF1-R-V	-0.0470323329999998
Tuberin-R-E	-1.645206316
Tuberin_pT1462-R-V	-0.267044897
VEGFR2-R-V	-1.104217562
EPPK1-M-E	-1.901300184
XBP1-G-C	-0.481111434
XRCC1-R-E	1.415863849
YAP-R-E	0.701509321
YAP_pS127-R-E	-0.614780351
YB-1-R-V	-0.111425073
YB-1_pS102-R-V	-0.385422803
JAB1-M-C	0.526371378
PARP1-R-V	0.444412459
A-Raf-R-V	0.154650039
ARID1A-R-C	-1.135233044
B-Raf_pS445-R-V	-0.548988633
Bcl2A1-R-V	1.667846544
BRD4-R-V	-0.407231229
c-Abl-R-V	0.726729556
Caspase-3-R-C	1.283798471
CD26-R-V	1.241068998
Chk1_pS296-R-V	0.632681158
COG3-R-V	-1.239147495
DUSP4-R-V	0.784866188
ERCC5-R-C	0.734689049
IGF1R_pY1135_Y1136-R-V	0.481869534
IRF-1-R-C	0.998886383
Jak2-R-V	-0.0420010789999996
p16_INK4a-R-V	2.139526168
SHP-2_pY542-R-C	-0.413020224
CDK1_pY15-R-C	-0.193229382
