Sample REF	7BB3C290-D76B-4013-B020-527ADA351E3F
Composite Element REF	Protein Expression
14-3-3_beta-R-V	0.15026078
14-3-3_epsilon-M-C	0.00564066599999991
14-3-3_zeta-R-V	0.673016438
4E-BP1-R-V	0.35142967
4E-BP1_pS65-R-V	0.074143242
4E-BP1_pT37_T46-R-V	-0.386737276
4E-BP1_pT70-R-V	-0.062124098
53BP1-R-E	-1.368947208
A-Raf_pS299-R-C	-0.3373077
ACC_pS79-R-V	0.550338976
ACC1-R-E	0.232598742
Acetyl-a-Tubulin-Lys40-R-C	-0.362413948
ACVRL1-R-C	0.188029488
ADAR1-M-V	-0.0405955469999999
Akt-R-V	0.00432173999999996
Akt_pS473-R-V	-1.162769366
Akt_pT308-R-V	-0.258530936
alpha-Catenin-M-V	-0.239141969
AMPK_alpha-R-C	-0.362246513
AMPK_pT172-R-V	-0.350904788
Annexin-1-M-E	1.142736984
Annexin_VII-M-V	0.189720877
AR-R-V	-0.169284101
DIRAS3-M-E	-0.011824436
ASNS-R-V	0.167784074
ATM-R-E	-0.597060919
B-Raf-M-C	0.02755263
Bad_pS112-R-V	0.00379397199999998
Bak-R-C	-0.0978180360000001
Bap1-c-4-M-E	-0.225053425
Bax-R-V	0.169865304
Bcl-2-M-V	-0.490465086
Bcl-xL-R-V	-0.1500015
Beclin-G-C	-0.461715173
beta-Catenin-R-V	-0.137024729
Bid-R-C	0.124812544
Bim-R-V	0.116052034
BRCA2-R-C	-0.216957492
c-Jun_pS73-R-V	-0.164931229
c-Kit-R-V	0.00640166600000014
c-Met-M-E	0.134877886
c-Met_pY1235-R-V	0.065885967
c-Myc-R-C	-0.334303299
C-Raf-R-V	0.14859015
C-Raf_pS338-R-V	0.089335682
Caspase-7_cleavedD198-R-C	0.293629908
Caspase-8-M-E	-0.160679212
Caveolin-1-R-V	2.344878434
CD20-R-C	-0.155917459
CD31-M-V	-0.0757724500000001
CD49b-M-V	0.382694805
CDK1-R-V	-0.00801182600000017
Chk1-M-C	0.458120856
Chk1_pS345-R-C	0.0344385219999999
Chk2-M-E	-0.342347391
Chk2_pT68-R-C	-0.026476261
cIAP-R-V	-0.106628363
Claudin-7-R-V	1.26882796
Collagen_VI-R-V	0.307558583
Cyclin_B1-R-V	0.681815709
Cyclin_D1-R-V	0.0375670340000001
Cyclin_E1-M-V	-0.840847071
Cyclin_E2-R-C	-0.0809132730000001
DJ-1-R-E	0.36243072
Dvl3-R-V	0.346202786
E-Cadherin-R-V	0
eEF2-R-C	0.362570964
eEF2K-R-V	0.571885688
EGFR-R-V	2.114883864
EGFR_pY1068-R-C	1.597243622
EGFR_pY1173-R-V	0.195302585
eIF4E-R-V	-0.044856164
eIF4G-R-C	0.144819889
ER-alpha-R-V	-0.791088452
ER-alpha_pS118-R-V	-0.221792293
ERCC1-M-V	0.163125056
ERK2-R-E	0.262724551
ETS-1-R-V	-0.0515531010000001
FASN-R-V	0.182643475
Fibronectin-R-V	0.619564044
FoxM1-R-V	-0.0407478270000001
FOXO3a-R-C	-0.0395624480000003
FOXO3a_pS318_S321-R-C	-0.028359384
G6PD-M-V	-0.109449824
GAB2-R-V	0.141361781
GAPDH-M-C	0.390013674
GATA3-M-V	-0.38194335
GSK3-alpha-beta-M-V	0.239471595
GSK3-alpha-beta_pS21_S9-R-V	-0.270272871
GSK3_pS9-R-V	-0.388031393
HER2-M-V	-0.425711362
HER2_pY1248-R-C	0.333162394
HER3-R-V	-0.268668767
HER3_pY1289-R-C	0.225783075
Heregulin-R-V	0.281986606
HSP70-R-C	-0.115563371
IGFBP2-R-V	-0.621440891
INPP4B-R-V	-0.156396486
IRS1-R-V	0.087122618
JNK_pT183_pY185-R-V	-0.127551828
JNK2-R-C	0.041693808
Ku80-R-C	0.136403123
Lck-R-V	0.127061958
LKB1-M-E	0.054959165
MAPK_pT202_Y204-R-V	-0.844176688
MEK1-R-V	0.449017444
MEK1_pS217_S221-R-V	-0.082439666
MIG-6-M-V	0.173050862
Mre11-R-C	0.0663729159999999
MSH2-M-V	0.0352647629999998
MSH6-R-C	0.115907928
mTOR-R-V	-0.342894248
mTOR_pS2448-R-C	-0.356448845
MYH11-R-V	-2.539425689
Myosin-IIa_pS1943-R-V	-0.0479171270000001
N-Cadherin-R-V	-0.0618558769999999
N-Ras-M-V	0.091677993
NDRG1_pT346-R-V	2.859421256
NF-kB-p65_pS536-R-C	-0.048268108
NF2-R-C	0.126566652
Notch1-R-V	0.906368018
P-Cadherin-R-C	0.347134008
p21-R-V	-0.881203901
p27-R-V	-0.294128024
p27_pT157-R-C	-0.065282802
p27_pT198-R-V	0.0637197789999999
p38_MAPK-R-V	0.303660466
p38_pT180_Y182-R-V	-1.033388083
p53-R-E	-0.0435891429999997
p62-LCK-ligand-M-C	0.139016942
p70S6K-R-V	0.463718593
p70S6K_pT389-R-V	-0.103598702
p90RSK-R-C	0.443730741
p90RSK_pT359_S363-R-C	-0.252336463
PAI-1-M-E	1.870494463
PARP_cleaved-M-E	-0.374957449
Paxillin-R-C	0.313621084
PCNA-M-C	0.985240602
PDCD4-R-C	-0.252647262
PDK1-R-V	0.147387155
PDK1_pS241-R-V	0.103199375
PEA15-R-V	0.136920593
