Sample REF	7DA4AAC5-2CE9-49F6-A3AA-DBD843C5CF20
Composite Element REF	Protein Expression
14-3-3_beta-R-V	0.370574761
14-3-3_epsilon-M-C	0.1492513
14-3-3_zeta-R-V	1.107346557
4E-BP1-R-V	0.508228319
4E-BP1_pS65-R-V	-0.135923949
4E-BP1_pT37_T46-R-V	0.146164555
4E-BP1_pT70-R-V	0.472007136
53BP1-R-E	-0.58725478
A-Raf_pS299-R-C	-0.105906879
ACC_pS79-R-V	-1.222030144
ACC1-R-E	-1.457201032
Acetyl-a-Tubulin-Lys40-R-C	-0.809544315
ACVRL1-R-C	0.509376447
ADAR1-M-V	-0.440176101
Akt-R-V	-1.446986218
Akt_pS473-R-V	0.0622186549999999
Akt_pT308-R-V	0.0885086889999998
alpha-Catenin-M-V	0.0583462369999996
AMPK_alpha-R-C	0.20174303
AMPK_pT172-R-V	-0.404188936
Annexin-1-M-E	0.741120924
Annexin_VII-M-V	0.359106507
AR-R-V	0.0646388629999997
DIRAS3-M-E	0.28930956
ASNS-R-V	-0.3310819
ATM-R-E	-0.293337866
B-Raf-M-C	-1.121187045
Bad_pS112-R-V	0.0155654289999998
Bak-R-C	-0.395410998
Bap1-c-4-M-E	-1.316850682
Bax-R-V	0.923815381
Bcl-2-M-V	0.825562614
Bcl-xL-R-V	0.169589092
Beclin-G-C	-0.214803347
beta-Catenin-R-V	-2.332792274
Bid-R-C	0.249039806
Bim-R-V	-0.10975605
BRCA2-R-C	0.149890607
c-Jun_pS73-R-V	-0.395892287
c-Kit-R-V	0.755701156
c-Met-M-E	-0.275775533
c-Met_pY1235-R-V	0.420839805
c-Myc-R-C	0.189953373
C-Raf-R-V	-0.368592652
C-Raf_pS338-R-V	0.500176233
Caspase-7_cleavedD198-R-C	0.355435398
Caspase-8-M-E	-0.124112862
Caveolin-1-R-V	1.177962596
CD20-R-C	-0.122317646
CD31-M-V	0.803667125
CD49b-M-V	0.162793662
CDK1-R-V	-0.420066666000001
Chk1-M-C	-0.88275057
Chk1_pS345-R-C	-0.309499057
Chk2-M-E	-0.277526477
Chk2_pT68-R-C	0.58375043
cIAP-R-V	-0.0461169560000001
Claudin-7-R-V	-0.684068231
Collagen_VI-R-V	1.0346208
Cyclin_B1-R-V	-1.589347434
Cyclin_D1-R-V	0.710242077
Cyclin_E1-M-V	-0.230327066
Cyclin_E2-R-C	-0.312028349
DJ-1-R-E	0.71598957
Dvl3-R-V	-0.0155458450000003
E-Cadherin-R-V	-2.960673258
eEF2-R-C	-1.222275273
eEF2K-R-V	-0.881670185000001
EGFR-R-V	-0.769325364
EGFR_pY1068-R-C	-0.470584712
EGFR_pY1173-R-V	0.289351537
eIF4E-R-V	0.3116981
eIF4G-R-C	-1.749641391
ER-alpha-R-V	0.736029398
ER-alpha_pS118-R-V	-0.313806025
ERCC1-M-V	-0.692918502
ERK2-R-E	-2.27749697
ETS-1-R-V	0.0958994919999998
FASN-R-V	-1.35013183
Fibronectin-R-V	1.122788043
FoxM1-R-V	0.2010225
FOXO3a-R-C	0.222698117
FOXO3a_pS318_S321-R-C	0.323264455
G6PD-M-V	-0.210522304000001
GAB2-R-V	-0.0546710850000003
GAPDH-M-C	0.591197887
GATA3-M-V	0.146462949
GSK3-alpha-beta-M-V	-0.513381324
GSK3-alpha-beta_pS21_S9-R-V	-1.333468448
GSK3_pS9-R-V	-1.708604302
HER2-M-V	-1.557577281
HER2_pY1248-R-C	-0.0729953620000001
HER3-R-V	0.611211955
HER3_pY1289-R-C	0.302256889
Heregulin-R-V	0.374319495
HSP70-R-C	0.287923553
IGFBP2-R-V	0.795670944
INPP4B-R-V	0.0183022700000002
IRS1-R-V	0.156551634
JNK_pT183_pY185-R-V	0.0968854589999999
JNK2-R-C	-0.717914263
Ku80-R-C	-0.64069206
Lck-R-V	0.394741114
LKB1-M-E	0.270950217
MAPK_pT202_Y204-R-V	0.695770709
MEK1-R-V	-0.905858901
MEK1_pS217_S221-R-V	0.554873513
MIG-6-M-V	0.106252382
Mre11-R-C	0.456399782
MSH2-M-V	-0.674524411000001
MSH6-R-C	-0.95449891
mTOR-R-V	-0.399230432
mTOR_pS2448-R-C	-0.127066192
MYH11-R-V	0.241772315
Myosin-IIa_pS1943-R-V	-0.613271308
N-Cadherin-R-V	0.0209907229999997
N-Ras-M-V	0.360993493
NDRG1_pT346-R-V	0.790240539
NF-kB-p65_pS536-R-C	-0.118839017
NF2-R-C	-0.247779933
Notch1-R-V	-0.12921747
P-Cadherin-R-C	-0.651390562
p21-R-V	0.95260382
p27-R-V	0.660188364
p27_pT157-R-C	0.146026043
p27_pT198-R-V	-0.063710162
p38_MAPK-R-V	0.688232285
p38_pT180_Y182-R-V	0.767565236
p53-R-E	0.163502371
p62-LCK-ligand-M-C	-0.847219382
p70S6K-R-V	-0.498930993
p70S6K_pT389-R-V	0.104933239
p90RSK-R-C	-0.741818352
p90RSK_pT359_S363-R-C	0.245433847
PAI-1-M-E	1.167793459
PARP_cleaved-M-E	0.702397222
Paxillin-R-C	-1.293466008
PCNA-M-C	-0.340753903
PDCD4-R-C	0.591808605
PDK1-R-V	0.100682547
PDK1_pS241-R-V	-0.823998525
PEA15-R-V	0.923338433
PEA15_pS116-R-V	-0.455988574
PI3K-p110-alpha-R-C	-0.169206957
PI3K-p85-R-V	-0.261462335
PKC-alpha-M-V	0
PKC-alpha_pS657-R-C	-0.276442656
PKC-delta_pS664-R-V	-0.162876011
PKC-pan_BetaII_pS660-R-V	-1.840788547
PR-R-V	0.204921037
PRAS40_pT246-R-V	-0.0618422589999998
PRDX1-R-V	0.747420399
PREX1-R-E	0.619337082
PTEN-R-V	0.178603639
Rab11-R-E	0.470257775
Rab25-R-V	-0.754357753000001
Rad50-M-V	-1.024799477
Rad51-R-V	1.139996913
Raptor-R-V	-0.289635483
Rb-M-E	0.347802296
Rb_pS807_S811-R-V	-0.297351263
RBM15-R-V	-1.527703147
Rictor-R-C	-0.586325484
Rictor_pT1135-R-V	0.213033165
S6-R-E	-0.00622927500000015
S6_pS235_S236-R-V	0.872879753
S6_pS240_S244-R-V	0.693231867
SCD-M-V	0.14133686
SETD2-R-E	1.141305974
SF2-M-V	-1.005146728
Shc_pY317-R-E	-0.962099168
Smac-M-E	0.432876765
Smad1-R-V	-0.350121146
Smad3-R-V	0.308253929
Smad4-M-V	0.193136964
Snail-M-E	-0.200116399
Src-M-V	-0.909359058
