Sample REF	7E06C3E0-3B9D-4AEF-B73B-2793790747FA
Composite Element REF	Protein Expression
14-3-3_beta-R-V	0.395994228
14-3-3_epsilon-M-C	-0.067383275
14-3-3_zeta-R-V	1.0520406
4E-BP1-R-V	0.52298351
4E-BP1_pS65-R-V	0.171265567
4E-BP1_pT37_T46-R-V	0.275825395
4E-BP1_pT70-R-V	0.657651104
53BP1-R-E	-0.580939631
A-Raf_pS299-R-C	0.00382849699999999
ACC_pS79-R-V	0
ACC1-R-E	-0.200873917
Acetyl-a-Tubulin-Lys40-R-C	-0.284014744
ACVRL1-R-C	0.183053713
ADAR1-M-V	-0.0511041419999999
Akt-R-V	-0.600077326
Akt_pS473-R-V	-0.0508875739999998
Akt_pT308-R-V	-0.00457158099999988
alpha-Catenin-M-V	0.0103973910000003
AMPK_alpha-R-C	0.458757059
AMPK_pT172-R-V	0.445930173
Annexin-1-M-E	0.000300948999999995
Annexin_VII-M-V	0.390786367
AR-R-V	-0.0816275230000001
DIRAS3-M-E	0.082031743
ASNS-R-V	0.104525993
ATM-R-E	-1.098827923
B-Raf-M-C	-0.04536467
Bad_pS112-R-V	-0.0987350379999999
Bak-R-C	-0.254808047
Bap1-c-4-M-E	-0.382740623
Bax-R-V	0.893662976
Bcl-2-M-V	-0.292955446
Bcl-xL-R-V	0.384100957
Beclin-G-C	-0.189430397
beta-Catenin-R-V	-0.198424372
Bid-R-C	0.113229484
Bim-R-V	0.364688127
BRCA2-R-C	-0.0111152760000001
c-Jun_pS73-R-V	-0.589401064
c-Kit-R-V	0.667041623
c-Met-M-E	-0.0416602379999998
c-Met_pY1235-R-V	0.228216688
c-Myc-R-C	-0.038033798
C-Raf-R-V	-0.131033814
C-Raf_pS338-R-V	0.294537904
Caspase-7_cleavedD198-R-C	0.158239712
Caspase-8-M-E	0.139232383
Caveolin-1-R-V	-0.726142189
CD20-R-C	0.019232789
CD31-M-V	-0.010678909
CD49b-M-V	0.779101644
CDK1-R-V	0.111478618
Chk1-M-C	-0.118440973
Chk1_pS345-R-C	-0.374301102
Chk2-M-E	0.0153336620000001
Chk2_pT68-R-C	0.315369235
cIAP-R-V	-0.363369808
Claudin-7-R-V	2.137515505
Collagen_VI-R-V	0.505578132
Cyclin_B1-R-V	0.951494171
Cyclin_D1-R-V	0.455080253
Cyclin_E1-M-V	-0.173876446
Cyclin_E2-R-C	-0.0148804999999999
DJ-1-R-E	0.610888194
Dvl3-R-V	0.514872313
E-Cadherin-R-V	0.306476749
eEF2-R-C	-0.384720842
eEF2K-R-V	0.467424571
EGFR-R-V	-0.585608258
EGFR_pY1068-R-C	-0.735283027
EGFR_pY1173-R-V	0.13505535
eIF4E-R-V	0.578892068
eIF4G-R-C	-1.367210775
ER-alpha-R-V	-0.0980156419999999
ER-alpha_pS118-R-V	0.0203863320000001
ERCC1-M-V	-0.293136791
ERK2-R-E	-0.985743828
ETS-1-R-V	-0.00634541799999988
FASN-R-V	-0.31103192
Fibronectin-R-V	-0.445716409
FoxM1-R-V	0.196069113
FOXO3a-R-C	-0.141554583
FOXO3a_pS318_S321-R-C	0.125084316
G6PD-M-V	-0.397478697
GAB2-R-V	-0.407105868
GAPDH-M-C	0.679698325
