Sample REF	7F604A99-19D9-42F8-BA04-4E42C885D118
Composite Element REF	Protein Expression
14-3-3_beta-R-V	-0.0629601319999998
14-3-3_epsilon-M-C	-0.00559404099999994
14-3-3_zeta-R-V	-0.113623213
4E-BP1-R-V	-0.565712168
4E-BP1_pS65-R-V	0.0868304990000001
4E-BP1_pT37_T46-R-V	0.363525622
4E-BP1_pT70-R-V	0.119002045
53BP1-R-E	0.583689296
A-Raf_pS299-R-C	-0.0782845289999999
ACC_pS79-R-V	0.323728832
ACC1-R-E	0.0785523860000001
Acetyl-a-Tubulin-Lys40-R-C	2.10680267
ACVRL1-R-C	-0.124282471
ADAR1-M-V	-0.00380669699999991
Akt-R-V	0.135735322
Akt_pS473-R-V	1.01539995
Akt_pT308-R-V	0.990357682
alpha-Catenin-M-V	0.111265623
AMPK_alpha-R-C	0.124555707
AMPK_pT172-R-V	0.122717878
Annexin-1-M-E	-0.4921186
Annexin_VII-M-V	-0.204171407
AR-R-V	0.165399855
DIRAS3-M-E	0.0436448110000001
ASNS-R-V	-0.149781379
ATM-R-E	0.472380333
B-Raf-M-C	0.467571125
Bad_pS112-R-V	-0.115321103
Bak-R-C	0.202531562
Bap1-c-4-M-E	-0.032555143
Bax-R-V	0.16077646
Bcl-2-M-V	-0.621255654
Bcl-xL-R-V	-0.137171195
Beclin-G-C	0.37766402
beta-Catenin-R-V	0.359241652
Bid-R-C	-0.00243515599999988
Bim-R-V	-0.700547937
BRCA2-R-C	-0.00980870499999997
c-Jun_pS73-R-V	-0.19100297
c-Kit-R-V	-0.0214594719999999
c-Met-M-E	0.0613929149999999
c-Met_pY1235-R-V	0.0109256160000001
c-Myc-R-C	0.0908418250000001
C-Raf-R-V	0.166834229
C-Raf_pS338-R-V	-0.046201319
Caspase-7_cleavedD198-R-C	-1.1031778
Caspase-8-M-E	0.0600863170000001
Caveolin-1-R-V	0.309026561
CD20-R-C	0.0892006910000001
CD31-M-V	0.0138642990000002
CD49b-M-V	-0.455766901
CDK1-R-V	-0.033999492
Chk1-M-C	0.275176648
Chk1_pS345-R-C	-0.0761299659999999
Chk2-M-E	-0.206133737
Chk2_pT68-R-C	-0.0768475469999998
cIAP-R-V	0.0648794220000001
Claudin-7-R-V	-1.196112896
Collagen_VI-R-V	-0.00380669699999991
Cyclin_B1-R-V	0.341351206
Cyclin_D1-R-V	-0.0778688759999999
Cyclin_E1-M-V	0.00167378299999976
Cyclin_E2-R-C	0.0349703010000001
DJ-1-R-E	0.0359021400000001
Dvl3-R-V	0.265605678
E-Cadherin-R-V	0.14002903
eEF2-R-C	0.272953577
eEF2K-R-V	0.0621233120000002
EGFR-R-V	-0.338387073
EGFR_pY1068-R-C	-0.360501607
EGFR_pY1173-R-V	0.0170522220000001
eIF4E-R-V	-0.944821723
eIF4G-R-C	-0.058495287
ER-alpha-R-V	0.325104618
ER-alpha_pS118-R-V	0.273157054
ERCC1-M-V	-0.0437614659999999
ERK2-R-E	-0.00380669699999991
ETS-1-R-V	-0.0823216899999999
FASN-R-V	0.721193444
Fibronectin-R-V	0.359715394
FoxM1-R-V	-0.14010067
FOXO3a-R-C	-0.0118813760000003
FOXO3a_pS318_S321-R-C	-0.0354380599999999
G6PD-M-V	-0.13097321
GAB2-R-V	1.004171951
GAPDH-M-C	-0.161464052
GATA3-M-V	-0.234920077
GSK3-alpha-beta-M-V	0.132012982
GSK3-alpha-beta_pS21_S9-R-V	0.290832061
GSK3_pS9-R-V	0.352673707
HER2-M-V	0.184434316
HER2_pY1248-R-C	-0.115823682
HER3-R-V	-0.221810049
HER3_pY1289-R-C	-0.0651978809999999
Heregulin-R-V	-0.063541882
HSP70-R-C	-0.404848686
IGFBP2-R-V	2.213162385
INPP4B-R-V	-0.317685671
IRS1-R-V	0.00761926999999996
JNK_pT183_pY185-R-V	-0.0464181479999999
JNK2-R-C	-0.55412416
Ku80-R-C	0.433427749
Lck-R-V	-0.38701674
LKB1-M-E	-0.026933378
MAPK_pT202_Y204-R-V	-0.488695254
MEK1-R-V	-2.885596729
MEK1_pS217_S221-R-V	-0.226036575
MIG-6-M-V	0.0694473820000001
Mre11-R-C	-0.0370215809999999
MSH2-M-V	-0.085427911
MSH6-R-C	-0.516236549
mTOR-R-V	0.0789343040000001
mTOR_pS2448-R-C	-0.228347813
MYH11-R-V	1.05887766
Myosin-IIa_pS1943-R-V	0.163397736
N-Cadherin-R-V	0.0606207070000001
N-Ras-M-V	0.0515483200000001
NDRG1_pT346-R-V	-1.958827289
NF-kB-p65_pS536-R-C	-0.404872523
NF2-R-C	0.160640047
Notch1-R-V	-0.021084428
P-Cadherin-R-C	-0.126740859
p21-R-V	0.143516363
p27-R-V	-0.515131332
p27_pT157-R-C	0.19728777
p27_pT198-R-V	0.0343002580000001
p38_MAPK-R-V	-0.25814531
p38_pT180_Y182-R-V	-0.346290312
p53-R-E	0.0212551550000004
p62-LCK-ligand-M-C	-0.315610101
p70S6K-R-V	-0.0408393379999999
p70S6K_pT389-R-V	-0.224767663
p90RSK-R-C	-0.35258106
p90RSK_pT359_S363-R-C	-0.000556169999999856
PAI-1-M-E	-0.855240348
PARP_cleaved-M-E	0.114590198
Paxillin-R-C	0.43635908
PCNA-M-C	-0.270169592
PDCD4-R-C	0.541877705
PDK1-R-V	-0.167447077
PDK1_pS241-R-V	-0.0200012719999999
PEA15-R-V	0.114136825
PEA15_pS116-R-V	0.0523713340000001
PI3K-p110-alpha-R-C	0.015864611
PI3K-p85-R-V	-0.12076983
PKC-alpha-M-V	-0.0352483769999998
PKC-alpha_pS657-R-C	0.296513364
PKC-delta_pS664-R-V	0
PKC-pan_BetaII_pS660-R-V	-0.190668296
PR-R-V	-0.00380669699999991
PRAS40_pT246-R-V	0.132582222
PRDX1-R-V	-0.379483645
PREX1-R-E	-0.249242308
PTEN-R-V	0.328513069
Rab11-R-E	-0.0741926969999999
Rab25-R-V	-0.245657569
Rad50-M-V	0.155313049
Rad51-R-V	-0.221187228
Raptor-R-V	0.120924304
Rb-M-E	0.096789357
Rb_pS807_S811-R-V	0.949268523
RBM15-R-V	0.151567132
Rictor-R-C	0.332735478
Rictor_pT1135-R-V	-0.104453928
S6-R-E	0.559933002
S6_pS235_S236-R-V	-0.291609361
S6_pS240_S244-R-V	-0.149163932
SCD-M-V	0.148620248
SETD2-R-E	-0.0219353459999998
SF2-M-V	0.122958524
Shc_pY317-R-E	-0.313510855
Smac-M-E	0.105663606
Smad1-R-V	0.269527679
Smad3-R-V	0.0140557140000001
Smad4-M-V	0.078762649
Snail-M-E	-0.128413048
Src-M-V	0.141869755
Src_pY416-R-C	-0.740315718
Src_pY527-R-V	-0.690854569
STAT3_pY705-R-V	-0.17592708
STAT5-alpha-R-V	-1.118503883
Stathmin-R-V	0.0370245870000001
Syk-M-V	0.0646929480000001
TAZ-R-V	0.159082694
TIGAR-R-V	-0.138201928
Transglutaminase-M-V	-0.00380669699999991
TFRC-R-V	-0.257059542
TSC1-R-C	0.188787702
TTF1-R-V	1.275943849
Tuberin-R-E	-0.221841677
Tuberin_pT1462-R-V	0.223532594
VEGFR2-R-V	-0.162692229
EPPK1-M-E	-0.206638646
XBP1-G-C	-0.0284130500000002
XRCC1-R-E	0.146856607
YAP-R-E	0.210244609
YAP_pS127-R-E	0.222785864
YB-1-R-V	-0.00380669699999991
YB-1_pS102-R-V	0.461794467
JAB1-M-C	0.021340323
PARP1-R-V	0.29960896
A-Raf-R-V	-0.0803024499999999
ARID1A-R-C	-0.859720433
B-Raf_pS445-R-V	0.252397275
Bcl2A1-R-V	-0.0623507579999999
BRD4-R-V	0.0564077240000003
c-Abl-R-V	0.0924812810000001
Caspase-3-R-C	0.107608564
CD26-R-V	0.896136433
Chk1_pS296-R-V	0.0167103700000001
COG3-R-V	0.137105787
DUSP4-R-V	0.645066086
ERCC5-R-C	0.10263785
IGF1R_pY1135_Y1136-R-V	0.0076234730000001
IRF-1-R-C	-0.268357266
Jak2-R-V	0.00158887000000013
p16_INK4a-R-V	-1.057281639
SHP-2_pY542-R-C	-0.263846388
CDK1_pY15-R-C	-0.166046839
