Sample REF	8048B959-1198-4626-B674-E34FB36F51CD
Composite Element REF	Protein Expression
14-3-3_beta-R-V	0.167226024
14-3-3_epsilon-M-C	0.0976611470000003
14-3-3_zeta-R-V	-0.183237608
4E-BP1-R-V	-0.0229154839999997
4E-BP1_pS65-R-V	-0.362198002
4E-BP1_pT37_T46-R-V	-1.023067748
4E-BP1_pT70-R-V	-0.277103498
53BP1-R-E	-0.0204807759999997
A-Raf_pS299-R-C	0.0593345920000002
ACC_pS79-R-V	0.199969148
ACC1-R-E	0.291362841
Acetyl-a-Tubulin-Lys40-R-C	0.780663193
ACVRL1-R-C	0.204688691
ADAR1-M-V	0.232370034
Akt-R-V	-0.24186913
Akt_pS473-R-V	-0.503294701
Akt_pT308-R-V	-0.250468582
alpha-Catenin-M-V	0.176382413
AMPK_alpha-R-C	-0.563781324
AMPK_pT172-R-V	-0.293797622
Annexin-1-M-E	2.081245943
Annexin_VII-M-V	-0.00469247699999986
AR-R-V	-0.0946890559999998
DIRAS3-M-E	-0.0119388719999998
ASNS-R-V	0.3226546
ATM-R-E	-0.260982242
B-Raf-M-C	0.284142505
Bad_pS112-R-V	-0.466789504
Bak-R-C	0.141502196
Bap1-c-4-M-E	0.378635058
Bax-R-V	-0.133205799
Bcl-2-M-V	0.355997483
Bcl-xL-R-V	0.200028284
Beclin-G-C	0.141855829
beta-Catenin-R-V	-0.313853564
Bid-R-C	-0.124007353
Bim-R-V	0.350035747
BRCA2-R-C	0.218666062
c-Jun_pS73-R-V	-0.0208172649999998
c-Kit-R-V	0.907666072
c-Met-M-E	0.260759575
c-Met_pY1235-R-V	0.0733937620000003
c-Myc-R-C	-0.0904981199999997
C-Raf-R-V	-0.123828142
C-Raf_pS338-R-V	-0.0763261529999998
Caspase-7_cleavedD198-R-C	-0.633515964
Caspase-8-M-E	-0.177125554
Caveolin-1-R-V	-1.555658469
CD20-R-C	0.222293382
CD31-M-V	0.431933564
CD49b-M-V	-0.0978997489999998
CDK1-R-V	0.0964244590000003
Chk1-M-C	-0.411486351
Chk1_pS345-R-C	-0.00288139899999984
Chk2-M-E	0.0790703040000003
Chk2_pT68-R-C	0.0923022380000003
cIAP-R-V	-0.16565955
Claudin-7-R-V	0.769299642
Collagen_VI-R-V	-0.189451895
Cyclin_B1-R-V	-0.572203498
Cyclin_D1-R-V	-0.0521051609999997
Cyclin_E1-M-V	0.681403137
Cyclin_E2-R-C	0.0101936380000003
DJ-1-R-E	-0.178678458
Dvl3-R-V	0.180763481
E-Cadherin-R-V	0.435104113
eEF2-R-C	-0.00611254799999972
eEF2K-R-V	0.0637953140000003
EGFR-R-V	-0.137632931
EGFR_pY1068-R-C	0.0147695080000005
EGFR_pY1173-R-V	-0.0964319469999997
eIF4E-R-V	-0.254778109
eIF4G-R-C	0.514169563
ER-alpha-R-V	-0.339094281
ER-alpha_pS118-R-V	0.0499635600000002
ERCC1-M-V	0.459458707
ERK2-R-E	-0.481563757
ETS-1-R-V	0.102005116
FASN-R-V	0.512593665
Fibronectin-R-V	0.36667794
FoxM1-R-V	0.23329551
FOXO3a-R-C	0.591486366
FOXO3a_pS318_S321-R-C	-0.0625023659999997
G6PD-M-V	2.494055334
GAB2-R-V	-0.0229857819999998
GAPDH-M-C	0.288370606
GATA3-M-V	0.134834164
GSK3-alpha-beta-M-V	0.101536018
GSK3-alpha-beta_pS21_S9-R-V	-0.791366717
GSK3_pS9-R-V	-0.887371899
HER2-M-V	-0.176576185
HER2_pY1248-R-C	0.000584133000000264
HER3-R-V	0.149223906
HER3_pY1289-R-C	-0.170284722
Heregulin-R-V	0.336088169
HSP70-R-C	0.445229205
IGFBP2-R-V	0.653702006
INPP4B-R-V	0.125146899
IRS1-R-V	0.105261801
JNK_pT183_pY185-R-V	-0.00302073399999969
JNK2-R-C	0.10434352
Ku80-R-C	0.0644038070000003
Lck-R-V	-0.34264291
LKB1-M-E	0.133090679
MAPK_pT202_Y204-R-V	-0.483336054
MEK1-R-V	-0.186660546
MEK1_pS217_S221-R-V	-0.0872143189999997
MIG-6-M-V	0.0474644780000003
Mre11-R-C	0.155236525
MSH2-M-V	0.531382287
MSH6-R-C	0.290082815
mTOR-R-V	-0.209532671
mTOR_pS2448-R-C	-0.260119592
MYH11-R-V	1.475441471
Myosin-IIa_pS1943-R-V	0.0450898530000003
N-Cadherin-R-V	0.273295568
N-Ras-M-V	0.116566841
NDRG1_pT346-R-V	-0.872103342
NF-kB-p65_pS536-R-C	-0.0678289479999998
NF2-R-C	-0.316570276
Notch1-R-V	0.478258098
P-Cadherin-R-C	0.190499972
p21-R-V	-1.147341891
p27-R-V	0.0738176320000002
p27_pT157-R-C	0.00597964000000029
p27_pT198-R-V	0.0811206750000003
p38_MAPK-R-V	-0.543792887
p38_pT180_Y182-R-V	-1.241089814
p53-R-E	0.46744594
p62-LCK-ligand-M-C	0.753173466
p70S6K-R-V	-0.442016024
p70S6K_pT389-R-V	0.287943778
p90RSK-R-C	-0.81288433
p90RSK_pT359_S363-R-C	0.0472969110000002
PAI-1-M-E	-0.530921797
PARP_cleaved-M-E	0.193139919
Paxillin-R-C	-0.0422211649999997
PCNA-M-C	-0.0342884979999998
PDCD4-R-C	-0.685024012
PDK1-R-V	-0.246956381
PDK1_pS241-R-V	-0.341851436
PEA15-R-V	-0.341272069
PEA15_pS116-R-V	-0.00648270699999975
PI3K-p110-alpha-R-C	0.0729773490000003
PI3K-p85-R-V	-0.424733348
PKC-alpha-M-V	0.123199923
PKC-alpha_pS657-R-C	-0.36251413
PKC-delta_pS664-R-V	0.0669609410000002
PKC-pan_BetaII_pS660-R-V	-0.870064438
PR-R-V	0.215715614
PRAS40_pT246-R-V	-0.18026582
PRDX1-R-V	0.542902229
PREX1-R-E	0.0925173630000002
PTEN-R-V	-0.211731477
Rab11-R-E	0.0212508680000003
Rab25-R-V	0.198139277
Rad50-M-V	-0.156178996
Rad51-R-V	0.763257568
Raptor-R-V	-0.0416453209999997
Rb-M-E	-0.0487226929999999
Rb_pS807_S811-R-V	0.0620152370000002
RBM15-R-V	-0.341829163
Rictor-R-C	0.332283231
Rictor_pT1135-R-V	-0.190223622
S6-R-E	-0.0464067129999997
S6_pS235_S236-R-V	0.324911493
S6_pS240_S244-R-V	0.963993999
SCD-M-V	0.168810003
SETD2-R-E	1.030939748
SF2-M-V	0.317947052000001
Shc_pY317-R-E	-0.113019515
Smac-M-E	-0.0665460339999998
Smad1-R-V	-0.237263651
Smad3-R-V	-0.107161544
Smad4-M-V	0.108466486
Snail-M-E	0.209634649
Src-M-V	-0.217943089
Src_pY416-R-C	0.0915225060000004
Src_pY527-R-V	-1.077003705
STAT3_pY705-R-V	-0.651845017
