Sample REF	817F7D56-55EA-4F67-999F-5E94870D3AAB
Composite Element REF	Protein Expression
14-3-3_beta-R-V	-0.0278094699999999
14-3-3_epsilon-M-C	0.0207595740000001
14-3-3_zeta-R-V	-0.0726429679999999
4E-BP1-R-V	-0.23087955
4E-BP1_pS65-R-V	-0.299588091
4E-BP1_pT37_T46-R-V	-0.175120567
4E-BP1_pT70-R-V	-0.10070484
53BP1-R-E	-0.500182688
A-Raf_pS299-R-C	0.261335663
ACC_pS79-R-V	0.502279836
ACC1-R-E	0.582164798
Acetyl-a-Tubulin-Lys40-R-C	-0.119173217
ACVRL1-R-C	0.350513857
ADAR1-M-V	-0.125329936
Akt-R-V	0.217150844
Akt_pS473-R-V	0.377505689
Akt_pT308-R-V	0.100851135
alpha-Catenin-M-V	0.131637746
AMPK_alpha-R-C	0.0264018020000001
AMPK_pT172-R-V	0.326466744
Annexin-1-M-E	0.061313767
Annexin_VII-M-V	0.099069149
AR-R-V	-0.299628573
DIRAS3-M-E	-0.051522954
ASNS-R-V	-0.282891362
ATM-R-E	-0.395900431
B-Raf-M-C	-1.363795744
Bad_pS112-R-V	-0.034450209
Bak-R-C	-0.115054722
Bap1-c-4-M-E	-0.613314546
Bax-R-V	0.244025849
Bcl-2-M-V	0.0553101859999999
Bcl-xL-R-V	-0.147767172
Beclin-G-C	0.171844747
beta-Catenin-R-V	-0.524374302
Bid-R-C	-0.067092179
Bim-R-V	0.15930064
BRCA2-R-C	0.101688832
c-Jun_pS73-R-V	-0.523645902
c-Kit-R-V	0.0159886480000001
c-Met-M-E	0.29278022
c-Met_pY1235-R-V	-0.067011854
c-Myc-R-C	-0.76270892
C-Raf-R-V	-0.116743048
C-Raf_pS338-R-V	0.131962382
Caspase-7_cleavedD198-R-C	-0.169473927
Caspase-8-M-E	-0.0122345749999998
Caveolin-1-R-V	0.129884269
CD20-R-C	-0.0624018729999999
CD31-M-V	0.158674974
CD49b-M-V	0.876401947
CDK1-R-V	-0.0483990700000002
Chk1-M-C	-0.525531008
Chk1_pS345-R-C	-0.236752615
Chk2-M-E	0.11663284
Chk2_pT68-R-C	-0.0528148979999999
cIAP-R-V	0.594167852
Claudin-7-R-V	-0.521377706
Collagen_VI-R-V	-0.189169315
Cyclin_B1-R-V	-0.334184667
Cyclin_D1-R-V	0.0168695550000001
Cyclin_E1-M-V	0.407741178
Cyclin_E2-R-C	-0.206876446
DJ-1-R-E	0.056272195
Dvl3-R-V	-0.088552141
E-Cadherin-R-V	-0.8643428
eEF2-R-C	-0.088552141
eEF2K-R-V	-1.179649687
EGFR-R-V	-0.408819711
EGFR_pY1068-R-C	-0.495953201
EGFR_pY1173-R-V	-0.043233329
eIF4E-R-V	-0.183481005
eIF4G-R-C	-2.035655912
ER-alpha-R-V	-0.396058132
ER-alpha_pS118-R-V	-0.165143971
ERCC1-M-V	-0.309621149
ERK2-R-E	0.249428859
ETS-1-R-V	0.041053481
FASN-R-V	0.390716329
Fibronectin-R-V	-0.0209650140000001
FoxM1-R-V	-0.468022265
FOXO3a-R-C	0.0933840779999998
FOXO3a_pS318_S321-R-C	0.0324350220000001
G6PD-M-V	0.0708804989999999
GAB2-R-V	-0.44909181
GAPDH-M-C	0.53079691
GATA3-M-V	-0.10499228
GSK3-alpha-beta-M-V	0.174464209
GSK3-alpha-beta_pS21_S9-R-V	0.784466064
GSK3_pS9-R-V	0.725367602
HER2-M-V	-0.604845152
HER2_pY1248-R-C	-0.473395386
HER3-R-V	-0.771747673
HER3_pY1289-R-C	-0.00918503299999998
Heregulin-R-V	-0.1345291
HSP70-R-C	-0.079675018
IGFBP2-R-V	-0.774225494
INPP4B-R-V	0.1072632
IRS1-R-V	-0.0752805040000001
JNK_pT183_pY185-R-V	-0.0666696429999999
JNK2-R-C	-0.0426939629999999
Ku80-R-C	-0.869767963
Lck-R-V	0.413689692
LKB1-M-E	-0.029167485
MAPK_pT202_Y204-R-V	0.655635127
MEK1-R-V	-0.309375866
MEK1_pS217_S221-R-V	0.260945189
MIG-6-M-V	0.011225484
Mre11-R-C	0.102125048
MSH2-M-V	0.150270936
MSH6-R-C	-0.445273735
mTOR-R-V	0.275133855
