Sample REF	8338B88E-C70C-435A-B4A1-F7D869485F60
Composite Element REF	Protein Expression
14-3-3_beta-R-V	0.109941043
14-3-3_epsilon-M-C	0.020856696
14-3-3_zeta-R-V	-0.049114643
4E-BP1-R-V	0.926298527
4E-BP1_pS65-R-V	0.27655697
4E-BP1_pT37_T46-R-V	0.871042496
4E-BP1_pT70-R-V	0.271925702
53BP1-R-E	0.206499842
A-Raf_pS299-R-C	-0.090988442
ACC_pS79-R-V	0.223556989
ACC1-R-E	0.295964123
Acetyl-a-Tubulin-Lys40-R-C	0.50706387
ACVRL1-R-C	-0.085282741
ADAR1-M-V	0.101767334
Akt-R-V	-0.091198641
Akt_pS473-R-V	-0.798476868
Akt_pT308-R-V	-0.201286163
alpha-Catenin-M-V	0.256721585
AMPK_alpha-R-C	0.238279903
AMPK_pT172-R-V	-0.00890416400000005
Annexin-1-M-E	-0.0746496309999999
Annexin_VII-M-V	0.151313386
AR-R-V	-0.013456176
DIRAS3-M-E	0.132718774
ASNS-R-V	0.053292263
ATM-R-E	-0.14566054
B-Raf-M-C	1.589627865
Bad_pS112-R-V	0.070994627
Bak-R-C	0.262574414
Bap1-c-4-M-E	0.248839161
Bax-R-V	-0.12014046
Bcl-2-M-V	-0.163059332
Bcl-xL-R-V	0.298224919
Beclin-G-C	-0.035381066
beta-Catenin-R-V	0.186549149
Bid-R-C	-0.122803181
Bim-R-V	-0.149771879
BRCA2-R-C	-0.154388047
c-Jun_pS73-R-V	-0.282929334
c-Kit-R-V	-0.139919068
c-Met-M-E	-0.0547600250000002
c-Met_pY1235-R-V	0.062492763
c-Myc-R-C	-0.342099434
C-Raf-R-V	-0.22245098
C-Raf_pS338-R-V	0.013827544
Caspase-7_cleavedD198-R-C	-1.032119361
Caspase-8-M-E	-0.217628493
Caveolin-1-R-V	-0.703150635
CD20-R-C	0.156704985
CD31-M-V	0.0666497610000001
CD49b-M-V	-0.390750867
CDK1-R-V	0.0365578809999998
Chk1-M-C	0.413254316
Chk1_pS345-R-C	0.020994325
Chk2-M-E	0.391459556
Chk2_pT68-R-C	0.0916928380000001
cIAP-R-V	-0.115832663
Claudin-7-R-V	0.418112098
Collagen_VI-R-V	-0.036476569
Cyclin_B1-R-V	0.446446611
Cyclin_D1-R-V	-0.348970791
Cyclin_E1-M-V	0.893927672
Cyclin_E2-R-C	0.36621117
DJ-1-R-E	-0.024582364
Dvl3-R-V	-0.150791617
E-Cadherin-R-V	1.029250446
eEF2-R-C	-0.094179813
eEF2K-R-V	0.0951714030000002
EGFR-R-V	-0.243304236
EGFR_pY1068-R-C	-0.13658474
EGFR_pY1173-R-V	0.032695363
eIF4E-R-V	0.042515694
eIF4G-R-C	0.450282482
ER-alpha-R-V	-0.79146868
ER-alpha_pS118-R-V	0.1077104
ERCC1-M-V	0.071337083
ERK2-R-E	-0.130872461
ETS-1-R-V	-0.016104105
FASN-R-V	0.453875544
Fibronectin-R-V	0.135168846
FoxM1-R-V	0.294755314
FOXO3a-R-C	0.0343557099999998
FOXO3a_pS318_S321-R-C	-0.10645929
G6PD-M-V	-0.147693614
GAB2-R-V	1.143493969
GAPDH-M-C	0.271661012
GATA3-M-V	0.0334075350000003
GSK3-alpha-beta-M-V	-0.0435264360000001
GSK3-alpha-beta_pS21_S9-R-V	-0.203358075
GSK3_pS9-R-V	-0.324253696
HER2-M-V	0.425102124
HER2_pY1248-R-C	0.227508991
HER3-R-V	0.569473243
HER3_pY1289-R-C	0.013108007
Heregulin-R-V	-0.155497063
HSP70-R-C	-0.408919955
IGFBP2-R-V	1.37176879
INPP4B-R-V	0.106666276
IRS1-R-V	-0.105140102
JNK_pT183_pY185-R-V	-0.151783197
JNK2-R-C	-0.012027247
Ku80-R-C	0.557335218
Lck-R-V	-0.752926445
LKB1-M-E	-0.167602052
MAPK_pT202_Y204-R-V	-0.657135344
MEK1-R-V	0.40909002
MEK1_pS217_S221-R-V	-0.174400018
MIG-6-M-V	0.0971171790000001
Mre11-R-C	-0.041277498
MSH2-M-V	0.412848791
MSH6-R-C	0.609311661
mTOR-R-V	-0.48109221
mTOR_pS2448-R-C	-0.325446791
MYH11-R-V	0.6050505
Myosin-IIa_pS1943-R-V	-0.083023135
N-Cadherin-R-V	0.039166456
N-Ras-M-V	-0.034675293
NDRG1_pT346-R-V	0.439948323
NF-kB-p65_pS536-R-C	-0.0853635440000001
NF2-R-C	0.28495754
Notch1-R-V	-0.0468248600000001
P-Cadherin-R-C	-0.0436223610000002
p21-R-V	-0.232501893
p27-R-V	-0.00310424200000003
p27_pT157-R-C	0.109725726
p27_pT198-R-V	0.016852955
p38_MAPK-R-V	-0.584947098
p38_pT180_Y182-R-V	-0.335522664
p53-R-E	0.135623895
p62-LCK-ligand-M-C	0.466661569
p70S6K-R-V	0.130622639
p70S6K_pT389-R-V	-0.161940915
p90RSK-R-C	-0.121124691
p90RSK_pT359_S363-R-C	-0.194267182
PAI-1-M-E	0.290139437
PARP_cleaved-M-E	0.21561614
Paxillin-R-C	-0.203126877
PCNA-M-C	0.074523929
PDCD4-R-C	0.0604776619999999
PDK1-R-V	-0.049965261
PDK1_pS241-R-V	0
PEA15-R-V	-0.211235635
PEA15_pS116-R-V	-0.104721015
PI3K-p110-alpha-R-C	0.0754402679999999
PI3K-p85-R-V	-0.30419482
PKC-alpha-M-V	-0.436192703
PKC-alpha_pS657-R-C	-0.666330277
PKC-delta_pS664-R-V	-0.232134529
PKC-pan_BetaII_pS660-R-V	-0.309733811
PR-R-V	-0.061059953
PRAS40_pT246-R-V	0.05800363
PRDX1-R-V	-0.12846804
PREX1-R-E	-0.258872468
PTEN-R-V	0.191877456
Rab11-R-E	0.287788366
Rab25-R-V	0.507779798
Rad50-M-V	-0.0827074919999999
Rad51-R-V	-0.38045907
Raptor-R-V	-0.220210251
Rb-M-E	-0.143927261
Rb_pS807_S811-R-V	0.545081654
RBM15-R-V	-0.11416319
Rictor-R-C	-0.094459811
Rictor_pT1135-R-V	-0.225000001
S6-R-E	0.223918438
S6_pS235_S236-R-V	-0.22866137
S6_pS240_S244-R-V	0.0635468270000001
SCD-M-V	0.079515515
SETD2-R-E	-0.232472496
SF2-M-V	0.339944235
Shc_pY317-R-E	-0.264311074
Smac-M-E	0.458318567
Smad1-R-V	-0.116802838
