Sample REF	852A3427-BBBC-436E-884F-B58AF5A7ACF3
Composite Element REF	Protein Expression
14-3-3_beta-R-V	-0.0259472069999999
14-3-3_epsilon-M-C	-0.00311170899999996
14-3-3_zeta-R-V	-0.27103772
4E-BP1-R-V	0.081337836
4E-BP1_pS65-R-V	-9.84190000000162e-05
4E-BP1_pT37_T46-R-V	0.377336632
4E-BP1_pT70-R-V	0.189821995
53BP1-R-E	-0.30260377
A-Raf_pS299-R-C	0.278111439
ACC_pS79-R-V	0.0435599540000001
ACC1-R-E	-0.40143896
Acetyl-a-Tubulin-Lys40-R-C	-1.527749847
ACVRL1-R-C	-0.0203428460000001
ADAR1-M-V	0.0329098350000001
Akt-R-V	0.309487798
Akt_pS473-R-V	1.254230286
Akt_pT308-R-V	0.857789517
alpha-Catenin-M-V	-0.097435988
AMPK_alpha-R-C	0.012125527
AMPK_pT172-R-V	-0.0962647660000001
Annexin-1-M-E	-0.530543604
Annexin_VII-M-V	-0.487943317
AR-R-V	0.029012458
DIRAS3-M-E	-0.067941551
ASNS-R-V	-0.071090386
ATM-R-E	0.430815159
B-Raf-M-C	0.367306465
Bad_pS112-R-V	0.356028971
Bak-R-C	0.11284924
Bap1-c-4-M-E	-0.017595136
Bax-R-V	-0.248039188
Bcl-2-M-V	-0.248170766
Bcl-xL-R-V	0.10951274
Beclin-G-C	0.0198184110000001
beta-Catenin-R-V	0.0779648080000001
Bid-R-C	-0.193549469
Bim-R-V	0.136546315
BRCA2-R-C	-0.210829083
c-Jun_pS73-R-V	0.290262833
c-Kit-R-V	-0.298963217
c-Met-M-E	-0.0212206940000002
c-Met_pY1235-R-V	-0.0285915350000001
c-Myc-R-C	-0.19296668
C-Raf-R-V	0.016056429
C-Raf_pS338-R-V	-0.01099979
Caspase-7_cleavedD198-R-C	2.50998475
Caspase-8-M-E	0.381971493
Caveolin-1-R-V	-1.416210781
CD20-R-C	0.151410188
CD31-M-V	0.0229988110000001
CD49b-M-V	-0.583295053
CDK1-R-V	-0.104818181
Chk1-M-C	0.350272855
Chk1_pS345-R-C	0.424779519
Chk2-M-E	0.203586444
Chk2_pT68-R-C	0.024919726
cIAP-R-V	-0.016609225
Claudin-7-R-V	-0.290903028
Collagen_VI-R-V	-0.344237403
Cyclin_B1-R-V	0.331285796
Cyclin_D1-R-V	0.281088623
Cyclin_E1-M-V	0.0332272909999999
Cyclin_E2-R-C	0.018506996
DJ-1-R-E	-0.31587996
Dvl3-R-V	0.048896328
E-Cadherin-R-V	0.117071766
eEF2-R-C	0.075258849
eEF2K-R-V	0.420068276
EGFR-R-V	0.225150021
EGFR_pY1068-R-C	1.273916774
EGFR_pY1173-R-V	0.024282024
eIF4E-R-V	-0.050850376
eIF4G-R-C	0.325630889
ER-alpha-R-V	-0.36389013
