Sample REF	857EBB46-CE0C-4F46-80F5-DFDD54ECC704
Composite Element REF	Protein Expression
14-3-3_beta-R-V	0.186032113
14-3-3_epsilon-M-C	-0.16616777
14-3-3_zeta-R-V	-0.070285187
4E-BP1-R-V	0.204411427
4E-BP1_pS65-R-V	-0.100396395
4E-BP1_pT37_T46-R-V	0.029818059
4E-BP1_pT70-R-V	-0.160545011
53BP1-R-E	-0.255688129
A-Raf_pS299-R-C	0.171221608
ACC_pS79-R-V	0.542546796
ACC1-R-E	0.792398341
Acetyl-a-Tubulin-Lys40-R-C	-0.242808898
ACVRL1-R-C	0.171079758
ADAR1-M-V	-0.12011896
Akt-R-V	-0.897478911
Akt_pS473-R-V	-0.22615823
Akt_pT308-R-V	0.00256407499999994
alpha-Catenin-M-V	0.287987064
AMPK_alpha-R-C	0.239632652
AMPK_pT172-R-V	0.465377644
Annexin-1-M-E	-0.394768416
Annexin_VII-M-V	0.401068915
AR-R-V	-0.219995585
DIRAS3-M-E	-0.065754194
ASNS-R-V	0.735930372
ATM-R-E	-0.538504329
B-Raf-M-C	-1.07700838
Bad_pS112-R-V	-0.352476926
Bak-R-C	-0.166374131
Bap1-c-4-M-E	-0.824477677
Bax-R-V	0.181771664
Bcl-2-M-V	-0.409269449
Bcl-xL-R-V	-0.083693388
Beclin-G-C	-0.33307835
beta-Catenin-R-V	-0.193208233
Bid-R-C	0.0526199570000001
Bim-R-V	-0.463484173
BRCA2-R-C	-0.157213326
c-Jun_pS73-R-V	-0.313321319
c-Kit-R-V	-0.002274414
c-Met-M-E	0.322635275
c-Met_pY1235-R-V	0.103624232
c-Myc-R-C	-0.0766367399999999
C-Raf-R-V	-0.32537361
C-Raf_pS338-R-V	0.193939514
Caspase-7_cleavedD198-R-C	-0.146899487
Caspase-8-M-E	0.020408044
Caveolin-1-R-V	-1.25612363
CD20-R-C	-0.040617628
CD31-M-V	-0.103466135
CD49b-M-V	-0.059451607
CDK1-R-V	0.135945751
Chk1-M-C	0.200614453
Chk1_pS345-R-C	-0.093716602
Chk2-M-E	0.284434002
Chk2_pT68-R-C	0.066023067
cIAP-R-V	0.204400691
Claudin-7-R-V	2.132442953
Collagen_VI-R-V	0.166843175
Cyclin_B1-R-V	0.24020566
Cyclin_D1-R-V	0.050479283
Cyclin_E1-M-V	0.176720044
Cyclin_E2-R-C	-0.174144074
DJ-1-R-E	0.361845206
Dvl3-R-V	-0.52238485
E-Cadherin-R-V	-0.570837928
eEF2-R-C	0.247962537
eEF2K-R-V	-0.877296568
EGFR-R-V	-0.740770547
EGFR_pY1068-R-C	-0.496981089
EGFR_pY1173-R-V	-0.015107857
eIF4E-R-V	0.280542904
eIF4G-R-C	-2.646945172
ER-alpha-R-V	-0.0197497980000002
ER-alpha_pS118-R-V	-0.189996482
ERCC1-M-V	0.17671876
ERK2-R-E	0.082987178
ETS-1-R-V	-0.053212522
FASN-R-V	0.57803576
Fibronectin-R-V	-0.536256544
FoxM1-R-V	-0.181212474
FOXO3a-R-C	-0.00340653799999996
FOXO3a_pS318_S321-R-C	-0.0948371580000001
G6PD-M-V	-0.0027767250000002
GAB2-R-V	-0.86525402
