Sample REF	85E20D48-3D30-4459-BFB5-95F947CED890
Composite Element REF	Protein Expression
14-3-3_beta-R-V	0.226751931
14-3-3_epsilon-M-C	0.081759561
14-3-3_zeta-R-V	0.054931478
4E-BP1-R-V	-0.0353852869999999
4E-BP1_pS65-R-V	-0.136466821
4E-BP1_pT37_T46-R-V	0.00169688700000004
4E-BP1_pT70-R-V	0.429644752
53BP1-R-E	-0.526415442
A-Raf_pS299-R-C	-0.018153477
ACC_pS79-R-V	-0.126956636
ACC1-R-E	0.0434263539999999
Acetyl-a-Tubulin-Lys40-R-C	-0.723635197
ACVRL1-R-C	0.334661809
ADAR1-M-V	0.031462502
Akt-R-V	-0.401431903
Akt_pS473-R-V	-0.548115191
Akt_pT308-R-V	-0.239105654
alpha-Catenin-M-V	-0.0261404820000001
AMPK_alpha-R-C	-0.013123264
AMPK_pT172-R-V	0.063623973
Annexin-1-M-E	0.471526261
Annexin_VII-M-V	0.10251043
AR-R-V	-0.123693822
DIRAS3-M-E	0.137677575
ASNS-R-V	-0.173687101
ATM-R-E	-0.029043325
B-Raf-M-C	-0.364414212
Bad_pS112-R-V	-0.204994511
Bak-R-C	0.0428759960000001
Bap1-c-4-M-E	-0.332661571
Bax-R-V	0.0843123740000001
Bcl-2-M-V	0.0956604580000003
Bcl-xL-R-V	0.1664049
Beclin-G-C	-0.130649721
beta-Catenin-R-V	-0.775795379
Bid-R-C	0.126574975
Bim-R-V	0.129150173
BRCA2-R-C	0.223262139
c-Jun_pS73-R-V	-0.547322205
c-Kit-R-V	0.316887295
c-Met-M-E	0.0103215349999998
c-Met_pY1235-R-V	0.082062357
c-Myc-R-C	0.0845375200000001
C-Raf-R-V	-0.018601256
C-Raf_pS338-R-V	0.03512429
Caspase-7_cleavedD198-R-C	0.01670491
Caspase-8-M-E	-0.010484914
Caveolin-1-R-V	0.829413893
CD20-R-C	0.0730001960000001
CD31-M-V	0.440367157
CD49b-M-V	0.103127683
CDK1-R-V	0.0676805429999999
Chk1-M-C	-0.0616665330000002
Chk1_pS345-R-C	-0.295420335
Chk2-M-E	0.0136770459999999
Chk2_pT68-R-C	0.145994202
cIAP-R-V	-0.00399816199999992
Claudin-7-R-V	-0.592137821
Collagen_VI-R-V	0.300441414
Cyclin_B1-R-V	-0.466015981
Cyclin_D1-R-V	0.273763828
Cyclin_E1-M-V	0.269250417
Cyclin_E2-R-C	0.0012183790000001
DJ-1-R-E	0.228091357
Dvl3-R-V	-0.016310057
E-Cadherin-R-V	-0.721086155
eEF2-R-C	0.132659188
eEF2K-R-V	-0.589995436
EGFR-R-V	-0.188793957
EGFR_pY1068-R-C	-0.296419648
EGFR_pY1173-R-V	0.082137714
eIF4E-R-V	0.384666489
eIF4G-R-C	-0.168147896
ER-alpha-R-V	-0.401983874
ER-alpha_pS118-R-V	-0.06066725
ERCC1-M-V	-0.276627074
ERK2-R-E	-0.037086896
ETS-1-R-V	-0.031809507
FASN-R-V	0.593753025
Fibronectin-R-V	0.758205549
FoxM1-R-V	-0.133858903
FOXO3a-R-C	0.195282493
FOXO3a_pS318_S321-R-C	0.080344936
G6PD-M-V	0.690047841
GAB2-R-V	-0.211411078
GAPDH-M-C	0.14134419
