Sample REF	8946907D-9AB9-4A3F-80CD-5689DAAB4556
Composite Element REF	Protein Expression
14-3-3_beta-R-V	-0.0657066699999999
14-3-3_epsilon-M-C	-0.0684894220000001
14-3-3_zeta-R-V	0.206247313
4E-BP1-R-V	0.197859793
4E-BP1_pS65-R-V	0.00275935999999999
4E-BP1_pT37_T46-R-V	0.732203917
4E-BP1_pT70-R-V	0.278487357
53BP1-R-E	-0.077621085
A-Raf_pS299-R-C	-0.021414401
ACC_pS79-R-V	-0.466433674
ACC1-R-E	-0.928821581
Acetyl-a-Tubulin-Lys40-R-C	1.147620082
ACVRL1-R-C	-0.042038453
ADAR1-M-V	0.01415314
Akt-R-V	0.354631546
Akt_pS473-R-V	1.04188172
Akt_pT308-R-V	0.848787253
alpha-Catenin-M-V	0.00373730999999997
AMPK_alpha-R-C	0.00964536199999996
AMPK_pT172-R-V	0.431603441
Annexin-1-M-E	-0.431251542
Annexin_VII-M-V	-0.123418996
AR-R-V	0.131797144
DIRAS3-M-E	-0.088227388
ASNS-R-V	0.563609982
ATM-R-E	0.367635351
B-Raf-M-C	-0.201231234
Bad_pS112-R-V	0.258171476
Bak-R-C	0.0522235820000001
Bap1-c-4-M-E	-0.036068673
Bax-R-V	0.124905939
Bcl-2-M-V	0.311623649
Bcl-xL-R-V	-0.144560679
Beclin-G-C	0.089849579
beta-Catenin-R-V	0.305529699
Bid-R-C	-0.143014444
Bim-R-V	0.120248031
BRCA2-R-C	-0.118487119
c-Jun_pS73-R-V	0.0287967649999998
c-Kit-R-V	-0.0770572269999999
c-Met-M-E	-0.009490421
c-Met_pY1235-R-V	0.0319984839999999
c-Myc-R-C	0.039796773
C-Raf-R-V	0.100084164
C-Raf_pS338-R-V	-0.058551576
Caspase-7_cleavedD198-R-C	-0.344513281
Caspase-8-M-E	0.100866505
Caveolin-1-R-V	-0.136260933
CD20-R-C	0.033967146
CD31-M-V	-0.00585535000000006
CD49b-M-V	0.25346842
CDK1-R-V	0.031225394
Chk1-M-C	-0.0489962830000004
Chk1_pS345-R-C	0.295276883
