Sample REF	8AE5BF11-9C43-4107-81B3-B4033B96D0F5
Composite Element REF	Protein Expression
14-3-3_beta-R-V	0.177612544
14-3-3_epsilon-M-C	-0.0318186330000001
14-3-3_zeta-R-V	0.212099274
4E-BP1-R-V	-0.293348849
4E-BP1_pS65-R-V	-0.111860816
4E-BP1_pT37_T46-R-V	0.0417648879999999
4E-BP1_pT70-R-V	0.075975092
53BP1-R-E	-0.309123691
A-Raf_pS299-R-C	0.00368930199999995
ACC_pS79-R-V	-0.486632164
ACC1-R-E	-0.341476332
Acetyl-a-Tubulin-Lys40-R-C	-0.571575498
ACVRL1-R-C	0.246940129
ADAR1-M-V	-0.132914772
Akt-R-V	-0.256528634
Akt_pS473-R-V	0.329177236
Akt_pT308-R-V	0.0275720399999999
alpha-Catenin-M-V	0.00354350299999995
AMPK_alpha-R-C	0.152774108
AMPK_pT172-R-V	0.0661407009999999
Annexin-1-M-E	-0.0595016589999999
Annexin_VII-M-V	0.144859199
AR-R-V	0.015469517
DIRAS3-M-E	0.0975708479999999
ASNS-R-V	-0.363988114
ATM-R-E	-0.1655481
B-Raf-M-C	-0.240717348
Bad_pS112-R-V	-0.054718578
Bak-R-C	-0.23401893
Bap1-c-4-M-E	-0.548888261
Bax-R-V	0.327446484
Bcl-2-M-V	0.504501907
Bcl-xL-R-V	0.075816683
Beclin-G-C	-0.218981166
beta-Catenin-R-V	-0.522927784
Bid-R-C	0.139228418
Bim-R-V	-0.150681421
BRCA2-R-C	0.0927363050000001
c-Jun_pS73-R-V	-0.024573261
c-Kit-R-V	0.325720205
c-Met-M-E	-0.303381713
c-Met_pY1235-R-V	0.215440558
c-Myc-R-C	0.358197866
C-Raf-R-V	-0.159480111
C-Raf_pS338-R-V	0.230393378
Caspase-7_cleavedD198-R-C	-0.0417848590000001
Caspase-8-M-E	-0.111353695
Caveolin-1-R-V	1.069474468
CD20-R-C	-0.037427871
CD31-M-V	0.029030047
CD49b-M-V	0.0383469129999998
CDK1-R-V	0.0804494789999999
Chk1-M-C	-0.41919319
Chk1_pS345-R-C	-0.149666213
Chk2-M-E	-0.655642652
Chk2_pT68-R-C	0.215813879
cIAP-R-V	0.117158577
Claudin-7-R-V	-0.803998609
Collagen_VI-R-V	0.226509208
Cyclin_B1-R-V	-0.933051993
Cyclin_D1-R-V	0.303583059
Cyclin_E1-M-V	-0.0394618980000003
Cyclin_E2-R-C	-0.157969033
DJ-1-R-E	0.335904131
Dvl3-R-V	0.156638244
E-Cadherin-R-V	-0.796364955
eEF2-R-C	-0.284028369
eEF2K-R-V	-0.76870265
EGFR-R-V	-0.222280851
EGFR_pY1068-R-C	-0.0335862950000001
EGFR_pY1173-R-V	0.218476966
eIF4E-R-V	0.062494979
eIF4G-R-C	-0.818398245
ER-alpha-R-V	0.647459186
ER-alpha_pS118-R-V	-0.17550094
ERCC1-M-V	-0.266633805
ERK2-R-E	-0.572107488
ETS-1-R-V	0.109751073
FASN-R-V	-1.025014893
Fibronectin-R-V	0.340383121
FoxM1-R-V	-0.138074525
FOXO3a-R-C	-0.0134946220000001
FOXO3a_pS318_S321-R-C	0.247944193
G6PD-M-V	-0.22596186
GAB2-R-V	0.270567027
GAPDH-M-C	0.210656678
GATA3-M-V	0.44619365
GSK3-alpha-beta-M-V	0.178552805
GSK3-alpha-beta_pS21_S9-R-V	-0.17406041
GSK3_pS9-R-V	-0.836711202
HER2-M-V	-1.141526101
HER2_pY1248-R-C	-0.00906909699999991
HER3-R-V	-0.849836019
HER3_pY1289-R-C	0.192627239
Heregulin-R-V	-0.287039932
HSP70-R-C	0.615773727
IGFBP2-R-V	0.716269606
INPP4B-R-V	-0.109726379
IRS1-R-V	0.213468596
JNK_pT183_pY185-R-V	-0.109022509
JNK2-R-C	-0.247401442
Ku80-R-C	-0.526062031
Lck-R-V	0.31089046
LKB1-M-E	0.214887212
MAPK_pT202_Y204-R-V	0.517227805
MEK1-R-V	-0.190775733
MEK1_pS217_S221-R-V	0.182958754
MIG-6-M-V	0.0883201409999999
Mre11-R-C	0.303222597
MSH2-M-V	-0.372064451
MSH6-R-C	-0.543736657
mTOR-R-V	-0.228121564
mTOR_pS2448-R-C	-0.0243321159999998
MYH11-R-V	2.513128915
Myosin-IIa_pS1943-R-V	0.0149351709999999
N-Cadherin-R-V	0.194359638
N-Ras-M-V	0.174458576
NDRG1_pT346-R-V	1.545696044
NF-kB-p65_pS536-R-C	0.145253421
NF2-R-C	0.0965007729999999
Notch1-R-V	-0.0478778090000003
P-Cadherin-R-C	-0.10146488
p21-R-V	0.380481845
p27-R-V	0.439177188
p27_pT157-R-C	0.00245497699999997
p27_pT198-R-V	0.0223738689999999
p38_MAPK-R-V	0.494395823
p38_pT180_Y182-R-V	0.0582884119999999
p53-R-E	-0.31223997
p62-LCK-ligand-M-C	-0.270404853
p70S6K-R-V	-0.3064096
p70S6K_pT389-R-V	-0.0552092510000002
p90RSK-R-C	-0.65023864
p90RSK_pT359_S363-R-C	0.025618379
PAI-1-M-E	0.90714637
PARP_cleaved-M-E	-0.0094901190000003
Paxillin-R-C	-0.543286716
PCNA-M-C	-0.065262083
PDCD4-R-C	0.372192485
PDK1-R-V	-0.0855188020000002
PDK1_pS241-R-V	-0.186361343
PEA15-R-V	0.324964225
PEA15_pS116-R-V	-0.272651987
PI3K-p110-alpha-R-C	0.212362054
PI3K-p85-R-V	0.30373398
PKC-alpha-M-V	0.439177188
PKC-alpha_pS657-R-C	0.449024374
PKC-delta_pS664-R-V	-0.164846177
PKC-pan_BetaII_pS660-R-V	-1.105817186
PR-R-V	0.104127063
PRAS40_pT246-R-V	-0.0188894250000001
PRDX1-R-V	0.0843938929999999
PREX1-R-E	0.255276874
PTEN-R-V	0.414496853
Rab11-R-E	0.174437403
Rab25-R-V	-0.801771786
Rad50-M-V	0
Rad51-R-V	0.673410557
Raptor-R-V	-0.0240801820000001
Rb-M-E	0.130090673
Rb_pS807_S811-R-V	-0.644783422
RBM15-R-V	-0.862047133
Rictor-R-C	2.456215529
Rictor_pT1135-R-V	0.162679805
S6-R-E	0.024711211
S6_pS235_S236-R-V	-0.439004909
S6_pS240_S244-R-V	-0.186314114
SCD-M-V	-0.065699288
SETD2-R-E	0.110919712
SF2-M-V	-0.224098016
Shc_pY317-R-E	-0.281550038
Smac-M-E	0.021749983
