Sample REF	8B8C4526-49B9-4DF0-9298-772F08C6CC21
Composite Element REF	Protein Expression
14-3-3_beta-R-V	0.013648181
14-3-3_epsilon-M-C	-0.113044656
14-3-3_zeta-R-V	0.0163684399999999
4E-BP1-R-V	-0.113021626
4E-BP1_pS65-R-V	-0.197124186
4E-BP1_pT37_T46-R-V	0.285612645
4E-BP1_pT70-R-V	-0.00119932700000003
53BP1-R-E	-0.330921755
A-Raf_pS299-R-C	0.040168145
ACC_pS79-R-V	0.252881523
ACC1-R-E	-0.01938321
Acetyl-a-Tubulin-Lys40-R-C	-0.254035068
ACVRL1-R-C	0.147309196
ADAR1-M-V	-0.148318203
Akt-R-V	0.20204717
Akt_pS473-R-V	-0.0156559920000001
Akt_pT308-R-V	-0.0700673090000001
alpha-Catenin-M-V	-0.0155303410000001
AMPK_alpha-R-C	0.038293633
AMPK_pT172-R-V	0.21224373
Annexin-1-M-E	-0.616838598
Annexin_VII-M-V	0.127292132
AR-R-V	-0.223221838
DIRAS3-M-E	-0.234077898
ASNS-R-V	0.427517439
ATM-R-E	0.163354165
B-Raf-M-C	-0.502418597
Bad_pS112-R-V	-0.0108584270000001
Bak-R-C	0.00517784200000015
Bap1-c-4-M-E	-0.0307666440000001
Bax-R-V	-0.0214541660000001
Bcl-2-M-V	0.373648479
Bcl-xL-R-V	0.455836915
Beclin-G-C	0.127826308
beta-Catenin-R-V	0.25726527
Bid-R-C	-0.035892485
Bim-R-V	0.043661013
BRCA2-R-C	-0.0490633300000001
c-Jun_pS73-R-V	-0.0806820290000003
c-Kit-R-V	0.344694574
c-Met-M-E	0.0770269749999997
c-Met_pY1235-R-V	-0.0400791280000001
c-Myc-R-C	-0.225233302
C-Raf-R-V	0.039584066
C-Raf_pS338-R-V	0.180959411
Caspase-7_cleavedD198-R-C	0.911520805
Caspase-8-M-E	-0.146271351
Caveolin-1-R-V	1.420090107
CD20-R-C	-0.069402384
CD31-M-V	-0.152457939
CD49b-M-V	0.443656708
CDK1-R-V	-0.0648640790000001
Chk1-M-C	-0.395668161
Chk1_pS345-R-C	0.077465049
Chk2-M-E	0.256760284
Chk2_pT68-R-C	-0.135414848
cIAP-R-V	0.466475187
Claudin-7-R-V	0.257025988
Collagen_VI-R-V	-0.172481593
Cyclin_B1-R-V	-0.440882123
Cyclin_D1-R-V	0.368538713
Cyclin_E1-M-V	-0.314924341
Cyclin_E2-R-C	0.010735604
DJ-1-R-E	-0.079945706
Dvl3-R-V	-0.0974273450000001
E-Cadherin-R-V	0.422945541
eEF2-R-C	0.42150301
eEF2K-R-V	-0.492657646
EGFR-R-V	0.0269753939999999
EGFR_pY1068-R-C	-0.0557366969999997
EGFR_pY1173-R-V	-0.108176019
eIF4E-R-V	-0.047037348
eIF4G-R-C	-0.424977862
ER-alpha-R-V	-0.413909127
ER-alpha_pS118-R-V	-0.142326928
ERCC1-M-V	-0.23324098
ERK2-R-E	0.062100615
ETS-1-R-V	0.335362073
FASN-R-V	0.073567595
Fibronectin-R-V	-0.508563635
FoxM1-R-V	-0.404742567
FOXO3a-R-C	-0.0456333160000002
FOXO3a_pS318_S321-R-C	0.172542396
G6PD-M-V	0.189306727
GAB2-R-V	-0.253936316
GAPDH-M-C	-0.253573535
GATA3-M-V	-0.315802736
GSK3-alpha-beta-M-V	0.0441793819999999
GSK3-alpha-beta_pS21_S9-R-V	0.26495949
GSK3_pS9-R-V	0.433470583
HER2-M-V	-0.000730676000000041
HER2_pY1248-R-C	-0.086227362
HER3-R-V	-0.399931896
HER3_pY1289-R-C	0.176674786
Heregulin-R-V	-0.0393384290000001
HSP70-R-C	-0.020235522
IGFBP2-R-V	0.510139608
INPP4B-R-V	0.299353997
IRS1-R-V	-0.0268977760000001
JNK_pT183_pY185-R-V	0
JNK2-R-C	-0.0830068209999999
Ku80-R-C	-0.214176855
Lck-R-V	0.767395289
LKB1-M-E	-0.037769028
MAPK_pT202_Y204-R-V	0.0925291879999999
MEK1-R-V	-0.064382135
MEK1_pS217_S221-R-V	0.06435652
MIG-6-M-V	0.0102330239999999
Mre11-R-C	-0.00714631200000004
MSH2-M-V	-0.204496865
MSH6-R-C	-0.031778523
mTOR-R-V	-0.070699004
mTOR_pS2448-R-C	0.2119784
MYH11-R-V	1.705968007
Myosin-IIa_pS1943-R-V	0.162154917
N-Cadherin-R-V	0.100178425
N-Ras-M-V	-0.139894141
NDRG1_pT346-R-V	1.008323273
NF-kB-p65_pS536-R-C	-0.166699737
NF2-R-C	0.419445122
Notch1-R-V	-0.130160903
P-Cadherin-R-C	0.216490393
p21-R-V	0.711821221
p27-R-V	-0.11316457
p27_pT157-R-C	-0.159310076
p27_pT198-R-V	-0.079333067
p38_MAPK-R-V	0.208759052
p38_pT180_Y182-R-V	0.354203633
p53-R-E	-0.0798042349999999
p62-LCK-ligand-M-C	-0.0431165760000001
p70S6K-R-V	-0.077368432
p70S6K_pT389-R-V	0.158267034
p90RSK-R-C	-0.080444261
p90RSK_pT359_S363-R-C	0.163535688
PAI-1-M-E	-0.425810292
PARP_cleaved-M-E	-0.162676272
Paxillin-R-C	-0.243908318
PCNA-M-C	-0.07703775
PDCD4-R-C	0.874796289
PDK1-R-V	-0.112516526
PDK1_pS241-R-V	-0.093878985
PEA15-R-V	-0.041554029
PEA15_pS116-R-V	0.727073191
PI3K-p110-alpha-R-C	0.383310639
PI3K-p85-R-V	0.332323557
PKC-alpha-M-V	0.00798991299999996
PKC-alpha_pS657-R-C	0.236299061
PKC-delta_pS664-R-V	0.0751689489999998
PKC-pan_BetaII_pS660-R-V	0.536323979
PR-R-V	-0.00978175200000009
PRAS40_pT246-R-V	-0.026526894
PRDX1-R-V	-0.0779735540000001
PREX1-R-E	0.20865283
PTEN-R-V	0.381132239
Rab11-R-E	0.177897486
Rab25-R-V	0.17074006
Rad50-M-V	0.114759002
Rad51-R-V	0.243990119
Raptor-R-V	0.0838150089999999
Rb-M-E	4.89889999999438e-05
Rb_pS807_S811-R-V	0.434933957
RBM15-R-V	-0.18583992
Rictor-R-C	0.170544387
Rictor_pT1135-R-V	0.034270712
S6-R-E	-0.217934306
S6_pS235_S236-R-V	0.785123363
S6_pS240_S244-R-V	0.433609505
SCD-M-V	0.00646983099999998
SETD2-R-E	-0.27148009
SF2-M-V	0.326585938
Shc_pY317-R-E	0.26501931
Smac-M-E	-0.055712358
Smad1-R-V	0.149404969
Smad3-R-V	0.101770693
Smad4-M-V	-0.0714858610000002
Snail-M-E	-0.165925669
Src-M-V	-0.334459815
Src_pY416-R-C	0.537951667
Src_pY527-R-V	0.579249055
STAT3_pY705-R-V	0.856548904
STAT5-alpha-R-V	-0.0369172780000001
Stathmin-R-V	-0.17894141
Syk-M-V	0.33918494
TAZ-R-V	0.0257477939999999
TIGAR-R-V	-0.236328504
Transglutaminase-M-V	1.767833318
TFRC-R-V	1.583682175
TSC1-R-C	-0.13805738
TTF1-R-V	0.334509669
Tuberin-R-E	-0.141462503
Tuberin_pT1462-R-V	0.197416931
VEGFR2-R-V	-0.0579134080000001
EPPK1-M-E	0.58669296
XBP1-G-C	0.132432006
XRCC1-R-E	-0.089651525
YAP-R-E	1.122141651
YAP_pS127-R-E	1.539859179
YB-1-R-V	-0.189902952
YB-1_pS102-R-V	0.138992169
JAB1-M-C	-0.139932303
PARP1-R-V	-0.134843566
A-Raf-R-V	0.000558140999999984
ARID1A-R-C	0.0635411749999999
B-Raf_pS445-R-V	0.155015232
Bcl2A1-R-V	-0.025710109
BRD4-R-V	0.0514924700000001
c-Abl-R-V	-0.034457418
Caspase-3-R-C	-0.111545016
CD26-R-V	-0.0987182480000001
Chk1_pS296-R-V	0.064273134
COG3-R-V	-0.102091613
DUSP4-R-V	-0.0407963140000003
ERCC5-R-C	0.247475699
IGF1R_pY1135_Y1136-R-V	-0.0207236159999999
IRF-1-R-C	-0.249526233
Jak2-R-V	-0.050248374
p16_INK4a-R-V	-0.053320034
SHP-2_pY542-R-C	0.279712502
CDK1_pY15-R-C	0.215245271
