Sample REF	8C2F3F49-6B5E-481A-8DAB-346D97893907
Composite Element REF	Protein Expression
14-3-3_beta-R-V	0.997077299
14-3-3_epsilon-M-C	0.254269834
14-3-3_zeta-R-V	-0.00100093900000009
4E-BP1-R-V	-0.593575345
4E-BP1_pS65-R-V	-0.178749914
4E-BP1_pT37_T46-R-V	-0.495416288
4E-BP1_pT70-R-V	0.528500827
53BP1-R-E	-0.689585052
A-Raf_pS299-R-C	0.0995619259999999
ACC_pS79-R-V	-0.696503811
ACC1-R-E	-0.966646561
Acetyl-a-Tubulin-Lys40-R-C	0.217449279
ACVRL1-R-C	0.697084612
ADAR1-M-V	0.22935925
Akt-R-V	-0.434139821
Akt_pS473-R-V	-0.197964741
Akt_pT308-R-V	0.126189424
alpha-Catenin-M-V	-0.0299978109999999
AMPK_alpha-R-C	-0.153454495
AMPK_pT172-R-V	-0.0378488860000001
Annexin-1-M-E	0.584495198
Annexin_VII-M-V	-0.281600946
AR-R-V	0.260899481
DIRAS3-M-E	0.454738611
ASNS-R-V	-0.358124915
ATM-R-E	-0.196194379
B-Raf-M-C	-0.468429393
Bad_pS112-R-V	-0.471289911
Bak-R-C	0.202801421
Bap1-c-4-M-E	-0.506627437
Bax-R-V	-0.044742638
Bcl-2-M-V	0.0406628590000002
Bcl-xL-R-V	1.081457311
Beclin-G-C	0.422776047
beta-Catenin-R-V	-0.985525702
Bid-R-C	0.798962203
Bim-R-V	-0.600160941
BRCA2-R-C	0.447335579
c-Jun_pS73-R-V	-0.116763912
c-Kit-R-V	0.558366681
c-Met-M-E	-0.65384064
c-Met_pY1235-R-V	0.591077048
c-Myc-R-C	1.141487329
C-Raf-R-V	0.263068455
C-Raf_pS338-R-V	0.619028324
Caspase-7_cleavedD198-R-C	-0.194669966
Caspase-8-M-E	-0.0733675329999999
Caveolin-1-R-V	0.202612312
CD20-R-C	0.209732149
CD31-M-V	0.272953843
CD49b-M-V	-0.041569051
CDK1-R-V	-0.0723416370000001
Chk1-M-C	-0.75459617
Chk1_pS345-R-C	-0.248604982
Chk2-M-E	-0.79057696
Chk2_pT68-R-C	0.676271372
cIAP-R-V	0.27745198
Claudin-7-R-V	-0.630010192
Collagen_VI-R-V	0.708836073
Cyclin_B1-R-V	-0.601040285
Cyclin_D1-R-V	1.291328407
Cyclin_E1-M-V	-0.098667233
Cyclin_E2-R-C	-0.0278216320000002
DJ-1-R-E	0.154201544
Dvl3-R-V	-0.376913343
E-Cadherin-R-V	-0.99081776
eEF2-R-C	-0.594318183
eEF2K-R-V	-1.195832831
EGFR-R-V	0.164178347
EGFR_pY1068-R-C	0.216269536
EGFR_pY1173-R-V	0.481267046
eIF4E-R-V	-0.0148570299999999
eIF4G-R-C	-1.039149029
ER-alpha-R-V	1.344880838
ER-alpha_pS118-R-V	0.298329186
ERCC1-M-V	0.061839523
ERK2-R-E	-0.013039542
ETS-1-R-V	0.309707405
FASN-R-V	-0.733174909
Fibronectin-R-V	0.608198049
FoxM1-R-V	0.373512314
FOXO3a-R-C	0.366052314
FOXO3a_pS318_S321-R-C	0.250770209
G6PD-M-V	0.605169289
GAB2-R-V	-0.16545137
GAPDH-M-C	-0.482447147
GATA3-M-V	0.0182784519999997
GSK3-alpha-beta-M-V	-0.692026138
GSK3-alpha-beta_pS21_S9-R-V	-0.307779414
GSK3_pS9-R-V	-0.657149728
HER2-M-V	-0.582807826
HER2_pY1248-R-C	0.781291669
HER3-R-V	0.904107407
HER3_pY1289-R-C	0.08287972
Heregulin-R-V	2.116498545
HSP70-R-C	2.27484198
IGFBP2-R-V	0.49029624
INPP4B-R-V	0.181838501
IRS1-R-V	0.659786784
JNK_pT183_pY185-R-V	0.466276715
JNK2-R-C	-0.466245548
Ku80-R-C	-0.781976336
Lck-R-V	0.142510461
LKB1-M-E	0.929203121
MAPK_pT202_Y204-R-V	-0.116178455
MEK1-R-V	0.296882011
MEK1_pS217_S221-R-V	0.587724511
MIG-6-M-V	0.446362848
Mre11-R-C	0.840735291
MSH2-M-V	-0.238135086
MSH6-R-C	-0.949602025
mTOR-R-V	-0.611898232
mTOR_pS2448-R-C	-0.309630421
MYH11-R-V	-0.857152395
Myosin-IIa_pS1943-R-V	-0.249312969
N-Cadherin-R-V	0.9052316
N-Ras-M-V	0.491477788
NDRG1_pT346-R-V	-0.790032457
NF-kB-p65_pS536-R-C	0.394604372
NF2-R-C	-0.481991044
Notch1-R-V	0.269880839
P-Cadherin-R-C	0.00574255899999976
p21-R-V	-0.965339634
p27-R-V	0.0599989359999997
p27_pT157-R-C	0.225399683
p27_pT198-R-V	0.24662412
p38_MAPK-R-V	0.119490425
p38_pT180_Y182-R-V	0.132662079
p53-R-E	0.889859554
p62-LCK-ligand-M-C	-0.680901857
p70S6K-R-V	-1.012324756
p70S6K_pT389-R-V	0.6908457
p90RSK-R-C	0.157040991
p90RSK_pT359_S363-R-C	0.660164347
PAI-1-M-E	-0.0843454560000001
PARP_cleaved-M-E	0.0351377349999999
Paxillin-R-C	-0.818046078
PCNA-M-C	-0.205767293
PDCD4-R-C	-0.156210043
PDK1-R-V	0
PDK1_pS241-R-V	-0.456755318
PEA15-R-V	-0.04097576
PEA15_pS116-R-V	0.269782793
PI3K-p110-alpha-R-C	-0.281086108
PI3K-p85-R-V	0.088275342
PKC-alpha-M-V	0.00615429599999984
PKC-alpha_pS657-R-C	0.00933118700000013
PKC-delta_pS664-R-V	0.163306025
PKC-pan_BetaII_pS660-R-V	0.151299224
PR-R-V	0.558718407
PRAS40_pT246-R-V	0.16822751
PRDX1-R-V	-0.151263779
PREX1-R-E	0.436308048
PTEN-R-V	-0.599791213
Rab11-R-E	0.47838581
Rab25-R-V	-0.780328502
Rad50-M-V	-0.0418739699999999
Rad51-R-V	1.627558104
Raptor-R-V	-0.178830241
Rb-M-E	0.59037249
Rb_pS807_S811-R-V	-0.48297741
RBM15-R-V	-0.948556802
Rictor-R-C	-0.623183024
Rictor_pT1135-R-V	0.755260502
S6-R-E	-0.88013274
S6_pS235_S236-R-V	-0.73827154
S6_pS240_S244-R-V	-0.994499264
SCD-M-V	-0.0537386500000001
SETD2-R-E	0.693629378
SF2-M-V	-3.514974945
Shc_pY317-R-E	-0.0286112009999999
Smac-M-E	-0.748311886
Smad1-R-V	-0.153819739
Smad3-R-V	0.269106509
Smad4-M-V	0.2540493
Snail-M-E	-0.787543792
Src-M-V	-0.270067325
Src_pY416-R-C	0.451757358
Src_pY527-R-V	-0.661792357
STAT3_pY705-R-V	0.147818442
STAT5-alpha-R-V	-0.790773466
Stathmin-R-V	0.792523269
Syk-M-V	0.005966892
TAZ-R-V	0.833476858
TIGAR-R-V	0.085031076
Transglutaminase-M-V	1.163135417
TFRC-R-V	-0.647998495
TSC1-R-C	-0.0961466740000001
TTF1-R-V	0.0283866260000001
Tuberin-R-E	-0.40900278
Tuberin_pT1462-R-V	-0.198382301
VEGFR2-R-V	-0.481404455
EPPK1-M-E	-1.00123582
XBP1-G-C	-0.316109091
XRCC1-R-E	-0.723359961
YAP-R-E	0.609023704
YAP_pS127-R-E	0.955457069
YB-1-R-V	0.045194854
YB-1_pS102-R-V	0.282936417
JAB1-M-C	0.19494406
PARP1-R-V	-0.827967823
A-Raf-R-V	-0.0469202449999999
ARID1A-R-C	-0.492635676
B-Raf_pS445-R-V	-0.490960902
Bcl2A1-R-V	0.881705922
