Sample REF	8C54A0B1-1E91-40CE-8BC8-2CC140B4310C
Composite Element REF	Protein Expression
14-3-3_beta-R-V	0.0967541860000003
14-3-3_epsilon-M-C	-0.0559366679999997
14-3-3_zeta-R-V	-0.192212524
4E-BP1-R-V	-0.360301465
4E-BP1_pS65-R-V	-0.162186801
4E-BP1_pT37_T46-R-V	0.0616694330000002
4E-BP1_pT70-R-V	-0.0690640289999998
53BP1-R-E	-0.564864735
A-Raf_pS299-R-C	0.167493528
ACC_pS79-R-V	-0.497369855
ACC1-R-E	-0.816251738
Acetyl-a-Tubulin-Lys40-R-C	-0.865690505
ACVRL1-R-C	0.159870608
ADAR1-M-V	0.0802629600000002
Akt-R-V	-0.610297406
Akt_pS473-R-V	-0.216683708
Akt_pT308-R-V	0.551123038
alpha-Catenin-M-V	-0.0491441959999999
AMPK_alpha-R-C	-0.170243661
AMPK_pT172-R-V	-0.868307805
Annexin-1-M-E	-0.373870799
Annexin_VII-M-V	-0.0933651879999999
AR-R-V	0.239195951
DIRAS3-M-E	0.0458799580000002
ASNS-R-V	0.0687123650000002
ATM-R-E	0.159940612
B-Raf-M-C	0.433837008
Bad_pS112-R-V	0.0498561050000002
Bak-R-C	-0.0241095439999999
Bap1-c-4-M-E	0.141239045
Bax-R-V	-0.339742094
Bcl-2-M-V	0.14594125
Bcl-xL-R-V	-0.302484977
Beclin-G-C	-0.145999653
beta-Catenin-R-V	-0.420025158
Bid-R-C	-0.00356633199999978
Bim-R-V	0.0399256950000002
BRCA2-R-C	0.00261036900000011
c-Jun_pS73-R-V	0.0421611689999999
c-Kit-R-V	-0.133152788
c-Met-M-E	-0.0706225279999999
c-Met_pY1235-R-V	0.0317305580000002
c-Myc-R-C	0.248268742
C-Raf-R-V	-0.0306775409999998
C-Raf_pS338-R-V	0.0691963600000002
Caspase-7_cleavedD198-R-C	0.208208608
Caspase-8-M-E	-0.165394458
Caveolin-1-R-V	-1.365139307
CD20-R-C	0.0691128000000003
CD31-M-V	0.194401651
CD49b-M-V	-0.437425444
CDK1-R-V	0.159940612
Chk1-M-C	0.058641385
Chk1_pS345-R-C	-0.133092287
Chk2-M-E	-0.292491847
Chk2_pT68-R-C	0.0456139600000002
cIAP-R-V	0.0676358150000002
Claudin-7-R-V	-0.631427618
Collagen_VI-R-V	-0.0135597719999998
Cyclin_B1-R-V	-0.176263582
Cyclin_D1-R-V	0.328363313
Cyclin_E1-M-V	-0.280153121
Cyclin_E2-R-C	-0.101030604
DJ-1-R-E	-0.168549915
Dvl3-R-V	0.257340023
E-Cadherin-R-V	0.359096913
eEF2-R-C	-0.134203448
eEF2K-R-V	0.555016641
EGFR-R-V	0.103544568
EGFR_pY1068-R-C	0.859857802000001
EGFR_pY1173-R-V	0.0355679930000001
eIF4E-R-V	-0.192543929
eIF4G-R-C	0.535960474
ER-alpha-R-V	0.874225669
ER-alpha_pS118-R-V	0.0402284980000003
ERCC1-M-V	0.0980544960000003
ERK2-R-E	-0.191129201
ETS-1-R-V	-0.0339149799999998
FASN-R-V	-0.717792223
Fibronectin-R-V	-0.14069006
FoxM1-R-V	0.159940612
FOXO3a-R-C	0.223323456
FOXO3a_pS318_S321-R-C	-0.0543422339999997
G6PD-M-V	0.13345754
GAB2-R-V	0.272909666
GAPDH-M-C	-0.120587468
GATA3-M-V	0.142600244
GSK3-alpha-beta-M-V	-0.153588774
GSK3-alpha-beta_pS21_S9-R-V	-0.193343827
GSK3_pS9-R-V	0.131019339
HER2-M-V	0.0560334890000002
HER2_pY1248-R-C	0.594249048
HER3-R-V	0.652222045
HER3_pY1289-R-C	-0.158214273
Heregulin-R-V	-0.171128774
HSP70-R-C	0.258085118
IGFBP2-R-V	0.476959228
INPP4B-R-V	-0.0461311699999998
IRS1-R-V	0.119857019
JNK_pT183_pY185-R-V	0.147566
JNK2-R-C	-0.0202401509999999
Ku80-R-C	-0.1019074
Lck-R-V	0.358556565
LKB1-M-E	0.187297619
MAPK_pT202_Y204-R-V	0.144399551
MEK1-R-V	-0.261936779
MEK1_pS217_S221-R-V	0.0148374900000002
MIG-6-M-V	0.0483615590000002
Mre11-R-C	0.159940612
MSH2-M-V	0
MSH6-R-C	-0.36634679
mTOR-R-V	0.275602814
mTOR_pS2448-R-C	0.222025438
MYH11-R-V	-2.423298796
Myosin-IIa_pS1943-R-V	-0.0880670449999998
N-Cadherin-R-V	0.194441427
N-Ras-M-V	-0.0116330529999998
NDRG1_pT346-R-V	1.213904542
NF-kB-p65_pS536-R-C	0.749145694
NF2-R-C	-0.0863085719999998
Notch1-R-V	0.77700787
P-Cadherin-R-C	0.0929727470000001
p21-R-V	-0.394809385
p27-R-V	0.00221726100000019
p27_pT157-R-C	-0.147745556
p27_pT198-R-V	0.0748233890000002
p38_MAPK-R-V	-0.214595397
p38_pT180_Y182-R-V	-0.365131144
p53-R-E	0.324355263000001
p62-LCK-ligand-M-C	2.021136186
p70S6K-R-V	0.205711215
p70S6K_pT389-R-V	0.207202126
p90RSK-R-C	0.236815237
p90RSK_pT359_S363-R-C	0.526334068
PAI-1-M-E	-0.476452135
PARP_cleaved-M-E	-0.0523836609999999
Paxillin-R-C	-0.0822668669999997
PCNA-M-C	-0.320348644
PDCD4-R-C	-0.11952774
PDK1-R-V	-0.109009315
PDK1_pS241-R-V	-0.269632593
PEA15-R-V	-0.455867727
PEA15_pS116-R-V	-0.117082789
PI3K-p110-alpha-R-C	-0.00747139299999977
PI3K-p85-R-V	0.245038606
PKC-alpha-M-V	-0.529055914
PKC-alpha_pS657-R-C	-0.815539269
PKC-delta_pS664-R-V	-0.0223054759999999
PKC-pan_BetaII_pS660-R-V	0.0664191750000002
PR-R-V	0.0449560610000002
PRAS40_pT246-R-V	0.234910726
PRDX1-R-V	-0.0162826079999998
PREX1-R-E	0.226821697
PTEN-R-V	-0.751500857
Rab11-R-E	-0.172375049
Rab25-R-V	-0.380210105
Rad50-M-V	-0.0215169419999997
Rad51-R-V	0.803740819
Raptor-R-V	-0.0174996209999998
Rb-M-E	-0.0689374549999999
Rb_pS807_S811-R-V	0.12593973
RBM15-R-V	0.0542772970000002
Rictor-R-C	0.164058176
Rictor_pT1135-R-V	0.137520514
S6-R-E	0.0776519760000002
S6_pS235_S236-R-V	0.101658384
S6_pS240_S244-R-V	0.149716896
SCD-M-V	-0.0425372979999998
SETD2-R-E	0.00780201700000038
SF2-M-V	-0.540377955
Shc_pY317-R-E	0.428241581
Smac-M-E	-0.0569643619999998
Smad1-R-V	0.0175931300000002
Smad3-R-V	-0.0808461019999998
Smad4-M-V	0.0519380520000001
Snail-M-E	-0.309984901
Src-M-V	0.0301809260000002
Src_pY416-R-C	1.240325049
Src_pY527-R-V	0.0703761270000003
STAT3_pY705-R-V	-0.0576886659999997
STAT5-alpha-R-V	0.760048382
Stathmin-R-V	-0.00485112799999979
Syk-M-V	0.478851548
TAZ-R-V	-0.12632959
TIGAR-R-V	-0.104169716
Transglutaminase-M-V	-0.352723041
TFRC-R-V	-0.821244454
TSC1-R-C	-0.0760643379999998
TTF1-R-V	-0.142701212
Tuberin-R-E	0.260668095
Tuberin_pT1462-R-V	-0.0943583839999997
VEGFR2-R-V	-0.685497671
EPPK1-M-E	-1.952043986
XBP1-G-C	-0.212180761
XRCC1-R-E	-0.313143887
YAP-R-E	-0.0419824449999998
YAP_pS127-R-E	-0.123925816
YB-1-R-V	0.128269305
YB-1_pS102-R-V	0.100349477
JAB1-M-C	0.108435692
PARP1-R-V	-0.387213803
A-Raf-R-V	0.257073552
ARID1A-R-C	0.0745290020000002
B-Raf_pS445-R-V	0.0494847040000002
Bcl2A1-R-V	0.0944623130000002
BRD4-R-V	-0.0117724039999998
c-Abl-R-V	-0.149820171
Caspase-3-R-C	-0.105849079
CD26-R-V	-0.203909321
Chk1_pS296-R-V	0.0222123090000002
COG3-R-V	0.188996915
DUSP4-R-V	-0.200192443
ERCC5-R-C	-0.22169239
IGF1R_pY1135_Y1136-R-V	0.0558409940000003
IRF-1-R-C	0.285423732
Jak2-R-V	0.118763603
p16_INK4a-R-V	-0.481271541
SHP-2_pY542-R-C	0.996646225
CDK1_pY15-R-C	0.0635597320000001
