Sample REF	9169E928-8406-4FF7-824A-AA5FA7B3BF5A
Composite Element REF	Protein Expression
14-3-3_beta-R-V	-0.149501016
14-3-3_epsilon-M-C	-0.115201491
14-3-3_zeta-R-V	0.0224914230000002
4E-BP1-R-V	0.23239661
4E-BP1_pS65-R-V	0.0719145890000002
4E-BP1_pT37_T46-R-V	-0.544282734
4E-BP1_pT70-R-V	0.0356713890000002
53BP1-R-E	0.184349005
A-Raf_pS299-R-C	-0.19863242
ACC_pS79-R-V	1.142933225
ACC1-R-E	1.400463928
Acetyl-a-Tubulin-Lys40-R-C	0.728000924
ACVRL1-R-C	-0.0663550629999998
ADAR1-M-V	0.0218443710000003
Akt-R-V	0.239687382
Akt_pS473-R-V	-1.284832276
Akt_pT308-R-V	-0.828351102
alpha-Catenin-M-V	0.0920454440000003
AMPK_alpha-R-C	-0.238012727
AMPK_pT172-R-V	0.18454391
Annexin-1-M-E	0.134064369
Annexin_VII-M-V	-0.053016687
AR-R-V	-0.0323877649999998
DIRAS3-M-E	-0.0634148289999998
ASNS-R-V	0.627688911
ATM-R-E	0.560841973
B-Raf-M-C	-0.157063514
Bad_pS112-R-V	-0.444960671
Bak-R-C	0.0457408040000002
Bap1-c-4-M-E	0.451778031
Bax-R-V	0.0969435070000002
Bcl-2-M-V	-0.998794357
Bcl-xL-R-V	-0.00982297699999979
Beclin-G-C	-0.188987865
beta-Catenin-R-V	1.21411221
Bid-R-C	-0.0370519689999997
Bim-R-V	-0.353777858
BRCA2-R-C	0.322513884
c-Jun_pS73-R-V	-0.73071806
c-Kit-R-V	-0.376252665
c-Met-M-E	0.331173232
c-Met_pY1235-R-V	-0.0186527689999998
c-Myc-R-C	-0.0664206149999998
C-Raf-R-V	0.144899597
C-Raf_pS338-R-V	-0.0347537879999998
Caspase-7_cleavedD198-R-C	1.650542337
Caspase-8-M-E	0.255396477
Caveolin-1-R-V	-0.189281977
CD20-R-C	0.0877075200000001
CD31-M-V	-0.381406112
CD49b-M-V	0.501983443
CDK1-R-V	0
Chk1-M-C	1.224492145
Chk1_pS345-R-C	-0.0448751119999998
Chk2-M-E	0.479097604
Chk2_pT68-R-C	-0.0897433289999998
cIAP-R-V	0.305976557
Claudin-7-R-V	1.774037588
Collagen_VI-R-V	-0.264682771
Cyclin_B1-R-V	0.94984142
Cyclin_D1-R-V	0.0312973410000002
Cyclin_E1-M-V	0.647675698
Cyclin_E2-R-C	0.250322535
DJ-1-R-E	-0.126062191
Dvl3-R-V	0.398548813
E-Cadherin-R-V	0.822847814
eEF2-R-C	0.507647749
eEF2K-R-V	0.60587527
EGFR-R-V	0.473515494
EGFR_pY1068-R-C	-0.360410067
EGFR_pY1173-R-V	-0.0227442339999998
eIF4E-R-V	0.0474963260000002
eIF4G-R-C	0.512236877
ER-alpha-R-V	-1.225648738
ER-alpha_pS118-R-V	0.0817030810000002
ERCC1-M-V	-0.114019468
ERK2-R-E	0.275161349
ETS-1-R-V	0.292791008
FASN-R-V	0.789720747
Fibronectin-R-V	0.313335417
FoxM1-R-V	0.420107782
FOXO3a-R-C	-0.231888432
FOXO3a_pS318_S321-R-C	-0.493450332
G6PD-M-V	-0.179480563
GAB2-R-V	0.145172592
GAPDH-M-C	0.512938154
GATA3-M-V	0.0221950750000004
GSK3-alpha-beta-M-V	0.00258817400000017
GSK3-alpha-beta_pS21_S9-R-V	-1.076552131
GSK3_pS9-R-V	-1.558541901
HER2-M-V	2.132711776
HER2_pY1248-R-C	1.595962981
HER3-R-V	-0.105955167
HER3_pY1289-R-C	0.671950201
Heregulin-R-V	-0.141975097
HSP70-R-C	-0.908045181
IGFBP2-R-V	1.101043291
INPP4B-R-V	0.399383898
IRS1-R-V	0.0562707430000001
JNK_pT183_pY185-R-V	-0.114507115
JNK2-R-C	0.0109677790000002
Ku80-R-C	0.66094863
Lck-R-V	-0.253001022
LKB1-M-E	-0.137058227
MAPK_pT202_Y204-R-V	-1.007609803
MEK1-R-V	-0.474949207
MEK1_pS217_S221-R-V	-0.201041279
MIG-6-M-V	0.186473652
Mre11-R-C	-0.138374854
MSH2-M-V	0.299395753
MSH6-R-C	0.569195517
mTOR-R-V	0.51575935
mTOR_pS2448-R-C	-0.277093935
MYH11-R-V	-0.40212517
Myosin-IIa_pS1943-R-V	-0.313769473
N-Cadherin-R-V	0.0729442180000002
N-Ras-M-V	-0.12902496
NDRG1_pT346-R-V	-2.120369003
NF-kB-p65_pS536-R-C	-0.812982534
NF2-R-C	0.52429739
Notch1-R-V	-0.272224829
P-Cadherin-R-C	-0.052639487
p21-R-V	-1.828630653
p27-R-V	-0.457361873
p27_pT157-R-C	0.0515983940000002
p27_pT198-R-V	-0.163814498
p38_MAPK-R-V	0.0373013700000002
p38_pT180_Y182-R-V	-1.150750632
p53-R-E	-0.149056633999999
p62-LCK-ligand-M-C	0.0502485520000002
p70S6K-R-V	0.329054919
p70S6K_pT389-R-V	-0.215579382
p90RSK-R-C	0.426389068
p90RSK_pT359_S363-R-C	-0.308399257
PAI-1-M-E	-0.0518823659999998
PARP_cleaved-M-E	-0.261222341
Paxillin-R-C	0.399494938
PCNA-M-C	0.385368276
PDCD4-R-C	-1.418688695
PDK1-R-V	-0.0497971619999998
PDK1_pS241-R-V	-0.176968157
PEA15-R-V	-0.18266225
PEA15_pS116-R-V	0.279776556
PI3K-p110-alpha-R-C	0.148925033
PI3K-p85-R-V	-0.346270271
PKC-alpha-M-V	-0.136385155
PKC-alpha_pS657-R-C	-0.235381688
PKC-delta_pS664-R-V	-0.291105002
PKC-pan_BetaII_pS660-R-V	-0.272500621
PR-R-V	-0.0553026939999997
PRAS40_pT246-R-V	-0.261394086
PRDX1-R-V	-0.50947705
PREX1-R-E	-0.572377136
PTEN-R-V	0.196881796
Rab11-R-E	0.0724409370000002
Rab25-R-V	0.111735337
Rad50-M-V	0.190059319
Rad51-R-V	-0.353829802
Raptor-R-V	0.288209171
Rb-M-E	-0.173582523
Rb_pS807_S811-R-V	-0.572397715
RBM15-R-V	0.276420065
Rictor-R-C	-0.288023591
Rictor_pT1135-R-V	-0.0593841789999998
S6-R-E	0.295608203
S6_pS235_S236-R-V	-1.613932227
S6_pS240_S244-R-V	-0.920431021
SCD-M-V	-0.101231852
SETD2-R-E	-0.195368948
SF2-M-V	0.250576423
Shc_pY317-R-E	-0.350444174
Smac-M-E	0.0413499620000002
Smad1-R-V	0.247567782
Smad3-R-V	0.254180674
Smad4-M-V	-0.278603724
Snail-M-E	-0.0605446159999996
Src-M-V	-0.113699507
Src_pY416-R-C	-0.656951156
