Sample REF	9180D48E-36DA-421A-933F-FD75E6515174
Composite Element REF	Protein Expression
14-3-3_beta-R-V	-0.245583934
14-3-3_epsilon-M-C	-0.157379788
14-3-3_zeta-R-V	0.031024387
4E-BP1-R-V	0.318048559
4E-BP1_pS65-R-V	0.270299755
4E-BP1_pT37_T46-R-V	1.000275821
4E-BP1_pT70-R-V	0.175460216
53BP1-R-E	0.129166641
A-Raf_pS299-R-C	0.143753
ACC_pS79-R-V	0.162038164
ACC1-R-E	0.290203373
Acetyl-a-Tubulin-Lys40-R-C	-0.697553993
ACVRL1-R-C	-0.138815801
ADAR1-M-V	-0.178945887
Akt-R-V	-0.442423217
Akt_pS473-R-V	0.665669378
Akt_pT308-R-V	0
alpha-Catenin-M-V	0.160290513
AMPK_alpha-R-C	-0.099690552
AMPK_pT172-R-V	-0.171290042
Annexin-1-M-E	-0.27607551
Annexin_VII-M-V	-0.0881180390000003
AR-R-V	-0.162435426
DIRAS3-M-E	-0.11132774
ASNS-R-V	-0.689697032
ATM-R-E	-0.280753839
B-Raf-M-C	0.0412915539999999
Bad_pS112-R-V	0.258766649
Bak-R-C	-0.00620341200000007
Bap1-c-4-M-E	0.288857845
Bax-R-V	-0.100965022
Bcl-2-M-V	-0.490650063
Bcl-xL-R-V	-0.22787223
Beclin-G-C	-0.072385419
beta-Catenin-R-V	0.762216889
Bid-R-C	-0.168990708
Bim-R-V	0.395238057
BRCA2-R-C	-0.0743768870000001
c-Jun_pS73-R-V	0.524595132
c-Kit-R-V	-0.422972005
c-Met-M-E	-0.00620341200000007
c-Met_pY1235-R-V	-0.0865939250000001
c-Myc-R-C	-0.0795035140000001
C-Raf-R-V	0.0625153719999999
C-Raf_pS338-R-V	0.119738713
Caspase-7_cleavedD198-R-C	1.38502833
Caspase-8-M-E	0.157344987
Caveolin-1-R-V	-0.285063192
CD20-R-C	-0.0624375260000001
CD31-M-V	-0.105337106
CD49b-M-V	0.502233592
CDK1-R-V	0.289781896
Chk1-M-C	0.372053397
Chk1_pS345-R-C	0.265217873
Chk2-M-E	0.138006864
Chk2_pT68-R-C	-0.082525449
cIAP-R-V	-0.0296171290000001
Claudin-7-R-V	-0.198068069
Collagen_VI-R-V	-0.124814465
Cyclin_B1-R-V	1.133346976
Cyclin_D1-R-V	-0.207874796
Cyclin_E1-M-V	-0.342129081
Cyclin_E2-R-C	0.255556167
DJ-1-R-E	-0.34625848
Dvl3-R-V	0.453971516
E-Cadherin-R-V	0.449334789
eEF2-R-C	0.136244842
eEF2K-R-V	0.857864097
EGFR-R-V	0.536611621
EGFR_pY1068-R-C	1.304832985
EGFR_pY1173-R-V	0.0745723689999999
eIF4E-R-V	0.101826543
eIF4G-R-C	0.605675023
ER-alpha-R-V	-0.919644943
ER-alpha_pS118-R-V	-0.158437463
ERCC1-M-V	0.125872478
ERK2-R-E	-0.0717075430000001
ETS-1-R-V	-0.144538795
FASN-R-V	-0.184970689
Fibronectin-R-V	-0.256250652
FoxM1-R-V	0.505188913
FOXO3a-R-C	-0.167622842
FOXO3a_pS318_S321-R-C	-0.0338693860000001
G6PD-M-V	-0.238925278
GAB2-R-V	-0.275365185
GAPDH-M-C	0.137168165
GATA3-M-V	-0.0897911100000002
GSK3-alpha-beta-M-V	0.234585756
GSK3-alpha-beta_pS21_S9-R-V	0.39571633
GSK3_pS9-R-V	1.264209698
HER2-M-V	0.158789869
HER2_pY1248-R-C	0.603589566
HER3-R-V	0.44100784
HER3_pY1289-R-C	0.0716659569999999
Heregulin-R-V	-0.25066723
HSP70-R-C	-0.16084269
IGFBP2-R-V	-0.625423967
INPP4B-R-V	-0.456245682
IRS1-R-V	0.506427639
JNK_pT183_pY185-R-V	-0.171294372
JNK2-R-C	0.090378091
Ku80-R-C	-0.16981462
Lck-R-V	0.334055173
LKB1-M-E	-0.202509056
MAPK_pT202_Y204-R-V	0.398646021
MEK1-R-V	0.395193437
MEK1_pS217_S221-R-V	-0.0208454210000001
MIG-6-M-V	-0.02492119
Mre11-R-C	-0.057012005
MSH2-M-V	-0.0358301510000003
MSH6-R-C	-0.193691675
mTOR-R-V	-0.264119908
mTOR_pS2448-R-C	0.252120691
MYH11-R-V	-0.168735752
Myosin-IIa_pS1943-R-V	0.142434454
N-Cadherin-R-V	-0.162189013
N-Ras-M-V	-0.120535689
NDRG1_pT346-R-V	2.670928028
NF-kB-p65_pS536-R-C	0.444069473
NF2-R-C	0.0375579259999999
Notch1-R-V	0.636329747
P-Cadherin-R-C	-0.0906098610000003
p21-R-V	0.179114574
p27-R-V	-0.433862497
p27_pT157-R-C	-0.00640429100000008
