Sample REF	939F11BA-747F-4A0A-A885-FCF46C2500F7
Composite Element REF	Protein Expression
14-3-3_beta-R-V	0.06183255
14-3-3_epsilon-M-C	-0.149951083
14-3-3_zeta-R-V	0.525423458
4E-BP1-R-V	0.710383388
4E-BP1_pS65-R-V	0.456426317
4E-BP1_pT37_T46-R-V	1.19388121
4E-BP1_pT70-R-V	0.680574149
53BP1-R-E	-0.018354312
A-Raf_pS299-R-C	0.248703142
ACC_pS79-R-V	0.141011983
ACC1-R-E	0.784929202
Acetyl-a-Tubulin-Lys40-R-C	-1.138789405
ACVRL1-R-C	-0.255534678
ADAR1-M-V	-0.214164945
Akt-R-V	0.726363844
Akt_pS473-R-V	-0.326036516
Akt_pT308-R-V	0.473021704
alpha-Catenin-M-V	-0.211178155
AMPK_alpha-R-C	0.077705398
AMPK_pT172-R-V	-1.4934775
Annexin-1-M-E	0.556265463
Annexin_VII-M-V	0.237854892
AR-R-V	-0.258012733
DIRAS3-M-E	-0.0303021050000001
ASNS-R-V	0.00848900399999997
ATM-R-E	-1.02555005
B-Raf-M-C	0.153311296
Bad_pS112-R-V	0.163793418
Bak-R-C	-0.0979770749999999
Bap1-c-4-M-E	-0.043529316
Bax-R-V	0.0618266299999999
Bcl-2-M-V	-1.045944622
Bcl-xL-R-V	0.0665190139999999
Beclin-G-C	0.052449758
beta-Catenin-R-V	0.296860099
Bid-R-C	0.0592206089999999
Bim-R-V	-0.116364783
BRCA2-R-C	0.0188715619999998
c-Jun_pS73-R-V	-0.727630751
c-Kit-R-V	-0.510520456
c-Met-M-E	-0.173478766
c-Met_pY1235-R-V	-0.113890691
c-Myc-R-C	-0.290395718
C-Raf-R-V	-0.381927838
C-Raf_pS338-R-V	-0.111021341
Caspase-7_cleavedD198-R-C	-0.5275821
Caspase-8-M-E	0.0202434899999998
Caveolin-1-R-V	1.255206646
CD20-R-C	0.00532302299999998
CD31-M-V	-0.372380178
CD49b-M-V	0.160218804
CDK1-R-V	-0.241157323
Chk1-M-C	0.217774039
Chk1_pS345-R-C	-0.13909113
Chk2-M-E	0.143752116
Chk2_pT68-R-C	-0.117900188
cIAP-R-V	0.234774534
Claudin-7-R-V	-0.446504731
Collagen_VI-R-V	0.165531743
Cyclin_B1-R-V	-0.204130536
Cyclin_D1-R-V	0.083075225
Cyclin_E1-M-V	0.524716119
Cyclin_E2-R-C	-0.0725057250000001
DJ-1-R-E	-0.0406578990000001
Dvl3-R-V	0.231346833
E-Cadherin-R-V	0.125516106
eEF2-R-C	0.890347921
eEF2K-R-V	0.283679206
EGFR-R-V	0.27987859
EGFR_pY1068-R-C	-0.349109297
EGFR_pY1173-R-V	-0.0221526780000001
eIF4E-R-V	0.0317220679999999
eIF4G-R-C	-0.558851864
ER-alpha-R-V	-1.018257614
ER-alpha_pS118-R-V	-0.083259576
ERCC1-M-V	0.00668236199999994
ERK2-R-E	0.32240661
ETS-1-R-V	0.447800457
FASN-R-V	-0.79661667
Fibronectin-R-V	-0.339093811
FoxM1-R-V	-0.168813834
FOXO3a-R-C	-0.303246679
FOXO3a_pS318_S321-R-C	-0.120228267
G6PD-M-V	0.0393307869999998
GAB2-R-V	-0.495551749
GAPDH-M-C	0.714313534
GATA3-M-V	0.172965331
GSK3-alpha-beta-M-V	0.333034779
GSK3-alpha-beta_pS21_S9-R-V	0.101321933
GSK3_pS9-R-V	0.268390296
HER2-M-V	0.596512205
HER2_pY1248-R-C	-0.288085365
HER3-R-V	-0.761977056
HER3_pY1289-R-C	0.153311296
Heregulin-R-V	-0.100789378
HSP70-R-C	-0.134987891
IGFBP2-R-V	-1.240397501
INPP4B-R-V	-0.275125008
IRS1-R-V	-0.0521756840000002
JNK_pT183_pY185-R-V	-0.24991885
JNK2-R-C	-0.438916972
Ku80-R-C	0.371664553
Lck-R-V	-0.169451757
LKB1-M-E	-0.305649895
MAPK_pT202_Y204-R-V	-0.794069457
MEK1-R-V	-0.0208683230000001
MEK1_pS217_S221-R-V	-0.0997965220000001
MIG-6-M-V	0.0282443669999999
Mre11-R-C	-0.080720346
MSH2-M-V	-0.131029156
MSH6-R-C	0.241895121
mTOR-R-V	0.100543909
mTOR_pS2448-R-C	-0.35184154
MYH11-R-V	1.201451429
Myosin-IIa_pS1943-R-V	0.555245186
N-Cadherin-R-V	0.117086788
N-Ras-M-V	0.0624881399999999
NDRG1_pT346-R-V	0.815436856
NF-kB-p65_pS536-R-C	-0.259674117
NF2-R-C	0.400005992
Notch1-R-V	-0.583944002
P-Cadherin-R-C	0.065790863
p21-R-V	0.269989765
p27-R-V	-0.460098803
p27_pT157-R-C	0.0587512439999999
p27_pT198-R-V	-0.278808573
p38_MAPK-R-V	0.0207057479999999
p38_pT180_Y182-R-V	0.400876324
p53-R-E	-0.397910798
p62-LCK-ligand-M-C	-0.58515223
p70S6K-R-V	0.226871565
p70S6K_pT389-R-V	-0.256417163
p90RSK-R-C	0.305198682
p90RSK_pT359_S363-R-C	-0.0733185750000002
PAI-1-M-E	1.13744147
PARP_cleaved-M-E	-0.354129207
Paxillin-R-C	0.598261918
PCNA-M-C	0.381249943
PDCD4-R-C	-1.892910897
PDK1-R-V	0.0276259689999999
PDK1_pS241-R-V	0.0628771069999999
PEA15-R-V	0.148757992
PEA15_pS116-R-V	0.995721552
PI3K-p110-alpha-R-C	-0.291143124
PI3K-p85-R-V	-0.450223921
PKC-alpha-M-V	-0.780166698
PKC-alpha_pS657-R-C	-0.859926696
PKC-delta_pS664-R-V	-0.263997402
PKC-pan_BetaII_pS660-R-V	-0.200734446
PR-R-V	-0.082973724
PRAS40_pT246-R-V	-0.17474028
PRDX1-R-V	-0.438895935
PREX1-R-E	-0.78620173
PTEN-R-V	-0.456540832
Rab11-R-E	0.135924415
Rab25-R-V	0.234377122
Rad50-M-V	0.188912916
Rad51-R-V	-0.303829287
Raptor-R-V	-0.100594913
Rb-M-E	-0.0853016270000001
Rb_pS807_S811-R-V	-0.086355458
RBM15-R-V	-0.150524068
Rictor-R-C	-0.172773486
Rictor_pT1135-R-V	0.104894099
S6-R-E	0.138050999
S6_pS235_S236-R-V	0.0258514780000002
S6_pS240_S244-R-V	0.271909979
SCD-M-V	-0.091807152
SETD2-R-E	-0.285196375
SF2-M-V	-0.515897524
Shc_pY317-R-E	-0.261227517
Smac-M-E	-0.000458303000000049
Smad1-R-V	-0.193252156
Smad3-R-V	0.0972441809999999
Smad4-M-V	-0.295764485
Snail-M-E	-0.322712443
Src-M-V	0.309991788
Src_pY416-R-C	-0.859055739
Src_pY527-R-V	-0.522549506
STAT3_pY705-R-V	-0.284190814
STAT5-alpha-R-V	-0.972818114
Stathmin-R-V	-0.0201936960000001
Syk-M-V	-0.0818972690000001
TAZ-R-V	0.0994528269999999
TIGAR-R-V	0.042762177
Transglutaminase-M-V	0.0881575709999999
TFRC-R-V	0.31611902
TSC1-R-C	0.0778021469999999
TTF1-R-V	0.448735596
Tuberin-R-E	-0.388791686
Tuberin_pT1462-R-V	-0.0915692550000001
VEGFR2-R-V	0.134260923
EPPK1-M-E	0.221497184
XBP1-G-C	0.0849047179999997
XRCC1-R-E	0.042703953
YAP-R-E	0.630020076
YAP_pS127-R-E	0.932757233
YB-1-R-V	0.158615976
YB-1_pS102-R-V	-0.0183111510000001
JAB1-M-C	-0.0769218490000002
PARP1-R-V	-0.530214061
A-Raf-R-V	0.341794689
ARID1A-R-C	0.0813363249999999
B-Raf_pS445-R-V	0.238039372
Bcl2A1-R-V	0.157865116
BRD4-R-V	-0.137651413
c-Abl-R-V	0.157866373
Caspase-3-R-C	0.0429841099999998
CD26-R-V	0.102818737
Chk1_pS296-R-V	0.0198050799999999
COG3-R-V	0.169212245
DUSP4-R-V	0.992096318
ERCC5-R-C	0.158786607
IGF1R_pY1135_Y1136-R-V	0
IRF-1-R-C	0.163609334
Jak2-R-V	-0.08334102
p16_INK4a-R-V	1.006127282
SHP-2_pY542-R-C	-0.21420074
CDK1_pY15-R-C	-0.566239794
