Sample REF	94F1E446-754F-4DBB-A416-2551278C763F
Composite Element REF	Protein Expression
14-3-3_beta-R-V	0.155383278
14-3-3_epsilon-M-C	-0.0689702339999999
14-3-3_zeta-R-V	0.107580803
4E-BP1-R-V	-0.133317597
4E-BP1_pS65-R-V	0.14422132
4E-BP1_pT37_T46-R-V	0.288388127
4E-BP1_pT70-R-V	-0.01327025
53BP1-R-E	-0.311563733
A-Raf_pS299-R-C	-0.242539163
ACC_pS79-R-V	0.699326483
ACC1-R-E	1.2957462
Acetyl-a-Tubulin-Lys40-R-C	-1.087074381
ACVRL1-R-C	0.0228796969999999
ADAR1-M-V	0.0223148889999999
Akt-R-V	-0.736566187
Akt_pS473-R-V	1.142505815
Akt_pT308-R-V	-0.020279058
alpha-Catenin-M-V	0.00567542599999993
AMPK_alpha-R-C	-0.00345216199999998
AMPK_pT172-R-V	-0.259836869
Annexin-1-M-E	0.289615401
Annexin_VII-M-V	-0.020157555
AR-R-V	-0.354328474
DIRAS3-M-E	-0.028674414
ASNS-R-V	0.182738799
ATM-R-E	-1.254335936
B-Raf-M-C	-0.198294118
Bad_pS112-R-V	-0.326979444
Bak-R-C	0.146316575
Bap1-c-4-M-E	0.0473640139999999
Bax-R-V	0.00828740500000003
Bcl-2-M-V	-0.955188716
Bcl-xL-R-V	-0.0573800759999999
Beclin-G-C	-0.0322528080000001
beta-Catenin-R-V	-0.413178127
Bid-R-C	0.14804833
Bim-R-V	0.228548843
BRCA2-R-C	0.0278122619999998
c-Jun_pS73-R-V	-0.0409819160000001
c-Kit-R-V	-0.0659879900000001
c-Met-M-E	0.583292665
c-Met_pY1235-R-V	0.0179605289999999
c-Myc-R-C	0.26642389
C-Raf-R-V	-0.183006992
C-Raf_pS338-R-V	0.083377169
Caspase-7_cleavedD198-R-C	0.119760733
Caspase-8-M-E	0.355023729
Caveolin-1-R-V	-0.448436117
CD20-R-C	-0.184757433
CD31-M-V	-0.250221871
CD49b-M-V	0.0782409139999999
CDK1-R-V	0.0137636139999998
Chk1-M-C	0.00710587299999965
Chk1_pS345-R-C	-0.257078433
Chk2-M-E	-0.486472507
Chk2_pT68-R-C	0.039031266
cIAP-R-V	0.138848615
Claudin-7-R-V	0.826296616
Collagen_VI-R-V	0.193220974
Cyclin_B1-R-V	0.181610382
Cyclin_D1-R-V	0.344137347
Cyclin_E1-M-V	-0.137769029
Cyclin_E2-R-C	-0.288059221
DJ-1-R-E	0.173237782
Dvl3-R-V	0.394469445
E-Cadherin-R-V	0.041821466
eEF2-R-C	-0.196872296
eEF2K-R-V	-0.747978821
EGFR-R-V	0.324384885
EGFR_pY1068-R-C	0.384563089
EGFR_pY1173-R-V	0.018693771
eIF4E-R-V	-0.157217608
eIF4G-R-C	-0.00430855300000033
ER-alpha-R-V	-0.0347884959999999
ER-alpha_pS118-R-V	-0.273125166
ERCC1-M-V	0.019188009
ERK2-R-E	-0.411234815
ETS-1-R-V	0.124755458
FASN-R-V	1.764612713
Fibronectin-R-V	-0.30253632
FoxM1-R-V	0.0183252399999999
FOXO3a-R-C	-0.015590002
FOXO3a_pS318_S321-R-C	-0.100731046
G6PD-M-V	0.460860018
GAB2-R-V	-0.840984664
GAPDH-M-C	0.58370491
GATA3-M-V	0.025252771
GSK3-alpha-beta-M-V	0.211683243
GSK3-alpha-beta_pS21_S9-R-V	-0.00786637699999998
GSK3_pS9-R-V	0.055559545
HER2-M-V	-0.2367756
HER2_pY1248-R-C	0.112748846
HER3-R-V	1.20246739
HER3_pY1289-R-C	0.087447667
Heregulin-R-V	0.067323664
HSP70-R-C	0.964214037
IGFBP2-R-V	-0.735895662
INPP4B-R-V	0.247464521
IRS1-R-V	-0.101379198
JNK_pT183_pY185-R-V	-0.0805718730000001
JNK2-R-C	-0.083688528
Ku80-R-C	-0.251737737
Lck-R-V	-0.382119717
LKB1-M-E	-0.000595238000000053
MAPK_pT202_Y204-R-V	0.826901849
MEK1-R-V	-0.221345062
MEK1_pS217_S221-R-V	0.253531812
MIG-6-M-V	0.0779760719999999
Mre11-R-C	0.139105755
MSH2-M-V	0.190026625
MSH6-R-C	0.199829423
mTOR-R-V	-0.0485045919999999
mTOR_pS2448-R-C	0.0830008270000001
MYH11-R-V	-1.705432244
Myosin-IIa_pS1943-R-V	-0.098015359
N-Cadherin-R-V	0.125182395
N-Ras-M-V	0.058601808
NDRG1_pT346-R-V	0.775832009
NF-kB-p65_pS536-R-C	-0.590510271
NF2-R-C	-0.976200491
Notch1-R-V	-0.164735152
P-Cadherin-R-C	0.184450766
p21-R-V	0.893116211
p27-R-V	-0.315315559
p27_pT157-R-C	-0.125026356
p27_pT198-R-V	-0.260463588
p38_MAPK-R-V	0.026562877
p38_pT180_Y182-R-V	-0.092202355
p53-R-E	-0.227156048
p62-LCK-ligand-M-C	0.047811296
p70S6K-R-V	0
p70S6K_pT389-R-V	0.382111206
p90RSK-R-C	-0.384308797
p90RSK_pT359_S363-R-C	0.045666793
PAI-1-M-E	0.981562768
PARP_cleaved-M-E	0.544116312
Paxillin-R-C	0.35134241
PCNA-M-C	-0.101399885
PDCD4-R-C	-0.291407905
PDK1-R-V	-0.06059607
PDK1_pS241-R-V	-0.10997673
PEA15-R-V	0.259831001
PEA15_pS116-R-V	-0.147700733
PI3K-p110-alpha-R-C	0.028113386
PI3K-p85-R-V	-0.173253942
PKC-alpha-M-V	-0.727600441
PKC-alpha_pS657-R-C	-1.223613633
PKC-delta_pS664-R-V	-0.236206446
PKC-pan_BetaII_pS660-R-V	-0.412588644
PR-R-V	-0.098049073
PRAS40_pT246-R-V	0.313356728
PRDX1-R-V	-0.259258475
PREX1-R-E	-0.282453909
PTEN-R-V	-0.108054417
Rab11-R-E	-0.031631658
Rab25-R-V	0.154946475
Rad50-M-V	0.093648845
Rad51-R-V	0.176044222
Raptor-R-V	0.020112155
Rb-M-E	0.15652002
Rb_pS807_S811-R-V	-0.273628132
RBM15-R-V	-0.298604905
Rictor-R-C	-0.7679362
Rictor_pT1135-R-V	0.0953221249999999
S6-R-E	0.102345752
S6_pS235_S236-R-V	0.902908707
S6_pS240_S244-R-V	0.685065254
SCD-M-V	0.124594422
SETD2-R-E	1.584477781
SF2-M-V	-0.376851574
Shc_pY317-R-E	0.627720993
Smac-M-E	0.450986034
Smad1-R-V	-0.048070496
Smad3-R-V	-0.091317839
Smad4-M-V	0.0541957669999998
Snail-M-E	0.591869457
Src-M-V	-0.062295957
Src_pY416-R-C	-0.333464407
Src_pY527-R-V	0.432266519
STAT3_pY705-R-V	0.0549692560000001
STAT5-alpha-R-V	-0.700165589
Stathmin-R-V	-0.00979371800000001
Syk-M-V	-0.039947553
TAZ-R-V	0.104601652
TIGAR-R-V	-0.0765977250000001
Transglutaminase-M-V	0.832312997
TFRC-R-V	0.397265834
TSC1-R-C	0.341756194
TTF1-R-V	-0.124087153
Tuberin-R-E	-0.440130739
Tuberin_pT1462-R-V	-0.39474175
VEGFR2-R-V	0.281181445
EPPK1-M-E	-0.340933706
XBP1-G-C	-0.416795938
XRCC1-R-E	-0.665147217
YAP-R-E	0.098851322
YAP_pS127-R-E	-1.172200046
YB-1-R-V	0.021026194
YB-1_pS102-R-V	0.0254835139999999
JAB1-M-C	-0.00797620099999985
PARP1-R-V	-0.04408376
A-Raf-R-V	-0.047246381
ARID1A-R-C	-0.108816037
B-Raf_pS445-R-V	-0.065939602
Bcl2A1-R-V	0.185279783
BRD4-R-V	-0.864042654
c-Abl-R-V	0.00560239600000001
Caspase-3-R-C	0.01316336
CD26-R-V	-0.080197239
Chk1_pS296-R-V	0.089695977
COG3-R-V	-0.445760835
DUSP4-R-V	-0.131026622
ERCC5-R-C	-0.022306125
IGF1R_pY1135_Y1136-R-V	0.10318865
IRF-1-R-C	-0.252681573
Jak2-R-V	-0.257990848
p16_INK4a-R-V	0.349619034
SHP-2_pY542-R-C	0.501133843
CDK1_pY15-R-C	0.244990158
