Sample REF	98528687-3F27-43C9-9472-C399EA10D856
Composite Element REF	Protein Expression
14-3-3_beta-R-V	0.33354814
14-3-3_epsilon-M-C	-0.582747112
14-3-3_zeta-R-V	1.290982469
4E-BP1-R-V	0.634411268
4E-BP1_pS65-R-V	0.197006066
4E-BP1_pT37_T46-R-V	0.926698324
4E-BP1_pT70-R-V	0.320457153
53BP1-R-E	-0.401130172
A-Raf_pS299-R-C	0.102921275
ACC_pS79-R-V	-0.058912504
ACC1-R-E	0.0153844669999998
Acetyl-a-Tubulin-Lys40-R-C	-0.201850432
ACVRL1-R-C	0.205629097
ADAR1-M-V	-0.558917436
Akt-R-V	-1.735687509
Akt_pS473-R-V	0.209349371
Akt_pT308-R-V	0.0646031649999999
alpha-Catenin-M-V	-0.070134444
AMPK_alpha-R-C	0.470762379
AMPK_pT172-R-V	-0.45606553
Annexin-1-M-E	0.455719499
Annexin_VII-M-V	-0.171736699
AR-R-V	0.0413178479999996
DIRAS3-M-E	0.0366720889999996
ASNS-R-V	0.592615219
ATM-R-E	-0.493935043
B-Raf-M-C	-1.102969609
Bad_pS112-R-V	0.328012996
Bak-R-C	-0.593529716
Bap1-c-4-M-E	-0.856756641
Bax-R-V	0.924570619
Bcl-2-M-V	0.719671967
Bcl-xL-R-V	0.254039355
Beclin-G-C	-0.444749026
beta-Catenin-R-V	-1.315143859
Bid-R-C	-0.0500655890000001
Bim-R-V	0.174256647
BRCA2-R-C	0.102649988
c-Jun_pS73-R-V	-0.307452728
c-Kit-R-V	0.479738068
c-Met-M-E	-0.650936929
c-Met_pY1235-R-V	0.136754938
c-Myc-R-C	0
C-Raf-R-V	-0.531137021
C-Raf_pS338-R-V	0.483378482
Caspase-7_cleavedD198-R-C	0.15827815
Caspase-8-M-E	-1.407498003
Caveolin-1-R-V	0.726872264
CD20-R-C	-0.5489876
CD31-M-V	-1.093547007
CD49b-M-V	0.73192184
CDK1-R-V	-0.108308314000001
Chk1-M-C	-0.122009425000001
Chk1_pS345-R-C	-0.191587731
Chk2-M-E	-0.260354784
Chk2_pT68-R-C	0.590152244
cIAP-R-V	-0.105229028
Claudin-7-R-V	1.839808735
Collagen_VI-R-V	1.406200802
Cyclin_B1-R-V	-0.380397907
Cyclin_D1-R-V	0.430136528
Cyclin_E1-M-V	0.16173775
Cyclin_E2-R-C	-0.725909916
DJ-1-R-E	0.625391849
Dvl3-R-V	-0.662691737
E-Cadherin-R-V	0.565020448
eEF2-R-C	-1.384196483
eEF2K-R-V	0.10736247
EGFR-R-V	-0.940267608
EGFR_pY1068-R-C	0.158219937
EGFR_pY1173-R-V	-0.188538267
eIF4E-R-V	0.434639253
eIF4G-R-C	-1.301803852
ER-alpha-R-V	1.340728938
ER-alpha_pS118-R-V	-0.759242289
ERCC1-M-V	-0.456741293
ERK2-R-E	-2.073805052
ETS-1-R-V	0.139044871
FASN-R-V	-0.480458969
Fibronectin-R-V	0.272865623
FoxM1-R-V	-0.194644481
FOXO3a-R-C	-0.160398827000001
FOXO3a_pS318_S321-R-C	0.083480188
G6PD-M-V	-0.352163262
GAB2-R-V	-0.444491842
GAPDH-M-C	0.146535687999999
