Sample REF	9864C71F-FFC6-4BAD-99FA-EA39BEBD99DC
Composite Element REF	Protein Expression
14-3-3_beta-R-V	0.043269685
14-3-3_epsilon-M-C	0.172192028
14-3-3_zeta-R-V	-0.174777111
4E-BP1-R-V	0.340193395
4E-BP1_pS65-R-V	-0.218580151
4E-BP1_pT37_T46-R-V	-0.418456248
4E-BP1_pT70-R-V	-0.319914911
53BP1-R-E	-0.028658073
A-Raf_pS299-R-C	0.085267012
ACC_pS79-R-V	-0.240573049
ACC1-R-E	-0.0686202810000001
Acetyl-a-Tubulin-Lys40-R-C	0.296713906
ACVRL1-R-C	0.118413429
ADAR1-M-V	0.26666097
Akt-R-V	-0.221148182
Akt_pS473-R-V	-0.229274544
Akt_pT308-R-V	-0.157974409
alpha-Catenin-M-V	0.0195418299999999
AMPK_alpha-R-C	-0.096667526
AMPK_pT172-R-V	0.216593218
Annexin-1-M-E	0.334604562
Annexin_VII-M-V	0.145994509
AR-R-V	-0.137280851
DIRAS3-M-E	-0.038941681
ASNS-R-V	0.443600993
ATM-R-E	0.236353342
B-Raf-M-C	0.070828427
Bad_pS112-R-V	-0.447561684
Bak-R-C	0.0403312580000001
Bap1-c-4-M-E	0.277718794
Bax-R-V	0.00175116299999999
Bcl-2-M-V	1.220241824
Bcl-xL-R-V	0.083544051
Beclin-G-C	0.00260791300000006
beta-Catenin-R-V	-0.136594374
Bid-R-C	-0.133024452
Bim-R-V	0.551874273
BRCA2-R-C	0.0270716879999999
c-Jun_pS73-R-V	0.0260693479999998
c-Kit-R-V	-0.208845855
c-Met-M-E	0.171583317
c-Met_pY1235-R-V	-0.033802137
c-Myc-R-C	-0.318568479
C-Raf-R-V	0.123358199
C-Raf_pS338-R-V	-0.077525617
Caspase-7_cleavedD198-R-C	0.46287356
Caspase-8-M-E	0.0246918660000002
Caveolin-1-R-V	0.595863976
CD20-R-C	-0.0456124840000001
CD31-M-V	0.30287635
CD49b-M-V	0.276240864
CDK1-R-V	0.207978289
Chk1-M-C	0.039684746
Chk1_pS345-R-C	0.00681528500000005
Chk2-M-E	0.283318802
Chk2_pT68-R-C	-0.039869739
cIAP-R-V	0.043715253
Claudin-7-R-V	0.979298403
Collagen_VI-R-V	0.016897269
Cyclin_B1-R-V	0.169213268
Cyclin_D1-R-V	-0.297837017
Cyclin_E1-M-V	0.221270433
Cyclin_E2-R-C	-0.00342084999999993
DJ-1-R-E	0.194607972
Dvl3-R-V	-0.00318575199999994
E-Cadherin-R-V	-0.369960142
eEF2-R-C	0.0571626509999999
eEF2K-R-V	-0.0206750229999999
EGFR-R-V	0.00566408500000003
EGFR_pY1068-R-C	0.09082835
EGFR_pY1173-R-V	-0.134261142
eIF4E-R-V	0.085039517
eIF4G-R-C	0.292696275
ER-alpha-R-V	-0.083682367
ER-alpha_pS118-R-V	-0.0909171959999999
ERCC1-M-V	0.191509364
ERK2-R-E	0.060028925
ETS-1-R-V	-0.067877416
FASN-R-V	-0.158477343
Fibronectin-R-V	0.0137149919999999
FoxM1-R-V	0.0302384870000001
FOXO3a-R-C	0.316860931
FOXO3a_pS318_S321-R-C	-0.150283261
G6PD-M-V	0.218098762
GAB2-R-V	-0.0543056989999999
GAPDH-M-C	0.365663618
GATA3-M-V	0.221250376
GSK3-alpha-beta-M-V	-0.028620371
GSK3-alpha-beta_pS21_S9-R-V	-0.063923409
GSK3_pS9-R-V	-0.243874751
HER2-M-V	-0.173531328
HER2_pY1248-R-C	-0.16389661
HER3-R-V	-0.0583458189999999
HER3_pY1289-R-C	-0.077910753
Heregulin-R-V	0.50303768
HSP70-R-C	-0.07839617
IGFBP2-R-V	0.0100070990000001
INPP4B-R-V	0.115131369
IRS1-R-V	-0.08128341
JNK_pT183_pY185-R-V	0.16647872
JNK2-R-C	0.147782607
Ku80-R-C	0.115613141
Lck-R-V	0.510816173
LKB1-M-E	-0.024733856
MAPK_pT202_Y204-R-V	-0.259242659
MEK1-R-V	0.20418291
MEK1_pS217_S221-R-V	-0.148857838
MIG-6-M-V	-0.08076958
Mre11-R-C	-0.011046864
MSH2-M-V	0.456581736
MSH6-R-C	0.144911935
mTOR-R-V	-0.044252999
mTOR_pS2448-R-C	-0.185828046
MYH11-R-V	-0.036573031
Myosin-IIa_pS1943-R-V	-0.180599035
N-Cadherin-R-V	-0.237034149
N-Ras-M-V	-0.013177517
NDRG1_pT346-R-V	-1.207916678
NF-kB-p65_pS536-R-C	0.107443872
NF2-R-C	0.062186606
Notch1-R-V	0.542373911
P-Cadherin-R-C	0.0198841780000001
p21-R-V	-1.306471787
p27-R-V	0.514400658
p27_pT157-R-C	0
p27_pT198-R-V	-0.00876589600000001
p38_MAPK-R-V	-0.054427282
p38_pT180_Y182-R-V	-0.180739538
p53-R-E	0.184869478
p62-LCK-ligand-M-C	0.438799027
