Sample REF	9D208C1A-C282-49B9-8271-BDDD8D5792A6
Composite Element REF	Protein Expression
14-3-3_beta-R-V	-0.225179016
14-3-3_epsilon-M-C	0.162097756
14-3-3_zeta-R-V	0.518732215
4E-BP1-R-V	0.649583673
4E-BP1_pS65-R-V	0.059816828
4E-BP1_pT37_T46-R-V	-0.162438167
4E-BP1_pT70-R-V	0.433607189
53BP1-R-E	-0.483602254
A-Raf_pS299-R-C	-0.324167234
ACC_pS79-R-V	0.110831185
ACC1-R-E	0.328235567
Acetyl-a-Tubulin-Lys40-R-C	-0.569020865
ACVRL1-R-C	0.136772486
ADAR1-M-V	-0.187034684
Akt-R-V	-0.000304214000000025
Akt_pS473-R-V	-0.791189291
Akt_pT308-R-V	-0.236900396
alpha-Catenin-M-V	0.230320742
AMPK_alpha-R-C	0.103016573
AMPK_pT172-R-V	0.31592367
Annexin-1-M-E	1.352458598
Annexin_VII-M-V	0.592271381
AR-R-V	-0.385856055
DIRAS3-M-E	0.0736350699999999
ASNS-R-V	-0.00260173399999997
ATM-R-E	-0.342200348
B-Raf-M-C	-0.121237773
Bad_pS112-R-V	0.028169809
Bak-R-C	-0.129964022
Bap1-c-4-M-E	-0.185744568
Bax-R-V	0.238994079
Bcl-2-M-V	0.372630367
Bcl-xL-R-V	0
Beclin-G-C	-0.75542864
beta-Catenin-R-V	0.363349487
Bid-R-C	0.043034842
Bim-R-V	0.547291405
BRCA2-R-C	-0.660145498
c-Jun_pS73-R-V	-0.415440817
c-Kit-R-V	-0.0378067900000001
c-Met-M-E	0.241007791
c-Met_pY1235-R-V	-0.194805943
c-Myc-R-C	0.451613906
C-Raf-R-V	0.065460053
C-Raf_pS338-R-V	-0.134012083
Caspase-7_cleavedD198-R-C	0.634641573
Caspase-8-M-E	0.573387304
Caveolin-1-R-V	-0.137606458
CD20-R-C	-0.487770123
CD31-M-V	-0.855950181
CD49b-M-V	0.527878914
CDK1-R-V	-0.216615828
Chk1-M-C	-0.227037094
Chk1_pS345-R-C	-0.165564758
Chk2-M-E	0.00386595299999981
Chk2_pT68-R-C	0.0229117910000001
cIAP-R-V	-0.369360683
Claudin-7-R-V	2.164450572
Collagen_VI-R-V	0.777798772
Cyclin_B1-R-V	0.582490167
Cyclin_D1-R-V	-0.372775695
Cyclin_E1-M-V	0.710241017
Cyclin_E2-R-C	-0.0394957009999999
DJ-1-R-E	-0.0370226029999998
Dvl3-R-V	0.322638989
E-Cadherin-R-V	1.17687114
eEF2-R-C	0.360039288
eEF2K-R-V	0.933053028
EGFR-R-V	0.536211194
EGFR_pY1068-R-C	0.130692094
EGFR_pY1173-R-V	0.0263669580000001
eIF4E-R-V	0.403103658
eIF4G-R-C	0.686584728
ER-alpha-R-V	-0.212530984
ER-alpha_pS118-R-V	-0.428331261
ERCC1-M-V	0.153545359
ERK2-R-E	0.559417424
ETS-1-R-V	-0.261019196
FASN-R-V	-0.643032998
Fibronectin-R-V	-0.53089958
FoxM1-R-V	-0.762894869
FOXO3a-R-C	-0.187537673
FOXO3a_pS318_S321-R-C	0.115075268
G6PD-M-V	0.430764953
GAB2-R-V	0.082460966
GAPDH-M-C	0.588537965
GATA3-M-V	-0.225859308
GSK3-alpha-beta-M-V	0.436123305
GSK3-alpha-beta_pS21_S9-R-V	-0.50094624
GSK3_pS9-R-V	-0.487235356
HER2-M-V	1.079551983
HER2_pY1248-R-C	0.793119515
HER3-R-V	0.543920868
HER3_pY1289-R-C	0.139002131
Heregulin-R-V	-0.113419904
HSP70-R-C	-0.340499193
IGFBP2-R-V	0.523415815
INPP4B-R-V	0.387175186
IRS1-R-V	-0.231184643
JNK_pT183_pY185-R-V	-0.162380969
JNK2-R-C	0.111087074
Ku80-R-C	0.242387044
Lck-R-V	0.75313302
LKB1-M-E	-0.096396221
MAPK_pT202_Y204-R-V	-0.912624033
MEK1-R-V	0.150702723
MEK1_pS217_S221-R-V	-0.210789071
MIG-6-M-V	-0.119726505
Mre11-R-C	-0.0247593420000001
MSH2-M-V	-0.110598247
MSH6-R-C	-0.235039948
mTOR-R-V	-0.495945019
mTOR_pS2448-R-C	-0.740937101
MYH11-R-V	2.047598049
Myosin-IIa_pS1943-R-V	-0.0894438479999999
N-Cadherin-R-V	-0.820845477
N-Ras-M-V	-0.446969177
NDRG1_pT346-R-V	2.287595835
NF-kB-p65_pS536-R-C	0.135320644
NF2-R-C	0.256962762
Notch1-R-V	0.402692065
P-Cadherin-R-C	0.155896991
p21-R-V	-0.912584181
p27-R-V	0.468737179
p27_pT157-R-C	-0.048299906
p27_pT198-R-V	0.093967196
p38_MAPK-R-V	0.551927497
p38_pT180_Y182-R-V	-0.488573019
p53-R-E	-0.632248364
p62-LCK-ligand-M-C	0.0582460020000002
p70S6K-R-V	0.8502712
p70S6K_pT389-R-V	-0.333691227
p90RSK-R-C	-0.347438681
p90RSK_pT359_S363-R-C	-0.303454927
PAI-1-M-E	-0.357029678
