Sample REF	9D9F055F-E99A-472E-8A9A-660B8BA451D5
Composite Element REF	Protein Expression
14-3-3_beta-R-V	0.194456489
14-3-3_epsilon-M-C	-0.133384304
14-3-3_zeta-R-V	-0.384160856
4E-BP1-R-V	-0.638917951
4E-BP1_pS65-R-V	0.138823133
4E-BP1_pT37_T46-R-V	-0.400057599
4E-BP1_pT70-R-V	-0.14733355
53BP1-R-E	-0.403150902
A-Raf_pS299-R-C	-0.0546069
ACC_pS79-R-V	-0.277850078
ACC1-R-E	-0.853879043
Acetyl-a-Tubulin-Lys40-R-C	0.250902214
ACVRL1-R-C	0.494150993
ADAR1-M-V	-0.072841481
Akt-R-V	0.284943904
Akt_pS473-R-V	-0.401580152
Akt_pT308-R-V	-0.168049664
alpha-Catenin-M-V	-0.146243449
AMPK_alpha-R-C	-0.011457754
AMPK_pT172-R-V	-0.096006035
Annexin-1-M-E	-0.193963187
Annexin_VII-M-V	0.0670500649999999
AR-R-V	0.0939842339999999
DIRAS3-M-E	0.0893006139999999
ASNS-R-V	-0.278444283
ATM-R-E	0.119203624
B-Raf-M-C	-0.108894142
Bad_pS112-R-V	-0.307000456
Bak-R-C	0.027324508
Bap1-c-4-M-E	-0.471842104
Bax-R-V	-0.290136407
Bcl-2-M-V	0.233572551
Bcl-xL-R-V	-0.119221761
Beclin-G-C	0.0946187730000001
beta-Catenin-R-V	-0.700649028
Bid-R-C	0.202013956
Bim-R-V	-0.593679224
BRCA2-R-C	0.217340832
c-Jun_pS73-R-V	-0.229494708
c-Kit-R-V	0.63766385
c-Met-M-E	0.181216607
c-Met_pY1235-R-V	0.230895372
c-Myc-R-C	0.584240844
C-Raf-R-V	0.134645411
C-Raf_pS338-R-V	0.301946253
Caspase-7_cleavedD198-R-C	-0.523980531
Caspase-8-M-E	0.26532185
Caveolin-1-R-V	1.780604698
CD20-R-C	0.137769116
CD31-M-V	0.225468985
CD49b-M-V	-0.00321898600000003
CDK1-R-V	-0.00290060099999989
Chk1-M-C	-0.1730423
Chk1_pS345-R-C	-0.294398398
Chk2-M-E	-0.343506823
Chk2_pT68-R-C	0.088284888
cIAP-R-V	0.02695013
Claudin-7-R-V	-1.343193292
Collagen_VI-R-V	0.314522519
Cyclin_B1-R-V	-0.626741545
Cyclin_D1-R-V	0.51049504
Cyclin_E1-M-V	-0.760682555
Cyclin_E2-R-C	-0.187951017
DJ-1-R-E	0.034329062
Dvl3-R-V	-0.079668277
E-Cadherin-R-V	-2.006691484
eEF2-R-C	-0.143036876
eEF2K-R-V	-0.820435436
EGFR-R-V	-0.293604279
EGFR_pY1068-R-C	-0.3074322
EGFR_pY1173-R-V	0.181599758
eIF4E-R-V	-0.368506897
eIF4G-R-C	-0.569148472
ER-alpha-R-V	0.316421812
ER-alpha_pS118-R-V	-0.205741368
ERCC1-M-V	-0.210481966
ERK2-R-E	0.0959114389999999
ETS-1-R-V	0.126794545
FASN-R-V	-1.163484579
Fibronectin-R-V	0.384540356
FoxM1-R-V	0.455970741
FOXO3a-R-C	0.13061937
FOXO3a_pS318_S321-R-C	0.11006991
G6PD-M-V	-0.199179081
GAB2-R-V	0.648237277
GAPDH-M-C	-0.088305415
GATA3-M-V	0.354915289
GSK3-alpha-beta-M-V	-0.102464795
GSK3-alpha-beta_pS21_S9-R-V	0.052550906
GSK3_pS9-R-V	-0.02071866
HER2-M-V	-0.530942869
HER2_pY1248-R-C	0.01370087
HER3-R-V	-0.383279599
HER3_pY1289-R-C	0.063211791
Heregulin-R-V	-0.0168593000000001
HSP70-R-C	0.571923083
IGFBP2-R-V	-0.212653389
INPP4B-R-V	0.0685182390000003
IRS1-R-V	0.094934855
JNK_pT183_pY185-R-V	0.0425066490000001
JNK2-R-C	0.166951381
Ku80-R-C	-0.201002697
Lck-R-V	0.480255361
LKB1-M-E	0.203302779
MAPK_pT202_Y204-R-V	0.379032883
MEK1-R-V	0.385621613
MEK1_pS217_S221-R-V	0.199608279
MIG-6-M-V	0.111834063
Mre11-R-C	0.29917882
MSH2-M-V	-0.380898167
MSH6-R-C	-0.667094604
mTOR-R-V	-0.166026429
mTOR_pS2448-R-C	-0.112228687
MYH11-R-V	2.521253141
Myosin-IIa_pS1943-R-V	-0.25624317
N-Cadherin-R-V	0.248729028
N-Ras-M-V	0.035327235
NDRG1_pT346-R-V	-1.019536975
NF-kB-p65_pS536-R-C	0.552947507
NF2-R-C	-0.190059443
Notch1-R-V	-0.0638427830000001
P-Cadherin-R-C	0.0014676859999998
p21-R-V	0.835061617
p27-R-V	0.205470815
p27_pT157-R-C	0.015646942
p27_pT198-R-V	-0.056834975
p38_MAPK-R-V	0.203032139
p38_pT180_Y182-R-V	0.113535512
p53-R-E	0.0680258680000003
p62-LCK-ligand-M-C	-0.272629013
p70S6K-R-V	-0.164857765
p70S6K_pT389-R-V	0.147405419
p90RSK-R-C	-0.123483354
p90RSK_pT359_S363-R-C	-0.11367562
PAI-1-M-E	0.896188496
PARP_cleaved-M-E	-0.205100217
Paxillin-R-C	0.569698136
PCNA-M-C	-0.346442125
PDCD4-R-C	-0.218624225
PDK1-R-V	-0.0290570960000001
PDK1_pS241-R-V	-0.0813037540000001
PEA15-R-V	0.101729201
PEA15_pS116-R-V	0.171042536
PI3K-p110-alpha-R-C	-0.0856908020000001
PI3K-p85-R-V	0.30718538
PKC-alpha-M-V	0.661204271
PKC-alpha_pS657-R-C	1.000761941
PKC-delta_pS664-R-V	0.204006468
PKC-pan_BetaII_pS660-R-V	0.35831519
PR-R-V	0.34413949
PRAS40_pT246-R-V	-0.236743109
PRDX1-R-V	-0.542066931
PREX1-R-E	0.39059904
PTEN-R-V	0.149562644
Rab11-R-E	0.078718651
Rab25-R-V	-0.684828467
Rad50-M-V	0.193610243
Rad51-R-V	0.530697489
Raptor-R-V	0.200094286
Rb-M-E	0.383769092
Rb_pS807_S811-R-V	-0.638855083
RBM15-R-V	-0.563435473
Rictor-R-C	2.58279259
Rictor_pT1135-R-V	0.566041227
S6-R-E	-1.583369183
S6_pS235_S236-R-V	-1.695582989
S6_pS240_S244-R-V	-1.194836389
SCD-M-V	0.0617042409999999
SETD2-R-E	0.0583271080000001
SF2-M-V	0.176089545
Shc_pY317-R-E	-0.1679812
Smac-M-E	-0.336377521
Smad1-R-V	-0.0589860540000001
Smad3-R-V	0.066396583
Smad4-M-V	-0.092608714
Snail-M-E	-0.295616826999999
Src-M-V	-0.446291263
Src_pY416-R-C	0.650147506
Src_pY527-R-V	0.484474036
STAT3_pY705-R-V	0.760439517
STAT5-alpha-R-V	0.411699887
Stathmin-R-V	0.169213345
Syk-M-V	-0.080772396
TAZ-R-V	0.248627982
TIGAR-R-V	-0.0156275330000001
Transglutaminase-M-V	0.28928912
TFRC-R-V	-0.701714322
TSC1-R-C	0.167005748
TTF1-R-V	0
Tuberin-R-E	-0.0399486550000001
Tuberin_pT1462-R-V	0.11607286
VEGFR2-R-V	0.167922742
EPPK1-M-E	-0.819814384
XBP1-G-C	0.263704428
XRCC1-R-E	-0.591635233
YAP-R-E	0.14550804
YAP_pS127-R-E	0.35877408
YB-1-R-V	-0.106637856
YB-1_pS102-R-V	-0.084915069
JAB1-M-C	-0.0531023450000001
PARP1-R-V	-0.654924805
A-Raf-R-V	-0.128806281
ARID1A-R-C	-0.228508939
B-Raf_pS445-R-V	-0.239583606
Bcl2A1-R-V	0.210143979
BRD4-R-V	-0.479492866
c-Abl-R-V	0.26761433
Caspase-3-R-C	-0.169063374
CD26-R-V	0.249603441
Chk1_pS296-R-V	0.203409988
COG3-R-V	-0.389528059
DUSP4-R-V	-0.310986325
ERCC5-R-C	0.208386887
IGF1R_pY1135_Y1136-R-V	0.368493598
IRF-1-R-C	-0.101020146
Jak2-R-V	-0.03175385
p16_INK4a-R-V	-1.130797685
SHP-2_pY542-R-C	0.720549887
CDK1_pY15-R-C	-0.241260361
