Sample REF	9F4623A9-D7C2-4EB5-8CA9-6F0C67828AEB
Composite Element REF	Protein Expression
14-3-3_beta-R-V	-0.0961422259999999
14-3-3_epsilon-M-C	0.0479013300000001
14-3-3_zeta-R-V	0.169819278
4E-BP1-R-V	-0.075831038
4E-BP1_pS65-R-V	0.038788279
4E-BP1_pT37_T46-R-V	-1.127755122
4E-BP1_pT70-R-V	-0.198689621
53BP1-R-E	-0.092354134
A-Raf_pS299-R-C	-0.103611109
ACC_pS79-R-V	-0.150848043
ACC1-R-E	0.801888606
Acetyl-a-Tubulin-Lys40-R-C	0.468689555
ACVRL1-R-C	0.153868743
ADAR1-M-V	0.187380285
Akt-R-V	-0.176032107
Akt_pS473-R-V	-0.799218213
Akt_pT308-R-V	-0.574302858
alpha-Catenin-M-V	0.0858580139999999
AMPK_alpha-R-C	-0.129924688
AMPK_pT172-R-V	0.217930981
Annexin-1-M-E	-0.202044464
Annexin_VII-M-V	-0.104577321
AR-R-V	-0.103334179
DIRAS3-M-E	-0.00065620700000002
ASNS-R-V	0.186588465
ATM-R-E	0.263007247
B-Raf-M-C	0.199659994
Bad_pS112-R-V	-0.347528621
Bak-R-C	0.419541857
Bap1-c-4-M-E	-0.00651497400000001
Bax-R-V	0.1499096
Bcl-2-M-V	-0.134455847
Bcl-xL-R-V	0.0877487280000001
Beclin-G-C	0.0489920229999999
beta-Catenin-R-V	0.267665405
Bid-R-C	-0.056082167
Bim-R-V	0.892712736
BRCA2-R-C	0.0372015
c-Jun_pS73-R-V	-0.27874915
c-Kit-R-V	-0.161194008
c-Met-M-E	0.026413887
c-Met_pY1235-R-V	0.049940102
c-Myc-R-C	-0.0331729789999999
C-Raf-R-V	0.106435106
C-Raf_pS338-R-V	-0.012028284
Caspase-7_cleavedD198-R-C	1.392241949
Caspase-8-M-E	-0.0891465859999999
Caveolin-1-R-V	1.024390498
CD20-R-C	-0.014847778
CD31-M-V	0.030948235
CD49b-M-V	0.601703065
CDK1-R-V	0.0277161499999999
Chk1-M-C	0.259657506
Chk1_pS345-R-C	-0.258487568
Chk2-M-E	-0.103562821
Chk2_pT68-R-C	-0.00759749999999998
cIAP-R-V	0.0421235190000001
Claudin-7-R-V	0.109320594
Collagen_VI-R-V	-0.365838529
Cyclin_B1-R-V	0.58641219
Cyclin_D1-R-V	-0.173349294
Cyclin_E1-M-V	-0.464730943
Cyclin_E2-R-C	0.053661898
DJ-1-R-E	0.013919486
Dvl3-R-V	-0.056932513
E-Cadherin-R-V	0.251334865
eEF2-R-C	-0.039604613
eEF2K-R-V	0.143095007
EGFR-R-V	0.529988947
EGFR_pY1068-R-C	-0.00301372499999963
EGFR_pY1173-R-V	0.00872403399999999
eIF4E-R-V	-0.119488851
eIF4G-R-C	0.380788933
ER-alpha-R-V	-0.473081916
ER-alpha_pS118-R-V	-0.069406285
ERCC1-M-V	0.153666494
ERK2-R-E	-0.181944712
ETS-1-R-V	-0.026620622
FASN-R-V	0.365938945
Fibronectin-R-V	-0.228141773
FoxM1-R-V	-0.259112016
FOXO3a-R-C	-0.0237397770000002
FOXO3a_pS318_S321-R-C	-0.149635781
G6PD-M-V	0.320898058
GAB2-R-V	0.256051164
GAPDH-M-C	-0.27972856
GATA3-M-V	0.52663552
GSK3-alpha-beta-M-V	0.0845984049999999
GSK3-alpha-beta_pS21_S9-R-V	-0.587284119
GSK3_pS9-R-V	-0.983533674
HER2-M-V	-0.042301363
HER2_pY1248-R-C	-0.063251364
HER3-R-V	0.571920102
HER3_pY1289-R-C	0.229598854
Heregulin-R-V	0.375421433
HSP70-R-C	0.241347715
IGFBP2-R-V	-0.766552052
INPP4B-R-V	-0.206630254
IRS1-R-V	0.165148689
JNK_pT183_pY185-R-V	-0.155600791
JNK2-R-C	0.074254602
Ku80-R-C	-0.103493764
Lck-R-V	0.270939307
LKB1-M-E	0.057478033
MAPK_pT202_Y204-R-V	-0.647404666
MEK1-R-V	0.523507965
MEK1_pS217_S221-R-V	-0.138981284
MIG-6-M-V	0.079624847
Mre11-R-C	0.000723734000000031
MSH2-M-V	0.0566019099999996
MSH6-R-C	-0.120060846
mTOR-R-V	0.134445035
mTOR_pS2448-R-C	-0.0805530679999998
MYH11-R-V	-0.11935101
Myosin-IIa_pS1943-R-V	0.026066458
N-Cadherin-R-V	-0.158312699
N-Ras-M-V	0.020037829
NDRG1_pT346-R-V	-1.900123701
NF-kB-p65_pS536-R-C	-0.497009826
NF2-R-C	0.324434365
Notch1-R-V	0.583464726
P-Cadherin-R-C	0.153145745
p21-R-V	-1.559607496
p27-R-V	-0.316479603
p27_pT157-R-C	-0.00678042299999998
p27_pT198-R-V	-0.008360706
p38_MAPK-R-V	0.109819228
p38_pT180_Y182-R-V	-0.982975613
p53-R-E	-0.0623601639999997
p62-LCK-ligand-M-C	0.247582464
p70S6K-R-V	0.145311361
p70S6K_pT389-R-V	-0.252162232
p90RSK-R-C	0.048949119
p90RSK_pT359_S363-R-C	-0.304218843
PAI-1-M-E	0.358651567
PARP_cleaved-M-E	0.0680716499999999
Paxillin-R-C	-0.20979842
PCNA-M-C	0.524395534
PDCD4-R-C	-1.165538227
PDK1-R-V	0.042518243
PDK1_pS241-R-V	0.010541901
PEA15-R-V	0.078325263
PEA15_pS116-R-V	-0.064942197
PI3K-p110-alpha-R-C	-0.183064753
PI3K-p85-R-V	0.07231069
PKC-alpha-M-V	0.0680462780000001
PKC-alpha_pS657-R-C	-0.029687648
PKC-delta_pS664-R-V	-0.265072096
PKC-pan_BetaII_pS660-R-V	-0.676247393
PR-R-V	0.0083366800000001
PRAS40_pT246-R-V	-0.325709545
PRDX1-R-V	0.223990682
PREX1-R-E	0.136186177
PTEN-R-V	-0.279063238
Rab11-R-E	0.063480934
Rab25-R-V	0.602457747
Rad50-M-V	-0.0447214149999999
Rad51-R-V	-0.077209269
Raptor-R-V	-0.146080594
Rb-M-E	-0.00436620600000004
Rb_pS807_S811-R-V	-0.363684704
RBM15-R-V	-0.22364619
Rictor-R-C	-0.478588059
Rictor_pT1135-R-V	-0.154725182
S6-R-E	0.191097492
S6_pS235_S236-R-V	-0.495898889
S6_pS240_S244-R-V	-0.098311138
SCD-M-V	-0.174689236
SETD2-R-E	-0.075578936
SF2-M-V	-0.293454187
Shc_pY317-R-E	-0.091204314
Smac-M-E	0.116642269
Smad1-R-V	0.176345015
Smad3-R-V	-0.046138742
Smad4-M-V	0.0659046519999998
Snail-M-E	0.183579621
Src-M-V	0.073834704
Src_pY416-R-C	-0.710282612
Src_pY527-R-V	-1.456743141
STAT3_pY705-R-V	-0.265784411
STAT5-alpha-R-V	0.325427773
Stathmin-R-V	0.070071996
Syk-M-V	-0.029025224
TAZ-R-V	0.071843562
TIGAR-R-V	0
Transglutaminase-M-V	0.020702894
TFRC-R-V	-0.020887065
TSC1-R-C	0.051605353
TTF1-R-V	0.0352884560000001
Tuberin-R-E	-0.123936562
Tuberin_pT1462-R-V	-0.159425573
VEGFR2-R-V	0.58937465
EPPK1-M-E	1.175000846
XBP1-G-C	-0.090849501
XRCC1-R-E	-0.0257459729999999
YAP-R-E	0.045729805
YAP_pS127-R-E	-0.420893434
YB-1-R-V	-0.010433185
YB-1_pS102-R-V	0.043826552
JAB1-M-C	-0.0227404409999999
PARP1-R-V	0.423318833
A-Raf-R-V	0.395225892
ARID1A-R-C	0.025390337
B-Raf_pS445-R-V	0.098305505
Bcl2A1-R-V	-0.118350924
BRD4-R-V	0.111609629
c-Abl-R-V	0.105129351
Caspase-3-R-C	0.178201097
CD26-R-V	-0.005844972
Chk1_pS296-R-V	-0.00122411699999997
COG3-R-V	0.039628302
DUSP4-R-V	0.0490967589999999
ERCC5-R-C	0.110302646
IGF1R_pY1135_Y1136-R-V	0.0508761200000001
IRF-1-R-C	0.03616566
Jak2-R-V	0.218577961
p16_INK4a-R-V	0.293310549
SHP-2_pY542-R-C	-0.136349382
CDK1_pY15-R-C	-0.268227368
