Sample REF	A0036B29-51AD-4A3B-A405-7929D1A483E1
Composite Element REF	Protein Expression
14-3-3_beta-R-V	-0.071332995
14-3-3_epsilon-M-C	-0.202582996
14-3-3_zeta-R-V	-0.482071093
4E-BP1-R-V	0.050941051
4E-BP1_pS65-R-V	0.00480227500000002
4E-BP1_pT37_T46-R-V	0.632112813
4E-BP1_pT70-R-V	-0.050955674
53BP1-R-E	0.463165621
A-Raf_pS299-R-C	0.049425043
ACC_pS79-R-V	0.208535371
ACC1-R-E	-0.310245131
Acetyl-a-Tubulin-Lys40-R-C	-0.356541083
ACVRL1-R-C	-0.156880216
ADAR1-M-V	-0.0518699759999999
Akt-R-V	0.00480227500000002
Akt_pS473-R-V	0.695610075
Akt_pT308-R-V	0.367110122
alpha-Catenin-M-V	-0.0518512600000001
AMPK_alpha-R-C	0.138393713
AMPK_pT172-R-V	0.287189919
Annexin-1-M-E	-0.753198533
Annexin_VII-M-V	-0.230141964
AR-R-V	-0.024029932
DIRAS3-M-E	0
ASNS-R-V	0.605874408
ATM-R-E	0.236881279
B-Raf-M-C	-0.17425087
Bad_pS112-R-V	-0.072843924
Bak-R-C	0.166278319
Bap1-c-4-M-E	0.212381831
Bax-R-V	-0.276338204
Bcl-2-M-V	-0.288006041
Bcl-xL-R-V	-0.182073044
Beclin-G-C	0.150339766
beta-Catenin-R-V	0.00794430700000009
Bid-R-C	-0.038643207
Bim-R-V	-0.229228763
BRCA2-R-C	-0.00152243000000013
c-Jun_pS73-R-V	0.547432961
c-Kit-R-V	-0.126459845
c-Met-M-E	0.142573283
c-Met_pY1235-R-V	-0.00488006600000007
c-Myc-R-C	0.28471764
C-Raf-R-V	-0.042840436
C-Raf_pS338-R-V	0.147479914
Caspase-7_cleavedD198-R-C	-1.066373267
Caspase-8-M-E	0.109267695
Caveolin-1-R-V	0.728408171
CD20-R-C	-0.00936989199999988
CD31-M-V	0.297568842
CD49b-M-V	-0.388249784
CDK1-R-V	-0.00957037400000021
Chk1-M-C	0.0625477569999996
Chk1_pS345-R-C	-0.0732378080000001
Chk2-M-E	-0.162684805
Chk2_pT68-R-C	-0.00425158499999995
cIAP-R-V	-0.08835833
Claudin-7-R-V	0.804846359
Collagen_VI-R-V	-0.144255275
Cyclin_B1-R-V	0.00480227500000002
Cyclin_D1-R-V	-0.067928207
Cyclin_E1-M-V	-0.213361646
Cyclin_E2-R-C	-0.066405569
DJ-1-R-E	-0.214790807
Dvl3-R-V	-0.072518578
E-Cadherin-R-V	-0.157933271
eEF2-R-C	-0.22387633
eEF2K-R-V	0.017895479
EGFR-R-V	-0.365769754
EGFR_pY1068-R-C	0.0195094590000002
EGFR_pY1173-R-V	0.00480227500000002
eIF4E-R-V	0.00513332500000002
eIF4G-R-C	0.175961508
ER-alpha-R-V	1.174845521
ER-alpha_pS118-R-V	0.114892212
ERCC1-M-V	0.130088768
ERK2-R-E	-0.160042736
ETS-1-R-V	-0.091400772
FASN-R-V	-0.0375992349999999
Fibronectin-R-V	0.515032171
FoxM1-R-V	0.18540978
FOXO3a-R-C	0.03213623
FOXO3a_pS318_S321-R-C	-0.019851159
G6PD-M-V	-0.410122241
GAB2-R-V	0.775464861
GAPDH-M-C	-0.217349809
GATA3-M-V	-0.160558639
GSK3-alpha-beta-M-V	-0.105537284
GSK3-alpha-beta_pS21_S9-R-V	0.173234945
GSK3_pS9-R-V	0.545023293
HER2-M-V	-0.218106453
HER2_pY1248-R-C	0.0390744650000001
HER3-R-V	0.483820555
HER3_pY1289-R-C	-0.084662372
Heregulin-R-V	-0.112472522
HSP70-R-C	-0.297980119
IGFBP2-R-V	1.34577633
INPP4B-R-V	0.00347574500000042
IRS1-R-V	0.0975601270000001
JNK_pT183_pY185-R-V	0.309453713
JNK2-R-C	-0.0354927669999999
Ku80-R-C	0.051808278
Lck-R-V	-0.126517167
LKB1-M-E	-0.0559609659999999
MAPK_pT202_Y204-R-V	1.106690783
MEK1-R-V	-0.144646355
MEK1_pS217_S221-R-V	0.253328365
MIG-6-M-V	0.626542544
Mre11-R-C	-0.02728571
MSH2-M-V	0.0355161369999998
MSH6-R-C	0.069361675
mTOR-R-V	-0.217881365
mTOR_pS2448-R-C	0.0721573110000002
MYH11-R-V	1.958107959
Myosin-IIa_pS1943-R-V	0.109766266
N-Cadherin-R-V	0.032907501
N-Ras-M-V	-0.08750185
NDRG1_pT346-R-V	-2.479360756
NF-kB-p65_pS536-R-C	0.157991217
NF2-R-C	-0.086643989
Notch1-R-V	-0.155057698
P-Cadherin-R-C	-0.0953520990000001
p21-R-V	0.378420145
p27-R-V	-0.192734601
p27_pT157-R-C	-0.074064165
p27_pT198-R-V	-0.068373055
p38_MAPK-R-V	-0.229583557
p38_pT180_Y182-R-V	0.14793449
p53-R-E	-0.157255273
p62-LCK-ligand-M-C	0.246134527
p70S6K-R-V	-0.033484518
p70S6K_pT389-R-V	0.271130054
p90RSK-R-C	-0.299004386
p90RSK_pT359_S363-R-C	0.073270417
PAI-1-M-E	-0.465387205
PARP_cleaved-M-E	0.0184827549999999
Paxillin-R-C	0.67396353
PCNA-M-C	-0.115348938
PDCD4-R-C	0.813603377
PDK1-R-V	-0.155216619
PDK1_pS241-R-V	-0.265927251
PEA15-R-V	-0.226869539
PEA15_pS116-R-V	-0.063153742
PI3K-p110-alpha-R-C	-0.0850190809999999
PI3K-p85-R-V	-0.257313111
PKC-alpha-M-V	0.353148717
PKC-alpha_pS657-R-C	0.65247068
PKC-delta_pS664-R-V	0.14167071
PKC-pan_BetaII_pS660-R-V	0.651666112
PR-R-V	-0.0139216569999999
PRAS40_pT246-R-V	0.269716164
PRDX1-R-V	-0.507773271
PREX1-R-E	-0.336859144
PTEN-R-V	0.707240559
Rab11-R-E	-0.185688388
Rab25-R-V	-0.0740968150000001
Rad50-M-V	0.0118813130000001
Rad51-R-V	-0.00565884900000008
Raptor-R-V	0.202463617
Rb-M-E	0.10742571
Rb_pS807_S811-R-V	0.651887053
RBM15-R-V	0.13283424
Rictor-R-C	0.648530773
Rictor_pT1135-R-V	0.112249936
S6-R-E	0.029936959
S6_pS235_S236-R-V	0.841720965
S6_pS240_S244-R-V	0.505193943
SCD-M-V	0.052191724
SETD2-R-E	-0.0418891599999998
SF2-M-V	0.113119983
Shc_pY317-R-E	0.0322601369999999
Smac-M-E	0.046926927
Smad1-R-V	0.185104144
Smad3-R-V	-0.066566897
Smad4-M-V	0.0502294599999999
Snail-M-E	0.00795019200000019
Src-M-V	0.194279
Src_pY416-R-C	-0.19103369
Src_pY527-R-V	0.983224503
STAT3_pY705-R-V	0.220355306
STAT5-alpha-R-V	0.15096311
Stathmin-R-V	-0.149256807
Syk-M-V	-0.394095702
TAZ-R-V	0.069102496
TIGAR-R-V	0.388111764
Transglutaminase-M-V	-0.26661529
TFRC-R-V	-0.104782565
TSC1-R-C	-0.041948081
TTF1-R-V	-0.046187252
Tuberin-R-E	-0.00217790600000001
Tuberin_pT1462-R-V	0.118711719
VEGFR2-R-V	0.033786722
EPPK1-M-E	-0.655156128
XBP1-G-C	-0.0901720040000001
XRCC1-R-E	0.041718041
YAP-R-E	-0.129635069
YAP_pS127-R-E	0.00480227500000002
YB-1-R-V	0.169223345
YB-1_pS102-R-V	0.038305228
JAB1-M-C	-0.109582625
PARP1-R-V	-0.107115635
A-Raf-R-V	0.056057397
ARID1A-R-C	-0.227032495
B-Raf_pS445-R-V	-0.305523747
Bcl2A1-R-V	-0.096683372
BRD4-R-V	-0.160156966
c-Abl-R-V	-0.110098837
Caspase-3-R-C	-0.116899731
CD26-R-V	0.0565455329999999
Chk1_pS296-R-V	-0.098298206
COG3-R-V	0.362101205
DUSP4-R-V	0.531275714
ERCC5-R-C	0.3219409
IGF1R_pY1135_Y1136-R-V	0.00717629100000011
IRF-1-R-C	-0.256579063
Jak2-R-V	-0.136500777
p16_INK4a-R-V	-0.030978533
SHP-2_pY542-R-C	0.637051451
CDK1_pY15-R-C	0.663937615
