Sample REF	A1308ED2-5DA8-4E39-A1D4-6290246973ED
Composite Element REF	Protein Expression
14-3-3_beta-R-V	0.313099183
14-3-3_epsilon-M-C	0.028091075
14-3-3_zeta-R-V	-0.046130322
4E-BP1-R-V	-0.164941318
4E-BP1_pS65-R-V	-0.169412637
4E-BP1_pT37_T46-R-V	-1.278813596
4E-BP1_pT70-R-V	-0.327601157
53BP1-R-E	-0.335984372
A-Raf_pS299-R-C	0.037709766
ACC_pS79-R-V	-0.100657395
ACC1-R-E	-0.162191641
Acetyl-a-Tubulin-Lys40-R-C	0.140473749
ACVRL1-R-C	0.171301048
ADAR1-M-V	-0.0263211469999999
Akt-R-V	0.093396817
Akt_pS473-R-V	-0.590372072
Akt_pT308-R-V	-0.207419098
alpha-Catenin-M-V	-0.00288692299999982
AMPK_alpha-R-C	0.112765279
AMPK_pT172-R-V	0.369773812
Annexin-1-M-E	0.429866074
Annexin_VII-M-V	-0.0271513410000001
AR-R-V	-0.129405154
DIRAS3-M-E	0.113468595
ASNS-R-V	0.478618426
ATM-R-E	-0.121754925
B-Raf-M-C	-0.262704108
Bad_pS112-R-V	-0.427670761
Bak-R-C	-0.0206138459999999
Bap1-c-4-M-E	-0.407054007
Bax-R-V	0.111392705
Bcl-2-M-V	-0.15655663
Bcl-xL-R-V	0.424200335
Beclin-G-C	-0.0184781829999999
beta-Catenin-R-V	-0.184210748
Bid-R-C	0.109779367
Bim-R-V	-0.308254785
BRCA2-R-C	0.388737907
c-Jun_pS73-R-V	-0.126641525
c-Kit-R-V	-0.0356275090000001
c-Met-M-E	0.311091545
c-Met_pY1235-R-V	0.0517846089999999
c-Myc-R-C	0.523275929
C-Raf-R-V	-0.069889118
C-Raf_pS338-R-V	0.115454761
Caspase-7_cleavedD198-R-C	0.566055994
Caspase-8-M-E	-0.0900159549999998
Caveolin-1-R-V	2.116393865
CD20-R-C	0.018123086
CD31-M-V	0.13198821
CD49b-M-V	0.890923497
CDK1-R-V	0.0758103779999998
Chk1-M-C	-0.142763837
Chk1_pS345-R-C	-0.102849286
Chk2-M-E	-0.0173328240000002
Chk2_pT68-R-C	0.115332541
cIAP-R-V	0.359395934
Claudin-7-R-V	0.115246905
Collagen_VI-R-V	0.291454686
Cyclin_B1-R-V	-0.126505174
Cyclin_D1-R-V	0.185244226
Cyclin_E1-M-V	-0.0838208500000001
Cyclin_E2-R-C	-0.253362765
DJ-1-R-E	0.028731859
Dvl3-R-V	0.335235481
E-Cadherin-R-V	-0.415725411
eEF2-R-C	0.283339812
eEF2K-R-V	-1.029152608
EGFR-R-V	0.663985941
EGFR_pY1068-R-C	0.379147835
EGFR_pY1173-R-V	0.045840206
eIF4E-R-V	-0.32790819
eIF4G-R-C	-0.176263648
ER-alpha-R-V	-0.625233275
ER-alpha_pS118-R-V	-0.188846348
ERCC1-M-V	0.116777904
ERK2-R-E	0.191927074
ETS-1-R-V	0.203416117
FASN-R-V	-0.477691817
Fibronectin-R-V	-0.207225653
FoxM1-R-V	-0.0587587209999999
FOXO3a-R-C	0.188580693
FOXO3a_pS318_S321-R-C	0.151310665
G6PD-M-V	1.653121454
GAB2-R-V	-0.172138469
GAPDH-M-C	0.221904198
GATA3-M-V	1.117052872
GSK3-alpha-beta-M-V	0.188315246
GSK3-alpha-beta_pS21_S9-R-V	-0.580712632
GSK3_pS9-R-V	-0.86728169
HER2-M-V	-0.847401671
HER2_pY1248-R-C	-0.0364584649999999
HER3-R-V	-0.284494703
HER3_pY1289-R-C	0.371938962
Heregulin-R-V	0.403794219
HSP70-R-C	0.159164355
IGFBP2-R-V	-0.683596581
INPP4B-R-V	0.27425168
IRS1-R-V	0.231094323
JNK_pT183_pY185-R-V	0.0800018540000001
JNK2-R-C	0.036880476
Ku80-R-C	-0.046124945
Lck-R-V	0.242045992
LKB1-M-E	0.08734145
MAPK_pT202_Y204-R-V	-0.219408579
MEK1-R-V	0.0200887250000001
MEK1_pS217_S221-R-V	0.064712392
MIG-6-M-V	0.303617074
Mre11-R-C	0.169963367
MSH2-M-V	0.188382216
MSH6-R-C	-0.105033143
mTOR-R-V	-0.113869759
mTOR_pS2448-R-C	-0.0755338099999997
MYH11-R-V	-0.738573511
Myosin-IIa_pS1943-R-V	0.414561705
N-Cadherin-R-V	-0.026936572
N-Ras-M-V	0.038359983
NDRG1_pT346-R-V	-1.87682441
NF-kB-p65_pS536-R-C	-0.346483899
NF2-R-C	-0.602501281
Notch1-R-V	0.397010879
P-Cadherin-R-C	0.321863134
p21-R-V	-1.028120192
p27-R-V	-0.205616498
p27_pT157-R-C	-0.192146741
p27_pT198-R-V	-0.029466105
p38_MAPK-R-V	0.113005
p38_pT180_Y182-R-V	-0.334813434
p53-R-E	0.312601876
p62-LCK-ligand-M-C	0.59384707
p70S6K-R-V	-0.361799019
p70S6K_pT389-R-V	-0.041811242
p90RSK-R-C	0.134032942
p90RSK_pT359_S363-R-C	-0.201433277
PAI-1-M-E	1.351795498
PARP_cleaved-M-E	0.047332987
Paxillin-R-C	0.349071069
PCNA-M-C	-0.166745049
PDCD4-R-C	-0.651924232
PDK1-R-V	-0.0666082410000001
PDK1_pS241-R-V	-0.286804992
PEA15-R-V	0.26073543
PEA15_pS116-R-V	-0.040220756
PI3K-p110-alpha-R-C	0.012374136
PI3K-p85-R-V	-0.11924317
PKC-alpha-M-V	-0.207257662
PKC-alpha_pS657-R-C	-0.275893973
PKC-delta_pS664-R-V	0.118839824
PKC-pan_BetaII_pS660-R-V	-0.193441032
PR-R-V	0.174616169
PRAS40_pT246-R-V	-0.139804987
PRDX1-R-V	-0.0384401500000001
PREX1-R-E	0.203927898
PTEN-R-V	0.254298338
Rab11-R-E	0.0384323520000001
Rab25-R-V	-0.325161688
Rad50-M-V	0.193881079
Rad51-R-V	0.245594349
Raptor-R-V	0.06566225
Rb-M-E	0.0250253699999999
Rb_pS807_S811-R-V	-0.743495989
RBM15-R-V	-0.473109798
Rictor-R-C	-0.126258642
Rictor_pT1135-R-V	0.260481175
S6-R-E	0.00442452700000007
S6_pS235_S236-R-V	-1.284813383
S6_pS240_S244-R-V	-1.052915787
SCD-M-V	-0.01057549
SETD2-R-E	1.356250762
SF2-M-V	-1.17906723
