Sample REF	A2E4E986-D906-4AF4-B9E8-A14D9B8F9F07
Composite Element REF	Protein Expression
14-3-3_beta-R-V	0.0396089040000002
14-3-3_epsilon-M-C	-0.205571345
14-3-3_zeta-R-V	-0.483535826
4E-BP1-R-V	-0.260662619
4E-BP1_pS65-R-V	-0.0472028499999999
4E-BP1_pT37_T46-R-V	-0.0456280099999999
4E-BP1_pT70-R-V	-0.142381628
53BP1-R-E	0.187526264
A-Raf_pS299-R-C	-0.0565918679999999
ACC_pS79-R-V	0.488014224
ACC1-R-E	0.0225413720000001
Acetyl-a-Tubulin-Lys40-R-C	1.00980087
ACVRL1-R-C	-0.136700161
ADAR1-M-V	0.0378461960000001
Akt-R-V	0.0319667890000002
Akt_pS473-R-V	0.326501813
Akt_pT308-R-V	0.144413996
alpha-Catenin-M-V	-0.0117643679999997
AMPK_alpha-R-C	0.155018529
AMPK_pT172-R-V	0.549613869
Annexin-1-M-E	-0.847919071
Annexin_VII-M-V	-0.0625678219999999
AR-R-V	0.790075591
DIRAS3-M-E	0.0300334050000001
ASNS-R-V	-0.552458339
ATM-R-E	0.0446948060000002
B-Raf-M-C	-0.166185477
Bad_pS112-R-V	0.000515142000000135
Bak-R-C	0.152950944
Bap1-c-4-M-E	0.270864009
Bax-R-V	-0.258545178
Bcl-2-M-V	0.312654895
Bcl-xL-R-V	-0.000892245999999819
Beclin-G-C	0.0626456970000002
beta-Catenin-R-V	-0.222262586
Bid-R-C	-0.0506410069999998
Bim-R-V	0.189766169
BRCA2-R-C	0.114691875
c-Jun_pS73-R-V	0.110019736
c-Kit-R-V	0.792912801
c-Met-M-E	-0.083276868
c-Met_pY1235-R-V	0.0376855460000001
c-Myc-R-C	0.0215800070000002
C-Raf-R-V	-0.15266569
C-Raf_pS338-R-V	-0.0657495499999999
Caspase-7_cleavedD198-R-C	-0.913486431
Caspase-8-M-E	-0.147776376
Caveolin-1-R-V	0.92761953
CD20-R-C	0.0843348540000002
CD31-M-V	-0.0702405019999999
CD49b-M-V	-0.343128149
CDK1-R-V	-0.0534543119999999
Chk1-M-C	-0.297991364
Chk1_pS345-R-C	0.0983073320000001
Chk2-M-E	-0.103691503
Chk2_pT68-R-C	0.0580442180000001
cIAP-R-V	-0.418107435
Claudin-7-R-V	-0.414526865
Collagen_VI-R-V	0.280664448
Cyclin_B1-R-V	-0.211108248
Cyclin_D1-R-V	0.176202282
Cyclin_E1-M-V	-0.0595451320000002
Cyclin_E2-R-C	-0.00779180999999984
DJ-1-R-E	0.166725545
Dvl3-R-V	-0.142265034
E-Cadherin-R-V	0.124169692
eEF2-R-C	-0.317643241
eEF2K-R-V	0.32864344
EGFR-R-V	-0.16249517
EGFR_pY1068-R-C	-0.0979219729999996
EGFR_pY1173-R-V	-0.00460009599999989
eIF4E-R-V	-0.239531827
eIF4G-R-C	-0.0366214899999999
ER-alpha-R-V	2.956643768
ER-alpha_pS118-R-V	0.458505549
ERCC1-M-V	0.360787538
ERK2-R-E	-0.103041901
ETS-1-R-V	-0.0695700929999998
FASN-R-V	0.690388006
Fibronectin-R-V	-0.532603194
FoxM1-R-V	0.616520357
FOXO3a-R-C	-0.120420984
FOXO3a_pS318_S321-R-C	0.128756323
G6PD-M-V	0.151546366
GAB2-R-V	0.0254892030000002
GAPDH-M-C	-0.229635048
GATA3-M-V	-0.395877683
GSK3-alpha-beta-M-V	0.0715333510000001
GSK3-alpha-beta_pS21_S9-R-V	0.21098078
GSK3_pS9-R-V	0.123976641
HER2-M-V	0.259382306
HER2_pY1248-R-C	0.0786697950000002
HER3-R-V	0.0415629340000002
HER3_pY1289-R-C	-0.259277539
Heregulin-R-V	-0.0572784099999999
HSP70-R-C	0.274572218
IGFBP2-R-V	1.308694389
INPP4B-R-V	-0.155974776
IRS1-R-V	0.20146709
JNK_pT183_pY185-R-V	-0.0518222349999997
JNK2-R-C	0.157081902
Ku80-R-C	0.159691037
Lck-R-V	-0.348815421
LKB1-M-E	-0.0594762669999999
MAPK_pT202_Y204-R-V	0.221287132
MEK1-R-V	-0.00423923399999987
MEK1_pS217_S221-R-V	-0.103691503
MIG-6-M-V	-0.113676071
Mre11-R-C	-0.0235821179999999
MSH2-M-V	0.419117654
MSH6-R-C	0.465626643
mTOR-R-V	0.143460144
mTOR_pS2448-R-C	0.118767871
MYH11-R-V	0.942191756
Myosin-IIa_pS1943-R-V	-0.208642837
N-Cadherin-R-V	0.0198740950000001
N-Ras-M-V	-0.111466231
NDRG1_pT346-R-V	-1.183637126
NF-kB-p65_pS536-R-C	0.429409372
NF2-R-C	-0.191254401
Notch1-R-V	-0.241991974
P-Cadherin-R-C	-0.073436353
p21-R-V	0.624267214
p27-R-V	0.394434731
p27_pT157-R-C	0.0212910600000002
p27_pT198-R-V	-0.0261447699999998
p38_MAPK-R-V	-0.352236645
p38_pT180_Y182-R-V	-0.304868081
p53-R-E	0.0877609340000003
p62-LCK-ligand-M-C	0.18448948
p70S6K-R-V	-0.341519808
p70S6K_pT389-R-V	0.0833546790000002
p90RSK-R-C	-0.0124248929999999
p90RSK_pT359_S363-R-C	0.0982250630000001
PAI-1-M-E	-1.105600463
PARP_cleaved-M-E	0.034516596
Paxillin-R-C	0.0664806170000002
PCNA-M-C	-0.0587464609999999
PDCD4-R-C	0.0918776240000001
PDK1-R-V	-0.130451351
PDK1_pS241-R-V	-0.118301246
PEA15-R-V	-0.0655162959999998
PEA15_pS116-R-V	-0.0440764469999998
PI3K-p110-alpha-R-C	-0.0574197729999999
PI3K-p85-R-V	0.181816319
PKC-alpha-M-V	0.25892511
PKC-alpha_pS657-R-C	0.594807481
PKC-delta_pS664-R-V	-0.0196635079999998
PKC-pan_BetaII_pS660-R-V	0.0481484610000001
PR-R-V	0.0598386480000002
PRAS40_pT246-R-V	0.312818432
PRDX1-R-V	-0.206990822
PREX1-R-E	-0.148984062
PTEN-R-V	0.135506362
Rab11-R-E	-0.0572833949999998
Rab25-R-V	0.25911873
Rad50-M-V	-0.0367380199999998
Rad51-R-V	0.114403199
Raptor-R-V	0.0337871670000001
Rb-M-E	0
Rb_pS807_S811-R-V	0.439481704
RBM15-R-V	0.287222305
Rictor-R-C	0.678050578
Rictor_pT1135-R-V	-0.0153600629999999
S6-R-E	-0.254228663
S6_pS235_S236-R-V	-0.51563574
S6_pS240_S244-R-V	-0.207529066
SCD-M-V	-0.00317273099999982
SETD2-R-E	-0.0374617609999996
SF2-M-V	0.497546683
Shc_pY317-R-E	-0.0906736929999998
