Sample REF	A34C4C91-F909-4102-95A8-2DCE367AEDA8
Composite Element REF	Protein Expression
14-3-3_beta-R-V	0.270882741
14-3-3_epsilon-M-C	-0.0318074820000003
14-3-3_zeta-R-V	0.313149176
4E-BP1-R-V	0.298639907
4E-BP1_pS65-R-V	-0.168208652
4E-BP1_pT37_T46-R-V	0.21790157
4E-BP1_pT70-R-V	0.0501699929999998
53BP1-R-E	-0.77743129
A-Raf_pS299-R-C	-0.0571855480000002
ACC_pS79-R-V	-0.221757874
ACC1-R-E	-0.0797200940000002
Acetyl-a-Tubulin-Lys40-R-C	-1.242072395
ACVRL1-R-C	0.264808684
ADAR1-M-V	0.0447562009999998
Akt-R-V	-1.975418003
Akt_pS473-R-V	-0.354584261
Akt_pT308-R-V	0.0150061629999998
alpha-Catenin-M-V	0.201689423
AMPK_alpha-R-C	0.0016304199999998
AMPK_pT172-R-V	-1.154225837
Annexin-1-M-E	0.455769968
Annexin_VII-M-V	0.00241141699999958
AR-R-V	-0.22545637
DIRAS3-M-E	0.0932835679999998
ASNS-R-V	-0.348218926
ATM-R-E	-1.237995898
B-Raf-M-C	-1.18804548
Bad_pS112-R-V	-0.276269704
Bak-R-C	-0.113710947
Bap1-c-4-M-E	-1.09312518
Bax-R-V	0.202350737
Bcl-2-M-V	-0.149321741
Bcl-xL-R-V	0.203713488
Beclin-G-C	0.227772138
beta-Catenin-R-V	-1.658799842
Bid-R-C	0.191528229
Bim-R-V	-0.15085177
BRCA2-R-C	0.253729957
c-Jun_pS73-R-V	-0.270709545000001
c-Kit-R-V	0.231198486
c-Met-M-E	0.272704944999999
c-Met_pY1235-R-V	0.152624553
c-Myc-R-C	0.276473615
C-Raf-R-V	-0.368761986
C-Raf_pS338-R-V	0.127283007
Caspase-7_cleavedD198-R-C	0.756058429
Caspase-8-M-E	-0.380058877
Caveolin-1-R-V	-0.228145284
CD20-R-C	0.0306678399999998
CD31-M-V	0.328687608
CD49b-M-V	1.232800156
CDK1-R-V	0.0294572089999996
Chk1-M-C	-0.592878267
Chk1_pS345-R-C	-0.206046805
Chk2-M-E	-0.275799154
Chk2_pT68-R-C	0.228589295
cIAP-R-V	-0.115252888
Claudin-7-R-V	0.684609461
Collagen_VI-R-V	0.188605636
Cyclin_B1-R-V	0.253613266
Cyclin_D1-R-V	0.46785522
Cyclin_E1-M-V	0.1130571
Cyclin_E2-R-C	-0.0048307980000003
DJ-1-R-E	0.284137385
Dvl3-R-V	0.0740295569999998
E-Cadherin-R-V	-2.187106703
eEF2-R-C	-0.334851211
eEF2K-R-V	-1.228319696
EGFR-R-V	-0.414451353
EGFR_pY1068-R-C	-0.081200481
EGFR_pY1173-R-V	0.0197604629999998
eIF4E-R-V	0.147403461
eIF4G-R-C	-1.09658978
ER-alpha-R-V	-0.505333326
ER-alpha_pS118-R-V	-0.0857732960000002
ERCC1-M-V	-0.566112736
ERK2-R-E	-0.879876031
ETS-1-R-V	0.0529145239999998
FASN-R-V	0.25177811
Fibronectin-R-V	0.326535066
FoxM1-R-V	0.0342811999999999
FOXO3a-R-C	0.253579893
FOXO3a_pS318_S321-R-C	0.0452495509999997
G6PD-M-V	-0.0144681580000003
GAB2-R-V	-0.81075592
GAPDH-M-C	0.742162536
GATA3-M-V	0.196918493
GSK3-alpha-beta-M-V	-0.288880816
GSK3-alpha-beta_pS21_S9-R-V	-0.257712672
GSK3_pS9-R-V	-0.33560051
HER2-M-V	-0.991625202
HER2_pY1248-R-C	-0.139619673
HER3-R-V	0.202671876
HER3_pY1289-R-C	0.19014587
Heregulin-R-V	0.529659432
HSP70-R-C	0.779304709
IGFBP2-R-V	-0.328647351
INPP4B-R-V	0.0867659909999998
IRS1-R-V	0.0378174429999998
JNK_pT183_pY185-R-V	0.0632640319999997
JNK2-R-C	-0.531496052
Ku80-R-C	-0.83307125
Lck-R-V	-0.487590609
LKB1-M-E	0.22968663
MAPK_pT202_Y204-R-V	-0.198950665
MEK1-R-V	-0.139678918
MEK1_pS217_S221-R-V	0.138501365
MIG-6-M-V	0.183509076
Mre11-R-C	0.272831029
MSH2-M-V	0.110514411999999
MSH6-R-C	-1.171148786
mTOR-R-V	-1.370964974
mTOR_pS2448-R-C	-0.702628635
MYH11-R-V	-0.792907454
Myosin-IIa_pS1943-R-V	-0.0174715550000002
N-Cadherin-R-V	0.317245333
N-Ras-M-V	0.265173857
NDRG1_pT346-R-V	-0.465014128
NF-kB-p65_pS536-R-C	-0.0633589430000003
NF2-R-C	-0.247476763
Notch1-R-V	-0.0269181600000004
P-Cadherin-R-C	0.171322221
p21-R-V	1.213801147
p27-R-V	0.108289195
p27_pT157-R-C	0.144157329
p27_pT198-R-V	-0.00983237500000023
p38_MAPK-R-V	-0.170044388
p38_pT180_Y182-R-V	0.511295066
p53-R-E	0.257006215
p62-LCK-ligand-M-C	-0.246934383
p70S6K-R-V	-0.676872492
p70S6K_pT389-R-V	0.116950035
p90RSK-R-C	-0.256301652
p90RSK_pT359_S363-R-C	-0.0499644030000002
PAI-1-M-E	0.271459194
PARP_cleaved-M-E	0.222057938
Paxillin-R-C	-1.244445703
PCNA-M-C	0.163635056
PDCD4-R-C	-0.158066588
PDK1-R-V	0.270169726
PDK1_pS241-R-V	-0.0207747190000002
PEA15-R-V	0.131239812
PEA15_pS116-R-V	-0.237681377
PI3K-p110-alpha-R-C	0.200210419
PI3K-p85-R-V	-0.223326468
PKC-alpha-M-V	-0.643059323
PKC-alpha_pS657-R-C	-0.765252897
PKC-delta_pS664-R-V	-0.22268087
PKC-pan_BetaII_pS660-R-V	-1.87595702
PR-R-V	0
PRAS40_pT246-R-V	-0.0823654950000002
PRDX1-R-V	0.634498542
PREX1-R-E	0.0374349339999998
PTEN-R-V	-1.152026547
Rab11-R-E	0.143356299
Rab25-R-V	-0.265738306
Rad50-M-V	-0.245383497
Rad51-R-V	0.693191473
Raptor-R-V	-0.526174088
Rb-M-E	0.0928952759999997
Rb_pS807_S811-R-V	0.00432109399999958
RBM15-R-V	-1.233141359
Rictor-R-C	-0.987384338
Rictor_pT1135-R-V	-0.00964596300000031
S6-R-E	-0.566109825
S6_pS235_S236-R-V	0.0178435359999998
S6_pS240_S244-R-V	-0.274996726000001
SCD-M-V	0.15059128
SETD2-R-E	0.110872113
SF2-M-V	0.440532223
Shc_pY317-R-E	-0.0114711350000001
Smac-M-E	0.438623126
Smad1-R-V	-0.21251797
Smad3-R-V	-0.00674489900000019
Smad4-M-V	0.28938433
Snail-M-E	0.0584025919999995
Src-M-V	0.16212345
Src_pY416-R-C	0.277329961
Src_pY527-R-V	0.305084542
STAT3_pY705-R-V	-0.118763692
STAT5-alpha-R-V	-2.336956254
Stathmin-R-V	0.252730408
Syk-M-V	-0.199989333
TAZ-R-V	0.310871798
TIGAR-R-V	-0.0151830140000003
Transglutaminase-M-V	-0.111753451
TFRC-R-V	-0.689883856
TSC1-R-C	-0.983835309
TTF1-R-V	-0.310529734
Tuberin-R-E	-1.570908111
Tuberin_pT1462-R-V	-0.0797413470000001
VEGFR2-R-V	0.161319505
EPPK1-M-E	-1.67489109
XBP1-G-C	-0.414100201
XRCC1-R-E	0.248846719
YAP-R-E	0.139079781
YAP_pS127-R-E	-0.225910883
YB-1-R-V	0.0192731679999997
YB-1_pS102-R-V	0.125833191
JAB1-M-C	0.377041797
PARP1-R-V	0.215517686
A-Raf-R-V	0.0887513969999998
ARID1A-R-C	-0.588762359
B-Raf_pS445-R-V	-0.138501704
Bcl2A1-R-V	0.341241004
BRD4-R-V	-0.763435275
c-Abl-R-V	0.00976675799999976
Caspase-3-R-C	0.128812626
CD26-R-V	-0.226123632
Chk1_pS296-R-V	0.221187334
COG3-R-V	-1.11279793
DUSP4-R-V	0.196028806
ERCC5-R-C	0.601776115
IGF1R_pY1135_Y1136-R-V	0.156575091
IRF-1-R-C	-0.0789628100000002
Jak2-R-V	-0.468254465
p16_INK4a-R-V	0.217294428
SHP-2_pY542-R-C	0.241773487
CDK1_pY15-R-C	0.191103979
