Sample REF	A420B883-B083-453C-BF60-128E2737BBE3
Composite Element REF	Protein Expression
14-3-3_beta-R-V	-0.10357418
14-3-3_epsilon-M-C	-0.082159077
14-3-3_zeta-R-V	0.267240896
4E-BP1-R-V	-0.261737396
4E-BP1_pS65-R-V	0.311589826
4E-BP1_pT37_T46-R-V	0.655150161
4E-BP1_pT70-R-V	-0.120906419
53BP1-R-E	-0.243136332
A-Raf_pS299-R-C	-0.0987338249999999
ACC_pS79-R-V	-0.267986817
ACC1-R-E	0.155901585
Acetyl-a-Tubulin-Lys40-R-C	0.0323576570000002
ACVRL1-R-C	-0.0718353860000001
ADAR1-M-V	0.1468465
Akt-R-V	-0.263031065
Akt_pS473-R-V	0.0409675279999999
Akt_pT308-R-V	-0.0614474599999999
alpha-Catenin-M-V	0.215579802
AMPK_alpha-R-C	-0.316913057
AMPK_pT172-R-V	-1.44579235
Annexin-1-M-E	1.265191471
Annexin_VII-M-V	-0.270396822
AR-R-V	-0.129572483
DIRAS3-M-E	-0.080033556
ASNS-R-V	-0.150600742
ATM-R-E	-0.101724475
B-Raf-M-C	-0.250706737
Bad_pS112-R-V	0.557739942
Bak-R-C	0.268819003
Bap1-c-4-M-E	0.278463291
Bax-R-V	-0.248717603
Bcl-2-M-V	-0.616763749
Bcl-xL-R-V	-0.0932529229999999
Beclin-G-C	0.0496641090000001
beta-Catenin-R-V	0.481880346
Bid-R-C	-0.0627855839999999
Bim-R-V	-0.22763969
BRCA2-R-C	0.050877619
c-Jun_pS73-R-V	0.770825233
c-Kit-R-V	-0.0827087989999999
c-Met-M-E	0.0746708899999997
c-Met_pY1235-R-V	-0.028047513
c-Myc-R-C	0.0048270620000001
C-Raf-R-V	-0.114499651
C-Raf_pS338-R-V	0.030226726
Caspase-7_cleavedD198-R-C	0.157555731
Caspase-8-M-E	-0.0696327279999998
Caveolin-1-R-V	0.197224685
CD20-R-C	-0.010286045
CD31-M-V	-0.0426976639999999
CD49b-M-V	0.808767907
CDK1-R-V	0.010569507
Chk1-M-C	0.341346161
Chk1_pS345-R-C	0.790154055
Chk2-M-E	-0.187103352
Chk2_pT68-R-C	0.0586165330000001
cIAP-R-V	0.172666309
Claudin-7-R-V	0.622430883
Collagen_VI-R-V	-0.182317851
Cyclin_B1-R-V	0.566360463
Cyclin_D1-R-V	0.0658589970000001
Cyclin_E1-M-V	0.305360511
Cyclin_E2-R-C	-0.02433146
DJ-1-R-E	-0.178072564
Dvl3-R-V	-0.106016605
E-Cadherin-R-V	0.805342393
eEF2-R-C	0
eEF2K-R-V	0.275543498
EGFR-R-V	1.019804733
EGFR_pY1068-R-C	0.803767717
EGFR_pY1173-R-V	0.0549060750000001
eIF4E-R-V	-0.259301386
eIF4G-R-C	0.397044404
ER-alpha-R-V	-0.717415897
ER-alpha_pS118-R-V	0.0100559130000002
ERCC1-M-V	0.226417942
ERK2-R-E	0.082585643
ETS-1-R-V	-0.00931745999999994
FASN-R-V	-0.125757409
Fibronectin-R-V	-0.522565333
FoxM1-R-V	0.536785373
FOXO3a-R-C	-0.023893502
FOXO3a_pS318_S321-R-C	-0.0332250569999999
G6PD-M-V	0.113499076
GAB2-R-V	-0.118039976
GAPDH-M-C	0.438979982
GATA3-M-V	-0.159032395
GSK3-alpha-beta-M-V	-0.028465276
GSK3-alpha-beta_pS21_S9-R-V	0.20497611
GSK3_pS9-R-V	0.453228297
HER2-M-V	0.272067396
HER2_pY1248-R-C	0.335462484
HER3-R-V	0.424835538
HER3_pY1289-R-C	0.212543319
Heregulin-R-V	-0.101035204
HSP70-R-C	-0.225040771
IGFBP2-R-V	-0.701750287
INPP4B-R-V	-0.0744597679999996
IRS1-R-V	0.061843788
JNK_pT183_pY185-R-V	0.542004376
JNK2-R-C	-0.157913649
Ku80-R-C	0.00685990800000014
Lck-R-V	-0.320765782
LKB1-M-E	-0.108190526
MAPK_pT202_Y204-R-V	-0.472803505
MEK1-R-V	0.120637573
MEK1_pS217_S221-R-V	0.0500690610000001
MIG-6-M-V	0.124892016
Mre11-R-C	0.0862472730000001
MSH2-M-V	0.0312688149999998
MSH6-R-C	-0.185915135
mTOR-R-V	0.507766708
mTOR_pS2448-R-C	0.147660426
MYH11-R-V	-1.757169009
Myosin-IIa_pS1943-R-V	0.150811897
N-Cadherin-R-V	-0.0306116919999999
N-Ras-M-V	0.10154423
NDRG1_pT346-R-V	3.590849736
NF-kB-p65_pS536-R-C	0.953144178
NF2-R-C	-0.139148949
Notch1-R-V	0.378138545
P-Cadherin-R-C	-0.0528637120000002
p21-R-V	-0.00227864199999994
p27-R-V	-0.328811733
p27_pT157-R-C	-0.0152949479999999
p27_pT198-R-V	0.135833191
p38_MAPK-R-V	0.0654707550000001
p38_pT180_Y182-R-V	0.606163272
p53-R-E	-0.119375115
p62-LCK-ligand-M-C	-0.0751100859999998
p70S6K-R-V	0.00790258900000007
p70S6K_pT389-R-V	-0.0284775959999999
p90RSK-R-C	-0.416349547
p90RSK_pT359_S363-R-C	-0.0476317589999999
PAI-1-M-E	1.643378413
PARP_cleaved-M-E	-0.141418263
Paxillin-R-C	0.717029809
PCNA-M-C	-0.118039976
PDCD4-R-C	-0.0498204959999999
PDK1-R-V	0.127242269
PDK1_pS241-R-V	0.17524011
PEA15-R-V	-0.172510911
PEA15_pS116-R-V	-0.0701089239999999
PI3K-p110-alpha-R-C	-0.0886602169999999
PI3K-p85-R-V	-0.213871853
PKC-alpha-M-V	-0.284471716
PKC-alpha_pS657-R-C	-0.200334085
PKC-delta_pS664-R-V	-0.0139256430000001
PKC-pan_BetaII_pS660-R-V	0.243083924
PR-R-V	0.0560909740000002
PRAS40_pT246-R-V	0.420243746
PRDX1-R-V	-0.0371955689999999
PREX1-R-E	-0.364696527
PTEN-R-V	-0.233333225
Rab11-R-E	0.0350737500000001
Rab25-R-V	0.622943793
Rad50-M-V	0.171506032
Rad51-R-V	0.195029734
Raptor-R-V	0.314564844
Rb-M-E	0.00170106599999986
Rb_pS807_S811-R-V	0.889743173
RBM15-R-V	0.31712081
Rictor-R-C	-0.00752297700000004
Rictor_pT1135-R-V	0.351824683
S6-R-E	-0.0115623399999999
S6_pS235_S236-R-V	-0.53717819
S6_pS240_S244-R-V	-0.474061338
SCD-M-V	0.0365054210000001
SETD2-R-E	-0.0167250319999999
SF2-M-V	-0.0486503379999998
Shc_pY317-R-E	0.0903199530000003
Smac-M-E	-0.0105217809999999
Smad1-R-V	-0.427735815
Smad3-R-V	0.148617016
Smad4-M-V	-0.103659983
Snail-M-E	-0.0515467129999996
Src-M-V	-0.405591322
Src_pY416-R-C	0.189927785
Src_pY527-R-V	0.263438213
STAT3_pY705-R-V	0.47110859
STAT5-alpha-R-V	-0.448367359
Stathmin-R-V	-0.144454771
Syk-M-V	-0.547627372
TAZ-R-V	-0.0313933319999999
TIGAR-R-V	0.256579114
Transglutaminase-M-V	-0.177269605
TFRC-R-V	0.785783435
TSC1-R-C	0.03183006
TTF1-R-V	-0.0246418509999999
Tuberin-R-E	-0.0464695549999999
Tuberin_pT1462-R-V	-0.0550892219999999
VEGFR2-R-V	0.358187235
