Sample REF	A6DF7C14-361B-4DFF-B886-9EE48F169CD4
Composite Element REF	Protein Expression
14-3-3_beta-R-V	-0.00521064199999999
14-3-3_epsilon-M-C	-0.121008986
14-3-3_zeta-R-V	-0.068404022
4E-BP1-R-V	-0.256440716
4E-BP1_pS65-R-V	-0.065159352
4E-BP1_pT37_T46-R-V	0
4E-BP1_pT70-R-V	-0.168884682
53BP1-R-E	0.007006707
A-Raf_pS299-R-C	-0.264321213
ACC_pS79-R-V	-0.254224087
ACC1-R-E	-0.81771626
Acetyl-a-Tubulin-Lys40-R-C	0.521079191
ACVRL1-R-C	-0.09740829
ADAR1-M-V	-0.026342374
Akt-R-V	0.253191658
Akt_pS473-R-V	-0.13830814
Akt_pT308-R-V	-0.299270247
alpha-Catenin-M-V	-0.089357196
AMPK_alpha-R-C	-0.060489304
AMPK_pT172-R-V	0.463394173
Annexin-1-M-E	0.294431646
Annexin_VII-M-V	-0.0299357520000001
AR-R-V	0.218284757
DIRAS3-M-E	-0.014020752
ASNS-R-V	-0.22093051
ATM-R-E	0.522428323
B-Raf-M-C	0.07591624
Bad_pS112-R-V	0.066832413
Bak-R-C	-0.072756227
Bap1-c-4-M-E	0.308888346
Bax-R-V	0.115071582
Bcl-2-M-V	0.438155383
Bcl-xL-R-V	0.059943271
Beclin-G-C	-0.0407058059999999
beta-Catenin-R-V	0.459187034
Bid-R-C	-0.109251538
Bim-R-V	0.416011938
BRCA2-R-C	-0.055980945
c-Jun_pS73-R-V	0.482802933
c-Kit-R-V	1.356276606
c-Met-M-E	-0.0609755490000004
c-Met_pY1235-R-V	-0.145065715
c-Myc-R-C	-0.356752395
C-Raf-R-V	0.026262966
C-Raf_pS338-R-V	-0.067499408
Caspase-7_cleavedD198-R-C	-0.367890311
Caspase-8-M-E	0.120494991
Caveolin-1-R-V	0.117710977
CD20-R-C	0.0924132029999999
CD31-M-V	-0.0699282230000001
CD49b-M-V	0.223272783
CDK1-R-V	-0.095216429
Chk1-M-C	0.00534476899999986
Chk1_pS345-R-C	0.157000736
Chk2-M-E	-0.0943951000000001
Chk2_pT68-R-C	-0.203982646
cIAP-R-V	-0.162344604
Claudin-7-R-V	0.420539917
Collagen_VI-R-V	-0.233836441
Cyclin_B1-R-V	-0.095169967
Cyclin_D1-R-V	0.356632208
Cyclin_E1-M-V	-0.141362286
Cyclin_E2-R-C	0.066833803
DJ-1-R-E	0.080940737
Dvl3-R-V	-0.072713757
E-Cadherin-R-V	0.481971444
eEF2-R-C	-0.022702598
eEF2K-R-V	0.0849221210000001
EGFR-R-V	0.341512701
EGFR_pY1068-R-C	-0.0776740059999999
EGFR_pY1173-R-V	-0.043796345
eIF4E-R-V	-0.203820409
eIF4G-R-C	0.0857927949999999
ER-alpha-R-V	2.589130624
ER-alpha_pS118-R-V	0.189628056
ERCC1-M-V	0.080946143
ERK2-R-E	0.080518712
ETS-1-R-V	0.370541873
FASN-R-V	-0.237587977
Fibronectin-R-V	-0.740793659
FoxM1-R-V	-0.0409045669999999
FOXO3a-R-C	-0.110906683
FOXO3a_pS318_S321-R-C	0.01384388
G6PD-M-V	0.0251918619999997
GAB2-R-V	0.103088867
GAPDH-M-C	-0.272587426
GATA3-M-V	1.072316025
GSK3-alpha-beta-M-V	-0.00845356100000005
GSK3-alpha-beta_pS21_S9-R-V	-0.522408108
GSK3_pS9-R-V	-0.721906549
HER2-M-V	0.571143849
HER2_pY1248-R-C	0.12638044
HER3-R-V	0.538628476
HER3_pY1289-R-C	0.090486068
Heregulin-R-V	-0.117818587
HSP70-R-C	-0.081030663
IGFBP2-R-V	-0.27878726
INPP4B-R-V	0.166969
IRS1-R-V	0.358723105
JNK_pT183_pY185-R-V	0.035854928
JNK2-R-C	0.307351951
Ku80-R-C	0.348294708
Lck-R-V	0.634499549
LKB1-M-E	-0.152365491
MAPK_pT202_Y204-R-V	0.205859807
MEK1-R-V	0.051528694
MEK1_pS217_S221-R-V	-0.122454866
MIG-6-M-V	-0.042891354
Mre11-R-C	-0.194870553
MSH2-M-V	0.245471252
MSH6-R-C	0.509345526
mTOR-R-V	0.262620049
mTOR_pS2448-R-C	0.120047655
MYH11-R-V	1.837300133
Myosin-IIa_pS1943-R-V	-0.094781084
N-Cadherin-R-V	0.142545622
N-Ras-M-V	-0.040100088
NDRG1_pT346-R-V	-0.712289609
NF-kB-p65_pS536-R-C	-0.124550317
NF2-R-C	0.326112481
Notch1-R-V	0.311873821
P-Cadherin-R-C	0.0648169729999998
p21-R-V	-0.652361648
p27-R-V	0.13870911
p27_pT157-R-C	-0.037520904
p27_pT198-R-V	0.052697416
p38_MAPK-R-V	0.252266217
p38_pT180_Y182-R-V	-0.17768491
p53-R-E	0.0733169530000001
p62-LCK-ligand-M-C	-0.103277882
