Sample REF	A770A8A6-09BA-46E2-B221-3B81ECA16660
Composite Element REF	Protein Expression
14-3-3_beta-R-V	0.393388706
14-3-3_epsilon-M-C	0.128036332
14-3-3_zeta-R-V	0.343667876
4E-BP1-R-V	-0.643519776
4E-BP1_pS65-R-V	0.174548843
4E-BP1_pT37_T46-R-V	-0.04078715
4E-BP1_pT70-R-V	0.068073049
53BP1-R-E	-1.062997785
A-Raf_pS299-R-C	0.129932455
ACC_pS79-R-V	-1.011098991
ACC1-R-E	-0.828474645
Acetyl-a-Tubulin-Lys40-R-C	-0.849840808
ACVRL1-R-C	0.989633558
ADAR1-M-V	0.035622508
Akt-R-V	-0.709510047
Akt_pS473-R-V	0.158408503
Akt_pT308-R-V	0.269425612
alpha-Catenin-M-V	-0.0935423840000001
AMPK_alpha-R-C	0.278938499
AMPK_pT172-R-V	0.014734987
Annexin-1-M-E	-0.158969105
Annexin_VII-M-V	0.400208964
AR-R-V	0
DIRAS3-M-E	0.358150993
ASNS-R-V	-0.725330095
ATM-R-E	-0.825402224
B-Raf-M-C	-1.107539592
Bad_pS112-R-V	-0.240701764
Bak-R-C	-0.0959742259999997
Bap1-c-4-M-E	-1.511726826
Bax-R-V	0.167319982
Bcl-2-M-V	0.430414174
Bcl-xL-R-V	0.186477842
Beclin-G-C	-0.134348541
beta-Catenin-R-V	-2.59416691
Bid-R-C	0.355677713
Bim-R-V	-0.558777691
BRCA2-R-C	0.641262916
c-Jun_pS73-R-V	-0.1443539
c-Kit-R-V	0.671107487
c-Met-M-E	0.304049143
c-Met_pY1235-R-V	0.337500815
c-Myc-R-C	0.513980909
C-Raf-R-V	-0.252421439
C-Raf_pS338-R-V	0.310450202
Caspase-7_cleavedD198-R-C	-0.744132312
Caspase-8-M-E	-0.107564652
Caveolin-1-R-V	2.266702777
CD20-R-C	0.03686541
CD31-M-V	0.381228616
CD49b-M-V	-0.274859265
CDK1-R-V	0.396132992
Chk1-M-C	-0.761187508
Chk1_pS345-R-C	-0.240778118
Chk2-M-E	-1.171524093
Chk2_pT68-R-C	0.308455805
cIAP-R-V	-0.011163568
Claudin-7-R-V	-1.712168162
Collagen_VI-R-V	0.870819637
Cyclin_B1-R-V	-1.625454127
Cyclin_D1-R-V	0.490390502
Cyclin_E1-M-V	-0.436019823
Cyclin_E2-R-C	-0.139946761
DJ-1-R-E	0.562182533
Dvl3-R-V	-0.252793181
E-Cadherin-R-V	-4.048189325
eEF2-R-C	-0.555668183
eEF2K-R-V	-0.769916187
EGFR-R-V	-0.529953216
EGFR_pY1068-R-C	-0.301260787
EGFR_pY1173-R-V	0.250861381
eIF4E-R-V	0.202564533
eIF4G-R-C	-1.702405417
ER-alpha-R-V	0.285563575
ER-alpha_pS118-R-V	-0.202865459
ERCC1-M-V	-0.650569659
ERK2-R-E	-0.742796208
ETS-1-R-V	0.122336952
FASN-R-V	-0.8283959
Fibronectin-R-V	1.154439363
FoxM1-R-V	0.0390831040000003
FOXO3a-R-C	0.430351455
FOXO3a_pS318_S321-R-C	0.621079164
G6PD-M-V	0.0211269660000001
GAB2-R-V	-0.551440179
GAPDH-M-C	0.450664458
GATA3-M-V	-0.110319131
GSK3-alpha-beta-M-V	0.106954101
GSK3-alpha-beta_pS21_S9-R-V	-0.198766226
GSK3_pS9-R-V	-0.736838134
HER2-M-V	-1.08556689
HER2_pY1248-R-C	0.094047376
HER3-R-V	-0.900943862
HER3_pY1289-R-C	0.308776448
Heregulin-R-V	0.0399864369999999
HSP70-R-C	0.995739857
IGFBP2-R-V	0.469258008
INPP4B-R-V	0.0712615010000003
IRS1-R-V	-0.0416792569999999
JNK_pT183_pY185-R-V	0.29978943
JNK2-R-C	-0.0887824979999999
Ku80-R-C	-1.047550114
Lck-R-V	-0.069581469
LKB1-M-E	0.349313567
MAPK_pT202_Y204-R-V	1.332290451
MEK1-R-V	0.0106585770000002
MEK1_pS217_S221-R-V	0.491751049
MIG-6-M-V	0.172402919
Mre11-R-C	0.427829812
MSH2-M-V	-0.331249229
MSH6-R-C	-1.48822882
mTOR-R-V	-0.83573877
mTOR_pS2448-R-C	-0.031943658
MYH11-R-V	2.540209548
Myosin-IIa_pS1943-R-V	-0.261905192
N-Cadherin-R-V	0.324990817
N-Ras-M-V	0.219608823
NDRG1_pT346-R-V	-0.546643118
NF-kB-p65_pS536-R-C	-0.262392095
NF2-R-C	-0.364205363
Notch1-R-V	-0.277988898
P-Cadherin-R-C	0.309209317
p21-R-V	0.750791627
p27-R-V	0.242583702
p27_pT157-R-C	0.08288052
p27_pT198-R-V	0.0725129560000001
p38_MAPK-R-V	0.309527501
p38_pT180_Y182-R-V	0.809026172
p53-R-E	0.172518352
p62-LCK-ligand-M-C	-0.482750265
p70S6K-R-V	-1.737443482
p70S6K_pT389-R-V	-0.259760226
p90RSK-R-C	-0.930698482
p90RSK_pT359_S363-R-C	-0.344131504
PAI-1-M-E	0.774605239
PARP_cleaved-M-E	0.113124287
Paxillin-R-C	-0.955962838
PCNA-M-C	-0.414529894
PDCD4-R-C	0.0564775660000001
PDK1-R-V	-0.0752111269999999
PDK1_pS241-R-V	-0.187009351
PEA15-R-V	0.621079164
PEA15_pS116-R-V	0.278046938
PI3K-p110-alpha-R-C	0.0694395640000001
PI3K-p85-R-V	0.133375276
PKC-alpha-M-V	0.452418325
PKC-alpha_pS657-R-C	0.561311039
PKC-delta_pS664-R-V	-0.168000857
PKC-pan_BetaII_pS660-R-V	-1.060397968
PR-R-V	0.429377407
PRAS40_pT246-R-V	-0.312255077
PRDX1-R-V	-0.0101738180000001
PREX1-R-E	-0.0704738849999998
PTEN-R-V	-1.768969788
Rab11-R-E	0.149439901
Rab25-R-V	-0.442302101
Rad50-M-V	0.386219798
Rad51-R-V	0.347662493
Raptor-R-V	0.180235081
Rb-M-E	0.287519273
Rb_pS807_S811-R-V	-0.038563461
RBM15-R-V	-2.578646117
Rictor-R-C	3.8172551
Rictor_pT1135-R-V	0.474048974
S6-R-E	-1.566138595
S6_pS235_S236-R-V	-0.539433267
S6_pS240_S244-R-V	-0.442892548
SCD-M-V	0.0686135100000002
SETD2-R-E	0.233612106
SF2-M-V	-0.439002218
Shc_pY317-R-E	-0.184957446
Smac-M-E	-0.00499136699999991
Smad1-R-V	-0.169390306
Smad3-R-V	0.0477105560000001
Smad4-M-V	0.0733912309999999
Snail-M-E	-0.509963367999999
Src-M-V	-0.066482112
Src_pY416-R-C	0.404303065
Src_pY527-R-V	0.655294766
STAT3_pY705-R-V	0.253560095
STAT5-alpha-R-V	-2.293923532
Stathmin-R-V	0.361821051
Syk-M-V	-1.794389964
TAZ-R-V	0.494524337
TIGAR-R-V	-0.100454891
Transglutaminase-M-V	0.1850399
TFRC-R-V	-1.241182234
TSC1-R-C	-0.062263572
TTF1-R-V	0.304803607
Tuberin-R-E	-2.501163305
Tuberin_pT1462-R-V	-0.184984249
VEGFR2-R-V	0.513441506
EPPK1-M-E	-2.144039747
XBP1-G-C	-0.265664417
XRCC1-R-E	-0.320547855
YAP-R-E	0.956978016
YAP_pS127-R-E	1.660201353
YB-1-R-V	0.250330194
YB-1_pS102-R-V	0.125775945
JAB1-M-C	0.328939866
PARP1-R-V	-0.822640007
A-Raf-R-V	0.0149619510000001
ARID1A-R-C	-1.260943062
B-Raf_pS445-R-V	-0.10635657
Bcl2A1-R-V	0.412261477
BRD4-R-V	-1.207566691
c-Abl-R-V	0.226791179
Caspase-3-R-C	-0.125105556
CD26-R-V	0.0143395110000001
Chk1_pS296-R-V	0.251462485
COG3-R-V	-1.503947156
DUSP4-R-V	-0.255820611
ERCC5-R-C	0.104121964
IGF1R_pY1135_Y1136-R-V	0.582652498
IRF-1-R-C	-0.276648903
Jak2-R-V	-0.645913527
p16_INK4a-R-V	-1.067505613
SHP-2_pY542-R-C	0.156585322
CDK1_pY15-R-C	-0.237056819
