Sample REF	A833FC95-34C0-4E8B-82C6-BE2E99E23411
Composite Element REF	Protein Expression
14-3-3_beta-R-V	-0.028900426
14-3-3_epsilon-M-C	0.0726516779999999
14-3-3_zeta-R-V	-0.225675071
4E-BP1-R-V	0.26260387
4E-BP1_pS65-R-V	0.256464466
4E-BP1_pT37_T46-R-V	-0.099107308
4E-BP1_pT70-R-V	0.225253127
53BP1-R-E	0.059883062
A-Raf_pS299-R-C	-0.085069165
ACC_pS79-R-V	0.034189534
ACC1-R-E	-0.185827138
Acetyl-a-Tubulin-Lys40-R-C	0.583296314
ACVRL1-R-C	0
ADAR1-M-V	0.0831387779999999
Akt-R-V	0.015910836
Akt_pS473-R-V	-0.919841251
Akt_pT308-R-V	-0.578755861
alpha-Catenin-M-V	-0.147964499
AMPK_alpha-R-C	-0.120795859
AMPK_pT172-R-V	0.102952745
Annexin-1-M-E	0.532944938
Annexin_VII-M-V	-0.0144777790000001
AR-R-V	0.021351676
DIRAS3-M-E	-0.00383011200000002
ASNS-R-V	0.125726886
ATM-R-E	0.212333622
B-Raf-M-C	-0.080878656
Bad_pS112-R-V	0.03719936
Bak-R-C	0.382549193
Bap1-c-4-M-E	0.157719001
Bax-R-V	-0.16772503
Bcl-2-M-V	-0.399771767
Bcl-xL-R-V	-0.0789063760000001
Beclin-G-C	-0.113903344
beta-Catenin-R-V	-0.267029989
Bid-R-C	-0.100791188
Bim-R-V	0.044985134
BRCA2-R-C	-0.077150579
c-Jun_pS73-R-V	-0.243697727
c-Kit-R-V	-0.299780844
c-Met-M-E	0.0677154849999999
c-Met_pY1235-R-V	-0.0173498620000001
c-Myc-R-C	-0.288079044
C-Raf-R-V	0.086909265
C-Raf_pS338-R-V	-0.0819138150000001
Caspase-7_cleavedD198-R-C	1.714377745
Caspase-8-M-E	0.0867442460000001
Caveolin-1-R-V	0.947481716
CD20-R-C	0.00334504299999994
CD31-M-V	-0.0785402180000001
CD49b-M-V	-0.0291676439999999
CDK1-R-V	-0.0661248780000001
Chk1-M-C	1.007467687
Chk1_pS345-R-C	-0.0557957180000002
Chk2-M-E	-0.192336425
Chk2_pT68-R-C	-0.06974013
cIAP-R-V	-0.032179712
Claudin-7-R-V	-0.946715363
Collagen_VI-R-V	-0.133812245
Cyclin_B1-R-V	0.654517042
Cyclin_D1-R-V	-0.194927004
Cyclin_E1-M-V	0.619406456
Cyclin_E2-R-C	0.271272836
DJ-1-R-E	-0.00482059100000001
Dvl3-R-V	0.113417417
E-Cadherin-R-V	-0.589061418
eEF2-R-C	0.154394052
eEF2K-R-V	0.857416751
EGFR-R-V	0.58865298
EGFR_pY1068-R-C	0.388456028
EGFR_pY1173-R-V	0.099415895
eIF4E-R-V	0.189790092
eIF4G-R-C	0.735654702
ER-alpha-R-V	-0.923361699
ER-alpha_pS118-R-V	-0.00584033899999992
ERCC1-M-V	-0.0389837989999999
ERK2-R-E	-0.00830232500000005
ETS-1-R-V	-0.034917439
FASN-R-V	-0.155997599
Fibronectin-R-V	0.446177544
FoxM1-R-V	-0.013073984
FOXO3a-R-C	0.011003133
FOXO3a_pS318_S321-R-C	-0.155628639
G6PD-M-V	0.336104974
GAB2-R-V	0.503125807
GAPDH-M-C	0.493136868
GATA3-M-V	-0.102741656
GSK3-alpha-beta-M-V	0.0255453809999999
GSK3-alpha-beta_pS21_S9-R-V	-0.4220014
GSK3_pS9-R-V	-0.711396583
HER2-M-V	-0.333558224
HER2_pY1248-R-C	-0.226417556
HER3-R-V	0.0157957160000001
HER3_pY1289-R-C	-0.033468104
Heregulin-R-V	0.152890791
HSP70-R-C	-0.344162666
IGFBP2-R-V	1.632538905
INPP4B-R-V	-0.343518459
IRS1-R-V	0.383426756
JNK_pT183_pY185-R-V	-0.270396991
JNK2-R-C	0.300107306
Ku80-R-C	0.094954703
Lck-R-V	0.355047119
LKB1-M-E	-0.140355323
MAPK_pT202_Y204-R-V	-0.573430487
MEK1-R-V	0.38894738
MEK1_pS217_S221-R-V	-0.203278035
MIG-6-M-V	0.193039393
Mre11-R-C	-0.086433521
MSH2-M-V	-0.00947028100000002
MSH6-R-C	0.128366606
mTOR-R-V	-0.126337367
mTOR_pS2448-R-C	-0.22658747
MYH11-R-V	-0.378337645
Myosin-IIa_pS1943-R-V	-0.23744369
N-Cadherin-R-V	-0.024222225
N-Ras-M-V	0.047048229
NDRG1_pT346-R-V	1.192176841
NF-kB-p65_pS536-R-C	-0.00425497900000016
NF2-R-C	-0.221827329
Notch1-R-V	0.324965832
P-Cadherin-R-C	-0.0952794530000003
p21-R-V	-1.208486839
p27-R-V	-0.263102018
p27_pT157-R-C	0.023386495
p27_pT198-R-V	0.098926926
p38_MAPK-R-V	-0.17353675
p38_pT180_Y182-R-V	-1.162487152
p53-R-E	0.00051345100000022
p62-LCK-ligand-M-C	0.0763322800000001
p70S6K-R-V	0.06215426
p70S6K_pT389-R-V	-0.194527646
p90RSK-R-C	0.481538341
p90RSK_pT359_S363-R-C	0.150727787
PAI-1-M-E	0.249222102
PARP_cleaved-M-E	-0.0799587420000001
Paxillin-R-C	0.735367414
