Sample REF	A8AC0A62-1CC2-43E6-AFC2-6B455B8F5759
Composite Element REF	Protein Expression
14-3-3_beta-R-V	0.0589318920000001
14-3-3_epsilon-M-C	-0.220504281
14-3-3_zeta-R-V	-0.61513101
4E-BP1-R-V	0.191112036
4E-BP1_pS65-R-V	0.027260957
4E-BP1_pT37_T46-R-V	0.436058392
4E-BP1_pT70-R-V	0.216766387
53BP1-R-E	0.1994416
A-Raf_pS299-R-C	0.065558605
ACC_pS79-R-V	-0.0626686519999999
ACC1-R-E	-0.44458431
Acetyl-a-Tubulin-Lys40-R-C	0.0227122480000001
ACVRL1-R-C	-0.095561252
ADAR1-M-V	0.177852778
Akt-R-V	0.282773652
Akt_pS473-R-V	1.254193328
Akt_pT308-R-V	1.360079747
alpha-Catenin-M-V	0.07181722
AMPK_alpha-R-C	-0.0062458239999999
AMPK_pT172-R-V	-0.921262357
Annexin-1-M-E	-0.434156829
Annexin_VII-M-V	-0.00322559600000011
AR-R-V	-0.188498352
DIRAS3-M-E	-0.041729119
ASNS-R-V	-0.125233487
ATM-R-E	-0.033953114
B-Raf-M-C	0.462184108
Bad_pS112-R-V	0.278026077
Bak-R-C	-0.0112859469999998
Bap1-c-4-M-E	0.303718065
Bax-R-V	-0.267355945
Bcl-2-M-V	0.00268080500000017
Bcl-xL-R-V	-0.113676742
Beclin-G-C	0.266505767
beta-Catenin-R-V	-0.0856660989999998
Bid-R-C	-0.143890396
Bim-R-V	0.326207112
BRCA2-R-C	-0.166312283
c-Jun_pS73-R-V	0.0672297029999999
c-Kit-R-V	-0.297534306
c-Met-M-E	-0.183026009
c-Met_pY1235-R-V	-0.065043922
c-Myc-R-C	0.447861221
C-Raf-R-V	-0.322737909
C-Raf_pS338-R-V	-0.168384915
Caspase-7_cleavedD198-R-C	-0.301092966
Caspase-8-M-E	0.0357922990000001
Caveolin-1-R-V	-1.100220885
CD20-R-C	0.0680943840000001
CD31-M-V	0.03479871
CD49b-M-V	0.427186441
CDK1-R-V	0.195552391
Chk1-M-C	0.486920648
Chk1_pS345-R-C	0.20902513
Chk2-M-E	0.310586695
Chk2_pT68-R-C	0.082847653
cIAP-R-V	-0.199881037
Claudin-7-R-V	0.215445082
Collagen_VI-R-V	-0.14547631
Cyclin_B1-R-V	0.209958298
Cyclin_D1-R-V	0.0394269440000001
Cyclin_E1-M-V	-0.141028861
Cyclin_E2-R-C	-0.0817584179999999
DJ-1-R-E	-0.3830725
Dvl3-R-V	-0.25519188
E-Cadherin-R-V	0.333087454
eEF2-R-C	-0.391536461
eEF2K-R-V	0.91115907
EGFR-R-V	-0.0864508250000001
EGFR_pY1068-R-C	-0.0531750959999998
EGFR_pY1173-R-V	-0.122418906
eIF4E-R-V	-0.118970499
eIF4G-R-C	0.0197710549999998
ER-alpha-R-V	0.852530691
ER-alpha_pS118-R-V	0.126980437
ERCC1-M-V	0.0989617520000001
ERK2-R-E	-0.063734227
ETS-1-R-V	0.162590706
FASN-R-V	0.385542079
Fibronectin-R-V	0.00915831599999989
FoxM1-R-V	0.755973487
FOXO3a-R-C	-0.0160113630000001
FOXO3a_pS318_S321-R-C	0.016192618
G6PD-M-V	0.0787129939999999
GAB2-R-V	0.442742242
GAPDH-M-C	-0.365460077
GATA3-M-V	0.943129624
GSK3-alpha-beta-M-V	-0.337599091
GSK3-alpha-beta_pS21_S9-R-V	0.607841676
GSK3_pS9-R-V	0.963340053
HER2-M-V	0.435535927
HER2_pY1248-R-C	0.23899497
HER3-R-V	0.476392261
HER3_pY1289-R-C	-0.229807953
Heregulin-R-V	-0.207256619
HSP70-R-C	0.0483189370000001
IGFBP2-R-V	1.026352163
INPP4B-R-V	0.35577661
IRS1-R-V	-0.110614581
JNK_pT183_pY185-R-V	-0.108099503
JNK2-R-C	-0.166342357
Ku80-R-C	-0.317396087
Lck-R-V	-0.306814815
LKB1-M-E	-0.169357442
MAPK_pT202_Y204-R-V	-0.284366711
MEK1-R-V	0.216764106
MEK1_pS217_S221-R-V	-0.171180696
MIG-6-M-V	-0.16748964
Mre11-R-C	-0.05628249
MSH2-M-V	0.1765424
MSH6-R-C	-0.03216496
mTOR-R-V	-0.16598133
mTOR_pS2448-R-C	-0.198328258
MYH11-R-V	0.671527635
Myosin-IIa_pS1943-R-V	0
N-Cadherin-R-V	0.054571993
N-Ras-M-V	-0.147243081
NDRG1_pT346-R-V	1.319668528
NF-kB-p65_pS536-R-C	0.376447958
NF2-R-C	-0.223018444
Notch1-R-V	0.577673964
P-Cadherin-R-C	-0.200082813
p21-R-V	0.242196524
p27-R-V	-0.186033831
p27_pT157-R-C	-0.0270151729999999
p27_pT198-R-V	0.159575156
p38_MAPK-R-V	-0.676776929
p38_pT180_Y182-R-V	-0.327270784
p53-R-E	0.0986766170000004
p62-LCK-ligand-M-C	0.431056809
p70S6K-R-V	0.0925995480000001
p70S6K_pT389-R-V	-0.00856004100000002
p90RSK-R-C	0.0687992130000001
p90RSK_pT359_S363-R-C	0.150520803
PAI-1-M-E	-0.886732103
PARP_cleaved-M-E	-0.098061944
Paxillin-R-C	-0.086986501
PCNA-M-C	-0.0303939309999999
PDCD4-R-C	0.595898003
PDK1-R-V	-0.155804747
PDK1_pS241-R-V	-0.113091011
PEA15-R-V	-0.110952345
PEA15_pS116-R-V	-0.118494127
PI3K-p110-alpha-R-C	-0.0254192620000001
PI3K-p85-R-V	0.0639841610000001
PKC-alpha-M-V	-0.441202053
PKC-alpha_pS657-R-C	-0.457409912
PKC-delta_pS664-R-V	0.12627208
PKC-pan_BetaII_pS660-R-V	0.371770564
PR-R-V	-0.146868129
PRAS40_pT246-R-V	0.363275525
PRDX1-R-V	-0.12905598
PREX1-R-E	-0.338880577
PTEN-R-V	0.198993347
Rab11-R-E	0.0427658
Rab25-R-V	0.508883134
Rad50-M-V	-0.175720579
Rad51-R-V	0.27323014
Raptor-R-V	-0.191191101
Rb-M-E	-0.167478387
Rb_pS807_S811-R-V	0.920455803
RBM15-R-V	0.195816595
Rictor-R-C	0.237638669
Rictor_pT1135-R-V	-0.117191802
S6-R-E	-0.137887593
S6_pS235_S236-R-V	-0.445649858
S6_pS240_S244-R-V	-0.204777413
SCD-M-V	0.023240171
SETD2-R-E	-0.322813653
SF2-M-V	0.338320727
Shc_pY317-R-E	-0.00745215499999979
Smac-M-E	-0.194757967
Smad1-R-V	0.010687307
Smad3-R-V	0.03450499
Smad4-M-V	0.0142571019999999
Snail-M-E	-0.192237794
Src-M-V	0.34627814
Src_pY416-R-C	0.462803196
Src_pY527-R-V	-0.0672128669999999
STAT3_pY705-R-V	-0.0564817919999999
STAT5-alpha-R-V	0.107110501
Stathmin-R-V	-0.202616402
Syk-M-V	-0.068516011
TAZ-R-V	-0.243901053
TIGAR-R-V	-0.186330287
Transglutaminase-M-V	-0.133432123
TFRC-R-V	-0.377531836
TSC1-R-C	-0.151674343
TTF1-R-V	-0.0151418659999999
Tuberin-R-E	0.087706431
Tuberin_pT1462-R-V	0.584592549
VEGFR2-R-V	-0.576969093
EPPK1-M-E	0.747570525
XBP1-G-C	0.323429218
XRCC1-R-E	-0.195395937
YAP-R-E	0.065119757
YAP_pS127-R-E	0.0945635989999999
YB-1-R-V	0.148827544
YB-1_pS102-R-V	0.325743872
JAB1-M-C	0.0970525479999999
PARP1-R-V	0.180806987
A-Raf-R-V	-0.171764848
ARID1A-R-C	0.285281864
B-Raf_pS445-R-V	0.022671388
Bcl2A1-R-V	0.282702219
BRD4-R-V	0.380330561
c-Abl-R-V	-0.125809632
Caspase-3-R-C	0.0605037720000001
CD26-R-V	-0.266361053
Chk1_pS296-R-V	-0.00762310199999994
COG3-R-V	0.164284922
DUSP4-R-V	-0.22262853
ERCC5-R-C	0.100034153
IGF1R_pY1135_Y1136-R-V	-0.115453224
IRF-1-R-C	0.428962788
Jak2-R-V	0.318485744
p16_INK4a-R-V	-0.56498586
SHP-2_pY542-R-C	-0.0391122879999999
CDK1_pY15-R-C	0.153126234
