Sample REF	A92FDF5F-D4BE-4084-B677-6AAB64AD1342
Composite Element REF	Protein Expression
14-3-3_beta-R-V	0.0612715250000001
14-3-3_epsilon-M-C	0.118360945
14-3-3_zeta-R-V	0.18131618
4E-BP1-R-V	0.231309877
4E-BP1_pS65-R-V	-0.0646552159999999
4E-BP1_pT37_T46-R-V	0.492306383
4E-BP1_pT70-R-V	0.080482455
53BP1-R-E	-0.0707690209999999
A-Raf_pS299-R-C	0.242947513
ACC_pS79-R-V	-0.109064191
ACC1-R-E	0.155530732
Acetyl-a-Tubulin-Lys40-R-C	-0.533352018
ACVRL1-R-C	-0.013811553
ADAR1-M-V	0.0526700920000001
Akt-R-V	-0.402760036
Akt_pS473-R-V	0.154495004
Akt_pT308-R-V	0.058774718
alpha-Catenin-M-V	-0.131374157
AMPK_alpha-R-C	0.039946664
AMPK_pT172-R-V	-0.0474271980000001
Annexin-1-M-E	0.233204825
Annexin_VII-M-V	0.297452287
AR-R-V	0.0943193880000001
DIRAS3-M-E	0.040481198
ASNS-R-V	-0.268003182
ATM-R-E	-0.045187232
B-Raf-M-C	-0.130392086
Bad_pS112-R-V	-0.131065472
Bak-R-C	-0.0909662269999998
Bap1-c-4-M-E	-0.291017213
Bax-R-V	0.259027215
Bcl-2-M-V	0.555691147
Bcl-xL-R-V	0.0149852260000001
Beclin-G-C	-0.044353498
beta-Catenin-R-V	-0.506240241
Bid-R-C	-0.00865358399999994
Bim-R-V	0.0152039660000001
BRCA2-R-C	-0.016226858
c-Jun_pS73-R-V	0.0660201049999998
c-Kit-R-V	0.793697629
c-Met-M-E	2.072250113
c-Met_pY1235-R-V	0.08951166
c-Myc-R-C	0.115265194
C-Raf-R-V	-0.310923722
C-Raf_pS338-R-V	0.025666964
Caspase-7_cleavedD198-R-C	-0.765625993
Caspase-8-M-E	1.270654158
Caveolin-1-R-V	0.646218125
CD20-R-C	-0.051133868
CD31-M-V	0.252329468
CD49b-M-V	-0.202166883
CDK1-R-V	-0.0879521830000001
Chk1-M-C	-0.5290847
Chk1_pS345-R-C	-0.166545629
Chk2-M-E	0.0267701730000001
Chk2_pT68-R-C	0.0154848970000001
cIAP-R-V	-0.0389018829999999
Claudin-7-R-V	0.630155413
Collagen_VI-R-V	0.119452598
Cyclin_B1-R-V	0.116980311
Cyclin_D1-R-V	-0.0147000409999999
Cyclin_E1-M-V	0.134094855
Cyclin_E2-R-C	0.051978991
DJ-1-R-E	0.33478793
Dvl3-R-V	-0.079970793
E-Cadherin-R-V	-0.594067533
eEF2-R-C	-0.234410243
eEF2K-R-V	-0.589957376
EGFR-R-V	-0.292544752
EGFR_pY1068-R-C	0.0301958600000001
EGFR_pY1173-R-V	0.01026803
eIF4E-R-V	0.0298129770000001
eIF4G-R-C	-0.183800175
ER-alpha-R-V	1.038538385
ER-alpha_pS118-R-V	-0.0912705
ERCC1-M-V	-0.298737485
ERK2-R-E	-0.616361804
ETS-1-R-V	0.029318867
FASN-R-V	0.46074356
Fibronectin-R-V	0.738403289
FoxM1-R-V	-0.220415025
FOXO3a-R-C	0.078295121
FOXO3a_pS318_S321-R-C	0.296545693
G6PD-M-V	-0.12550118
GAB2-R-V	-0.174593811
GAPDH-M-C	-0.0777400429999999
GATA3-M-V	0.175257186
GSK3-alpha-beta-M-V	0.174315718
GSK3-alpha-beta_pS21_S9-R-V	-0.192589869
GSK3_pS9-R-V	-0.426120756
HER2-M-V	-0.421388448
HER2_pY1248-R-C	-0.0773532939999999
HER3-R-V	-0.597369689
HER3_pY1289-R-C	-0.01366695
Heregulin-R-V	-0.139457449
HSP70-R-C	0.280220363
IGFBP2-R-V	0.0435096530000001
INPP4B-R-V	0.378281788
IRS1-R-V	-0.180824123
JNK_pT183_pY185-R-V	-0.0268451279999999
JNK2-R-C	-0.296976949
Ku80-R-C	-0.601077433
Lck-R-V	0.030433901
LKB1-M-E	-0.003119074
MAPK_pT202_Y204-R-V	1.213751649
MEK1-R-V	0.059135396
MEK1_pS217_S221-R-V	0.267679637
MIG-6-M-V	0.0282288420000001
Mre11-R-C	0.0678606890000001
MSH2-M-V	-0.190234041
MSH6-R-C	-0.252619992
mTOR-R-V	-0.221146003
mTOR_pS2448-R-C	0.0373476080000001
MYH11-R-V	1.706954424
Myosin-IIa_pS1943-R-V	0.288981347
N-Cadherin-R-V	-0.0149897109999999
N-Ras-M-V	0.092103787
NDRG1_pT346-R-V	-0.144750409
NF-kB-p65_pS536-R-C	-0.183570475
NF2-R-C	-0.095379127
Notch1-R-V	-0.0888710830000001
P-Cadherin-R-C	-0.137177806
p21-R-V	0.600602313
p27-R-V	0.188837389
p27_pT157-R-C	0.045276388
p27_pT198-R-V	0.067674948
p38_MAPK-R-V	0.134888695
p38_pT180_Y182-R-V	0.643878578
p53-R-E	-0.0014182009999999
p62-LCK-ligand-M-C	0
p70S6K-R-V	-0.119939021
p70S6K_pT389-R-V	-0.0841515609999999
p90RSK-R-C	-0.668564619
p90RSK_pT359_S363-R-C	-0.25064206
PAI-1-M-E	0.824805509
PARP_cleaved-M-E	1.786322392
Paxillin-R-C	-0.056779893
PCNA-M-C	-0.229277381
PDCD4-R-C	0.532324664
PDK1-R-V	-0.038108301
PDK1_pS241-R-V	-0.062771092
PEA15-R-V	0.215229975
PEA15_pS116-R-V	-0.05581678
PI3K-p110-alpha-R-C	-0.0891005539999999
PI3K-p85-R-V	0.0239980360000001
PKC-alpha-M-V	-0.087028023
PKC-alpha_pS657-R-C	-0.0269747490000001
PKC-delta_pS664-R-V	-0.216726649
PKC-pan_BetaII_pS660-R-V	-0.545225364
PR-R-V	-0.090503856
PRAS40_pT246-R-V	-0.029388931
PRDX1-R-V	0.039748291
PREX1-R-E	0.169354494
PTEN-R-V	0.436055157
Rab11-R-E	0.128774968
Rab25-R-V	0.408183197
Rad50-M-V	-0.166575685
Rad51-R-V	-0.0863251999999999
Raptor-R-V	-0.100504786
Rb-M-E	0.656396876
Rb_pS807_S811-R-V	0.42258472
RBM15-R-V	-0.447145535
Rictor-R-C	0.356887253
Rictor_pT1135-R-V	-0.00174951799999995
S6-R-E	-0.213440496
S6_pS235_S236-R-V	0.350810201
S6_pS240_S244-R-V	0.149485245
SCD-M-V	0.264752246
SETD2-R-E	0.363739019
SF2-M-V	0.053707884
Shc_pY317-R-E	-0.0655123249999998
Smac-M-E	0.648010887
Smad1-R-V	-0.039687766
Smad3-R-V	0.03211082
Smad4-M-V	0.00626641899999991
Snail-M-E	2.431045597
Src-M-V	-0.178892945
Src_pY416-R-C	0.687125237
Src_pY527-R-V	0.830135966
STAT3_pY705-R-V	0.38948629
STAT5-alpha-R-V	-1.141388183
Stathmin-R-V	0.0409417330000001
Syk-M-V	-0.632387253
TAZ-R-V	0.175159473
TIGAR-R-V	-0.170230091
Transglutaminase-M-V	0.0326187620000001
TFRC-R-V	-0.68806612
TSC1-R-C	-0.306692739
TTF1-R-V	-0.146791146
Tuberin-R-E	-0.854674675
Tuberin_pT1462-R-V	-0.0349230679999999
VEGFR2-R-V	-0.11313128
EPPK1-M-E	-0.776913079
XBP1-G-C	-0.525403371
XRCC1-R-E	0.165140553
YAP-R-E	0.20883704
YAP_pS127-R-E	0.759054689
YB-1-R-V	0.050606341
YB-1_pS102-R-V	-0.0201042299999999
JAB1-M-C	0.12704922
PARP1-R-V	-0.017202803
A-Raf-R-V	0.198213393
ARID1A-R-C	-0.696173341
B-Raf_pS445-R-V	0.16148142
Bcl2A1-R-V	-0.0704394489999999
