Sample REF	AC94BFF4-8049-498D-987E-297D102E8F1D
Composite Element REF	Protein Expression
14-3-3_beta-R-V	0.554255449
14-3-3_epsilon-M-C	-0.0362143759999998
14-3-3_zeta-R-V	0.595389707
4E-BP1-R-V	0.148664132
4E-BP1_pS65-R-V	0.121833179
4E-BP1_pT37_T46-R-V	0.310001625
4E-BP1_pT70-R-V	0.448306781
53BP1-R-E	-0.764794711
A-Raf_pS299-R-C	0.00791855400000008
ACC_pS79-R-V	-0.204363708
ACC1-R-E	-0.316940622
Acetyl-a-Tubulin-Lys40-R-C	-0.15216879
ACVRL1-R-C	0.381720247
ADAR1-M-V	-0.103746251
Akt-R-V	-1.018077663
Akt_pS473-R-V	0.014296662
Akt_pT308-R-V	0.0125204319999999
alpha-Catenin-M-V	-0.00510685400000011
AMPK_alpha-R-C	0.27960831
AMPK_pT172-R-V	-0.171661586
Annexin-1-M-E	0.592215096
Annexin_VII-M-V	0.260085368
AR-R-V	0.171623089
DIRAS3-M-E	0.284205779
ASNS-R-V	-0.0958287899999999
ATM-R-E	-0.462222794
B-Raf-M-C	-0.769543508
Bad_pS112-R-V	0.0933196300000001
Bak-R-C	-0.119585592
Bap1-c-4-M-E	-1.535233364
Bax-R-V	0.42782159
Bcl-2-M-V	0.01916794
Bcl-xL-R-V	0.504171199
Beclin-G-C	-0.0108753880000001
beta-Catenin-R-V	-1.048495806
Bid-R-C	0.236276423
Bim-R-V	-0.452416892
BRCA2-R-C	0.188989815
c-Jun_pS73-R-V	-0.325802438
c-Kit-R-V	0.687588586
c-Met-M-E	-0.311166512
c-Met_pY1235-R-V	0.490849657
c-Myc-R-C	0.569703366
C-Raf-R-V	-0.29502072
C-Raf_pS338-R-V	0.590198766
Caspase-7_cleavedD198-R-C	1.352121197
Caspase-8-M-E	-0.43242463
Caveolin-1-R-V	1.280091739
CD20-R-C	-0.088545664
CD31-M-V	0.207703664
CD49b-M-V	0.653168897
CDK1-R-V	-0.282161679
Chk1-M-C	-0.789417614
Chk1_pS345-R-C	-0.270454574
Chk2-M-E	-0.955278431
Chk2_pT68-R-C	0.453152449
cIAP-R-V	0.135507055
Claudin-7-R-V	-0.0779280199999999
Collagen_VI-R-V	0.614346496
Cyclin_B1-R-V	-0.656682649
Cyclin_D1-R-V	0.646100482
Cyclin_E1-M-V	0
Cyclin_E2-R-C	-0.269852691
DJ-1-R-E	0.459594936
Dvl3-R-V	-0.393791406
E-Cadherin-R-V	-1.331941802
eEF2-R-C	-0.860914475
eEF2K-R-V	-0.854784148
EGFR-R-V	-0.430117794
EGFR_pY1068-R-C	-0.186383141
EGFR_pY1173-R-V	0.306489847
eIF4E-R-V	0.36716384
eIF4G-R-C	-1.445345787
ER-alpha-R-V	1.007357553
ER-alpha_pS118-R-V	-0.173639611
ERCC1-M-V	-0.856496368
ERK2-R-E	-1.615399343
ETS-1-R-V	0.11661734
FASN-R-V	-1.070521313
Fibronectin-R-V	0.510656332
FoxM1-R-V	-0.0122185139999997
FOXO3a-R-C	-0.017834084
FOXO3a_pS318_S321-R-C	0.205363627
G6PD-M-V	-0.0043939820000003
GAB2-R-V	-0.565686218
GAPDH-M-C	0.41160175
