Sample REF	AD09DC41-D11F-40EC-BEDA-17B761E52DC8
Composite Element REF	Protein Expression
14-3-3_beta-R-V	0.192235406
14-3-3_epsilon-M-C	-0.257071212
14-3-3_zeta-R-V	0.651186312
4E-BP1-R-V	0.156662206
4E-BP1_pS65-R-V	0.0150689919999999
4E-BP1_pT37_T46-R-V	0.590216058
4E-BP1_pT70-R-V	0.264851756
53BP1-R-E	-1.36066615
A-Raf_pS299-R-C	0.00305005799999991
ACC_pS79-R-V	0.274071138
ACC1-R-E	0.401256983
Acetyl-a-Tubulin-Lys40-R-C	-1.301475743
ACVRL1-R-C	0.187148875
ADAR1-M-V	-0.0509440970000001
Akt-R-V	-0.900241076
Akt_pS473-R-V	0.119632359
Akt_pT308-R-V	0.215136446
alpha-Catenin-M-V	-0.110002395
AMPK_alpha-R-C	0.0541041499999999
AMPK_pT172-R-V	-0.105226626
Annexin-1-M-E	0.561554931
Annexin_VII-M-V	0.310337096
AR-R-V	-0.218282959
DIRAS3-M-E	-0.0105061230000001
ASNS-R-V	0
ATM-R-E	-0.416544763
B-Raf-M-C	-1.817442496
Bad_pS112-R-V	-0.00453680500000009
Bak-R-C	-0.137566138
Bap1-c-4-M-E	-1.632749816
Bax-R-V	0.273807354
Bcl-2-M-V	0.307430453
Bcl-xL-R-V	-0.116165727
Beclin-G-C	-0.741085929
beta-Catenin-R-V	-2.421237614
Bid-R-C	0.0782707849999999
Bim-R-V	-0.228657591
BRCA2-R-C	-0.1969015
c-Jun_pS73-R-V	-0.967917565
c-Kit-R-V	0.597680434
c-Met-M-E	0.181445668
c-Met_pY1235-R-V	0.165774354
c-Myc-R-C	0.252920915
C-Raf-R-V	-0.552264531
C-Raf_pS338-R-V	0.379252627
Caspase-7_cleavedD198-R-C	0.272728818
Caspase-8-M-E	0.196937721
Caveolin-1-R-V	0.468462541
CD20-R-C	-0.301687376
CD31-M-V	0.233145056
CD49b-M-V	0.177614051
CDK1-R-V	-0.265913943
Chk1-M-C	-0.838901132
Chk1_pS345-R-C	-0.36377488
Chk2-M-E	-0.0868843100000003
Chk2_pT68-R-C	0.170637642
cIAP-R-V	0.230591247
Claudin-7-R-V	-0.82153223
Collagen_VI-R-V	0.382630442
Cyclin_B1-R-V	-0.51472422
Cyclin_D1-R-V	0.138542278
Cyclin_E1-M-V	0.0011208979999997
Cyclin_E2-R-C	-0.310906757
DJ-1-R-E	0.360437067
Dvl3-R-V	-0.44830751
E-Cadherin-R-V	-2.889245536
eEF2-R-C	-0.334005364
eEF2K-R-V	-1.769416526
EGFR-R-V	-1.011984864
EGFR_pY1068-R-C	-0.584086192
EGFR_pY1173-R-V	0.045594206
eIF4E-R-V	0.319255359
eIF4G-R-C	-2.567406652
ER-alpha-R-V	0.213932524
ER-alpha_pS118-R-V	-0.359589306
ERCC1-M-V	-1.235085482
ERK2-R-E	-0.391568647
ETS-1-R-V	0.0875545199999999
FASN-R-V	0.49687723
Fibronectin-R-V	0.225520735
FoxM1-R-V	-0.246911123
FOXO3a-R-C	-0.146016908
FOXO3a_pS318_S321-R-C	-0.0121625380000001
G6PD-M-V	-0.122644884
GAB2-R-V	-1.040893467
GAPDH-M-C	0.437900692
GATA3-M-V	-0.302771681
GSK3-alpha-beta-M-V	0.0698366569999999
GSK3-alpha-beta_pS21_S9-R-V	0.0429083059999999
GSK3_pS9-R-V	-0.247770753
HER2-M-V	-1.603811294
HER2_pY1248-R-C	-0.339760154
HER3-R-V	-0.547637569
HER3_pY1289-R-C	0.0176145639999998
Heregulin-R-V	0.0484711739999997
HSP70-R-C	-0.0884051590000001
IGFBP2-R-V	1.092182554
INPP4B-R-V	0.21579729
IRS1-R-V	-0.228298521
JNK_pT183_pY185-R-V	0.0930162960000001
JNK2-R-C	-0.552861417
Ku80-R-C	-0.769715009
Lck-R-V	0.226348718
LKB1-M-E	0.102822559
MAPK_pT202_Y204-R-V	0.897311631
MEK1-R-V	0.30038587
MEK1_pS217_S221-R-V	0.195053339
MIG-6-M-V	0.120363844
Mre11-R-C	0.174783071
MSH2-M-V	-0.847839521
MSH6-R-C	-1.411320589
mTOR-R-V	-0.740527478
mTOR_pS2448-R-C	0.037018343
MYH11-R-V	1.161187638
Myosin-IIa_pS1943-R-V	0.12463353
N-Cadherin-R-V	-0.163805492
N-Ras-M-V	0.14852827
NDRG1_pT346-R-V	1.069800218
NF-kB-p65_pS536-R-C	-0.197302739
NF2-R-C	0.0637664649999998
Notch1-R-V	-0.350230954
P-Cadherin-R-C	-0.180428284
p21-R-V	0.970006182
p27-R-V	0.136091752
p27_pT157-R-C	-0.155910504
p27_pT198-R-V	-0.241577232
p38_MAPK-R-V	0.221629305
p38_pT180_Y182-R-V	0.877405564
p53-R-E	-0.458011841
p62-LCK-ligand-M-C	-1.195842684
p70S6K-R-V	-0.494045903
p70S6K_pT389-R-V	-0.275901833
p90RSK-R-C	-0.533623668
p90RSK_pT359_S363-R-C	-0.415378694
PAI-1-M-E	0.503563616
PARP_cleaved-M-E	0.019123381
Paxillin-R-C	-0.917811647
PCNA-M-C	0.0239978449999999
PDCD4-R-C	0.539006389
PDK1-R-V	0.0616354819999998
PDK1_pS241-R-V	-0.0686175400000002
PEA15-R-V	0.351987099
PEA15_pS116-R-V	-0.326727077
PI3K-p110-alpha-R-C	-0.226799214
PI3K-p85-R-V	0.0180029009999999
PKC-alpha-M-V	-0.426301404
PKC-alpha_pS657-R-C	-0.445508947
PKC-delta_pS664-R-V	-0.267419255
PKC-pan_BetaII_pS660-R-V	-0.783853155
PR-R-V	0.161726421
PRAS40_pT246-R-V	-0.223495843
PRDX1-R-V	0.183717267
PREX1-R-E	0.286741729
PTEN-R-V	0.187533718
Rab11-R-E	0.0845333769999999
Rab25-R-V	-0.301897786
Rad50-M-V	-0.256176583
Rad51-R-V	0.162705012
Raptor-R-V	-0.22638942
Rb-M-E	0.166006125
Rb_pS807_S811-R-V	-0.19797751
RBM15-R-V	-1.69104162
Rictor-R-C	-0.466345862
Rictor_pT1135-R-V	0.21722496
S6-R-E	-1.096791789
S6_pS235_S236-R-V	0.0983765909999998
S6_pS240_S244-R-V	-0.265665985
SCD-M-V	0.118739297
SETD2-R-E	0.381319401
SF2-M-V	-0.0849949810000001
Shc_pY317-R-E	-0.267604361
Smac-M-E	0.330388275
Smad1-R-V	-0.421824136
Smad3-R-V	0.0362975689999999
Smad4-M-V	0.0935414599999997
Snail-M-E	-0.0552616320000003
Src-M-V	-0.256934251
Src_pY416-R-C	0.902735462
Src_pY527-R-V	0.634304743
STAT3_pY705-R-V	0.281972934
STAT5-alpha-R-V	-2.11690389
Stathmin-R-V	0.132661845
Syk-M-V	-0.136821043
TAZ-R-V	0.1913226
TIGAR-R-V	-0.258317573
Transglutaminase-M-V	0.0807167809999998
TFRC-R-V	-0.966628529
TSC1-R-C	-0.562187222
TTF1-R-V	-0.404345439
Tuberin-R-E	-1.294496096
Tuberin_pT1462-R-V	-0.202564733
VEGFR2-R-V	-0.521404605
EPPK1-M-E	-1.053519797
XBP1-G-C	-0.844438182
XRCC1-R-E	0.0994286589999999
YAP-R-E	0.875772891
YAP_pS127-R-E	1.140038438
YB-1-R-V	-0.0375191300000001
YB-1_pS102-R-V	0.0759762989999998
JAB1-M-C	0.192003681
PARP1-R-V	-0.137196299
A-Raf-R-V	0.0926635419999999
ARID1A-R-C	-1.361465845
B-Raf_pS445-R-V	0.17235257
Bcl2A1-R-V	0.0978349909999999
BRD4-R-V	-0.846615125
c-Abl-R-V	0.156008584
Caspase-3-R-C	0.0827030549999999
CD26-R-V	-0.0889952040000002
Chk1_pS296-R-V	0.149026925
COG3-R-V	-1.175232736
DUSP4-R-V	0.385511914
ERCC5-R-C	0.108417951
IGF1R_pY1135_Y1136-R-V	0.21380467
IRF-1-R-C	-0.289599716
Jak2-R-V	-0.809573713
p16_INK4a-R-V	0.377003716
SHP-2_pY542-R-C	0.058947844
CDK1_pY15-R-C	0.244777088
