Sample REF	ADB7A8CB-073E-42FE-8219-650EDE7B72DF
Composite Element REF	Protein Expression
14-3-3_beta-R-V	-0.151344075
14-3-3_epsilon-M-C	-0.040175851
14-3-3_zeta-R-V	-0.624649161
4E-BP1-R-V	0.233943758
4E-BP1_pS65-R-V	-0.221687548
4E-BP1_pT37_T46-R-V	-1.089204823
4E-BP1_pT70-R-V	-0.225607102
53BP1-R-E	0.756838969
A-Raf_pS299-R-C	0.113662335
ACC_pS79-R-V	0.207737896
ACC1-R-E	0.797633236
Acetyl-a-Tubulin-Lys40-R-C	0.546260148
ACVRL1-R-C	0.073031027
ADAR1-M-V	0.097797491
Akt-R-V	0.039732232
Akt_pS473-R-V	-0.712589053
Akt_pT308-R-V	-0.551870151
alpha-Catenin-M-V	0.105572854
AMPK_alpha-R-C	0.015594061
AMPK_pT172-R-V	0.488643903
Annexin-1-M-E	-0.829379312
Annexin_VII-M-V	-0.0786012780000001
AR-R-V	0.297606845
DIRAS3-M-E	0.107960558
ASNS-R-V	-0.429322976
ATM-R-E	1.05774786
B-Raf-M-C	-0.110876266
Bad_pS112-R-V	-0.498217425
Bak-R-C	0.0374584930000001
Bap1-c-4-M-E	0.709902169
Bax-R-V	0.072470738
Bcl-2-M-V	1.016700104
Bcl-xL-R-V	-0.154920797
Beclin-G-C	0.25518669
beta-Catenin-R-V	0.503701292
Bid-R-C	-0.0817731549999999
Bim-R-V	0.257038193
BRCA2-R-C	0.000436255999999968
c-Jun_pS73-R-V	-0.277921287
c-Kit-R-V	-0.213815644
c-Met-M-E	-0.09150429
c-Met_pY1235-R-V	0.031036344
c-Myc-R-C	-0.5577711
C-Raf-R-V	0.343560633
C-Raf_pS338-R-V	-0.152993925
Caspase-7_cleavedD198-R-C	-0.105114371
Caspase-8-M-E	0.021609859
Caveolin-1-R-V	-0.589940613
CD20-R-C	0.059179664
CD31-M-V	0.183077863
CD49b-M-V	-0.062956721
CDK1-R-V	0.00245844099999992
Chk1-M-C	0.397365146
Chk1_pS345-R-C	-0.066593749
Chk2-M-E	0.626445017
Chk2_pT68-R-C	0.03216085
cIAP-R-V	0.616829877
Claudin-7-R-V	-1.166761886
Collagen_VI-R-V	-0.183966883
Cyclin_B1-R-V	0.200584004
Cyclin_D1-R-V	-0.610887031
Cyclin_E1-M-V	-0.22121349
Cyclin_E2-R-C	0.143883489
DJ-1-R-E	0.289192612
Dvl3-R-V	0.468080691
E-Cadherin-R-V	0.597944345
eEF2-R-C	0.00376842799999999
eEF2K-R-V	0.676871801
EGFR-R-V	-0.0672634569999999
EGFR_pY1068-R-C	-0.203946853
EGFR_pY1173-R-V	0.019358686
eIF4E-R-V	0.179537542
eIF4G-R-C	0.638246709
ER-alpha-R-V	1.395364032
ER-alpha_pS118-R-V	0.00807268700000008
ERCC1-M-V	0.219840344
ERK2-R-E	-0.336906681
ETS-1-R-V	0.35082051
FASN-R-V	0.414832806
Fibronectin-R-V	0.188578568
FoxM1-R-V	0.430490554
FOXO3a-R-C	0.196099519
FOXO3a_pS318_S321-R-C	-0.190635122
G6PD-M-V	-0.0809787820000001
GAB2-R-V	-0.412769496
GAPDH-M-C	0.526215033
GATA3-M-V	-0.00736425900000004
GSK3-alpha-beta-M-V	0.249490884
GSK3-alpha-beta_pS21_S9-R-V	-0.630481054
GSK3_pS9-R-V	-0.792552099
HER2-M-V	-0.092710698
HER2_pY1248-R-C	-0.260563594
HER3-R-V	-0.215153613
HER3_pY1289-R-C	0.113579442
Heregulin-R-V	0.0493866249999999
HSP70-R-C	-0.559574051
IGFBP2-R-V	-0.455078501
INPP4B-R-V	-0.118183099
IRS1-R-V	-0.257347279
JNK_pT183_pY185-R-V	-0.0346573969999999
JNK2-R-C	0.142268636
Ku80-R-C	0.314485512
Lck-R-V	-0.432494452
LKB1-M-E	-0.124613867
MAPK_pT202_Y204-R-V	-0.73962804
MEK1-R-V	0.27499198
MEK1_pS217_S221-R-V	-0.142796401
MIG-6-M-V	0.339931495
Mre11-R-C	0.00208038300000002
MSH2-M-V	0.850658661
MSH6-R-C	0.953624752
mTOR-R-V	0.359808557
mTOR_pS2448-R-C	-0.144231979
MYH11-R-V	-0.465331768
Myosin-IIa_pS1943-R-V	-0.00654911699999999
N-Cadherin-R-V	-0.055201106
N-Ras-M-V	0.046024504
NDRG1_pT346-R-V	-1.877919378
NF-kB-p65_pS536-R-C	-0.583133723
NF2-R-C	0.117975072
Notch1-R-V	1.336208336
P-Cadherin-R-C	-0.014405462
p21-R-V	-2.176689827
p27-R-V	0.0190549369999999
p27_pT157-R-C	0
p27_pT198-R-V	0.021631511
p38_MAPK-R-V	-0.023360704
p38_pT180_Y182-R-V	-0.966402056
p53-R-E	-0.040502799
p62-LCK-ligand-M-C	0.875193937
p70S6K-R-V	0.370307358
p70S6K_pT389-R-V	-0.203713898
p90RSK-R-C	0.260315102
p90RSK_pT359_S363-R-C	-0.485112783
PAI-1-M-E	-0.457387967
PARP_cleaved-M-E	0.473727712
Paxillin-R-C	-0.395593626
PCNA-M-C	0.236204581
PDCD4-R-C	-1.222980251
PDK1-R-V	-0.208039844
PDK1_pS241-R-V	-0.270016342
PEA15-R-V	-0.366577897
PEA15_pS116-R-V	-0.210329453
PI3K-p110-alpha-R-C	0.189064589
PI3K-p85-R-V	-0.0546090619999999
PKC-alpha-M-V	-0.492093058
PKC-alpha_pS657-R-C	-0.657097201
PKC-delta_pS664-R-V	-0.340087919
PKC-pan_BetaII_pS660-R-V	-1.222839337
PR-R-V	0.00499462700000008
PRAS40_pT246-R-V	-0.240019396
PRDX1-R-V	-0.725548088
PREX1-R-E	-0.324553257
PTEN-R-V	0.579299158
Rab11-R-E	-0.222151438
Rab25-R-V	0.235641383
Rad50-M-V	0.270544642
Rad51-R-V	-0.339836715
Raptor-R-V	-0.059451048
Rb-M-E	-0.167324883
Rb_pS807_S811-R-V	-0.248784589
RBM15-R-V	0.07853497
Rictor-R-C	-0.356718034
Rictor_pT1135-R-V	-0.362090427
S6-R-E	0.219819668
S6_pS235_S236-R-V	-1.084653866
S6_pS240_S244-R-V	-0.550726849
SCD-M-V	0.040528044
SETD2-R-E	-0.312027564
SF2-M-V	0.623015198
Shc_pY317-R-E	-0.144368055
Smac-M-E	0.406897224
Smad1-R-V	0.444083647
Smad3-R-V	-0.030263657
Smad4-M-V	0.385520732
Snail-M-E	0.226375154
Src-M-V	0.043146225
Src_pY416-R-C	0.141184892
Src_pY527-R-V	-0.814656869
STAT3_pY705-R-V	-0.385768224
STAT5-alpha-R-V	0.391974079
Stathmin-R-V	-0.169942608
Syk-M-V	0.974180773
TAZ-R-V	-0.107182541
TIGAR-R-V	0.239989972
Transglutaminase-M-V	-0.714555705
TFRC-R-V	0.564248515
TSC1-R-C	0.243615879
TTF1-R-V	0.02472123
Tuberin-R-E	0.389964169
Tuberin_pT1462-R-V	-0.231601358
VEGFR2-R-V	0.538359165
EPPK1-M-E	-0.672685341
XBP1-G-C	0.0229447839999999
XRCC1-R-E	0.350260408
YAP-R-E	0.170297605
YAP_pS127-R-E	-1.184489738
YB-1-R-V	-0.039834325
YB-1_pS102-R-V	-0.387364708
JAB1-M-C	0.27282503
PARP1-R-V	1.377035564
A-Raf-R-V	0.325563263
ARID1A-R-C	0.784482873
B-Raf_pS445-R-V	-0.031259401
Bcl2A1-R-V	-0.268366777
BRD4-R-V	0.609744978
c-Abl-R-V	0.178817378
Caspase-3-R-C	0.101552676
CD26-R-V	-0.152864491
Chk1_pS296-R-V	-0.101410977
COG3-R-V	-0.209626116
DUSP4-R-V	-0.231250754
ERCC5-R-C	-0.387177603
IGF1R_pY1135_Y1136-R-V	-0.0483396779999999
IRF-1-R-C	0.043371969
Jak2-R-V	0.409954546
p16_INK4a-R-V	0.537507151
SHP-2_pY542-R-C	-0.409821176
CDK1_pY15-R-C	-0.067697594
