Sample REF	AE69D647-895F-4476-873B-18BA147D1489
Composite Element REF	Protein Expression
14-3-3_beta-R-V	-0.145841513
14-3-3_epsilon-M-C	-0.0119785
14-3-3_zeta-R-V	-0.36915441
4E-BP1-R-V	-0.033958213
4E-BP1_pS65-R-V	0.0138515410000001
4E-BP1_pT37_T46-R-V	0.29318744
4E-BP1_pT70-R-V	0.000693189000000052
53BP1-R-E	0.329438508
A-Raf_pS299-R-C	-0.00398499299999999
ACC_pS79-R-V	0.183504187
ACC1-R-E	0.119520609
Acetyl-a-Tubulin-Lys40-R-C	0.552468512
ACVRL1-R-C	-0.199501944
ADAR1-M-V	0.227654896
Akt-R-V	0
Akt_pS473-R-V	0.337745203
Akt_pT308-R-V	0.156579805
alpha-Catenin-M-V	0.11571314
AMPK_alpha-R-C	-0.336542802
AMPK_pT172-R-V	-0.862138576
Annexin-1-M-E	-1.084097635
Annexin_VII-M-V	-0.0953294100000001
AR-R-V	0.02594504
DIRAS3-M-E	-0.063963909
ASNS-R-V	0.835383626
ATM-R-E	0.106557863
B-Raf-M-C	0.146910172
Bad_pS112-R-V	0.155544519
Bak-R-C	-0.0202372639999998
Bap1-c-4-M-E	0.124166379
Bax-R-V	-0.229171462
Bcl-2-M-V	0.546711054
Bcl-xL-R-V	-0.107675236
Beclin-G-C	0.376184505
beta-Catenin-R-V	0.0570419780000001
Bid-R-C	-0.196223236
Bim-R-V	0.717920192
BRCA2-R-C	0.020639261
c-Jun_pS73-R-V	0.224919098
c-Kit-R-V	-0.104320758
c-Met-M-E	0.0394486630000001
c-Met_pY1235-R-V	-0.08159008
c-Myc-R-C	-0.20407892
C-Raf-R-V	-0.047686977
C-Raf_pS338-R-V	-0.179406694
Caspase-7_cleavedD198-R-C	-0.485174536
Caspase-8-M-E	-0.127665755
Caveolin-1-R-V	-0.44186229
CD20-R-C	-0.083960978
CD31-M-V	0.245090704
CD49b-M-V	-0.050449149
CDK1-R-V	0.137638799
Chk1-M-C	0.0150355939999997
Chk1_pS345-R-C	-0.114524482
Chk2-M-E	0.745103164
Chk2_pT68-R-C	-0.0328205829999999
