Sample REF	AFA27E8B-A438-4D1A-9344-6E760E7A890F
Composite Element REF	Protein Expression
14-3-3_beta-R-V	1.154726379
14-3-3_epsilon-M-C	-0.622469291
14-3-3_zeta-R-V	0.31579234
4E-BP1-R-V	-0.562994287
4E-BP1_pS65-R-V	-0.637306387
4E-BP1_pT37_T46-R-V	0.190284451
4E-BP1_pT70-R-V	-0.373699227
53BP1-R-E	-0.212469344
A-Raf_pS299-R-C	-0.392480478
ACC_pS79-R-V	1.520949207
ACC1-R-E	1.458661169
Acetyl-a-Tubulin-Lys40-R-C	1.170752272
ACVRL1-R-C	0.109254922
ADAR1-M-V	-0.415122902
Akt-R-V	0.118345814
Akt_pS473-R-V	0.875767069
Akt_pT308-R-V	0.493930932999999
alpha-Catenin-M-V	-0.368215766
AMPK_alpha-R-C	-0.414496655
AMPK_pT172-R-V	-0.216498994
Annexin-1-M-E	0.461226266
Annexin_VII-M-V	0.233850151999999
AR-R-V	-0.178366747
DIRAS3-M-E	-0.6311214
ASNS-R-V	0.298592194
ATM-R-E	-0.247871604
B-Raf-M-C	0.111024336
Bad_pS112-R-V	-0.633707222
Bak-R-C	-0.138400336
Bap1-c-4-M-E	0.491976267
Bax-R-V	-0.107624022
Bcl-2-M-V	1.363484488
Bcl-xL-R-V	0.0983672829999995
Beclin-G-C	2.005929749
beta-Catenin-R-V	-0.685524701000001
Bid-R-C	0.814931249
Bim-R-V	-0.358280229
BRCA2-R-C	0.335651549999999
c-Jun_pS73-R-V	0.115974172999999
c-Kit-R-V	0.166360704
c-Met-M-E	-0.467309845
c-Met_pY1235-R-V	-0.544010382
c-Myc-R-C	2.329936048
C-Raf-R-V	-0.265339026
C-Raf_pS338-R-V	-0.120027469
Caspase-7_cleavedD198-R-C	-0.0958161640000004
Caspase-8-M-E	-0.866477015000001
Caveolin-1-R-V	2.172230102
CD20-R-C	1.397921212
CD31-M-V	-0.462602367000001
CD49b-M-V	-0.170900426
CDK1-R-V	-0.190671534000001
Chk1-M-C	-0.0654764120000002
Chk1_pS345-R-C	-0.236414247
Chk2-M-E	-0.306450214
Chk2_pT68-R-C	-1.059885858
cIAP-R-V	-0.574569304000001
Claudin-7-R-V	-2.37758457
Collagen_VI-R-V	3.08395571
Cyclin_B1-R-V	-0.450667525000001
Cyclin_D1-R-V	1.365968332
