Sample REF	AFE9BCB4-EE5E-426D-87FF-0F823DDF7351
Composite Element REF	Protein Expression
14-3-3_beta-R-V	0.033194324
14-3-3_epsilon-M-C	-0.0250168479999999
14-3-3_zeta-R-V	0.209483198
4E-BP1-R-V	-0.447189705
4E-BP1_pS65-R-V	0.03697934
4E-BP1_pT37_T46-R-V	0.261021114
4E-BP1_pT70-R-V	-0.155289445
53BP1-R-E	0.022371363
A-Raf_pS299-R-C	-0.142527666
ACC_pS79-R-V	-0.145365284
ACC1-R-E	0.3476711
Acetyl-a-Tubulin-Lys40-R-C	-1.213416231
ACVRL1-R-C	0.0701454079999999
ADAR1-M-V	0.0802008379999999
Akt-R-V	-0.80462812
Akt_pS473-R-V	0.0441484409999999
Akt_pT308-R-V	-0.187224026
alpha-Catenin-M-V	0.0988867259999999
AMPK_alpha-R-C	-0.270821637
AMPK_pT172-R-V	-0.70244953
Annexin-1-M-E	0.199988956
Annexin_VII-M-V	0.141579229
AR-R-V	-0.19159715
DIRAS3-M-E	0.039572818
ASNS-R-V	-0.075948152
ATM-R-E	-0.319822196
B-Raf-M-C	0.160290685
Bad_pS112-R-V	0.0731038519999999
Bak-R-C	-0.0912085469999999
Bap1-c-4-M-E	0.264208608
Bax-R-V	0.012575606
Bcl-2-M-V	0.179814296
Bcl-xL-R-V	-0.026887857
Beclin-G-C	-0.023913224
beta-Catenin-R-V	-0.100914338
Bid-R-C	-0.011802874
Bim-R-V	0.938474557
BRCA2-R-C	-0.0809317540000001
c-Jun_pS73-R-V	0.387977131
c-Kit-R-V	-0.0350955309999998
c-Met-M-E	-0.0955031190000004
c-Met_pY1235-R-V	0.0646003509999999
c-Myc-R-C	-0.130929489
C-Raf-R-V	-0.132104894
C-Raf_pS338-R-V	0.226757186
Caspase-7_cleavedD198-R-C	-0.498015168
Caspase-8-M-E	0.34643274
Caveolin-1-R-V	-0.402840056
CD20-R-C	-0.013604076
CD31-M-V	0.174607427
CD49b-M-V	0.339280536
CDK1-R-V	0.102861199
Chk1-M-C	-0.130824665
Chk1_pS345-R-C	-0.184453569
Chk2-M-E	0.114734336
Chk2_pT68-R-C	0.08710986
cIAP-R-V	0
Claudin-7-R-V	0.458181511
Collagen_VI-R-V	0.106258262
Cyclin_B1-R-V	0.276888107
Cyclin_D1-R-V	0.151416167
Cyclin_E1-M-V	-0.0993231540000004
Cyclin_E2-R-C	-0.066852561
DJ-1-R-E	0.146024125
Dvl3-R-V	-0.0232928480000001
E-Cadherin-R-V	0.41301742
eEF2-R-C	-0.234431676
eEF2K-R-V	0.152508749
EGFR-R-V	0.15473627
EGFR_pY1068-R-C	0.311922568
EGFR_pY1173-R-V	0.0183961159999999
eIF4E-R-V	0.249575987
eIF4G-R-C	0.139829295
ER-alpha-R-V	-0.398117876
ER-alpha_pS118-R-V	-0.0708930919999999
ERCC1-M-V	-0.039189983
ERK2-R-E	-1.112380502
ETS-1-R-V	-0.0974227970000001
FASN-R-V	0.338820896
Fibronectin-R-V	-0.467822935
FoxM1-R-V	-0.287829769
FOXO3a-R-C	-0.0543686120000002
FOXO3a_pS318_S321-R-C	0.04453686
G6PD-M-V	0.0404991239999997
GAB2-R-V	-0.318829158
GAPDH-M-C	-0.106538425
GATA3-M-V	0.400533381
GSK3-alpha-beta-M-V	0.0224593329999999
GSK3-alpha-beta_pS21_S9-R-V	-0.365774135
GSK3_pS9-R-V	-0.434759333
HER2-M-V	-0.101769524
HER2_pY1248-R-C	0.153291571
HER3-R-V	0.875863336
HER3_pY1289-R-C	0.213174709
Heregulin-R-V	-0.09337957
HSP70-R-C	-0.0179105470000001
IGFBP2-R-V	-1.034949112
INPP4B-R-V	-0.0387124569999999
IRS1-R-V	-0.036773545
JNK_pT183_pY185-R-V	-0.03415546
JNK2-R-C	-0.299160183
Ku80-R-C	-0.385496949
Lck-R-V	-0.081356444
LKB1-M-E	-0.048244622
MAPK_pT202_Y204-R-V	1.235284413
MEK1-R-V	0.217878507
MEK1_pS217_S221-R-V	0.26472653
MIG-6-M-V	0.0384736779999999
Mre11-R-C	0.0926838409999999
MSH2-M-V	-0.0208718040000004
MSH6-R-C	-0.0614357270000001
mTOR-R-V	-0.0934892059999999
mTOR_pS2448-R-C	0.194343125
MYH11-R-V	0.206035921
Myosin-IIa_pS1943-R-V	0.038962623
N-Cadherin-R-V	-0.14138325
N-Ras-M-V	0.099416183
NDRG1_pT346-R-V	1.594875136
NF-kB-p65_pS536-R-C	-0.131549738
NF2-R-C	-0.00719882900000002
Notch1-R-V	0.0967405339999998
P-Cadherin-R-C	0.0289577749999999
p21-R-V	0.780166321
p27-R-V	-0.0797064110000001
p27_pT157-R-C	-0.097629197
p27_pT198-R-V	0.00353872699999991
p38_MAPK-R-V	0.203314022
p38_pT180_Y182-R-V	0.705542089
p53-R-E	-0.128551881
p62-LCK-ligand-M-C	0.295864331
p70S6K-R-V	-0.0258863580000001
p70S6K_pT389-R-V	-0.032163114
p90RSK-R-C	-0.704609506
p90RSK_pT359_S363-R-C	0.00133947999999995
PAI-1-M-E	-0.531604559
PARP_cleaved-M-E	0.187974259
Paxillin-R-C	-1.576598312
PCNA-M-C	-0.007095509
PDCD4-R-C	0.5312636
PDK1-R-V	-0.150173735
PDK1_pS241-R-V	-0.300309553
PEA15-R-V	0.034674898
PEA15_pS116-R-V	-0.53290246
PI3K-p110-alpha-R-C	-0.175683918
PI3K-p85-R-V	-0.37203864
PKC-alpha-M-V	-0.243759026
PKC-alpha_pS657-R-C	-1.296746002
PKC-delta_pS664-R-V	-0.720969539
PKC-pan_BetaII_pS660-R-V	-0.680187089
PR-R-V	0.040730959
PRAS40_pT246-R-V	0.059244928
PRDX1-R-V	0.283143444
PREX1-R-E	0.00407375799999987
PTEN-R-V	0.191351426
Rab11-R-E	0.00396098100000003
Rab25-R-V	0.607596165
Rad50-M-V	-0.151195243
Rad51-R-V	0.153641837
Raptor-R-V	-0.22421704
Rb-M-E	0.0256137089999999
Rb_pS807_S811-R-V	0.196815725
RBM15-R-V	-0.175797678
Rictor-R-C	-0.761587992
Rictor_pT1135-R-V	0.0175795949999999
S6-R-E	0.25396943
S6_pS235_S236-R-V	1.142876944
S6_pS240_S244-R-V	0.745023356
SCD-M-V	0.00410528099999996
SETD2-R-E	8.36840000000283e-05
SF2-M-V	-0.235332577
Shc_pY317-R-E	0.328911065
Smac-M-E	-0.057296736
Smad1-R-V	0.091824306
Smad3-R-V	-0.0954693210000001
Smad4-M-V	0.129212688
Snail-M-E	0.319990624
Src-M-V	-0.117188068
Src_pY416-R-C	0.790171094
Src_pY527-R-V	0.381890402
STAT3_pY705-R-V	-0.00922339100000003
STAT5-alpha-R-V	-1.10351545
Stathmin-R-V	0.01570322
Syk-M-V	0.012820088
TAZ-R-V	-0.024695543
TIGAR-R-V	-0.261939589
Transglutaminase-M-V	-0.219233669
TFRC-R-V	-0.807289523
TSC1-R-C	-0.440371201
TTF1-R-V	-0.282749616
Tuberin-R-E	-0.273606946
Tuberin_pT1462-R-V	-0.108377119
VEGFR2-R-V	0.255175882
EPPK1-M-E	1.261286119
XBP1-G-C	-0.33300358
XRCC1-R-E	0.171887139
YAP-R-E	0.315921491
YAP_pS127-R-E	0.471678254
YB-1-R-V	-0.147739695
YB-1_pS102-R-V	0.02301605
JAB1-M-C	0.232159412
PARP1-R-V	0.278393822
A-Raf-R-V	0.120953707
ARID1A-R-C	-0.184042483
B-Raf_pS445-R-V	0.404049627
Bcl2A1-R-V	-0.00622161799999998
BRD4-R-V	-0.280105189
c-Abl-R-V	-0.00685545399999998
Caspase-3-R-C	0.0343845459999998
CD26-R-V	-0.256615498
Chk1_pS296-R-V	-0.036076464
COG3-R-V	-0.462889363
DUSP4-R-V	-0.0384052810000002
ERCC5-R-C	0.511342973
IGF1R_pY1135_Y1136-R-V	0.018872251
IRF-1-R-C	-0.181611511
Jak2-R-V	-0.171815852
p16_INK4a-R-V	0.246232106
SHP-2_pY542-R-C	0.374348211
CDK1_pY15-R-C	0.52134484
