Sample REF	B1B3C261-B418-4B28-AAEA-749C4370A347
Composite Element REF	Protein Expression
14-3-3_beta-R-V	0.418691005
14-3-3_epsilon-M-C	-0.13799487
14-3-3_zeta-R-V	1.0892114
4E-BP1-R-V	0.169176065
4E-BP1_pS65-R-V	0.0300698899999999
4E-BP1_pT37_T46-R-V	0.605130877
4E-BP1_pT70-R-V	0.233456569
53BP1-R-E	-0.455045556
A-Raf_pS299-R-C	0.28537322
ACC_pS79-R-V	-0.032625056
ACC1-R-E	-0.462468965
Acetyl-a-Tubulin-Lys40-R-C	-1.428972603
ACVRL1-R-C	0.189664764
ADAR1-M-V	0.0507131519999999
Akt-R-V	-1.593505908
Akt_pS473-R-V	0.104253161
Akt_pT308-R-V	0.09110716
alpha-Catenin-M-V	0.095777599
AMPK_alpha-R-C	0.22355255
AMPK_pT172-R-V	-0.939248093
Annexin-1-M-E	-0.557016941
Annexin_VII-M-V	0.24943753
AR-R-V	-0.156371792
DIRAS3-M-E	-0.068684951
ASNS-R-V	0.209040725
ATM-R-E	-0.933346461
B-Raf-M-C	-1.318530026
Bad_pS112-R-V	0.248771775
Bak-R-C	-0.116473535
Bap1-c-4-M-E	-0.488446466
Bax-R-V	0.628917772
Bcl-2-M-V	0.705707677
Bcl-xL-R-V	0.225755468
Beclin-G-C	-0.272307242
beta-Catenin-R-V	-1.819270467
Bid-R-C	-0.178411416
Bim-R-V	-0.109790196
BRCA2-R-C	0.173847069
c-Jun_pS73-R-V	-0.316911245
c-Kit-R-V	0.352391554
c-Met-M-E	0.189102481
c-Met_pY1235-R-V	0.217062862
c-Myc-R-C	-0.687110261
C-Raf-R-V	-0.605544668
C-Raf_pS338-R-V	0.367925974
Caspase-7_cleavedD198-R-C	0.611538192
Caspase-8-M-E	-0.432456284
Caveolin-1-R-V	0.088714887
CD20-R-C	-0.0494682530000001
CD31-M-V	0.570986029
CD49b-M-V	0.226954576
CDK1-R-V	0.235410814
Chk1-M-C	-0.567144544
Chk1_pS345-R-C	-0.0605768900000001
Chk2-M-E	0.0587535889999997
Chk2_pT68-R-C	0.251330049
cIAP-R-V	-0.053510947
Claudin-7-R-V	-0.536223362
Collagen_VI-R-V	0.362732654
Cyclin_B1-R-V	-0.201586594
Cyclin_D1-R-V	0.249266359
Cyclin_E1-M-V	0.0963286079999996
Cyclin_E2-R-C	-0.11753221
DJ-1-R-E	0.41319688
Dvl3-R-V	-0.123089059
E-Cadherin-R-V	-1.155836728
eEF2-R-C	-1.143780927
eEF2K-R-V	-0.903769957
EGFR-R-V	-0.283325509
EGFR_pY1068-R-C	0.21711826
EGFR_pY1173-R-V	0.020889187
eIF4E-R-V	0.204322359
eIF4G-R-C	-2.163585242
ER-alpha-R-V	0.666693644
ER-alpha_pS118-R-V	-0.123743886
ERCC1-M-V	-0.682169594
ERK2-R-E	-2.129777774
ETS-1-R-V	0.20159738
FASN-R-V	-0.374338975
Fibronectin-R-V	0.192493302
FoxM1-R-V	-0.134138795
FOXO3a-R-C	0.194988378
FOXO3a_pS318_S321-R-C	0.425947084
G6PD-M-V	0.126601279
GAB2-R-V	-0.621680077
GAPDH-M-C	0.485048632
GATA3-M-V	2.036913898
GSK3-alpha-beta-M-V	-0.568482529
GSK3-alpha-beta_pS21_S9-R-V	-0.746873191
GSK3_pS9-R-V	-0.877665805
HER2-M-V	-1.174120596
HER2_pY1248-R-C	0.0674934930000001
HER3-R-V	-0.446627051
HER3_pY1289-R-C	0.231065651
Heregulin-R-V	-0.0903638700000002
HSP70-R-C	0.769537548
IGFBP2-R-V	-0.401055111
INPP4B-R-V	0.451190872
IRS1-R-V	0
JNK_pT183_pY185-R-V	0.196565507
JNK2-R-C	-0.450520176
Ku80-R-C	-0.588944474
Lck-R-V	-0.0994072180000001
LKB1-M-E	0.307295167
MAPK_pT202_Y204-R-V	1.288720114
MEK1-R-V	-0.6241041
MEK1_pS217_S221-R-V	0.460143394
MIG-6-M-V	0.208098721
Mre11-R-C	0.230493342
MSH2-M-V	-0.0359544590000003
MSH6-R-C	-0.625319457
mTOR-R-V	-0.753315095
mTOR_pS2448-R-C	0.29597623
MYH11-R-V	0.610437226
Myosin-IIa_pS1943-R-V	-1.231893577
N-Cadherin-R-V	-0.01602368
N-Ras-M-V	0.255141406
NDRG1_pT346-R-V	-0.515624221
NF-kB-p65_pS536-R-C	-0.124278461
NF2-R-C	-0.218457407
Notch1-R-V	0.195608161
P-Cadherin-R-C	-0.832902736
p21-R-V	0.68276564
p27-R-V	0.731745079
p27_pT157-R-C	-0.162249974
p27_pT198-R-V	0.153049102
p38_MAPK-R-V	0.00870342199999996
p38_pT180_Y182-R-V	0.378576215
p53-R-E	0.174334855
p62-LCK-ligand-M-C	0.342926937
p70S6K-R-V	-0.315668542
p70S6K_pT389-R-V	-0.192639442
p90RSK-R-C	-0.356770408
p90RSK_pT359_S363-R-C	0.166601475
PAI-1-M-E	0.385070507
PARP_cleaved-M-E	0.101574706
Paxillin-R-C	-1.561506596
PCNA-M-C	-0.0467591940000001
PDCD4-R-C	0.665336304
PDK1-R-V	0.035454903
PDK1_pS241-R-V	-0.856382781
PEA15-R-V	0.296029773
PEA15_pS116-R-V	-0.709832588
PI3K-p110-alpha-R-C	0.0775492489999999
PI3K-p85-R-V	-0.966059555
PKC-alpha-M-V	-0.046900374
PKC-alpha_pS657-R-C	-0.233394431
PKC-delta_pS664-R-V	0.0221579129999998
PKC-pan_BetaII_pS660-R-V	-1.392868932
PR-R-V	0.063528019
PRAS40_pT246-R-V	-0.00748562399999997
PRDX1-R-V	0.636547841
PREX1-R-E	-0.17498539
PTEN-R-V	-0.0094397610000001
Rab11-R-E	0.308564931
Rab25-R-V	0.0744838259999998
Rad50-M-V	-0.732277592
Rad51-R-V	0.495134296
Raptor-R-V	-0.567067235
Rb-M-E	0.0667134779999998
Rb_pS807_S811-R-V	-0.381695714
RBM15-R-V	-0.811659564
Rictor-R-C	-1.13946198
Rictor_pT1135-R-V	-0.112206442
S6-R-E	-0.04789297
S6_pS235_S236-R-V	0.763581048
S6_pS240_S244-R-V	0.174499233
SCD-M-V	0.07533838
SETD2-R-E	-0.235137952
SF2-M-V	-0.0730011919999998
Shc_pY317-R-E	-0.0380524189999998
Smac-M-E	0.937934107
Smad1-R-V	-0.100524729
Smad3-R-V	0.0690649459999999
Smad4-M-V	0.132346917
Snail-M-E	-0.116079604
Src-M-V	0.128030333
Src_pY416-R-C	0.969536514
Src_pY527-R-V	0.789827976
STAT3_pY705-R-V	-0.741079617
STAT5-alpha-R-V	-2.863534132
Stathmin-R-V	0.169294859
Syk-M-V	-0.642258855
TAZ-R-V	0.077065355
TIGAR-R-V	-0.150082972
Transglutaminase-M-V	0.788531294
TFRC-R-V	-1.070045958
TSC1-R-C	-1.785691491
TTF1-R-V	-0.239327123
Tuberin-R-E	-1.430009282
Tuberin_pT1462-R-V	0.191524067
VEGFR2-R-V	-0.193073219
EPPK1-M-E	-0.96317385
XBP1-G-C	-0.273629606
XRCC1-R-E	0.534197532
YAP-R-E	0.266754381
YAP_pS127-R-E	0.239539801
YB-1-R-V	-0.144164711
YB-1_pS102-R-V	0.131432711
JAB1-M-C	0.570185181
PARP1-R-V	-0.448206128
A-Raf-R-V	0.063590084
ARID1A-R-C	-1.226519663
B-Raf_pS445-R-V	0.01300939
Bcl2A1-R-V	0.085445082
BRD4-R-V	-1.039248433
c-Abl-R-V	-0.201862596
Caspase-3-R-C	0.0799684869999999
CD26-R-V	-0.240934003
Chk1_pS296-R-V	-0.058645448
COG3-R-V	-0.859183173
DUSP4-R-V	0.232656115
ERCC5-R-C	0.203993122
IGF1R_pY1135_Y1136-R-V	0.123118692
IRF-1-R-C	-0.385357616
Jak2-R-V	-0.390243325
p16_INK4a-R-V	0.572070022
SHP-2_pY542-R-C	0.436599621
CDK1_pY15-R-C	0.554917243
