Sample REF	B27BC67D-DE4A-4713-A07F-65322FB64A5B
Composite Element REF	Protein Expression
14-3-3_beta-R-V	-0.059765643
14-3-3_epsilon-M-C	-0.101598534
14-3-3_zeta-R-V	-0.489982583
4E-BP1-R-V	-0.046455332
4E-BP1_pS65-R-V	-0.276506312
4E-BP1_pT37_T46-R-V	-0.622542616
4E-BP1_pT70-R-V	-0.300875868
53BP1-R-E	0.264790824
A-Raf_pS299-R-C	-0.217262451
ACC_pS79-R-V	0.214547
ACC1-R-E	-0.44812752
Acetyl-a-Tubulin-Lys40-R-C	-0.166804886
ACVRL1-R-C	-0.051316176
ADAR1-M-V	0.059102305
Akt-R-V	-0.128558993
Akt_pS473-R-V	-0.822297516
Akt_pT308-R-V	-0.594738292
alpha-Catenin-M-V	0.522120351
AMPK_alpha-R-C	0.592904864
AMPK_pT172-R-V	1.268047098
Annexin-1-M-E	-0.220225119
Annexin_VII-M-V	0.0535874359999999
AR-R-V	-0.113597375
DIRAS3-M-E	-0.150111307
ASNS-R-V	-0.228744453
ATM-R-E	-0.171273735
B-Raf-M-C	0.091209307
Bad_pS112-R-V	-0.093333448
Bak-R-C	0.0213610610000001
Bap1-c-4-M-E	0.322860819
Bax-R-V	-0.178774658
Bcl-2-M-V	-0.060813397
Bcl-xL-R-V	0.06644973
Beclin-G-C	0.074778392
beta-Catenin-R-V	0.886936797
Bid-R-C	-0.262377014
Bim-R-V	-0.55471084
BRCA2-R-C	0.0565973689999999
c-Jun_pS73-R-V	-0.156936459
c-Kit-R-V	-0.0370826529999999
c-Met-M-E	3.12482163
c-Met_pY1235-R-V	-0.0882191600000001
c-Myc-R-C	-0.232351428
C-Raf-R-V	-0.100144863
C-Raf_pS338-R-V	-0.19652855
Caspase-7_cleavedD198-R-C	-0.891430007
Caspase-8-M-E	1.999558845
Caveolin-1-R-V	-0.495211291
CD20-R-C	0
CD31-M-V	0.136187654
CD49b-M-V	0.235635641
CDK1-R-V	0.162645458
Chk1-M-C	0.130260872
Chk1_pS345-R-C	0.207125118
Chk2-M-E	0.446530891
Chk2_pT68-R-C	-0.177936722
cIAP-R-V	0.00355590100000003
Claudin-7-R-V	1.60629438
Collagen_VI-R-V	-0.44872726
Cyclin_B1-R-V	0.216611281
Cyclin_D1-R-V	0.071528042
Cyclin_E1-M-V	0.50636074
Cyclin_E2-R-C	-0.070119157
DJ-1-R-E	-0.091558973
Dvl3-R-V	0.054315407
E-Cadherin-R-V	0.854881759
eEF2-R-C	-0.298335911
eEF2K-R-V	0.0483164930000002
EGFR-R-V	-0.19398366
EGFR_pY1068-R-C	0.386249614
EGFR_pY1173-R-V	-0.149803754
eIF4E-R-V	-0.015539505
eIF4G-R-C	-0.0239879170000004
ER-alpha-R-V	0.176573071
ER-alpha_pS118-R-V	-0.0363712429999999
ERCC1-M-V	0.132952125
ERK2-R-E	-0.109984956
ETS-1-R-V	0.072647903
FASN-R-V	-0.368100859
Fibronectin-R-V	-0.611924286
FoxM1-R-V	0.69683635
FOXO3a-R-C	0.309292364
FOXO3a_pS318_S321-R-C	0.132000105
G6PD-M-V	0.328690636
GAB2-R-V	-0.082307916
GAPDH-M-C	0.284556972
GATA3-M-V	0.111298213
GSK3-alpha-beta-M-V	-0.153346454
GSK3-alpha-beta_pS21_S9-R-V	-0.031483094
GSK3_pS9-R-V	-0.368739257
HER2-M-V	0.7236193
HER2_pY1248-R-C	0.554557783
HER3-R-V	0.48617545
HER3_pY1289-R-C	0.000269625999999967
Heregulin-R-V	-0.0584321510000001
HSP70-R-C	-0.352487504
IGFBP2-R-V	0.726697425
INPP4B-R-V	0.709245735
IRS1-R-V	-0.049687825
JNK_pT183_pY185-R-V	0.052610263
JNK2-R-C	0.254976929
Ku80-R-C	0.342786116
Lck-R-V	0.31736787
LKB1-M-E	-0.099348756
MAPK_pT202_Y204-R-V	-0.363232388
MEK1-R-V	0.00907849500000002
MEK1_pS217_S221-R-V	0.034961154
MIG-6-M-V	0.134885669
Mre11-R-C	-0.0505172189999999
MSH2-M-V	0.609882618
MSH6-R-C	0.429490201
mTOR-R-V	0.321680339
mTOR_pS2448-R-C	0.157893001
MYH11-R-V	-2.041065071
Myosin-IIa_pS1943-R-V	-0.049106657
N-Cadherin-R-V	-0.234795527
N-Ras-M-V	-0.062380655
NDRG1_pT346-R-V	-1.930469096
NF-kB-p65_pS536-R-C	0.395071713
NF2-R-C	-0.05626078
Notch1-R-V	-0.313292663
P-Cadherin-R-C	0.48283561
p21-R-V	-0.70092138
p27-R-V	0.442355832
p27_pT157-R-C	-0.191414922
p27_pT198-R-V	-0.052854267
p38_MAPK-R-V	-0.308710757
p38_pT180_Y182-R-V	0.072857553
p53-R-E	0.086437917
p62-LCK-ligand-M-C	0.672203896
p70S6K-R-V	-0.232203344
p70S6K_pT389-R-V	0.00833508599999999
p90RSK-R-C	0.24674865
p90RSK_pT359_S363-R-C	0.050518106
PAI-1-M-E	-0.396184826
PARP_cleaved-M-E	2.564956479
Paxillin-R-C	0.069171984
PCNA-M-C	-0.023383733
PDCD4-R-C	-0.018275309
PDK1-R-V	-0.211394136
PDK1_pS241-R-V	-0.316170159
PEA15-R-V	-0.358209734
PEA15_pS116-R-V	-0.161121023
PI3K-p110-alpha-R-C	-0.0371442280000001
PI3K-p85-R-V	-0.386321286
PKC-alpha-M-V	0.422429347
PKC-alpha_pS657-R-C	0.703090839
PKC-delta_pS664-R-V	0.430541639
PKC-pan_BetaII_pS660-R-V	0.630155201
PR-R-V	0.0554141800000001
PRAS40_pT246-R-V	0.00396552300000003
PRDX1-R-V	-0.196113928
PREX1-R-E	-0.0470493830000001
PTEN-R-V	0.217181529
Rab11-R-E	-0.148872995
Rab25-R-V	0.361172086
Rad50-M-V	-0.0228436769999999
Rad51-R-V	-0.216062871
Raptor-R-V	-0.00520671500000003
Rb-M-E	1.016764329
Rb_pS807_S811-R-V	0.0399344400000001
RBM15-R-V	0.308326822
Rictor-R-C	-0.206490232
Rictor_pT1135-R-V	-0.138537383
S6-R-E	-0.027573945
S6_pS235_S236-R-V	-0.076588984
S6_pS240_S244-R-V	0.112312224
SCD-M-V	0.307374807
SETD2-R-E	1.971851722
SF2-M-V	0.425445812
Shc_pY317-R-E	0.246388507
Smac-M-E	0.788961748
Smad1-R-V	0.062931483
Smad3-R-V	-0.040872908
Smad4-M-V	0.144068685
Snail-M-E	4.053625769
Src-M-V	0.301979349
Src_pY416-R-C	0.121868994
Src_pY527-R-V	0.0537663020000001
STAT3_pY705-R-V	0.223603566
STAT5-alpha-R-V	-0.337086227
Stathmin-R-V	-0.28369067
Syk-M-V	-0.514371496
TAZ-R-V	-0.164680043
TIGAR-R-V	0.679819617
Transglutaminase-M-V	0.128949671
TFRC-R-V	0.310180121
TSC1-R-C	-6.87400000000116e-05
TTF1-R-V	0.0694518230000001
Tuberin-R-E	-0.312008724
Tuberin_pT1462-R-V	-0.181282541
VEGFR2-R-V	0.0554212679999999
EPPK1-M-E	-1.001732449
XBP1-G-C	0.339695559
XRCC1-R-E	0.278229322
YAP-R-E	-0.209046363
YAP_pS127-R-E	-0.352986768
YB-1-R-V	0.08096418
YB-1_pS102-R-V	0.054761567
JAB1-M-C	0.336020054
PARP1-R-V	-0.12805697
A-Raf-R-V	-0.280947024
ARID1A-R-C	0.130108627
B-Raf_pS445-R-V	0.059843172
Bcl2A1-R-V	-0.259845752
BRD4-R-V	-0.395867481
