Sample REF	B2E5BD97-D176-4560-8FC7-B082EF9A66E9
Composite Element REF	Protein Expression
14-3-3_beta-R-V	-0.100060628
14-3-3_epsilon-M-C	-0.0395332460000001
14-3-3_zeta-R-V	0.0891867599999999
4E-BP1-R-V	0.177786508
4E-BP1_pS65-R-V	-0.109572611
4E-BP1_pT37_T46-R-V	0.397656559
4E-BP1_pT70-R-V	0.116876814
53BP1-R-E	0.137693578
A-Raf_pS299-R-C	0.055014525
ACC_pS79-R-V	0.626415601
ACC1-R-E	0.529822571
Acetyl-a-Tubulin-Lys40-R-C	0.209775361
ACVRL1-R-C	-0.181238741
ADAR1-M-V	0.149435657
Akt-R-V	0.257040137
Akt_pS473-R-V	0.0701995910000001
Akt_pT308-R-V	-0.164122936
alpha-Catenin-M-V	-0.0831768169999999
AMPK_alpha-R-C	0.312957842
AMPK_pT172-R-V	0.314444794
Annexin-1-M-E	0.016237944
Annexin_VII-M-V	0.266108153
AR-R-V	0.280638065
DIRAS3-M-E	-0.074216196
ASNS-R-V	0.754136107
ATM-R-E	0.245820233
B-Raf-M-C	0.047661284
Bad_pS112-R-V	0.29215483
Bak-R-C	0.0961679350000001
Bap1-c-4-M-E	-0.208837291
Bax-R-V	0.0565593859999999
Bcl-2-M-V	-0.131385347
Bcl-xL-R-V	-0.098950097
Beclin-G-C	-0.0817337269999999
beta-Catenin-R-V	-0.349764772
Bid-R-C	-0.061322973
Bim-R-V	-0.50727141
BRCA2-R-C	0.003850201
c-Jun_pS73-R-V	-0.154822314
c-Kit-R-V	-0.136917423
c-Met-M-E	-0.034894876
c-Met_pY1235-R-V	-0.124346003
c-Myc-R-C	0.46662561
C-Raf-R-V	0.158734752
C-Raf_pS338-R-V	-0.017493269
Caspase-7_cleavedD198-R-C	0.383087767
Caspase-8-M-E	0.0613670160000001
Caveolin-1-R-V	-0.059160354
CD20-R-C	-0.15347155
CD31-M-V	-0.0796758630000002
CD49b-M-V	-0.187191594
CDK1-R-V	0.00569861599999977
Chk1-M-C	0.0612384779999996
Chk1_pS345-R-C	-0.017407662
Chk2-M-E	0.0839986249999999
Chk2_pT68-R-C	-0.08700803
cIAP-R-V	0.100332905
Claudin-7-R-V	-0.199114499
