Sample REF	B65F36C5-75E0-45AA-B254-16ABC4C5DF64
Composite Element REF	Protein Expression
14-3-3_beta-R-V	0.327362284
14-3-3_epsilon-M-C	-0.066853294
14-3-3_zeta-R-V	-0.134308134
4E-BP1-R-V	-0.91181039
4E-BP1_pS65-R-V	0.119172793
4E-BP1_pT37_T46-R-V	-0.023469376
4E-BP1_pT70-R-V	0.277802931
53BP1-R-E	-0.825880757
A-Raf_pS299-R-C	-0.137202105
ACC_pS79-R-V	-1.252537466
ACC1-R-E	-1.788369147
Acetyl-a-Tubulin-Lys40-R-C	0.846331063
ACVRL1-R-C	0.905393234
ADAR1-M-V	-0.085348829
Akt-R-V	0.154248044
Akt_pS473-R-V	-0.035532747
Akt_pT308-R-V	0.042937201
alpha-Catenin-M-V	-0.191230557
AMPK_alpha-R-C	0.0848854230000001
AMPK_pT172-R-V	-0.042101662
Annexin-1-M-E	-0.802361471
Annexin_VII-M-V	0.0608817099999999
AR-R-V	0.782062145
DIRAS3-M-E	0.422826207
ASNS-R-V	-0.460361391
ATM-R-E	-0.0962765479999999
B-Raf-M-C	-1.042366918
Bad_pS112-R-V	-0.1856083
Bak-R-C	-0.0961008959999998
Bap1-c-4-M-E	-1.400965191
Bax-R-V	-0.315676724
Bcl-2-M-V	0.791496362
Bcl-xL-R-V	0
Beclin-G-C	-0.11497353
beta-Catenin-R-V	-1.338292779
Bid-R-C	0.483078567
Bim-R-V	-0.661540168
BRCA2-R-C	0.320541019
c-Jun_pS73-R-V	-0.195602094
c-Kit-R-V	0.292486802
c-Met-M-E	0.292238396
c-Met_pY1235-R-V	0.403207112
c-Myc-R-C	1.042158961
C-Raf-R-V	-0.135460809
C-Raf_pS338-R-V	0.32523071
Caspase-7_cleavedD198-R-C	-0.518725907
Caspase-8-M-E	0.316808943
Caveolin-1-R-V	1.607505734
CD20-R-C	0.201965867
CD31-M-V	0.217646109
CD49b-M-V	-0.314722448
CDK1-R-V	0.311817773
Chk1-M-C	-1.110061203
Chk1_pS345-R-C	-0.199359736
Chk2-M-E	-0.684333647
Chk2_pT68-R-C	0.325462809
cIAP-R-V	-0.0872985749999999
Claudin-7-R-V	-1.642016978
Collagen_VI-R-V	0.892517241
Cyclin_B1-R-V	-1.824131394
Cyclin_D1-R-V	0.872011002
Cyclin_E1-M-V	-0.837039501
Cyclin_E2-R-C	-0.032344142
DJ-1-R-E	0.521162819
Dvl3-R-V	-0.39706848
E-Cadherin-R-V	-3.632011599
eEF2-R-C	-0.474771327
eEF2K-R-V	-0.0136060169999996
EGFR-R-V	0.150845742
EGFR_pY1068-R-C	-0.687367506
EGFR_pY1173-R-V	0.521193467
eIF4E-R-V	-0.10240684
eIF4G-R-C	-1.751458391
ER-alpha-R-V	2.144156205
ER-alpha_pS118-R-V	0.00111000200000011
ERCC1-M-V	-0.367679508
ERK2-R-E	0.286988438
ETS-1-R-V	0.15361748
FASN-R-V	-1.817631249
Fibronectin-R-V	0.312636146
FoxM1-R-V	0.253726209
FOXO3a-R-C	0.204296442
FOXO3a_pS318_S321-R-C	0.45235307
G6PD-M-V	0.417905859
GAB2-R-V	0.239927063
GAPDH-M-C	-0.3700057
GATA3-M-V	-0.188628711
GSK3-alpha-beta-M-V	-0.158596344
GSK3-alpha-beta_pS21_S9-R-V	-0.222350269
GSK3_pS9-R-V	-0.39412369
HER2-M-V	-1.192702477
HER2_pY1248-R-C	0.0426235030000001
HER3-R-V	-0.709191294
HER3_pY1289-R-C	0.059655812
Heregulin-R-V	0.187714958
HSP70-R-C	1.971028787
IGFBP2-R-V	-0.249478532
INPP4B-R-V	0.0175519110000004
IRS1-R-V	0.214432044
JNK_pT183_pY185-R-V	0.138925567
JNK2-R-C	0.0674504520000001
Ku80-R-C	-0.18784992
Lck-R-V	0.36216373
LKB1-M-E	0.518353675
MAPK_pT202_Y204-R-V	0.540630226
MEK1-R-V	0.300390966
MEK1_pS217_S221-R-V	0.321197849
MIG-6-M-V	0.0401187140000001
Mre11-R-C	0.51066138
MSH2-M-V	-0.578409704
MSH6-R-C	-1.066152038
mTOR-R-V	-0.759089438
mTOR_pS2448-R-C	-0.203498587
MYH11-R-V	2.467282251
Myosin-IIa_pS1943-R-V	-1.612988918
N-Cadherin-R-V	0.503861692
N-Ras-M-V	0.244049684
NDRG1_pT346-R-V	-2.260692081
NF-kB-p65_pS536-R-C	-0.215499721
NF2-R-C	-0.37646046
Notch1-R-V	-0.153663544
P-Cadherin-R-C	0.106284414
p21-R-V	0.997454585
p27-R-V	0.249798548
p27_pT157-R-C	0.132262689
p27_pT198-R-V	0.282768485
p38_MAPK-R-V	0.191338491
p38_pT180_Y182-R-V	-0.267251563
p53-R-E	0.316658636
p62-LCK-ligand-M-C	-0.732143624
p70S6K-R-V	-1.108037939
p70S6K_pT389-R-V	0.192873932
p90RSK-R-C	-0.149569344
p90RSK_pT359_S363-R-C	0.005820567
PAI-1-M-E	-1.071249044
PARP_cleaved-M-E	-0.0234843249999999
Paxillin-R-C	0.087325963
PCNA-M-C	-0.565304129
PDCD4-R-C	0.308409749
PDK1-R-V	-0.0960250739999999
PDK1_pS241-R-V	-0.184896303
PEA15-R-V	0.685152547
PEA15_pS116-R-V	0.317000905
PI3K-p110-alpha-R-C	-0.0878032109999999
PI3K-p85-R-V	0.297565706
PKC-alpha-M-V	1.089267013
PKC-alpha_pS657-R-C	1.548399195
PKC-delta_pS664-R-V	0.331699521
PKC-pan_BetaII_pS660-R-V	0.271902632
PR-R-V	0.461649817
PRAS40_pT246-R-V	-0.185015566
PRDX1-R-V	0.116063664
PREX1-R-E	-0.101025857
PTEN-R-V	-0.421120841
Rab11-R-E	0.140178443
Rab25-R-V	0.0210825459999999
Rad50-M-V	0.0110433460000001
Rad51-R-V	0.616877051
Raptor-R-V	0.107382229
Rb-M-E	0.596088084
Rb_pS807_S811-R-V	-0.777004674
RBM15-R-V	-1.451597286
Rictor-R-C	2.623374887
Rictor_pT1135-R-V	0.701293325
S6-R-E	-1.219013343
S6_pS235_S236-R-V	-1.148581962
S6_pS240_S244-R-V	-0.898546312
SCD-M-V	0.189105655
SETD2-R-E	0.453027815
SF2-M-V	0.03826537
Shc_pY317-R-E	-0.13442533
