Sample REF	B8DA1194-2F9C-4792-8B40-B582F8D8B501
Composite Element REF	Protein Expression
14-3-3_beta-R-V	-0.131282645
14-3-3_epsilon-M-C	-0.138786476
14-3-3_zeta-R-V	-0.342342522
4E-BP1-R-V	0.083506854
4E-BP1_pS65-R-V	-0.0447065799999999
4E-BP1_pT37_T46-R-V	0.494403222
4E-BP1_pT70-R-V	-0.109646841
53BP1-R-E	0.442678134
A-Raf_pS299-R-C	0.021602078
ACC_pS79-R-V	0.291482408
ACC1-R-E	-0.0395330770000001
Acetyl-a-Tubulin-Lys40-R-C	0.65753062
ACVRL1-R-C	-0.159245095
ADAR1-M-V	0.163372109
Akt-R-V	-0.124354604
Akt_pS473-R-V	-0.314290522
Akt_pT308-R-V	-0.259345172
alpha-Catenin-M-V	0.021055339
AMPK_alpha-R-C	0.0329976500000001
AMPK_pT172-R-V	-0.440022532
Annexin-1-M-E	0.067978258
Annexin_VII-M-V	-0.106232634
AR-R-V	0.261841453
DIRAS3-M-E	-0.0267329390000001
ASNS-R-V	-0.704003991
ATM-R-E	0.481084568
B-Raf-M-C	0.346144577
Bad_pS112-R-V	0.476705143
Bak-R-C	0.18599819
Bap1-c-4-M-E	0.459158856
Bax-R-V	-0.316008459
Bcl-2-M-V	-0.245524182
Bcl-xL-R-V	-0.0679527719999999
Beclin-G-C	0.00309110400000001
beta-Catenin-R-V	0.564531559
Bid-R-C	-0.210327353
Bim-R-V	0.333707128
BRCA2-R-C	-0.241181718
c-Jun_pS73-R-V	0.238577248
c-Kit-R-V	-0.153888149
c-Met-M-E	-0.00886546700000002
c-Met_pY1235-R-V	0.0115215599999999
c-Myc-R-C	0.277491917
C-Raf-R-V	-0.194309841
C-Raf_pS338-R-V	-0.00812310899999991
Caspase-7_cleavedD198-R-C	0.409379303
Caspase-8-M-E	-0.046018998
Caveolin-1-R-V	0.363287636
CD20-R-C	0.23128355
CD31-M-V	-0.186731661
CD49b-M-V	0.213641585
CDK1-R-V	0.05607756
Chk1-M-C	0.401815705
Chk1_pS345-R-C	1.024239622
Chk2-M-E	-0.174708037
Chk2_pT68-R-C	-0.063678869
cIAP-R-V	-0.0482039229999999
Claudin-7-R-V	-0.485100986
Collagen_VI-R-V	-0.468357617
Cyclin_B1-R-V	0.515796408
Cyclin_D1-R-V	-0.0944483639999999
Cyclin_E1-M-V	0.411415907
Cyclin_E2-R-C	0.150747158
DJ-1-R-E	-0.362065818
Dvl3-R-V	-0.183090991
E-Cadherin-R-V	0.400334403
eEF2-R-C	-0.117679357
eEF2K-R-V	1.340182044
EGFR-R-V	0.632072223
EGFR_pY1068-R-C	0.85088958
EGFR_pY1173-R-V	0.042521056
eIF4E-R-V	-0.055523331
eIF4G-R-C	0.539016052
ER-alpha-R-V	1.32556518
ER-alpha_pS118-R-V	0.346450262
ERCC1-M-V	-0.0730669709999999
ERK2-R-E	-0.086130438
ETS-1-R-V	0.018654438
FASN-R-V	-0.112399366
Fibronectin-R-V	-0.208929881
FoxM1-R-V	0.806884524
FOXO3a-R-C	-0.142738755
FOXO3a_pS318_S321-R-C	0.177178551
G6PD-M-V	-0.189344461
GAB2-R-V	0.658811139
GAPDH-M-C	-0.2783384
GATA3-M-V	0.455132167
GSK3-alpha-beta-M-V	-0.149198286
GSK3-alpha-beta_pS21_S9-R-V	0.17821445
GSK3_pS9-R-V	0.576933384
HER2-M-V	0.276123303
HER2_pY1248-R-C	0.402780394
HER3-R-V	0.2476837
HER3_pY1289-R-C	-0.13481157
Heregulin-R-V	-0.041145683
HSP70-R-C	-0.305493366
IGFBP2-R-V	-0.210447871
INPP4B-R-V	0.00145584700000023
IRS1-R-V	0.014738702
JNK_pT183_pY185-R-V	-0.17862807
JNK2-R-C	-0.174673053
Ku80-R-C	0.352950916
Lck-R-V	-0.550100824
LKB1-M-E	-0.196031031
MAPK_pT202_Y204-R-V	-0.030731544
MEK1-R-V	-0.18774906
MEK1_pS217_S221-R-V	-0.11603729
MIG-6-M-V	-0.0260420379999999
Mre11-R-C	-0.0445338319999999
MSH2-M-V	-0.320059053
MSH6-R-C	-1.102417454
mTOR-R-V	0.127656942
mTOR_pS2448-R-C	-0.0624240089999999
MYH11-R-V	1.626803587
Myosin-IIa_pS1943-R-V	0.00140599100000005
N-Cadherin-R-V	-0.166083593
N-Ras-M-V	-0.0501249789999999
NDRG1_pT346-R-V	2.465331277
NF-kB-p65_pS536-R-C	0.686447615
NF2-R-C	0.137834945
Notch1-R-V	0.498432552
P-Cadherin-R-C	0.012918788
p21-R-V	0.648225307
p27-R-V	-0.073170789
p27_pT157-R-C	-0.0428806079999999
p27_pT198-R-V	-0.05294581
p38_MAPK-R-V	-0.240222126
p38_pT180_Y182-R-V	0.144488194
p53-R-E	-0.0685748059999999
p62-LCK-ligand-M-C	-0.201331214
p70S6K-R-V	0.272644646
p70S6K_pT389-R-V	0.0136160120000001
p90RSK-R-C	-0.010881359
p90RSK_pT359_S363-R-C	-0.195495125
PAI-1-M-E	-0.982148785
PARP_cleaved-M-E	-0.130755832
Paxillin-R-C	-0.174887232
PCNA-M-C	-0.278399052
PDCD4-R-C	0.836338809
PDK1-R-V	-0.174455008
PDK1_pS241-R-V	-0.216406836
PEA15-R-V	-0.073663928
PEA15_pS116-R-V	-0.158744209
PI3K-p110-alpha-R-C	0.116611657
PI3K-p85-R-V	-0.095654146
PKC-alpha-M-V	0.368656054
PKC-alpha_pS657-R-C	0.091437184
PKC-delta_pS664-R-V	-0.00962701300000002
PKC-pan_BetaII_pS660-R-V	0.05311131
PR-R-V	-0.0692066639999999
PRAS40_pT246-R-V	0.173106931
PRDX1-R-V	-0.457525424
PREX1-R-E	-0.165371131
PTEN-R-V	0.359266805
Rab11-R-E	-0.0439889689999999
Rab25-R-V	0.0591758259999999
Rad50-M-V	0.255989168
Rad51-R-V	-0.302707423
Raptor-R-V	0.024853213
Rb-M-E	0.00864285999999992
Rb_pS807_S811-R-V	1.165362888
RBM15-R-V	0.566647702
Rictor-R-C	0.655840053
Rictor_pT1135-R-V	0.038435156
S6-R-E	0.28322035
