Sample REF	BB0D8B6B-4065-4562-A677-A92977A81BC9
Composite Element REF	Protein Expression
14-3-3_beta-R-V	0.272768772
14-3-3_epsilon-M-C	-0.00803062600000004
14-3-3_zeta-R-V	0.0182673760000001
4E-BP1-R-V	-0.466466585
4E-BP1_pS65-R-V	-0.18256
4E-BP1_pT37_T46-R-V	-0.351456965
4E-BP1_pT70-R-V	-0.214286482
53BP1-R-E	0.23014559
A-Raf_pS299-R-C	-0.055453817
ACC_pS79-R-V	-0.831281103
ACC1-R-E	-0.931182419
Acetyl-a-Tubulin-Lys40-R-C	-0.0168266669999999
ACVRL1-R-C	0.167216628
ADAR1-M-V	0.0770142230000002
Akt-R-V	-0.194788179
Akt_pS473-R-V	1.231945624
Akt_pT308-R-V	0.705614269
alpha-Catenin-M-V	-0.00431736400000005
AMPK_alpha-R-C	-0.0265901209999999
AMPK_pT172-R-V	-0.445142543
Annexin-1-M-E	-0.775525536
Annexin_VII-M-V	0.150057269
AR-R-V	0.0235957370000001
DIRAS3-M-E	0.250708573
ASNS-R-V	-0.2457707
ATM-R-E	-0.159227332
B-Raf-M-C	-0.796824433
Bad_pS112-R-V	-0.280512776
Bak-R-C	-0.00676642400000005
Bap1-c-4-M-E	-0.218238277
Bax-R-V	-0.139180075
Bcl-2-M-V	-0.168295198
Bcl-xL-R-V	0.482474049
Beclin-G-C	-0.731315116
beta-Catenin-R-V	-0.425626536
Bid-R-C	0.22730307
Bim-R-V	-0.242433014
BRCA2-R-C	0.0661334099999999
c-Jun_pS73-R-V	0.254482539
c-Kit-R-V	0.0212598129999999
c-Met-M-E	-0.186356539
c-Met_pY1235-R-V	0.189304093
c-Myc-R-C	0.588327478
C-Raf-R-V	-0.122653561
C-Raf_pS338-R-V	0.20107289
Caspase-7_cleavedD198-R-C	-0.920920694
Caspase-8-M-E	-0.103585707
Caveolin-1-R-V	0.00170959600000009
CD20-R-C	-0.112515241
CD31-M-V	0.385735786
CD49b-M-V	0.128245266
CDK1-R-V	0.159178823
Chk1-M-C	0.233213373
Chk1_pS345-R-C	-0.086344626
Chk2-M-E	0.147978024
Chk2_pT68-R-C	0.161148317
cIAP-R-V	-0.0704577059999999
Claudin-7-R-V	0.492151204
Collagen_VI-R-V	0.239800358
Cyclin_B1-R-V	-0.0194005209999999
Cyclin_D1-R-V	0.250724783
Cyclin_E1-M-V	-0.33271744
Cyclin_E2-R-C	-0.085381128
DJ-1-R-E	0
Dvl3-R-V	-0.343743072
E-Cadherin-R-V	-0.829062311
eEF2-R-C	-0.544362549
eEF2K-R-V	-1.473704906
EGFR-R-V	-0.113337083
EGFR_pY1068-R-C	-0.0689962409999996
EGFR_pY1173-R-V	0.181304733
eIF4E-R-V	0.0115373200000001
eIF4G-R-C	-0.658844401
ER-alpha-R-V	0.780674382
ER-alpha_pS118-R-V	0.00587844000000004
ERCC1-M-V	-0.0239513319999998
ERK2-R-E	-0.046626042
ETS-1-R-V	0.250230904
FASN-R-V	-0.861738001
Fibronectin-R-V	0.41926197
FoxM1-R-V	0.229504046
FOXO3a-R-C	0.192034381
FOXO3a_pS318_S321-R-C	-0.0409899119999999
G6PD-M-V	0.0653390949999999
GAB2-R-V	-0.23222189
GAPDH-M-C	-0.152126002
GATA3-M-V	-0.0077635549999997
GSK3-alpha-beta-M-V	0.0507280920000001
GSK3-alpha-beta_pS21_S9-R-V	0.206842575
GSK3_pS9-R-V	0.308735371
HER2-M-V	0.0644420409999999
HER2_pY1248-R-C	0.261474606
HER3-R-V	1.396218804
HER3_pY1289-R-C	0.0991693360000001
Heregulin-R-V	0.659001459
HSP70-R-C	0.527647783
IGFBP2-R-V	-0.454148566
INPP4B-R-V	0.299292139
IRS1-R-V	0.133740541
JNK_pT183_pY185-R-V	0.122264283
JNK2-R-C	-0.35624444
Ku80-R-C	-0.140239228
Lck-R-V	-0.00664089400000001
LKB1-M-E	0.203394101
MAPK_pT202_Y204-R-V	0.681692968
MEK1-R-V	-0.167271339
MEK1_pS217_S221-R-V	0.270262108
MIG-6-M-V	0.273029302
Mre11-R-C	0.270736295
MSH2-M-V	0.244318056
MSH6-R-C	0.18861018
mTOR-R-V	-0.407701458
mTOR_pS2448-R-C	-0.00962832399999969
MYH11-R-V	0.695262333
Myosin-IIa_pS1943-R-V	0.53950821
N-Cadherin-R-V	0.087405418
N-Ras-M-V	0.21111579
NDRG1_pT346-R-V	-1.12131098
NF-kB-p65_pS536-R-C	-0.205048426
NF2-R-C	0.00227770700000007
Notch1-R-V	-0.22782034
P-Cadherin-R-C	0.263002811
p21-R-V	0.086157701
p27-R-V	-0.000871121999999946
p27_pT157-R-C	-0.074160453
p27_pT198-R-V	-0.023219441
p38_MAPK-R-V	0.172312732
p38_pT180_Y182-R-V	-0.352011465
p53-R-E	0.0810092970000003
p62-LCK-ligand-M-C	-0.418001225
p70S6K-R-V	-0.979460356
p70S6K_pT389-R-V	0.098434863
p90RSK-R-C	-0.060718431
p90RSK_pT359_S363-R-C	0.34648073
PAI-1-M-E	1.309169371
PARP_cleaved-M-E	-0.15119136
Paxillin-R-C	0.473549632
PCNA-M-C	0.165201744
PDCD4-R-C	0.241530113
PDK1-R-V	-0.079411796
PDK1_pS241-R-V	-0.337509871
PEA15-R-V	-0.230948744
PEA15_pS116-R-V	-0.126093838
PI3K-p110-alpha-R-C	-0.0817117550000001
PI3K-p85-R-V	-0.090835365
PKC-alpha-M-V	0.140123222
PKC-alpha_pS657-R-C	0.31202329
PKC-delta_pS664-R-V	0.107428171
PKC-pan_BetaII_pS660-R-V	-0.250635016
PR-R-V	0.217134319
PRAS40_pT246-R-V	0.0852983450000001
PRDX1-R-V	-0.385904944
PREX1-R-E	0.118832074
PTEN-R-V	0.275335873
Rab11-R-E	-0.132741788
Rab25-R-V	-0.120122973
Rad50-M-V	-0.0780417729999998
Rad51-R-V	0.408173679
Raptor-R-V	-0.074111877
Rb-M-E	0.257419485
Rb_pS807_S811-R-V	-0.202628325
RBM15-R-V	-0.523199133
Rictor-R-C	0.130988495
Rictor_pT1135-R-V	0.249152408
S6-R-E	-0.189707424
S6_pS235_S236-R-V	0.893128487
S6_pS240_S244-R-V	0.676172478
SCD-M-V	-0.0442642899999999
SETD2-R-E	0.255411392
SF2-M-V	-0.939588067
Shc_pY317-R-E	0.0960029440000001
Smac-M-E	-0.335269729
Smad1-R-V	-0.151027468
Smad3-R-V	-0.0168687449999999
Smad4-M-V	0.213090499
Snail-M-E	0.0427355429999998
Src-M-V	0.637881979
Src_pY416-R-C	-0.516775242
Src_pY527-R-V	0.877915448
STAT3_pY705-R-V	0.0196590230000001
STAT5-alpha-R-V	-0.792467336
Stathmin-R-V	0.22913976
Syk-M-V	-0.346545776
TAZ-R-V	0.374516112
TIGAR-R-V	1.349631387
Transglutaminase-M-V	0.0875689990000001
TFRC-R-V	-1.252976618
TSC1-R-C	0.470213582
TTF1-R-V	0.054732086
Tuberin-R-E	-0.504935931
Tuberin_pT1462-R-V	-0.0585060669999997
VEGFR2-R-V	-0.0635979419999999
EPPK1-M-E	-0.775168078
XBP1-G-C	-0.618589986
XRCC1-R-E	0.109514985
YAP-R-E	-0.0208922719999999
YAP_pS127-R-E	-0.196885846
YB-1-R-V	0.472258813
YB-1_pS102-R-V	0.171173369
JAB1-M-C	0.145747533
PARP1-R-V	-0.147497902
A-Raf-R-V	-0.109305995
ARID1A-R-C	-0.455821349
B-Raf_pS445-R-V	-0.335934425
Bcl2A1-R-V	0.273886141
BRD4-R-V	-0.115287144
c-Abl-R-V	0.0123029520000001
Caspase-3-R-C	-0.0148089439999999
CD26-R-V	-0.000744727999999917
Chk1_pS296-R-V	0.11685339
COG3-R-V	-0.025781297
DUSP4-R-V	1.385088925
ERCC5-R-C	0.116901898
IGF1R_pY1135_Y1136-R-V	0.245259789
IRF-1-R-C	-0.156921183
Jak2-R-V	-0.469679517
p16_INK4a-R-V	-0.115857474
SHP-2_pY542-R-C	0.300889168
CDK1_pY15-R-C	0.28698257
