Sample REF	BB6C8BE2-DCC9-43E3-A15F-19252A08BBA9
Composite Element REF	Protein Expression
14-3-3_beta-R-V	0.293157652
14-3-3_epsilon-M-C	0.143342163
14-3-3_zeta-R-V	0.402616026
4E-BP1-R-V	-0.314497567
4E-BP1_pS65-R-V	-0.317036399
4E-BP1_pT37_T46-R-V	-0.406146169
4E-BP1_pT70-R-V	0.032121198
53BP1-R-E	-0.506685394
A-Raf_pS299-R-C	0.00369109399999989
ACC_pS79-R-V	0.060546976
ACC1-R-E	0.26983029
Acetyl-a-Tubulin-Lys40-R-C	-1.138113733
ACVRL1-R-C	0.390862864
ADAR1-M-V	0.138475277
Akt-R-V	-0.614312531
Akt_pS473-R-V	0.0874628659999999
Akt_pT308-R-V	0.166227678
alpha-Catenin-M-V	0.0632879450000001
AMPK_alpha-R-C	-0.124628233
AMPK_pT172-R-V	-0.639331621
Annexin-1-M-E	0.162097297
Annexin_VII-M-V	0.338363351
AR-R-V	-0.123767818
DIRAS3-M-E	-0.0339963780000001
ASNS-R-V	0.532688115
ATM-R-E	-0.533372289
B-Raf-M-C	-0.386724624
Bad_pS112-R-V	0.00484097599999989
Bak-R-C	-0.107112593
Bap1-c-4-M-E	-0.948640201
Bax-R-V	0.125613971
Bcl-2-M-V	-0.205824236
Bcl-xL-R-V	0.0606092119999999
Beclin-G-C	-0.0281506069999999
beta-Catenin-R-V	-0.942645701
Bid-R-C	0.096915145
Bim-R-V	0.257004237
BRCA2-R-C	0.362414418
c-Jun_pS73-R-V	-0.486211202
c-Kit-R-V	-0.0278918109999999
c-Met-M-E	-0.214659382
c-Met_pY1235-R-V	0.00304236199999997
c-Myc-R-C	-0.149450046
C-Raf-R-V	-0.192958207
C-Raf_pS338-R-V	0.259648553
Caspase-7_cleavedD198-R-C	-0.4010088
Caspase-8-M-E	-0.530906452
Caveolin-1-R-V	0.268118709
CD20-R-C	-0.4054793
CD31-M-V	0.29958086
CD49b-M-V	0.136413079
CDK1-R-V	-0.211518722
Chk1-M-C	0.00690933499999979
Chk1_pS345-R-C	-0.200913648
Chk2-M-E	0.264660849
Chk2_pT68-R-C	0.204931956
cIAP-R-V	0.131961145
Claudin-7-R-V	0.282872306
Collagen_VI-R-V	0.656101646
Cyclin_B1-R-V	-0.630340937
Cyclin_D1-R-V	0.700638373
Cyclin_E1-M-V	-0.0396395130000002
Cyclin_E2-R-C	-0.569774998
DJ-1-R-E	0.385725668
Dvl3-R-V	-0.328995255
E-Cadherin-R-V	-1.429378178
eEF2-R-C	-0.396243711
eEF2K-R-V	-1.225870181
EGFR-R-V	-0.233602218
EGFR_pY1068-R-C	0.0130308360000002
EGFR_pY1173-R-V	-0.18099392
eIF4E-R-V	0.312174445
eIF4G-R-C	-1.868189058
ER-alpha-R-V	-0.310684243
ER-alpha_pS118-R-V	-0.276902056
ERCC1-M-V	-0.373698945
ERK2-R-E	-0.236357712
ETS-1-R-V	-0.042965046
FASN-R-V	0.0497276579999999
Fibronectin-R-V	0.252971205
FoxM1-R-V	-0.209713491
FOXO3a-R-C	0.135133721
FOXO3a_pS318_S321-R-C	0.014619108
G6PD-M-V	-0.0504136660000001
GAB2-R-V	-0.508062764
GAPDH-M-C	0.864532884
GATA3-M-V	0.518469741
GSK3-alpha-beta-M-V	-0.106227632
GSK3-alpha-beta_pS21_S9-R-V	-0.401551278
GSK3_pS9-R-V	-0.211582152
HER2-M-V	-1.012917425
HER2_pY1248-R-C	0.0157724459999999
HER3-R-V	0.860960453
HER3_pY1289-R-C	0.448859271
Heregulin-R-V	0.662750184
HSP70-R-C	0.790726713
IGFBP2-R-V	-0.474890735
INPP4B-R-V	0.25755221
IRS1-R-V	0.00520032200000009
JNK_pT183_pY185-R-V	0.258603907
JNK2-R-C	-0.562916208
Ku80-R-C	-0.841700494
Lck-R-V	0.294944538
LKB1-M-E	0.311320375
MAPK_pT202_Y204-R-V	1.139533626
MEK1-R-V	0.218443188
MEK1_pS217_S221-R-V	0.499033568
MIG-6-M-V	0.16740021
Mre11-R-C	0.306691142
MSH2-M-V	0.117866889
MSH6-R-C	-0.425896163
mTOR-R-V	-0.274101117
mTOR_pS2448-R-C	-0.349948758
MYH11-R-V	-0.613571046
Myosin-IIa_pS1943-R-V	0.575127259
N-Cadherin-R-V	0.00637051799999999
N-Ras-M-V	0.337064946
NDRG1_pT346-R-V	-1.118789182
NF-kB-p65_pS536-R-C	-0.26438784
NF2-R-C	0
Notch1-R-V	-0.367026044
P-Cadherin-R-C	0.316063134
p21-R-V	0.897863923
p27-R-V	-0.0896923740000002
p27_pT157-R-C	0.000796997999999993
p27_pT198-R-V	0.0528312869999999
p38_MAPK-R-V	0.160254454
p38_pT180_Y182-R-V	0.422695951
p53-R-E	0.191942723
p62-LCK-ligand-M-C	-0.898155589
p70S6K-R-V	-0.567628962
p70S6K_pT389-R-V	0.0697958839999999
p90RSK-R-C	-0.633480273
p90RSK_pT359_S363-R-C	0.272241778
PAI-1-M-E	0.702290487
PARP_cleaved-M-E	-0.302455216
Paxillin-R-C	-0.268020503
PCNA-M-C	0.160360381
PDCD4-R-C	0.939403468
PDK1-R-V	-0.000542243000000164
PDK1_pS241-R-V	-0.031250856
PEA15-R-V	-0.246270115
PEA15_pS116-R-V	-0.812341569
PI3K-p110-alpha-R-C	-0.134160871
PI3K-p85-R-V	0.00184813299999997
PKC-alpha-M-V	-0.236469493
PKC-alpha_pS657-R-C	-0.20552363
PKC-delta_pS664-R-V	-0.310058266
PKC-pan_BetaII_pS660-R-V	-0.975715174
PR-R-V	0.0486603190000001
PRAS40_pT246-R-V	0.037507345
PRDX1-R-V	0.0871027
PREX1-R-E	0.430690985
PTEN-R-V	-0.0187419339999999
Rab11-R-E	0.208664262
Rab25-R-V	-0.275026176
Rad50-M-V	0.327499915
Rad51-R-V	0.802234885
Raptor-R-V	-0.171357164
Rb-M-E	0.078791082
Rb_pS807_S811-R-V	-0.855188694
RBM15-R-V	-0.964722472
Rictor-R-C	-0.134659537
Rictor_pT1135-R-V	-0.0146996930000001
S6-R-E	-0.055276799
S6_pS235_S236-R-V	0.167841871
S6_pS240_S244-R-V	-0.542765408
SCD-M-V	-0.12691581
SETD2-R-E	0.288839085
SF2-M-V	-1.163403825
Shc_pY317-R-E	-0.328272302
Smac-M-E	-0.0674423049999999
Smad1-R-V	-0.299897198
Smad3-R-V	0.0695563349999999
Smad4-M-V	0.134793868
Snail-M-E	-0.780652006
Src-M-V	-0.541351612
Src_pY416-R-C	-0.178215523
Src_pY527-R-V	0.166000435
STAT3_pY705-R-V	0.214566831
