Sample REF	BB6DD49D-01BA-4049-828A-8CA7BE399418
Composite Element REF	Protein Expression
14-3-3_beta-R-V	0.066874628
14-3-3_epsilon-M-C	0.094773113
14-3-3_zeta-R-V	-0.052284006
4E-BP1-R-V	-0.177250399
4E-BP1_pS65-R-V	0.15637897
4E-BP1_pT37_T46-R-V	0.480249066
4E-BP1_pT70-R-V	0.11131093
53BP1-R-E	-0.283157085
A-Raf_pS299-R-C	0.09382099
ACC_pS79-R-V	-1.266356083
ACC1-R-E	-1.150641839
Acetyl-a-Tubulin-Lys40-R-C	-1.628832404
ACVRL1-R-C	0.170155331
ADAR1-M-V	0.05006088
Akt-R-V	-0.018073298
Akt_pS473-R-V	1.584509047
Akt_pT308-R-V	0.732415423
alpha-Catenin-M-V	-0.156248929
AMPK_alpha-R-C	0.064454281
AMPK_pT172-R-V	-0.450342638
Annexin-1-M-E	-0.008678081
Annexin_VII-M-V	0.204975325
AR-R-V	-0.121346211
DIRAS3-M-E	-0.172523781
ASNS-R-V	-0.45291115
ATM-R-E	0.084524334
B-Raf-M-C	0.161178243
Bad_pS112-R-V	0.00221497199999998
Bak-R-C	-0.147798245
Bap1-c-4-M-E	-0.178654889
Bax-R-V	-0.0232094070000001
Bcl-2-M-V	-0.0944853069999998
Bcl-xL-R-V	-0.10903831
Beclin-G-C	0.231416989
beta-Catenin-R-V	0.0831463140000001
Bid-R-C	-0.19038006
Bim-R-V	-0.0286101080000001
BRCA2-R-C	-0.199841308
c-Jun_pS73-R-V	-0.142954912
c-Kit-R-V	-0.082141781
c-Met-M-E	0.208549066
c-Met_pY1235-R-V	0.032485318
c-Myc-R-C	0.306647479
C-Raf-R-V	-0.116428448
C-Raf_pS338-R-V	0.183603656
Caspase-7_cleavedD198-R-C	0.880950845
Caspase-8-M-E	0.2559675
Caveolin-1-R-V	-1.608128142
CD20-R-C	-0.241642222
CD31-M-V	-0.199601731
CD49b-M-V	-0.495647549
CDK1-R-V	0.07859646
Chk1-M-C	-0.558294572
Chk1_pS345-R-C	0.0353262689999998
Chk2-M-E	-0.482167289
