Sample REF	BCB3CB2B-4807-4B75-BEBA-8B33C4F18C18
Composite Element REF	Protein Expression
14-3-3_beta-R-V	-0.237818654
14-3-3_epsilon-M-C	0.00707657499999997
14-3-3_zeta-R-V	-0.371630738
4E-BP1-R-V	0.14860824
4E-BP1_pS65-R-V	-0.150342418
4E-BP1_pT37_T46-R-V	-0.294709388
4E-BP1_pT70-R-V	-0.218931953
53BP1-R-E	0.548858706
A-Raf_pS299-R-C	-0.260369965
ACC_pS79-R-V	-0.459220259
ACC1-R-E	-1.083289718
Acetyl-a-Tubulin-Lys40-R-C	0.711105715
ACVRL1-R-C	0.0456203889999999
ADAR1-M-V	0.126736763
Akt-R-V	0.0801767009999999
Akt_pS473-R-V	0.0375248899999999
Akt_pT308-R-V	-0.215181954
alpha-Catenin-M-V	-0.148214443
AMPK_alpha-R-C	-0.231847291
AMPK_pT172-R-V	0.111501285
Annexin-1-M-E	0.638783514
Annexin_VII-M-V	-0.0494337190000001
AR-R-V	0.449725199
DIRAS3-M-E	-0.108990297
ASNS-R-V	-0.04635288
ATM-R-E	0.751371553
B-Raf-M-C	-0.012956264
Bad_pS112-R-V	-0.153791446
Bak-R-C	0.175985772
Bap1-c-4-M-E	0.291872783
Bax-R-V	-0.330019177
Bcl-2-M-V	0.279173637
Bcl-xL-R-V	0.663347715
Beclin-G-C	0.00858043799999991
beta-Catenin-R-V	-0.35409529
Bid-R-C	-0.226782476
Bim-R-V	1.351645008
BRCA2-R-C	-0.224604107
c-Jun_pS73-R-V	0.0520331189999999
c-Kit-R-V	1.67680525
c-Met-M-E	0.00318377999999969
c-Met_pY1235-R-V	0.0536420789999999
c-Myc-R-C	0.289275954
C-Raf-R-V	0.063894144
C-Raf_pS338-R-V	-0.028421594
Caspase-7_cleavedD198-R-C	0.289121598
Caspase-8-M-E	-0.0204556829999999
Caveolin-1-R-V	0.240208499
CD20-R-C	0.141615526
CD31-M-V	0.00262089399999993
CD49b-M-V	-0.663437467
CDK1-R-V	0.0893198609999999
Chk1-M-C	0.213353347
Chk1_pS345-R-C	0.0121248649999999
Chk2-M-E	0.273525701
Chk2_pT68-R-C	-0.155226241
cIAP-R-V	-0.206608266
Claudin-7-R-V	-0.35409529
Collagen_VI-R-V	-0.27380019
Cyclin_B1-R-V	0.151001814
Cyclin_D1-R-V	-0.294759706
Cyclin_E1-M-V	-0.366056628
Cyclin_E2-R-C	0.15081231
DJ-1-R-E	-0.072273205
Dvl3-R-V	-0.176002357
E-Cadherin-R-V	-0.821889502
eEF2-R-C	-0.163218381
eEF2K-R-V	0.613828396
EGFR-R-V	-0.530791379
EGFR_pY1068-R-C	-0.25090501
EGFR_pY1173-R-V	-0.080541331
eIF4E-R-V	-0.023768634
eIF4G-R-C	0.00512548099999993
ER-alpha-R-V	2.222592677
ER-alpha_pS118-R-V	0.536944473
ERCC1-M-V	0.000855250000000141
ERK2-R-E	-0.14626762
ETS-1-R-V	0.073070611
FASN-R-V	-0.45115395
Fibronectin-R-V	-0.286774321
FoxM1-R-V	0.526692931
FOXO3a-R-C	0.0855544489999998
FOXO3a_pS318_S321-R-C	-0.080832633
G6PD-M-V	0.223119745
GAB2-R-V	0.529105328
GAPDH-M-C	0.032005153
GATA3-M-V	0.513018607
GSK3-alpha-beta-M-V	-0.113710326
GSK3-alpha-beta_pS21_S9-R-V	-0.33807808
GSK3_pS9-R-V	-0.685649394
HER2-M-V	0.200188285
HER2_pY1248-R-C	0.188361566
HER3-R-V	-0.0138333649999999
HER3_pY1289-R-C	-0.166445933
Heregulin-R-V	-0.112626118
HSP70-R-C	-0.53542282
IGFBP2-R-V	0.222328917
INPP4B-R-V	0.0347247430000002
IRS1-R-V	0.011579092
JNK_pT183_pY185-R-V	0.018694185
JNK2-R-C	0.09317286
Ku80-R-C	0.30803299
Lck-R-V	0.234986754
LKB1-M-E	-0.056379792
MAPK_pT202_Y204-R-V	0.399512642
MEK1-R-V	-0.043716148
MEK1_pS217_S221-R-V	-0.100184106
MIG-6-M-V	-0.095313468
Mre11-R-C	-0.079181196
MSH2-M-V	0.468143621
MSH6-R-C	0.43892779
mTOR-R-V	0.00369997699999997
mTOR_pS2448-R-C	-0.168162723
MYH11-R-V	1.723706012
Myosin-IIa_pS1943-R-V	-0.05268188
N-Cadherin-R-V	-0.260328845
N-Ras-M-V	-0.142520061
NDRG1_pT346-R-V	-2.023267838
NF-kB-p65_pS536-R-C	0.271407135
NF2-R-C	-0.033042575
Notch1-R-V	-0.0390140530000002
P-Cadherin-R-C	-0.0967786319999999
p21-R-V	-0.416879
p27-R-V	0.545292061
p27_pT157-R-C	-0.162873388
p27_pT198-R-V	0.072840843
p38_MAPK-R-V	0.056331008
p38_pT180_Y182-R-V	-0.257360437
p53-R-E	0.092958409
p62-LCK-ligand-M-C	0.00310722199999997
p70S6K-R-V	0.101796069
p70S6K_pT389-R-V	-0.0811288519999999
p90RSK-R-C	-0.121418799
p90RSK_pT359_S363-R-C	-0.269511555
PAI-1-M-E	-1.073028877
PARP_cleaved-M-E	0.0911752639999999
Paxillin-R-C	0.106188779
PCNA-M-C	-0.130448318
PDCD4-R-C	0.567790955
PDK1-R-V	-0.21248121
