Sample REF	BE8443E8-A912-4790-A922-DE3D5D97B398
Composite Element REF	Protein Expression
14-3-3_beta-R-V	-0.182011691
14-3-3_epsilon-M-C	-0.291167932
14-3-3_zeta-R-V	-0.214233297
4E-BP1-R-V	0.347386221
4E-BP1_pS65-R-V	0.191294135
4E-BP1_pT37_T46-R-V	0.658061688
4E-BP1_pT70-R-V	0.201790263
53BP1-R-E	0.409059642
A-Raf_pS299-R-C	-0.249628797
ACC_pS79-R-V	0.0671718849999999
ACC1-R-E	0.201035234
Acetyl-a-Tubulin-Lys40-R-C	-0.191565934
ACVRL1-R-C	-0.163094793
ADAR1-M-V	0.212484468
Akt-R-V	0.155791475
Akt_pS473-R-V	0.165951168
Akt_pT308-R-V	-0.24709132
alpha-Catenin-M-V	-0.114073268
AMPK_alpha-R-C	0.14065655
AMPK_pT172-R-V	-0.0164015730000002
Annexin-1-M-E	-0.050462523
Annexin_VII-M-V	-0.375585643
AR-R-V	0.170957768
DIRAS3-M-E	-0.0547020060000001
ASNS-R-V	0.563585434
ATM-R-E	0.225839356
B-Raf-M-C	0.249943596
Bad_pS112-R-V	-0.129688755
Bak-R-C	0.129141108
Bap1-c-4-M-E	0.610720502
Bax-R-V	-0.15068625
Bcl-2-M-V	1.155787739
Bcl-xL-R-V	-0.0617125680000001
Beclin-G-C	-0.084720028
beta-Catenin-R-V	-0.41789874
Bid-R-C	-0.049135601
Bim-R-V	0.415740396
BRCA2-R-C	-0.216655085
c-Jun_pS73-R-V	0.387804152
c-Kit-R-V	1.295000602
c-Met-M-E	-0.164899407
c-Met_pY1235-R-V	0.0646207509999999
c-Myc-R-C	-0.0652393770000001
C-Raf-R-V	-0.146071393
C-Raf_pS338-R-V	-0.0640865630000002
Caspase-7_cleavedD198-R-C	-1.108722658
Caspase-8-M-E	0.046047154
Caveolin-1-R-V	0.223765505
CD20-R-C	0.128531908
CD31-M-V	-0.14692708
CD49b-M-V	-0.645930696
CDK1-R-V	-0.0529066010000001
Chk1-M-C	1.308261623
Chk1_pS345-R-C	-0.0999671460000001
Chk2-M-E	0.124863413
Chk2_pT68-R-C	-0.0895768160000001
cIAP-R-V	-0.113530955
Claudin-7-R-V	-0.489092072
Collagen_VI-R-V	-0.307348727
Cyclin_B1-R-V	0.289757967
Cyclin_D1-R-V	-0.0820263460000001
Cyclin_E1-M-V	0.409449206
Cyclin_E2-R-C	0.201672035
DJ-1-R-E	-0.263778841
Dvl3-R-V	0.290727201
E-Cadherin-R-V	-0.0943380350000002
eEF2-R-C	0.0299352119999998
eEF2K-R-V	0.426752077
EGFR-R-V	-0.564817019
EGFR_pY1068-R-C	-0.346986004
EGFR_pY1173-R-V	0.0656729779999998
eIF4E-R-V	0.0463219689999999
eIF4G-R-C	0.401621108
ER-alpha-R-V	-0.403261524
ER-alpha_pS118-R-V	0.221107065
ERCC1-M-V	0.150705511
ERK2-R-E	-0.189532162
ETS-1-R-V	-0.0221649610000001
FASN-R-V	1.253025427
Fibronectin-R-V	0.822377006
FoxM1-R-V	0.340163193
FOXO3a-R-C	-0.0903605810000001
FOXO3a_pS318_S321-R-C	-0.111815857
G6PD-M-V	-0.250135391
GAB2-R-V	2.033383403
GAPDH-M-C	-0.0666968590000001
GATA3-M-V	0.708115456
GSK3-alpha-beta-M-V	0.231971671
GSK3-alpha-beta_pS21_S9-R-V	0.0108197159999999
GSK3_pS9-R-V	0.39363829
HER2-M-V	-0.0187534950000001
HER2_pY1248-R-C	-0.152722009
HER3-R-V	0.272443106
HER3_pY1289-R-C	0.000407793999999795
Heregulin-R-V	0.0567590889999998
HSP70-R-C	-0.522503023
IGFBP2-R-V	1.95581346
INPP4B-R-V	-0.210593177
IRS1-R-V	0.170759742
JNK_pT183_pY185-R-V	-0.044711232
JNK2-R-C	-0.291619569
Ku80-R-C	0.351318905
Lck-R-V	-0.456748786
LKB1-M-E	-0.170541742
MAPK_pT202_Y204-R-V	-0.163844866
MEK1-R-V	0.15258069
MEK1_pS217_S221-R-V	-0.152763846
MIG-6-M-V	0.0616869419999999
Mre11-R-C	-0.0615380320000001
MSH2-M-V	0.576021561
MSH6-R-C	0.694774243
mTOR-R-V	0.139313754
mTOR_pS2448-R-C	-0.120064963
MYH11-R-V	1.332219937
Myosin-IIa_pS1943-R-V	0.501157387
N-Cadherin-R-V	-0.298030834
N-Ras-M-V	-0.120411986
NDRG1_pT346-R-V	-1.832301891
NF-kB-p65_pS536-R-C	-0.0783809120000002
NF2-R-C	-0.178621485
Notch1-R-V	0.104245515
P-Cadherin-R-C	-0.211976355
p21-R-V	-0.00576185900000015
p27-R-V	-0.00477239800000007
p27_pT157-R-C	0.131446682
p27_pT198-R-V	-0.0822155360000001
p38_MAPK-R-V	0.00570811299999996
p38_pT180_Y182-R-V	-0.155857479
p53-R-E	-0.135409997
p62-LCK-ligand-M-C	0.193173456
p70S6K-R-V	0.229532432
p70S6K_pT389-R-V	-0.03691508
p90RSK-R-C	-0.0637078030000001
p90RSK_pT359_S363-R-C	-0.164300073
PAI-1-M-E	-0.263998594
PARP_cleaved-M-E	0.110519469
Paxillin-R-C	0.413152539
PCNA-M-C	0.050007179
PDCD4-R-C	-0.314167312
PDK1-R-V	-0.237646059
PDK1_pS241-R-V	-0.236154626
PEA15-R-V	-0.290976619
PEA15_pS116-R-V	-0.00806261200000002
PI3K-p110-alpha-R-C	0.251757742
PI3K-p85-R-V	-0.144882394
PKC-alpha-M-V	0.0673389569999999
PKC-alpha_pS657-R-C	0.241279362
PKC-delta_pS664-R-V	-0.00825133400000022
PKC-pan_BetaII_pS660-R-V	-0.117644795
PR-R-V	-0.064584993
PRAS40_pT246-R-V	0.259836305
PRDX1-R-V	-0.547671588
PREX1-R-E	0.50602917
PTEN-R-V	0.713295267
Rab11-R-E	0.120024994
Rab25-R-V	0.0780735179999998
Rad50-M-V	-0.223845253
Rad51-R-V	-0.349997488
Raptor-R-V	0.0834229919999999
Rb-M-E	-0.119502433
Rb_pS807_S811-R-V	0.544137387
RBM15-R-V	0.522081141
Rictor-R-C	0.490164864
Rictor_pT1135-R-V	-0.0287243100000001
S6-R-E	0.433538656
S6_pS235_S236-R-V	0.846994419
S6_pS240_S244-R-V	1.091763395
SCD-M-V	-0.0432494390000001
SETD2-R-E	-0.166506467
SF2-M-V	0.190222246
Shc_pY317-R-E	-0.288786942
Smac-M-E	0.132511919
Smad1-R-V	0.882081244
Smad3-R-V	0.154308662
Smad4-M-V	0.250615923
Snail-M-E	0.122831271
Src-M-V	-0.143252944
Src_pY416-R-C	-0.11355948
Src_pY527-R-V	0
STAT3_pY705-R-V	0.515461128
STAT5-alpha-R-V	0.705229871
Stathmin-R-V	-0.137918844
Syk-M-V	0.080555861
TAZ-R-V	0.110303587
TIGAR-R-V	-0.0871515800000001
Transglutaminase-M-V	-0.207929505
TFRC-R-V	1.223067101
TSC1-R-C	0.00264274599999992
TTF1-R-V	0.0741303219999999
Tuberin-R-E	-0.0425983650000001
Tuberin_pT1462-R-V	-0.075856565
VEGFR2-R-V	-0.270766306
EPPK1-M-E	-0.182256512
XBP1-G-C	-0.220684884
XRCC1-R-E	0.472113108
YAP-R-E	-0.237800521
YAP_pS127-R-E	-0.394408255
YB-1-R-V	0.484798066
YB-1_pS102-R-V	0.0248243239999999
JAB1-M-C	-0.175318091
PARP1-R-V	1.004861711
A-Raf-R-V	-0.174696827
ARID1A-R-C	0.828185599
B-Raf_pS445-R-V	0.01862716
Bcl2A1-R-V	-0.282985558
BRD4-R-V	0.784389324
c-Abl-R-V	-0.0431520930000001
Caspase-3-R-C	0.0930364969999998
CD26-R-V	-0.216480215
Chk1_pS296-R-V	0.0782943539999998
COG3-R-V	-0.123271271
DUSP4-R-V	0.394582132
ERCC5-R-C	0.0904841229999999
IGF1R_pY1135_Y1136-R-V	-0.181777187
IRF-1-R-C	-0.231853499
Jak2-R-V	0.19776415
p16_INK4a-R-V	-0.0141899080000001
SHP-2_pY542-R-C	0.0448074119999999
CDK1_pY15-R-C	0.141787456
