Sample REF	BF0B2734-8B91-46D0-BC54-D21D1EB1C035
Composite Element REF	Protein Expression
14-3-3_beta-R-V	-0.080644148
14-3-3_epsilon-M-C	-0.0388847369999999
14-3-3_zeta-R-V	0.166194815
4E-BP1-R-V	0.193490463
4E-BP1_pS65-R-V	-0.073432222
4E-BP1_pT37_T46-R-V	-0.279273957
4E-BP1_pT70-R-V	0.011423169
53BP1-R-E	-0.032428013
A-Raf_pS299-R-C	-0.050666578
ACC_pS79-R-V	0.83567621
ACC1-R-E	0.77654081
Acetyl-a-Tubulin-Lys40-R-C	0.0610465750000001
ACVRL1-R-C	-0.354419521
ADAR1-M-V	-0.063900688
Akt-R-V	0.05258964
Akt_pS473-R-V	-0.562101912
Akt_pT308-R-V	-0.447050812
alpha-Catenin-M-V	-0.140636474
AMPK_alpha-R-C	0.195100606
AMPK_pT172-R-V	0.907874488
Annexin-1-M-E	0.500123468
Annexin_VII-M-V	-0.0597160820000001
AR-R-V	-0.237580994
DIRAS3-M-E	-0.033064191
ASNS-R-V	-0.83329423
ATM-R-E	0.331899827
B-Raf-M-C	-0.343713012
Bad_pS112-R-V	0.191897572
Bak-R-C	0.104970226
Bap1-c-4-M-E	0.478971268
Bax-R-V	0.0289245239999999
Bcl-2-M-V	-0.0369394479999997
Bcl-xL-R-V	0.278031799
Beclin-G-C	-0.158772967
beta-Catenin-R-V	1.065909957
Bid-R-C	-0.051014012
Bim-R-V	0.448465249
BRCA2-R-C	0.0501618819999999
c-Jun_pS73-R-V	-0.549905258
c-Kit-R-V	-0.185261887
c-Met-M-E	0.00331147300000001
c-Met_pY1235-R-V	-0.068519434
c-Myc-R-C	-0.404211329
C-Raf-R-V	0.195908992
C-Raf_pS338-R-V	-0.054381853
Caspase-7_cleavedD198-R-C	1.779975202
Caspase-8-M-E	-0.160445801
Caveolin-1-R-V	0.146958284
CD20-R-C	0.123023445
CD31-M-V	-0.329628675
CD49b-M-V	-0.151548118
CDK1-R-V	-0.16980164
Chk1-M-C	0.587061777
Chk1_pS345-R-C	0.516795101
Chk2-M-E	0.514862174
Chk2_pT68-R-C	-0.135704764
cIAP-R-V	-0.016927793
Claudin-7-R-V	0.91235114
Collagen_VI-R-V	-0.17640432
Cyclin_B1-R-V	0.075502768
Cyclin_D1-R-V	0.408458146
Cyclin_E1-M-V	1.200411392
Cyclin_E2-R-C	0
DJ-1-R-E	-0.194384801
Dvl3-R-V	0.00725634799999997
E-Cadherin-R-V	0.686319876
eEF2-R-C	1.114955678
eEF2K-R-V	0.379419116
EGFR-R-V	0.391238308
EGFR_pY1068-R-C	-0.260251189
EGFR_pY1173-R-V	-0.049425521
eIF4E-R-V	0.445474383
eIF4G-R-C	0.19385915
ER-alpha-R-V	-1.080224198
ER-alpha_pS118-R-V	-0.173829351
ERCC1-M-V	0.119577207
ERK2-R-E	0.300184129
ETS-1-R-V	0.503588189
FASN-R-V	1.370314331
Fibronectin-R-V	-0.608915604
FoxM1-R-V	-0.475884071
FOXO3a-R-C	-0.33110758
FOXO3a_pS318_S321-R-C	-0.135158498
G6PD-M-V	0.372824156
GAB2-R-V	0.345581823
GAPDH-M-C	-0.370464409
GATA3-M-V	0.238464715
GSK3-alpha-beta-M-V	0.143230758
GSK3-alpha-beta_pS21_S9-R-V	-0.094405973
GSK3_pS9-R-V	-0.145633096
HER2-M-V	0.829850663
HER2_pY1248-R-C	0.0598599440000001
HER3-R-V	0.248246955
HER3_pY1289-R-C	0.460250019
Heregulin-R-V	0.272964162
HSP70-R-C	-0.531338561
IGFBP2-R-V	-0.171581928
INPP4B-R-V	-0.378953224
IRS1-R-V	-0.098354301
JNK_pT183_pY185-R-V	-0.167432892
JNK2-R-C	-0.167432892
Ku80-R-C	-0.032432023
Lck-R-V	0.664282865
LKB1-M-E	-0.120363054
MAPK_pT202_Y204-R-V	-0.914126479
MEK1-R-V	0.060952785
MEK1_pS217_S221-R-V	-0.241478335
MIG-6-M-V	-0.029329921
Mre11-R-C	-0.189903241
MSH2-M-V	-0.185475821
MSH6-R-C	0.185882534
mTOR-R-V	0.402888793
mTOR_pS2448-R-C	-0.045128494
MYH11-R-V	-0.991495281
Myosin-IIa_pS1943-R-V	0.165161242
N-Cadherin-R-V	0.209074545
N-Ras-M-V	-0.05381239
NDRG1_pT346-R-V	-1.281865078
NF-kB-p65_pS536-R-C	-0.133447719
NF2-R-C	0.417321145
Notch1-R-V	0.0894507429999999
P-Cadherin-R-C	-0.0970613399999999
p21-R-V	-0.592015526
p27-R-V	-0.480551826
p27_pT157-R-C	-0.021535737
p27_pT198-R-V	-0.172131095
p38_MAPK-R-V	0.256411853
p38_pT180_Y182-R-V	-0.235511203
p53-R-E	-0.087696994
p62-LCK-ligand-M-C	-1.355539005
p70S6K-R-V	0.304737973
p70S6K_pT389-R-V	-0.247009398
p90RSK-R-C	0.572551705
p90RSK_pT359_S363-R-C	0.212305477
PAI-1-M-E	-1.227680807
PARP_cleaved-M-E	-0.045494563
Paxillin-R-C	0.042445219
PCNA-M-C	0.083944441
