Sample REF	BF375F3D-D2CF-49AB-BD47-43A4062F0781
Composite Element REF	Protein Expression
14-3-3_beta-R-V	0.0118535900000001
14-3-3_epsilon-M-C	-0.0309083229999999
14-3-3_zeta-R-V	-0.662521632
4E-BP1-R-V	-0.306328816
4E-BP1_pS65-R-V	0.025315618
4E-BP1_pT37_T46-R-V	0.328989299
4E-BP1_pT70-R-V	-0.131846611
53BP1-R-E	-0.048521503
A-Raf_pS299-R-C	0.37455454
ACC_pS79-R-V	0.536133785
ACC1-R-E	0.158757017
Acetyl-a-Tubulin-Lys40-R-C	-0.266247981
ACVRL1-R-C	0.00313050699999995
ADAR1-M-V	-0.05011957
Akt-R-V	0.044600843
Akt_pS473-R-V	2.278893805
Akt_pT308-R-V	1.573051775
alpha-Catenin-M-V	-0.269875243
AMPK_alpha-R-C	-0.066346737
AMPK_pT172-R-V	-0.478953342
Annexin-1-M-E	-0.922456089
Annexin_VII-M-V	-0.209933076
AR-R-V	-0.262729039
DIRAS3-M-E	-0.262624021
ASNS-R-V	-0.655954095
ATM-R-E	-0.304219632
B-Raf-M-C	0.317331661
Bad_pS112-R-V	0.103912356
Bak-R-C	-0.106188973
Bap1-c-4-M-E	0.153959583
Bax-R-V	-0.021844026
Bcl-2-M-V	-0.370517104
Bcl-xL-R-V	-0.227620693
Beclin-G-C	-0.111368937
beta-Catenin-R-V	-0.814608209
Bid-R-C	-0.012899993
Bim-R-V	0.24056856
BRCA2-R-C	-0.189592417
c-Jun_pS73-R-V	0.459164895
c-Kit-R-V	-0.33888917
c-Met-M-E	-0.25755472
c-Met_pY1235-R-V	-0.134009992
c-Myc-R-C	0.12317429
C-Raf-R-V	-0.040345124
C-Raf_pS338-R-V	0.0126972929999999
Caspase-7_cleavedD198-R-C	0.397713556
Caspase-8-M-E	0.157591176
Caveolin-1-R-V	-1.81312171
CD20-R-C	-0.0230037550000001
CD31-M-V	0.018602707
CD49b-M-V	-0.511352058
CDK1-R-V	-0.0587751579999999
Chk1-M-C	-0.26343009
Chk1_pS345-R-C	-0.0437589180000001
Chk2-M-E	0.592846527
Chk2_pT68-R-C	0.079421054
cIAP-R-V	-0.276422879
Claudin-7-R-V	-0.392279025
Collagen_VI-R-V	-0.028536279
Cyclin_B1-R-V	-0.068680805
Cyclin_D1-R-V	0.181631362
Cyclin_E1-M-V	0.217098086
Cyclin_E2-R-C	-0.128915859
DJ-1-R-E	-0.320573142
Dvl3-R-V	0.077861027
E-Cadherin-R-V	0.022273456
eEF2-R-C	-0.0523152530000001
eEF2K-R-V	0.291592474
EGFR-R-V	-0.382103308
EGFR_pY1068-R-C	0.83648587
EGFR_pY1173-R-V	-0.10291516
eIF4E-R-V	-0.160091999
eIF4G-R-C	0.255098194
ER-alpha-R-V	0.131206684
ER-alpha_pS118-R-V	0.0179423369999999
ERCC1-M-V	0.168627283
ERK2-R-E	0.030384383
ETS-1-R-V	0.049221397
FASN-R-V	1.035619811
Fibronectin-R-V	-0.65745508
FoxM1-R-V	0.418914802
FOXO3a-R-C	-0.0912567550000002
FOXO3a_pS318_S321-R-C	-0.080289876
G6PD-M-V	0.231733188
GAB2-R-V	0.117855753
GAPDH-M-C	0.210332591
GATA3-M-V	0.07279768
GSK3-alpha-beta-M-V	0.00263209199999992
GSK3-alpha-beta_pS21_S9-R-V	0.652260221
GSK3_pS9-R-V	0.439125172
HER2-M-V	-0.016688975
HER2_pY1248-R-C	0.238930722
HER3-R-V	0.0483865250000001
HER3_pY1289-R-C	-0.253880542
Heregulin-R-V	-0.332364234
HSP70-R-C	0.0165239789999999
IGFBP2-R-V	-0.993597151
INPP4B-R-V	-0.0795932079999998
IRS1-R-V	-0.196245273
JNK_pT183_pY185-R-V	-0.0780517469999998
JNK2-R-C	0.017674705
Ku80-R-C	0.079014035
Lck-R-V	0.313034868
LKB1-M-E	-0.136228033
MAPK_pT202_Y204-R-V	1.08497087
MEK1-R-V	-0.20773244
MEK1_pS217_S221-R-V	0.229651694
MIG-6-M-V	0.065207512
Mre11-R-C	-0.088834145
MSH2-M-V	0.153584949
MSH6-R-C	0.762395457
mTOR-R-V	0.134575894
mTOR_pS2448-R-C	0.444671702
MYH11-R-V	-3.149260613
Myosin-IIa_pS1943-R-V	0.029888782
N-Cadherin-R-V	0.099171421
N-Ras-M-V	-0.039974456
NDRG1_pT346-R-V	1.544418208
NF-kB-p65_pS536-R-C	0.43804721
NF2-R-C	0.044585337
Notch1-R-V	-0.149182001
P-Cadherin-R-C	0.0786199040000001
p21-R-V	0.393247328
p27-R-V	-0.175277117
p27_pT157-R-C	-0.11387382
p27_pT198-R-V	0.048901602
p38_MAPK-R-V	0.079921298
p38_pT180_Y182-R-V	0.420723081
p53-R-E	0.0429797280000003
p62-LCK-ligand-M-C	0.0101435049999999
p70S6K-R-V	0.134474535
p70S6K_pT389-R-V	0.468528899
p90RSK-R-C	0.16002012
p90RSK_pT359_S363-R-C	0.637741472
PAI-1-M-E	0.0316369200000001
PARP_cleaved-M-E	-0.15662304
