Sample REF	C159F07D-C0B9-450E-BC7D-777552F38ADD
Composite Element REF	Protein Expression
14-3-3_beta-R-V	-0.0502525319999999
14-3-3_epsilon-M-C	-0.0647662229999999
14-3-3_zeta-R-V	-0.0463779790000001
4E-BP1-R-V	-0.039226115
4E-BP1_pS65-R-V	-0.049811042
4E-BP1_pT37_T46-R-V	0.598565552
4E-BP1_pT70-R-V	-0.098658797
53BP1-R-E	0.185770476
A-Raf_pS299-R-C	0.12894942
ACC_pS79-R-V	0.567488775
ACC1-R-E	0.591095431
Acetyl-a-Tubulin-Lys40-R-C	-0.765889576
ACVRL1-R-C	-0.0695347020000001
ADAR1-M-V	0.101445329
Akt-R-V	0.136996921
Akt_pS473-R-V	0.331264747
Akt_pT308-R-V	-0.198660504
alpha-Catenin-M-V	-0.058702722
AMPK_alpha-R-C	-0.034201937
AMPK_pT172-R-V	0.0622039839999999
Annexin-1-M-E	-0.679096094
Annexin_VII-M-V	0
AR-R-V	-0.179048441
DIRAS3-M-E	-0.071983283
ASNS-R-V	0.273316282
ATM-R-E	0.670992264
B-Raf-M-C	0.196411315
Bad_pS112-R-V	0.14911789
Bak-R-C	0.14749818
Bap1-c-4-M-E	0.121268023
Bax-R-V	0.20610358
Bcl-2-M-V	0.231369966
Bcl-xL-R-V	-0.0880680619999999
Beclin-G-C	-0.021464054
beta-Catenin-R-V	0.110403621
Bid-R-C	-0.111103822
Bim-R-V	0.406814911
BRCA2-R-C	-0.209738928
c-Jun_pS73-R-V	0.195433547
c-Kit-R-V	-0.0062216209999999
c-Met-M-E	-0.269675707
c-Met_pY1235-R-V	-0.0927512720000001
c-Myc-R-C	-0.362673263
C-Raf-R-V	0.241103384
C-Raf_pS338-R-V	0.119222608
Caspase-7_cleavedD198-R-C	1.830665157
Caspase-8-M-E	0.129155885
Caveolin-1-R-V	-0.277746374
CD20-R-C	-0.145040485
CD31-M-V	-0.097788209
CD49b-M-V	-0.491993175
CDK1-R-V	-0.106314853
Chk1-M-C	-0.172014284
Chk1_pS345-R-C	-0.0279178289999999
Chk2-M-E	0.383953391
Chk2_pT68-R-C	-0.0638047979999999
cIAP-R-V	0.986747492
Claudin-7-R-V	0.166173875
Collagen_VI-R-V	-0.127849345
Cyclin_B1-R-V	0.031573302
Cyclin_D1-R-V	-0.089150666
Cyclin_E1-M-V	0.0838214079999999
Cyclin_E2-R-C	-0.112980341
DJ-1-R-E	-0.098652689
Dvl3-R-V	0.161955471
E-Cadherin-R-V	-0.09962316
eEF2-R-C	0.02359906
eEF2K-R-V	-0.014514438
EGFR-R-V	0.05054779
EGFR_pY1068-R-C	0.219196763
EGFR_pY1173-R-V	-0.099976099
eIF4E-R-V	-0.176052746
eIF4G-R-C	0.254581973
ER-alpha-R-V	-0.271408644
ER-alpha_pS118-R-V	-0.164176236
ERCC1-M-V	0.10436392
ERK2-R-E	0.171081666
ETS-1-R-V	-0.013074392
FASN-R-V	0.306679715
Fibronectin-R-V	-0.593918637
FoxM1-R-V	-0.205232547
FOXO3a-R-C	-0.119409441
FOXO3a_pS318_S321-R-C	-0.0027464479999999
G6PD-M-V	0.389357844
GAB2-R-V	0.238718843
GAPDH-M-C	-0.394220404
GATA3-M-V	0.364746046
GSK3-alpha-beta-M-V	-0.05291654
GSK3-alpha-beta_pS21_S9-R-V	0.554793833
GSK3_pS9-R-V	0.405135896
HER2-M-V	-0.024065488
HER2_pY1248-R-C	-0.052270716
HER3-R-V	-0.3454066
HER3_pY1289-R-C	-0.143582243
Heregulin-R-V	-0.016541283
HSP70-R-C	-0.017240111
IGFBP2-R-V	-0.718269995
INPP4B-R-V	0.207565094
IRS1-R-V	-0.234797811
JNK_pT183_pY185-R-V	0.0414078410000001
JNK2-R-C	-0.167744944
Ku80-R-C	0.317528027
Lck-R-V	0.934085137
LKB1-M-E	-0.053125958
MAPK_pT202_Y204-R-V	1.163793419
MEK1-R-V	-0.361181225
MEK1_pS217_S221-R-V	0.237778545
MIG-6-M-V	-0.03695644
Mre11-R-C	-0.051838951
MSH2-M-V	0.0699360969999998
MSH6-R-C	0.073601478
mTOR-R-V	0.127902283
mTOR_pS2448-R-C	0.0589960100000002
MYH11-R-V	-0.371833141
Myosin-IIa_pS1943-R-V	0.013668034
N-Cadherin-R-V	-0.111546587
N-Ras-M-V	-0.053693117
NDRG1_pT346-R-V	1.119821193
NF-kB-p65_pS536-R-C	-0.10538429
NF2-R-C	0.509311374
Notch1-R-V	0.0244641749999999
P-Cadherin-R-C	-0.0972349070000003
p21-R-V	0.557853114
p27-R-V	-0.158508542
p27_pT157-R-C	-0.095194312
p27_pT198-R-V	0.101220258
p38_MAPK-R-V	0.398413854
p38_pT180_Y182-R-V	0.677861756
p53-R-E	-0.035782765
p62-LCK-ligand-M-C	0.441447385
p70S6K-R-V	0.265763488
p70S6K_pT389-R-V	-0.00524105600000002
p90RSK-R-C	0.151343505
p90RSK_pT359_S363-R-C	0.301659426
PAI-1-M-E	-0.964004577
PARP_cleaved-M-E	-0.0700958
Paxillin-R-C	-0.311853952
PCNA-M-C	0.231704519
PDCD4-R-C	1.359498869
PDK1-R-V	0.039847002
PDK1_pS241-R-V	0.122274102
PEA15-R-V	0.109795271
PEA15_pS116-R-V	-0.249492727
PI3K-p110-alpha-R-C	0.368641805
