Sample REF	C1F108EE-1D61-4EC1-9F0E-A85272154696
Composite Element REF	Protein Expression
14-3-3_beta-R-V	0.005979532
14-3-3_epsilon-M-C	-0.0963039650000001
14-3-3_zeta-R-V	0.15953994
4E-BP1-R-V	0
4E-BP1_pS65-R-V	-0.14635171
4E-BP1_pT37_T46-R-V	0.057408623
4E-BP1_pT70-R-V	0.109397001
53BP1-R-E	-0.00340356900000001
A-Raf_pS299-R-C	-0.329696933
ACC_pS79-R-V	-0.16734466
ACC1-R-E	-0.601405266
Acetyl-a-Tubulin-Lys40-R-C	0.646754879
ACVRL1-R-C	0.201418818
ADAR1-M-V	-0.165910585
Akt-R-V	0.073958572
Akt_pS473-R-V	0.0936574209999999
Akt_pT308-R-V	-0.119569652
alpha-Catenin-M-V	-0.0433009660000002
AMPK_alpha-R-C	-0.136114109
AMPK_pT172-R-V	-0.680307764
Annexin-1-M-E	0.277648689
Annexin_VII-M-V	0.0467701659999998
AR-R-V	-0.03477226
DIRAS3-M-E	-0.055843524
ASNS-R-V	0.210777887
ATM-R-E	0.323001661
B-Raf-M-C	0.238923961
Bad_pS112-R-V	0.389697062
Bak-R-C	-0.0374172589999998
Bap1-c-4-M-E	0.194628761
Bax-R-V	0.080471016
Bcl-2-M-V	0.325412377
Bcl-xL-R-V	-0.062090428
Beclin-G-C	-0.143605209
beta-Catenin-R-V	0.107719938
Bid-R-C	-0.063779376
Bim-R-V	-0.035118723
BRCA2-R-C	-0.0182622180000002
c-Jun_pS73-R-V	-0.115280748
c-Kit-R-V	-0.168229822
c-Met-M-E	-0.198495698
c-Met_pY1235-R-V	-0.000692345000000164
c-Myc-R-C	0.152110128
C-Raf-R-V	0.046637882
C-Raf_pS338-R-V	0.073780146
Caspase-7_cleavedD198-R-C	0.528848914
Caspase-8-M-E	-0.059042508
Caveolin-1-R-V	0.366896408
CD20-R-C	0.059264503
CD31-M-V	-0.0806021280000001
CD49b-M-V	0.0126280369999999
CDK1-R-V	0.0171955899999997
Chk1-M-C	-0.000448746999999985
Chk1_pS345-R-C	0.374713475
Chk2-M-E	-0.364025546
Chk2_pT68-R-C	-0.017815586
cIAP-R-V	-0.132513158
Claudin-7-R-V	0.920410747
Collagen_VI-R-V	0.154245676
Cyclin_B1-R-V	-0.319329603
Cyclin_D1-R-V	0.013546446
