Sample REF	C29F674F-5572-4F11-9AA4-8D7F7464BE44
Composite Element REF	Protein Expression
14-3-3_beta-R-V	0.879446109
14-3-3_epsilon-M-C	0.283619534
14-3-3_zeta-R-V	0.795979302
4E-BP1-R-V	0.151648422
4E-BP1_pS65-R-V	-0.140376728
4E-BP1_pT37_T46-R-V	-0.328346259
4E-BP1_pT70-R-V	0.515370393
53BP1-R-E	-2.419997438
A-Raf_pS299-R-C	-0.188807407
ACC_pS79-R-V	-0.524579394
ACC1-R-E	0.00955490299999995
Acetyl-a-Tubulin-Lys40-R-C	-0.414613537
ACVRL1-R-C	0.91873145
ADAR1-M-V	0.296337593
Akt-R-V	-2.737957013
Akt_pS473-R-V	-0.434697725
Akt_pT308-R-V	0.11057784
alpha-Catenin-M-V	0
AMPK_alpha-R-C	-0.119606251
AMPK_pT172-R-V	-0.605598153
Annexin-1-M-E	0.469868126
Annexin_VII-M-V	0.4098263
AR-R-V	-0.0537325470000001
DIRAS3-M-E	0.448230123
ASNS-R-V	1.248020587
ATM-R-E	-2.888323711
B-Raf-M-C	-2.096503758
Bad_pS112-R-V	-0.923445722
Bak-R-C	0.0922515960000001
Bap1-c-4-M-E	-1.580317198
Bax-R-V	0.230870004
Bcl-2-M-V	-0.489637834
Bcl-xL-R-V	0.15314471
Beclin-G-C	-0.457820437
beta-Catenin-R-V	-2.893052795
Bid-R-C	0.757704515
Bim-R-V	-1.090190701
BRCA2-R-C	0.455994994
c-Jun_pS73-R-V	-0.627125201
c-Kit-R-V	0.243137476
c-Met-M-E	-0.208243941
c-Met_pY1235-R-V	0.51897915
c-Myc-R-C	0.572989187
C-Raf-R-V	-0.247983848
C-Raf_pS338-R-V	0.759889631
Caspase-7_cleavedD198-R-C	-0.328324
Caspase-8-M-E	-0.248741779
Caveolin-1-R-V	-1.382674473
CD20-R-C	0.259626228
CD31-M-V	0.849167552
CD49b-M-V	0.181251986
CDK1-R-V	-0.00241648700000008
Chk1-M-C	-0.573731408
Chk1_pS345-R-C	-0.346033407
Chk2-M-E	-0.339642034
Chk2_pT68-R-C	0.738529486
cIAP-R-V	-0.0259659919999999
Claudin-7-R-V	0.439045758
Collagen_VI-R-V	1.140871556
Cyclin_B1-R-V	-0.47556874
Cyclin_D1-R-V	1.186603746
Cyclin_E1-M-V	-0.397027831
Cyclin_E2-R-C	0.00977725100000004
DJ-1-R-E	0.553019208
Dvl3-R-V	-0.80644258
E-Cadherin-R-V	-4.171318995
eEF2-R-C	-0.417647307
eEF2K-R-V	-1.333921013
EGFR-R-V	-0.718863602
EGFR_pY1068-R-C	-0.288440208
EGFR_pY1173-R-V	0.405591544
eIF4E-R-V	0.163559455
eIF4G-R-C	-1.976872898
ER-alpha-R-V	-0.374130675
ER-alpha_pS118-R-V	0.155501839
ERCC1-M-V	-0.919215079
ERK2-R-E	0.254529219
ETS-1-R-V	0.511545213
FASN-R-V	0.00757395500000024
Fibronectin-R-V	1.736465197
FoxM1-R-V	-0.133420095
FOXO3a-R-C	0.542917554
FOXO3a_pS318_S321-R-C	0.0624320620000001
G6PD-M-V	0.749672612
GAB2-R-V	-0.866241826
GAPDH-M-C	1.121472932
GATA3-M-V	-0.156816867
GSK3-alpha-beta-M-V	-0.0558524980000001
GSK3-alpha-beta_pS21_S9-R-V	0.0982463880000002
GSK3_pS9-R-V	-0.7494289
HER2-M-V	-0.791738585
HER2_pY1248-R-C	0.36859207
HER3-R-V	-0.394985849
HER3_pY1289-R-C	0.442742344
Heregulin-R-V	1.073776404
HSP70-R-C	0.877229777
IGFBP2-R-V	0.0366070500000002
INPP4B-R-V	-0.329996699
IRS1-R-V	0.572814079
JNK_pT183_pY185-R-V	0.404372165
JNK2-R-C	-0.636073997
Ku80-R-C	-0.787449137
Lck-R-V	-0.173363639
LKB1-M-E	1.161519255
MAPK_pT202_Y204-R-V	0.219787759
MEK1-R-V	0.333733932
MEK1_pS217_S221-R-V	0.576704423
MIG-6-M-V	0.482612633
Mre11-R-C	0.814274661
MSH2-M-V	-0.297342175
MSH6-R-C	-0.382302995
mTOR-R-V	-1.822709594
mTOR_pS2448-R-C	-0.842877581
MYH11-R-V	2.823189791
Myosin-IIa_pS1943-R-V	-0.623244246
N-Cadherin-R-V	0.715419685
N-Ras-M-V	0.613716237
NDRG1_pT346-R-V	-0.398336962
NF-kB-p65_pS536-R-C	0.372261864
NF2-R-C	-0.87340429
Notch1-R-V	-0.0286500159999998
P-Cadherin-R-C	0.130949557
p21-R-V	1.202935377
p27-R-V	0.252964915
p27_pT157-R-C	0.321066474
p27_pT198-R-V	0.0142755040000002
p38_MAPK-R-V	0.186312613
p38_pT180_Y182-R-V	0.296969448
p53-R-E	0.815442966
p62-LCK-ligand-M-C	-1.223735537
p70S6K-R-V	-2.432599898
p70S6K_pT389-R-V	0.521819917
p90RSK-R-C	-0.445207046
p90RSK_pT359_S363-R-C	0.386958663
PAI-1-M-E	3.685659297
PARP_cleaved-M-E	0.212059135
Paxillin-R-C	-0.336127964
PCNA-M-C	0.206554323
PDCD4-R-C	-1.62603949
PDK1-R-V	0.12254042
PDK1_pS241-R-V	-0.732094389
PEA15-R-V	-0.145259905
PEA15_pS116-R-V	0.673310555
PI3K-p110-alpha-R-C	-0.629368687
PI3K-p85-R-V	0.275119453
PKC-alpha-M-V	-0.397721734
PKC-alpha_pS657-R-C	-0.854645241
PKC-delta_pS664-R-V	-0.195232402
PKC-pan_BetaII_pS660-R-V	-1.878694332
PR-R-V	0.738285489
PRAS40_pT246-R-V	0.28076372
PRDX1-R-V	0.317013711
PREX1-R-E	0.728380529
PTEN-R-V	-2.373805262
Rab11-R-E	0.535877087
Rab25-R-V	-0.449492395
Rad50-M-V	-0.0991976020000001
Rad51-R-V	1.305366177
Raptor-R-V	-0.21691032
Rb-M-E	0.558725987
Rb_pS807_S811-R-V	-0.635268611
RBM15-R-V	-2.433437205
Rictor-R-C	0.198666445
Rictor_pT1135-R-V	0.719204417
S6-R-E	-2.574146485
S6_pS235_S236-R-V	-1.925503712
S6_pS240_S244-R-V	-1.901147898
SCD-M-V	0.204247916
SETD2-R-E	0.542587303
SF2-M-V	-0.838338106
Shc_pY317-R-E	-0.604795281
Smac-M-E	0.531257521
Smad1-R-V	-0.65485567
Smad3-R-V	0.550049027
Smad4-M-V	1.00946624
Snail-M-E	-0.409363272
Src-M-V	-0.529027099
Src_pY416-R-C	0.144753093
Src_pY527-R-V	-0.331370191
STAT3_pY705-R-V	-0.89959246
STAT5-alpha-R-V	-2.397122703
Stathmin-R-V	0.724461314
Syk-M-V	-1.0866728
TAZ-R-V	0.503835073
TIGAR-R-V	0.0694816550000001
Transglutaminase-M-V	-0.45617668
TFRC-R-V	0.265984517
TSC1-R-C	-1.136667653
TTF1-R-V	0.106332189
Tuberin-R-E	-2.245582181
Tuberin_pT1462-R-V	-0.0423095859999998
VEGFR2-R-V	-0.978738989
EPPK1-M-E	-2.501676049
XBP1-G-C	-0.274249079
