Sample REF	C4584FD2-F3A6-4475-96F1-7897310781FA
Composite Element REF	Protein Expression
14-3-3_beta-R-V	-0.069136826
14-3-3_epsilon-M-C	0.241410418
14-3-3_zeta-R-V	0.467282419
4E-BP1-R-V	0.840984699
4E-BP1_pS65-R-V	0.071790257
4E-BP1_pT37_T46-R-V	0.080164831
4E-BP1_pT70-R-V	0.00134056800000001
53BP1-R-E	0.072991534
A-Raf_pS299-R-C	-0.150744428
ACC_pS79-R-V	0.351224183
ACC1-R-E	0.315038492
Acetyl-a-Tubulin-Lys40-R-C	0.994706948
ACVRL1-R-C	-0.111567597
ADAR1-M-V	0.141804101
Akt-R-V	-0.75648713
Akt_pS473-R-V	-0.493926297
Akt_pT308-R-V	0.444953191
alpha-Catenin-M-V	0.114614247
AMPK_alpha-R-C	-0.190220255
AMPK_pT172-R-V	-0.944733033
Annexin-1-M-E	0.67080333
Annexin_VII-M-V	0.151263341
AR-R-V	0.043139235
DIRAS3-M-E	-0.031998161
ASNS-R-V	-0.29615331
ATM-R-E	-0.995159999
B-Raf-M-C	0.126859244
Bad_pS112-R-V	-0.173878289
Bak-R-C	0.301921463
Bap1-c-4-M-E	0.561269471
Bax-R-V	-0.015809574
Bcl-2-M-V	-0.215722819
Bcl-xL-R-V	-0.211641309
Beclin-G-C	-0.12150604
beta-Catenin-R-V	0.215387738
Bid-R-C	-0.097952481
Bim-R-V	0.094734743
BRCA2-R-C	0.103848074
c-Jun_pS73-R-V	-0.421155464
c-Kit-R-V	-0.240722445
c-Met-M-E	-0.0201534350000001
c-Met_pY1235-R-V	0.103764141
c-Myc-R-C	-0.118859835
C-Raf-R-V	0.34206531
C-Raf_pS338-R-V	0.00657717699999999
Caspase-7_cleavedD198-R-C	0.944555842
Caspase-8-M-E	-0.251166582
Caveolin-1-R-V	-1.313934655
CD20-R-C	0.087588091
CD31-M-V	-0.0196124549999998
CD49b-M-V	0.100477069
CDK1-R-V	-0.148827175
Chk1-M-C	0.043139235
Chk1_pS345-R-C	-0.020039401
Chk2-M-E	-0.0842808329999999
Chk2_pT68-R-C	-0.017720847
