Sample REF	C681D567-D4DB-460D-BABE-AD14C6FB9D92
Composite Element REF	Protein Expression
14-3-3_beta-R-V	0.100061265
14-3-3_epsilon-M-C	-0.020369053
14-3-3_zeta-R-V	0.588962457
4E-BP1-R-V	0.037355286
4E-BP1_pS65-R-V	-0.061847251
4E-BP1_pT37_T46-R-V	-0.014116496
4E-BP1_pT70-R-V	0.085214941
53BP1-R-E	-0.592134113
A-Raf_pS299-R-C	0.132764717
ACC_pS79-R-V	-0.039137459
ACC1-R-E	-0.0243406100000001
Acetyl-a-Tubulin-Lys40-R-C	-0.652564144
ACVRL1-R-C	0.133625267
ADAR1-M-V	-0.0382822949999999
Akt-R-V	-1.06293781
Akt_pS473-R-V	-0.406759633
Akt_pT308-R-V	-0.205615405
alpha-Catenin-M-V	0.180860676
AMPK_alpha-R-C	-0.101561896
AMPK_pT172-R-V	-0.380656826
Annexin-1-M-E	0.37027892
Annexin_VII-M-V	0.192268292
AR-R-V	-0.249647458
DIRAS3-M-E	0.132241463
ASNS-R-V	-0.953200992
ATM-R-E	-0.696253852
B-Raf-M-C	-0.335676912
Bad_pS112-R-V	-0.334860147
Bak-R-C	-0.278894846
Bap1-c-4-M-E	-0.995271542
Bax-R-V	0.338550827
Bcl-2-M-V	0.157255036
Bcl-xL-R-V	0.162986209
Beclin-G-C	-0.39482286
beta-Catenin-R-V	-0.567827492
Bid-R-C	0.071886898
Bim-R-V	0.187972794
BRCA2-R-C	0.0557567149999998
c-Jun_pS73-R-V	-0.429224041
c-Kit-R-V	0.244506878
c-Met-M-E	0.165252998
c-Met_pY1235-R-V	0.0900740089999998
c-Myc-R-C	0.05156861
C-Raf-R-V	-0.323285515
C-Raf_pS338-R-V	0.089984062
Caspase-7_cleavedD198-R-C	0.157904494
Caspase-8-M-E	0.225013764
Caveolin-1-R-V	0.509585084
CD20-R-C	-0.13350998
CD31-M-V	0.177196109
CD49b-M-V	0.633288925
CDK1-R-V	0.125431194
Chk1-M-C	-0.0157683110000002
Chk1_pS345-R-C	-0.10818145
Chk2-M-E	-0.251411961
Chk2_pT68-R-C	0.029965926
cIAP-R-V	0.025675028
Claudin-7-R-V	0.857862365
Collagen_VI-R-V	0.312519229
Cyclin_B1-R-V	0.38125974
Cyclin_D1-R-V	0.070477316
Cyclin_E1-M-V	0.186293716
Cyclin_E2-R-C	0.105445694
DJ-1-R-E	0.301831574
Dvl3-R-V	0.36818629
E-Cadherin-R-V	-1.227217621
eEF2-R-C	-0.175806936
eEF2K-R-V	-1.596022267
EGFR-R-V	-0.402383128
EGFR_pY1068-R-C	-0.0512823789999997
EGFR_pY1173-R-V	0.0145313709999999
eIF4E-R-V	0.142269123
eIF4G-R-C	-0.993303736
ER-alpha-R-V	-0.412734121
ER-alpha_pS118-R-V	-0.176421803
ERCC1-M-V	-0.606863918
ERK2-R-E	-0.644935059
ETS-1-R-V	-0.060683359
FASN-R-V	0.174508452
Fibronectin-R-V	0.63412239
FoxM1-R-V	0
FOXO3a-R-C	0.139369075
FOXO3a_pS318_S321-R-C	0.125098064
G6PD-M-V	-0.30079332
GAB2-R-V	-0.490172918
GAPDH-M-C	0.232629871
GATA3-M-V	-0.0681291529999999
GSK3-alpha-beta-M-V	-0.0525335330000001
GSK3-alpha-beta_pS21_S9-R-V	0.050976679
GSK3_pS9-R-V	-0.609838854
HER2-M-V	-1.04987194
HER2_pY1248-R-C	-0.0811395890000001
HER3-R-V	-0.584647463
HER3_pY1289-R-C	0.072047117
Heregulin-R-V	-0.214416334
HSP70-R-C	0.146954613
IGFBP2-R-V	-0.137924999
INPP4B-R-V	-0.286266616
IRS1-R-V	0.0935170789999999
JNK_pT183_pY185-R-V	-0.0858271129999999
JNK2-R-C	-0.484238895
Ku80-R-C	-0.563983329
Lck-R-V	-0.0366069740000001
LKB1-M-E	0.00932832799999994
MAPK_pT202_Y204-R-V	0.2651141
MEK1-R-V	-0.277302239
MEK1_pS217_S221-R-V	0.053551661
MIG-6-M-V	0.13136747
Mre11-R-C	0.142558613
MSH2-M-V	-0.15813051
MSH6-R-C	-0.673270471
mTOR-R-V	-0.879508892
mTOR_pS2448-R-C	-0.227405593
MYH11-R-V	1.134508982
Myosin-IIa_pS1943-R-V	0.326173238
N-Cadherin-R-V	0.020127478
N-Ras-M-V	0.1034226
NDRG1_pT346-R-V	1.909942234
NF-kB-p65_pS536-R-C	0.157148802
NF2-R-C	-0.16443485
Notch1-R-V	0.0575027149999998
P-Cadherin-R-C	0.0132749430000001
p21-R-V	0.917613017
p27-R-V	0.212593711
p27_pT157-R-C	0.00922621899999998
p27_pT198-R-V	0.070644348
p38_MAPK-R-V	-0.003816032
p38_pT180_Y182-R-V	-0.123380965
p53-R-E	0.134262828
p62-LCK-ligand-M-C	-0.139584154
p70S6K-R-V	-0.117292493
p70S6K_pT389-R-V	-0.232020349
p90RSK-R-C	-0.402252134
p90RSK_pT359_S363-R-C	-0.440205145
PAI-1-M-E	0.60504458
PARP_cleaved-M-E	0.08105433
Paxillin-R-C	-0.228131935
PCNA-M-C	-0.106542302
PDCD4-R-C	0.045155191
PDK1-R-V	0.0514707839999999
PDK1_pS241-R-V	-0.200244442
PEA15-R-V	0.392441117
PEA15_pS116-R-V	-0.219109251
PI3K-p110-alpha-R-C	0.0669488319999999
PI3K-p85-R-V	-0.296699679
PKC-alpha-M-V	-0.5004697
PKC-alpha_pS657-R-C	-0.72764333
PKC-delta_pS664-R-V	-0.139826676
PKC-pan_BetaII_pS660-R-V	-1.490930616
PR-R-V	-0.030877845
PRAS40_pT246-R-V	-0.21523261
PRDX1-R-V	0.510225191
PREX1-R-E	0.028317999
PTEN-R-V	-0.173920048
Rab11-R-E	0.194587507
Rab25-R-V	0.390696719
Rad50-M-V	-0.107687795
Rad51-R-V	0.208317144
Raptor-R-V	-0.364962718
Rb-M-E	0.0557690419999999
Rb_pS807_S811-R-V	0.42525113
RBM15-R-V	-0.798041591
Rictor-R-C	-0.501983732
Rictor_pT1135-R-V	0.08608549
S6-R-E	-1.039566985
S6_pS235_S236-R-V	-1.282051791
S6_pS240_S244-R-V	-0.817373688
SCD-M-V	-0.00758545700000002
SETD2-R-E	0.094129484
SF2-M-V	0.225318939
Shc_pY317-R-E	-0.0205118790000001
Smac-M-E	0.241082648
Smad1-R-V	-0.112395702
Smad3-R-V	0.036309973
Smad4-M-V	0.101572383
Snail-M-E	-0.033592581
Src-M-V	0.284240434
Src_pY416-R-C	1.365809768
Src_pY527-R-V	0.853532986
STAT3_pY705-R-V	0.010897198
STAT5-alpha-R-V	-1.838869933
