Sample REF	C68D40B8-F4FA-49CF-A16D-CBA515D9EEC9
Composite Element REF	Protein Expression
14-3-3_beta-R-V	0.0785510880000001
14-3-3_epsilon-M-C	-0.280907046
14-3-3_zeta-R-V	0.286119513
4E-BP1-R-V	-0.02999875
4E-BP1_pS65-R-V	0.168863815
4E-BP1_pT37_T46-R-V	0.581692332
4E-BP1_pT70-R-V	0.10600329
53BP1-R-E	-0.00212703299999994
A-Raf_pS299-R-C	-0.125724221
ACC_pS79-R-V	-0.0366732599999999
ACC1-R-E	0.080199221
Acetyl-a-Tubulin-Lys40-R-C	0.650834272
ACVRL1-R-C	0.048674119
ADAR1-M-V	0.0476980250000001
Akt-R-V	-0.721440691
Akt_pS473-R-V	-0.0558657889999998
Akt_pT308-R-V	-0.210407606
alpha-Catenin-M-V	0.0602386790000002
AMPK_alpha-R-C	-0.0857217159999999
AMPK_pT172-R-V	-0.648964868
Annexin-1-M-E	-0.613759556
Annexin_VII-M-V	-0.053833368
AR-R-V	-0.23203434
DIRAS3-M-E	-0.039755972
ASNS-R-V	0.282704296
ATM-R-E	-0.858154657
B-Raf-M-C	-0.167709077
Bad_pS112-R-V	-0.0753290709999999
Bak-R-C	-0.0281735159999998
Bap1-c-4-M-E	0.248696635
Bax-R-V	0.143586862
Bcl-2-M-V	-0.0316035019999998
Bcl-xL-R-V	0.0317631840000001
Beclin-G-C	0.28384183
beta-Catenin-R-V	-0.331157266
Bid-R-C	-0.0443874609999999
Bim-R-V	0.0379980110000001
BRCA2-R-C	0.140405967
c-Jun_pS73-R-V	0.388549709
c-Kit-R-V	0.0564841360000001
c-Met-M-E	0.127941975
c-Met_pY1235-R-V	0.00456382400000011
c-Myc-R-C	-0.272599084
C-Raf-R-V	-0.424002536
C-Raf_pS338-R-V	0.02610027
Caspase-7_cleavedD198-R-C	-0.647463721
Caspase-8-M-E	-0.00143885499999996
Caveolin-1-R-V	0.0314416310000001
CD20-R-C	-0.00984613199999984
CD31-M-V	0.128834604
CD49b-M-V	0.172800043
CDK1-R-V	0.397696601
Chk1-M-C	0.393243613
Chk1_pS345-R-C	0.138629724
Chk2-M-E	0.225828303
Chk2_pT68-R-C	0.19025726
cIAP-R-V	0.0210329360000001
Claudin-7-R-V	0.17790111
Collagen_VI-R-V	-0.0603614729999999
Cyclin_B1-R-V	0.986378823
Cyclin_D1-R-V	0.0547651680000001
Cyclin_E1-M-V	0.370553456
Cyclin_E2-R-C	0.0912209490000001
DJ-1-R-E	0.301609563
Dvl3-R-V	0.082687937
E-Cadherin-R-V	-0.710082719
eEF2-R-C	-0.716337441
eEF2K-R-V	-0.545352435
EGFR-R-V	0.138754569
EGFR_pY1068-R-C	0.0853506980000001
EGFR_pY1173-R-V	0
eIF4E-R-V	0.0421701330000001
eIF4G-R-C	-0.166077402
ER-alpha-R-V	-0.719471366
ER-alpha_pS118-R-V	-0.048171269
ERCC1-M-V	-0.102027784
ERK2-R-E	-0.763624503
ETS-1-R-V	0.018443978
FASN-R-V	0.0907162020000001
Fibronectin-R-V	0.754946317
FoxM1-R-V	-0.0528050769999999
FOXO3a-R-C	0.0483282840000001
FOXO3a_pS318_S321-R-C	0.106744918
G6PD-M-V	-0.088836471
GAB2-R-V	-0.323503838
GAPDH-M-C	-0.0148441239999999
GATA3-M-V	0.112692964
GSK3-alpha-beta-M-V	-0.074934811
GSK3-alpha-beta_pS21_S9-R-V	-0.351582684
GSK3_pS9-R-V	-0.472432469
HER2-M-V	-0.295842964
HER2_pY1248-R-C	-0.0904027499999999
HER3-R-V	0.224633453
HER3_pY1289-R-C	0.112181577
Heregulin-R-V	-0.0493026189999999
HSP70-R-C	0.158920825
IGFBP2-R-V	1.125803968
INPP4B-R-V	0.0333549310000003
IRS1-R-V	-0.154114616
JNK_pT183_pY185-R-V	0.151168172
JNK2-R-C	-0.098671245
Ku80-R-C	-0.171833542
Lck-R-V	-0.394236295
LKB1-M-E	-0.08383518
MAPK_pT202_Y204-R-V	0.868862556
MEK1-R-V	-0.116232549
MEK1_pS217_S221-R-V	0.383117887
MIG-6-M-V	0.0361174550000001
Mre11-R-C	0.0173299610000001
MSH2-M-V	-0.0810915900000002
MSH6-R-C	-0.285586829
mTOR-R-V	-0.101988956
mTOR_pS2448-R-C	0.112957723
MYH11-R-V	1.053954042
Myosin-IIa_pS1943-R-V	0.031964081
N-Cadherin-R-V	-0.243741797
N-Ras-M-V	0.02540863
NDRG1_pT346-R-V	1.20666077
NF-kB-p65_pS536-R-C	-0.523902549
NF2-R-C	-0.178332057
Notch1-R-V	0.214042765
P-Cadherin-R-C	0.0720420879999999
p21-R-V	0.791366978
p27-R-V	-0.43541032
p27_pT157-R-C	-0.092540188
p27_pT198-R-V	-0.020139686
p38_MAPK-R-V	0.0103711630000001
p38_pT180_Y182-R-V	0.472473381
p53-R-E	0.0383153150000002
p62-LCK-ligand-M-C	-0.0792665480000001
p70S6K-R-V	-0.32376624
p70S6K_pT389-R-V	-0.06807992
p90RSK-R-C	-0.270887652
p90RSK_pT359_S363-R-C	0.132163042
PAI-1-M-E	1.350356753
PARP_cleaved-M-E	0.245315402
Paxillin-R-C	-0.539080192
PCNA-M-C	0.288132922
PDCD4-R-C	0.339501263
PDK1-R-V	-0.036992881
PDK1_pS241-R-V	-0.037610541
PEA15-R-V	0.041888896
PEA15_pS116-R-V	-0.433140612
PI3K-p110-alpha-R-C	-0.132904684
PI3K-p85-R-V	-0.47031619
PKC-alpha-M-V	-0.281085926
PKC-alpha_pS657-R-C	-0.363016869
PKC-delta_pS664-R-V	-0.132131106
PKC-pan_BetaII_pS660-R-V	-0.712760024
PR-R-V	-0.0339766389999998
PRAS40_pT246-R-V	-0.0272256849999999
PRDX1-R-V	0.068681212
PREX1-R-E	-0.139661928
PTEN-R-V	0.109722003
Rab11-R-E	-0.0802829919999999
Rab25-R-V	0.140300802
Rad50-M-V	-0.241427868
Rad51-R-V	0.0651787859999999
Raptor-R-V	-0.246694733
Rb-M-E	-0.00824994700000015
Rb_pS807_S811-R-V	0.743206661
RBM15-R-V	-0.158254028
Rictor-R-C	-0.324521632
Rictor_pT1135-R-V	-0.0701981379999999
S6-R-E	0.147553748
S6_pS235_S236-R-V	0.878726246
S6_pS240_S244-R-V	0.00865057800000013
SCD-M-V	-0.024812131
SETD2-R-E	-0.216886463
SF2-M-V	0.270459457
Shc_pY317-R-E	0.10167456
Smac-M-E	0.067439017
Smad1-R-V	-0.188075375
Smad3-R-V	-0.074006956
Smad4-M-V	0.162182376
Snail-M-E	0.338355883
Src-M-V	0.242184349
Src_pY416-R-C	-0.50770749
Src_pY527-R-V	0.610425579
STAT3_pY705-R-V	-0.040814459
STAT5-alpha-R-V	-1.759306255
Stathmin-R-V	0.0389280730000001
Syk-M-V	-0.534949681
TAZ-R-V	0.052659642
TIGAR-R-V	0.790830169
Transglutaminase-M-V	-0.549656318
TFRC-R-V	0.737796434
TSC1-R-C	-0.306228734
TTF1-R-V	-0.027479415
Tuberin-R-E	-0.599434992
