Sample REF	C7D3A64F-5697-4AE3-A459-947CDE9BBFAF
Composite Element REF	Protein Expression
14-3-3_beta-R-V	-0.200880038
14-3-3_epsilon-M-C	-0.0728002229999999
14-3-3_zeta-R-V	-0.519749831
4E-BP1-R-V	-0.240885909
4E-BP1_pS65-R-V	0.027808279
4E-BP1_pT37_T46-R-V	0.22703551
4E-BP1_pT70-R-V	-0.140564197
53BP1-R-E	-0.335547457
A-Raf_pS299-R-C	0.162285566
ACC_pS79-R-V	0.213983431
ACC1-R-E	-0.253756929
Acetyl-a-Tubulin-Lys40-R-C	0.327643847
ACVRL1-R-C	0.160100387
ADAR1-M-V	0.150712502
Akt-R-V	-0.393104712
Akt_pS473-R-V	-0.15457818
Akt_pT308-R-V	-0.0773738009999999
alpha-Catenin-M-V	0.313355554
AMPK_alpha-R-C	-0.128760655
AMPK_pT172-R-V	-0.365974631
Annexin-1-M-E	-0.0610511789999999
Annexin_VII-M-V	0.328473946
AR-R-V	-0.198296314
DIRAS3-M-E	-0.0720461849999999
ASNS-R-V	-0.318160474
ATM-R-E	-0.102966505
B-Raf-M-C	0.307353677
Bad_pS112-R-V	0.129826838
Bak-R-C	-0.0300311639999997
Bap1-c-4-M-E	0.52941074
Bax-R-V	-0.294873436
Bcl-2-M-V	0.226050114
Bcl-xL-R-V	-0.0620016099999999
Beclin-G-C	0.253720176
beta-Catenin-R-V	0.095676866
Bid-R-C	-0.297078292
Bim-R-V	0.047927547
BRCA2-R-C	0.115206265
c-Jun_pS73-R-V	0.0371835819999999
c-Kit-R-V	-0.093215936
c-Met-M-E	0.683749395
c-Met_pY1235-R-V	-0.013567185
c-Myc-R-C	-0.0522700249999999
C-Raf-R-V	0.025276498
C-Raf_pS338-R-V	0.053676171
Caspase-7_cleavedD198-R-C	0.225941083
Caspase-8-M-E	0.0258951850000002
Caveolin-1-R-V	-0.263693559
CD20-R-C	0.0121518690000001
CD31-M-V	0.34735754
CD49b-M-V	0.265497127
CDK1-R-V	0.452409168
Chk1-M-C	0.215940016
Chk1_pS345-R-C	0.233132737
Chk2-M-E	0.496015518
Chk2_pT68-R-C	-0.0944370009999999
cIAP-R-V	-0.0650354139999999
Claudin-7-R-V	-0.867100875
Collagen_VI-R-V	-0.454015855
Cyclin_B1-R-V	-0.144355681
Cyclin_D1-R-V	-0.248758805
Cyclin_E1-M-V	-0.00469152900000003
Cyclin_E2-R-C	-0.103774121
DJ-1-R-E	-0.180589918
Dvl3-R-V	-0.0617781509999999
E-Cadherin-R-V	-0.025714887
eEF2-R-C	-0.143689719
eEF2K-R-V	-0.392449119
EGFR-R-V	0.285585205
EGFR_pY1068-R-C	0.336843274
EGFR_pY1173-R-V	-0.140440665
eIF4E-R-V	0.0740657040000001
eIF4G-R-C	0.216321203
ER-alpha-R-V	-0.298762916
ER-alpha_pS118-R-V	-0.149045106
ERCC1-M-V	0.15905907
ERK2-R-E	-0.357561443
ETS-1-R-V	-0.0537698109999999
