Sample REF	C8052E35-8571-457C-8A92-A7806AB50F69
Composite Element REF	Protein Expression
14-3-3_beta-R-V	0.015639509
14-3-3_epsilon-M-C	-0.00979234400000006
14-3-3_zeta-R-V	-0.22232905
4E-BP1-R-V	0.0377421809999999
4E-BP1_pS65-R-V	-0.0901727180000001
4E-BP1_pT37_T46-R-V	0.0822220479999999
4E-BP1_pT70-R-V	-0.0566019600000001
53BP1-R-E	0.255241623
A-Raf_pS299-R-C	-0.0595792510000001
ACC_pS79-R-V	0.282583115
ACC1-R-E	0.273897289
Acetyl-a-Tubulin-Lys40-R-C	-0.189341131
ACVRL1-R-C	-7.27190000000544e-05
ADAR1-M-V	-0.040599863
Akt-R-V	-0.183696098
Akt_pS473-R-V	0.172447992
Akt_pT308-R-V	0.0363867359999999
alpha-Catenin-M-V	0.0724935710000001
AMPK_alpha-R-C	-0.26478351
AMPK_pT172-R-V	-0.0555185730000001
Annexin-1-M-E	-0.012074907
Annexin_VII-M-V	-0.205371244
AR-R-V	0.16633332
DIRAS3-M-E	0.0885930509999999
ASNS-R-V	-0.668348414
ATM-R-E	-0.592893458
B-Raf-M-C	0.0502510299999999
Bad_pS112-R-V	0.241824327
Bak-R-C	0.267750804
Bap1-c-4-M-E	-7.27190000000544e-05
Bax-R-V	-0.127620846
Bcl-2-M-V	0.174117828
Bcl-xL-R-V	-0.00247588600000004
Beclin-G-C	0.115031373
beta-Catenin-R-V	0.100214118
Bid-R-C	-0.108572747
Bim-R-V	-0.0501633350000001
BRCA2-R-C	0.0243250999999998
c-Jun_pS73-R-V	-0.188968684
c-Kit-R-V	-0.024970135
c-Met-M-E	0.083618636
c-Met_pY1235-R-V	0.0440203899999999
c-Myc-R-C	0.227547293
C-Raf-R-V	-0.191820248
C-Raf_pS338-R-V	-0.0555277940000001
Caspase-7_cleavedD198-R-C	-0.157392937
Caspase-8-M-E	-0.09553999
Caveolin-1-R-V	-0.236532001
CD20-R-C	0.200723981
CD31-M-V	0.0170686119999999
CD49b-M-V	0.032971101
CDK1-R-V	0.093060519
Chk1-M-C	-0.104666872
Chk1_pS345-R-C	0.443210633
Chk2-M-E	-0.229000352
Chk2_pT68-R-C	0
cIAP-R-V	-0.118203741
Claudin-7-R-V	0.695423478
Collagen_VI-R-V	0.388181268
Cyclin_B1-R-V	0.159134736
Cyclin_D1-R-V	-0.033318754
Cyclin_E1-M-V	0.424902598
Cyclin_E2-R-C	0.336408888
DJ-1-R-E	-0.056278665
Dvl3-R-V	-0.484272244
E-Cadherin-R-V	0.457999748
eEF2-R-C	-0.121205
eEF2K-R-V	0.941550751
EGFR-R-V	0.0932918729999999
EGFR_pY1068-R-C	0.331121145
EGFR_pY1173-R-V	0.0498025489999999
eIF4E-R-V	-0.092132157
eIF4G-R-C	0.109899522
ER-alpha-R-V	0.303454857
ER-alpha_pS118-R-V	0.248461664
ERCC1-M-V	-0.00255126700000008
ERK2-R-E	-0.053282022
ETS-1-R-V	-0.0778555200000001
FASN-R-V	0.642630647
Fibronectin-R-V	-0.0135896340000001
FoxM1-R-V	0.0404895860000001
FOXO3a-R-C	0.0870452719999999
FOXO3a_pS318_S321-R-C	0.0128604479999999
G6PD-M-V	-0.10820572
GAB2-R-V	0.514084823
GAPDH-M-C	-0.143449269
GATA3-M-V	0.244891907
GSK3-alpha-beta-M-V	-0.108426453
GSK3-alpha-beta_pS21_S9-R-V	0.312317489
GSK3_pS9-R-V	0.447933369
HER2-M-V	0.162566498
HER2_pY1248-R-C	0.261661236
HER3-R-V	0.132405507
HER3_pY1289-R-C	-0.116611714
Heregulin-R-V	-0.132848842
HSP70-R-C	-0.045029741
IGFBP2-R-V	0.268808635
INPP4B-R-V	0.280922793
IRS1-R-V	-0.121857221
JNK_pT183_pY185-R-V	0.018728082
JNK2-R-C	-0.213711589
Ku80-R-C	0.030383451
Lck-R-V	0.130744204
LKB1-M-E	-0.0786503140000001
MAPK_pT202_Y204-R-V	0.342655766
MEK1-R-V	0.546142116
MEK1_pS217_S221-R-V	-0.0245116560000001
MIG-6-M-V	-0.103180456
Mre11-R-C	-0.088449726
MSH2-M-V	0.0161877569999997
MSH6-R-C	-0.344024758
mTOR-R-V	-0.113523065
mTOR_pS2448-R-C	-0.0426182739999998
MYH11-R-V	2.035652762
Myosin-IIa_pS1943-R-V	-0.164819874
N-Cadherin-R-V	-0.0841919420000001
N-Ras-M-V	-0.0424625770000001
NDRG1_pT346-R-V	0.578734659
NF-kB-p65_pS536-R-C	0.849397726
NF2-R-C	-0.209693435
Notch1-R-V	0.456349549
P-Cadherin-R-C	-0.158165584
p21-R-V	0.185978613
p27-R-V	0.035041015
p27_pT157-R-C	0.130922901
p27_pT198-R-V	-0.023493861
p38_MAPK-R-V	0.138933676
p38_pT180_Y182-R-V	0.41317042
p53-R-E	0.0638836950000001
p62-LCK-ligand-M-C	0.0567518629999999
p70S6K-R-V	-0.178396458
p70S6K_pT389-R-V	-0.105040327
p90RSK-R-C	-0.2892863
p90RSK_pT359_S363-R-C	-0.235494758
PAI-1-M-E	-0.393204248
PARP_cleaved-M-E	-0.0722293090000001
Paxillin-R-C	-0.226446105
PCNA-M-C	-0.112715362
PDCD4-R-C	0.63042413
PDK1-R-V	0.0716059509999999
PDK1_pS241-R-V	0.186022993
PEA15-R-V	-0.0208886210000001
PEA15_pS116-R-V	-0.190322151
PI3K-p110-alpha-R-C	-0.0730046170000002
PI3K-p85-R-V	0.00307967799999997
PKC-alpha-M-V	-0.0873472070000001
PKC-alpha_pS657-R-C	0.0392621019999999
PKC-delta_pS664-R-V	0.090744223
PKC-pan_BetaII_pS660-R-V	0.212894323
PR-R-V	0.000275942000000029
PRAS40_pT246-R-V	0.278384111
PRDX1-R-V	-0.153933127
PREX1-R-E	0.199007389
PTEN-R-V	-0.258226995
Rab11-R-E	-0.131201197
Rab25-R-V	-0.0656692280000002
Rad50-M-V	-0.188236382
Rad51-R-V	-0.044196951
Raptor-R-V	-0.183457104
Rb-M-E	0.014013023
Rb_pS807_S811-R-V	-0.173809712
RBM15-R-V	-0.575097642
Rictor-R-C	1.401883893
Rictor_pT1135-R-V	-0.108204455
S6-R-E	-0.244040038
S6_pS235_S236-R-V	0.190327324
S6_pS240_S244-R-V	0.0525867040000001
SCD-M-V	0.320712003
SETD2-R-E	-0.224643758
SF2-M-V	-7.27190000000544e-05
Shc_pY317-R-E	0.000119797000000199
Smac-M-E	-0.226877043
Smad1-R-V	0.0430775389999999
Smad3-R-V	0.0279431559999999
Smad4-M-V	0.0913648159999998
Snail-M-E	-0.224223839
Src-M-V	0.439360012
Src_pY416-R-C	1.246121682
Src_pY527-R-V	0.641318208
STAT3_pY705-R-V	-0.00233282200000007
STAT5-alpha-R-V	0.385274242
Stathmin-R-V	-0.10697919
Syk-M-V	0.132410675
TAZ-R-V	-0.105273278
TIGAR-R-V	-0.27400069
Transglutaminase-M-V	-0.338325506
TFRC-R-V	0.64084145
TSC1-R-C	-0.0786070330000001
TTF1-R-V	0.061488405
Tuberin-R-E	0.0867961679999999
Tuberin_pT1462-R-V	0.419788685
VEGFR2-R-V	-0.234321012
EPPK1-M-E	0.317362065
XBP1-G-C	0.098504946
XRCC1-R-E	-0.275069975
YAP-R-E	-0.0573389010000001
YAP_pS127-R-E	-0.00320211300000006
YB-1-R-V	0.219146298
YB-1_pS102-R-V	0.219615055
JAB1-M-C	0.075724484
PARP1-R-V	-0.0619030310000001
A-Raf-R-V	-0.258440168
ARID1A-R-C	0.178648563
B-Raf_pS445-R-V	-0.0320214770000001
Bcl2A1-R-V	-0.119065148
BRD4-R-V	0.0482845279999999
c-Abl-R-V	-0.140406699
Caspase-3-R-C	0.664605348
CD26-R-V	-0.135165224
Chk1_pS296-R-V	-0.012757796
COG3-R-V	-0.034877028
DUSP4-R-V	-0.152691762
ERCC5-R-C	0.198067834
IGF1R_pY1135_Y1136-R-V	-0.050061328
IRF-1-R-C	-0.102398673
Jak2-R-V	0.350893633
p16_INK4a-R-V	-0.284283788
SHP-2_pY542-R-C	0.381847056
CDK1_pY15-R-C	0.187084222
