Sample REF	C86A293C-53BA-4937-AC97-FF272952998A
Composite Element REF	Protein Expression
14-3-3_beta-R-V	-0.032577629
14-3-3_epsilon-M-C	0.190981892
14-3-3_zeta-R-V	-0.350174713
4E-BP1-R-V	0.326477615
4E-BP1_pS65-R-V	-0.260031471
4E-BP1_pT37_T46-R-V	-0.707338402
4E-BP1_pT70-R-V	-0.094299687
53BP1-R-E	-0.020306375
A-Raf_pS299-R-C	-0.033994826
ACC_pS79-R-V	-0.237991222
ACC1-R-E	0.31985359
Acetyl-a-Tubulin-Lys40-R-C	-0.395648489
ACVRL1-R-C	0.156953083
ADAR1-M-V	0.264833418
Akt-R-V	0.019898485
Akt_pS473-R-V	-0.664187842
Akt_pT308-R-V	-0.318972574
alpha-Catenin-M-V	0.0619853489999999
AMPK_alpha-R-C	-0.392618891
AMPK_pT172-R-V	-0.781012931
Annexin-1-M-E	0.805477646
Annexin_VII-M-V	0.0982534999999999
AR-R-V	-0.0436459290000001
DIRAS3-M-E	0.014588354
ASNS-R-V	0.015533953
ATM-R-E	0.278338497
B-Raf-M-C	0.063276756
Bad_pS112-R-V	-0.392618891
Bak-R-C	0.0628319140000001
Bap1-c-4-M-E	0.229043686
Bax-R-V	-0.00791388000000015
Bcl-2-M-V	0.463659879
Bcl-xL-R-V	0.066770857
Beclin-G-C	0.132437272
beta-Catenin-R-V	-0.0485790999999999
Bid-R-C	-0.205128097
Bim-R-V	0.79757932
BRCA2-R-C	-0.153305066
c-Jun_pS73-R-V	-0.305305741
c-Kit-R-V	0.257834756
c-Met-M-E	0.117383162
c-Met_pY1235-R-V	0.0964042749999999
c-Myc-R-C	-0.124463822
C-Raf-R-V	-0.178456169
C-Raf_pS338-R-V	-0.072728796
Caspase-7_cleavedD198-R-C	-0.310337753
Caspase-8-M-E	-0.0994400859999999
Caveolin-1-R-V	-0.792940609
CD20-R-C	0.18959558
CD31-M-V	0.31236508
CD49b-M-V	0.164315126
CDK1-R-V	0.10989076
Chk1-M-C	-0.00495964200000032
Chk1_pS345-R-C	-0.255342543
Chk2-M-E	-0.0790673630000002
Chk2_pT68-R-C	0.012424437
cIAP-R-V	-0.049440703
Claudin-7-R-V	0.680202851
Collagen_VI-R-V	0.0109066509999999
Cyclin_B1-R-V	0.369728301
Cyclin_D1-R-V	-0.270763207
Cyclin_E1-M-V	0.234964119
Cyclin_E2-R-C	0.125328319
DJ-1-R-E	0.1509257
Dvl3-R-V	0.022022495
E-Cadherin-R-V	0.237564642
eEF2-R-C	-0.051510943
eEF2K-R-V	0.655316239
EGFR-R-V	0.023849514
EGFR_pY1068-R-C	-0.164875389
EGFR_pY1173-R-V	-0.032817746
eIF4E-R-V	-0.034664512
eIF4G-R-C	0.329888256
ER-alpha-R-V	-0.230763004
ER-alpha_pS118-R-V	0.060398812
ERCC1-M-V	0.183720664
ERK2-R-E	-0.00275794900000004
ETS-1-R-V	0.00782340299999995
FASN-R-V	0.551991372
Fibronectin-R-V	0.223210068
FoxM1-R-V	0.053765645
FOXO3a-R-C	0.24917141
FOXO3a_pS318_S321-R-C	-0.239640434
G6PD-M-V	0.544319067
GAB2-R-V	0.356076995
GAPDH-M-C	-0.058300349
GATA3-M-V	0.224402067
GSK3-alpha-beta-M-V	0.0493585049999999
GSK3-alpha-beta_pS21_S9-R-V	-0.925212684
GSK3_pS9-R-V	-1.179547975
HER2-M-V	0.00587325
HER2_pY1248-R-C	-0.083275579
HER3-R-V	0.043517671
HER3_pY1289-R-C	-0.125818698
Heregulin-R-V	0.020461543
HSP70-R-C	0.201756449
IGFBP2-R-V	-0.602886526
INPP4B-R-V	0.0847920600000002
IRS1-R-V	-0.10758653
JNK_pT183_pY185-R-V	-0.109701151
JNK2-R-C	0.173545256
Ku80-R-C	-0.100312072
Lck-R-V	0.15660723
LKB1-M-E	-0.019997657
MAPK_pT202_Y204-R-V	-0.61244189
MEK1-R-V	0.119906607
MEK1_pS217_S221-R-V	-0.184027988
MIG-6-M-V	0.017475361
Mre11-R-C	0.051870112
MSH2-M-V	0.224039288
MSH6-R-C	0.000539738999999984
mTOR-R-V	-0.0216002030000001
mTOR_pS2448-R-C	-0.603656637
MYH11-R-V	0.787124425
Myosin-IIa_pS1943-R-V	0
N-Cadherin-R-V	-0.108729009
N-Ras-M-V	0.081469836
NDRG1_pT346-R-V	-0.796796166
NF-kB-p65_pS536-R-C	-0.481949866
NF2-R-C	0.0656979529999999
Notch1-R-V	-0.0674721370000001
P-Cadherin-R-C	-0.0464529079999999
p21-R-V	-1.800237141
p27-R-V	0.338645064
p27_pT157-R-C	-0.078696315
p27_pT198-R-V	0.055277818
p38_MAPK-R-V	-0.434836451
p38_pT180_Y182-R-V	-1.706501301
p53-R-E	0.103073355
p62-LCK-ligand-M-C	0.184081588
p70S6K-R-V	0.0868367269999999
p70S6K_pT389-R-V	-0.204555042
p90RSK-R-C	-0.430289181
p90RSK_pT359_S363-R-C	-0.396576477
PAI-1-M-E	-0.823419095
PARP_cleaved-M-E	0.152039342
Paxillin-R-C	-0.257932467
PCNA-M-C	0.134927148
PDCD4-R-C	-0.782274283
PDK1-R-V	-0.051910928
PDK1_pS241-R-V	-0.044878881
PEA15-R-V	0.0801569329999999
PEA15_pS116-R-V	-0.00443710799999997
PI3K-p110-alpha-R-C	0.165544799
PI3K-p85-R-V	0.275430082
PKC-alpha-M-V	0.049201202
PKC-alpha_pS657-R-C	-0.0888823710000001
PKC-delta_pS664-R-V	-0.0352312730000001
PKC-pan_BetaII_pS660-R-V	-0.601015461
PR-R-V	0.012709609
PRAS40_pT246-R-V	-0.34192138
PRDX1-R-V	0.187730173
PREX1-R-E	0.044720706
PTEN-R-V	-0.157330284
Rab11-R-E	-0.051887378
Rab25-R-V	0.485984242
Rad50-M-V	-0.00989141299999996
Rad51-R-V	-0.00495817800000009
Raptor-R-V	0.132887532
Rb-M-E	0.00916993199999983
Rb_pS807_S811-R-V	-0.378342792
RBM15-R-V	-0.283630726
Rictor-R-C	-0.022911821
Rictor_pT1135-R-V	-0.08892956
S6-R-E	0.221026966
S6_pS235_S236-R-V	-0.248496349
S6_pS240_S244-R-V	-0.233545582
SCD-M-V	0.105549433
SETD2-R-E	0.0432805770000001
SF2-M-V	0.316110779
Shc_pY317-R-E	-0.121438632
Smac-M-E	0.249312395
Smad1-R-V	0.040137655
Smad3-R-V	-0.115123302
Smad4-M-V	0.106018392
Snail-M-E	0.215233524
Src-M-V	0.00618331899999996
Src_pY416-R-C	-0.377504418
Src_pY527-R-V	-1.580768141
STAT3_pY705-R-V	-0.608451838
STAT5-alpha-R-V	-0.076194486
Stathmin-R-V	-0.032875358
Syk-M-V	0.216264014
TAZ-R-V	0.0247074429999999
TIGAR-R-V	0.017027216
Transglutaminase-M-V	-0.196587356
TFRC-R-V	0.317349524
TSC1-R-C	-0.12792095
TTF1-R-V	0.0289362990000001
Tuberin-R-E	-0.220109366
Tuberin_pT1462-R-V	-0.156464558
VEGFR2-R-V	-0.392618891
EPPK1-M-E	0.661599851
XBP1-G-C	0.377897268
XRCC1-R-E	0.013816897
YAP-R-E	0.231917559
YAP_pS127-R-E	0.065897772
YB-1-R-V	-0.078054249
YB-1_pS102-R-V	-0.28622666
JAB1-M-C	0.262114097
PARP1-R-V	0.403839227
A-Raf-R-V	0.232502646
ARID1A-R-C	0.346221767
