Sample REF	C9EB2866-AF28-4560-95FB-CF546AEDDD83
Composite Element REF	Protein Expression
14-3-3_beta-R-V	-0.260754296
14-3-3_epsilon-M-C	-0.331246859
14-3-3_zeta-R-V	-0.162688343
4E-BP1-R-V	0.263566378
4E-BP1_pS65-R-V	0.376723235
4E-BP1_pT37_T46-R-V	0.918532796
4E-BP1_pT70-R-V	0.166679579
53BP1-R-E	0.0491405249999999
A-Raf_pS299-R-C	-0.241790079
ACC_pS79-R-V	0.412556466
ACC1-R-E	0.755362284
Acetyl-a-Tubulin-Lys40-R-C	-0.151521511
ACVRL1-R-C	-0.26017106
ADAR1-M-V	0.0857762689999999
Akt-R-V	-0.138444487
Akt_pS473-R-V	-0.385935784
Akt_pT308-R-V	-0.356747749
alpha-Catenin-M-V	0.0865929849999998
AMPK_alpha-R-C	-0.401462835
AMPK_pT172-R-V	-1.257779872
Annexin-1-M-E	0.154300227
Annexin_VII-M-V	-0.416919584
AR-R-V	-0.0263510830000001
DIRAS3-M-E	-0.0812650290000001
ASNS-R-V	-1.150157095
ATM-R-E	-0.238723989
B-Raf-M-C	-0.146979456
Bad_pS112-R-V	0.644778084
Bak-R-C	0.19435661
Bap1-c-4-M-E	0.0189229469999999
Bax-R-V	-0.282887693
Bcl-2-M-V	-0.612835177
Bcl-xL-R-V	-0.135488669
Beclin-G-C	-0.29889008
beta-Catenin-R-V	0.605814298
Bid-R-C	-0.0725646590000001
Bim-R-V	-0.139852674
BRCA2-R-C	-0.127435665
c-Jun_pS73-R-V	0.640389447
c-Kit-R-V	-0.303357369
c-Met-M-E	-0.0674628230000003
c-Met_pY1235-R-V	-0.0429717880000001
c-Myc-R-C	-0.234411127
C-Raf-R-V	-0.116112134
C-Raf_pS338-R-V	-0.134151885
Caspase-7_cleavedD198-R-C	1.282310123
Caspase-8-M-E	0
Caveolin-1-R-V	1.393974711
CD20-R-C	-0.0538070070000001
CD31-M-V	-0.26325415
CD49b-M-V	-0.439247994
CDK1-R-V	-0.218936737
Chk1-M-C	0.422466836
Chk1_pS345-R-C	0.345260207
Chk2-M-E	0.0653281329999997
Chk2_pT68-R-C	-0.115730488
cIAP-R-V	0.0344642919999999
Claudin-7-R-V	-0.161783949
Collagen_VI-R-V	-0.344547822
Cyclin_B1-R-V	0.491719663
Cyclin_D1-R-V	-0.044250576
Cyclin_E1-M-V	-0.236822911
Cyclin_E2-R-C	0.0155237819999999
DJ-1-R-E	0.0446298839999999
Dvl3-R-V	0.509305704
E-Cadherin-R-V	0.431362184
eEF2-R-C	-0.0076935130000001
eEF2K-R-V	0.95403808
EGFR-R-V	1.209636226
EGFR_pY1068-R-C	0.415479936
EGFR_pY1173-R-V	-0.0201069600000001
eIF4E-R-V	-0.0853908350000001
eIF4G-R-C	0.44313255
ER-alpha-R-V	-0.265885903
ER-alpha_pS118-R-V	-0.00519659900000002
ERCC1-M-V	0.155494681
ERK2-R-E	0.0885657129999999
ETS-1-R-V	-0.0207094470000001
FASN-R-V	0.605187591
Fibronectin-R-V	-0.0882065100000002
FoxM1-R-V	0.895367303
FOXO3a-R-C	-0.173468299
FOXO3a_pS318_S321-R-C	-0.0968272750000001
G6PD-M-V	0.883906806
GAB2-R-V	-0.238695282
GAPDH-M-C	0.030615149
GATA3-M-V	-0.263572258
GSK3-alpha-beta-M-V	0.0669649659999999
GSK3-alpha-beta_pS21_S9-R-V	0.124413101
GSK3_pS9-R-V	0.19838737
HER2-M-V	0.440259798
HER2_pY1248-R-C	0.164560445
HER3-R-V	0.065706727
HER3_pY1289-R-C	0.0147549359999999
Heregulin-R-V	-0.0413767530000001
HSP70-R-C	-0.265255424
IGFBP2-R-V	0.0948738329999999
INPP4B-R-V	-0.140002516
IRS1-R-V	0.0819221859999999
JNK_pT183_pY185-R-V	-0.266031424
JNK2-R-C	-0.465394319
Ku80-R-C	-0.155355537
Lck-R-V	-0.667481053
LKB1-M-E	-0.341016276
MAPK_pT202_Y204-R-V	-0.365634254
MEK1-R-V	0.208236903
MEK1_pS217_S221-R-V	0.057431426
MIG-6-M-V	-0.0144903860000001
Mre11-R-C	-0.111900701
MSH2-M-V	0.224379487
MSH6-R-C	0.464146656
mTOR-R-V	0.368130304
mTOR_pS2448-R-C	0.124052913
MYH11-R-V	0.236623549
Myosin-IIa_pS1943-R-V	0.0667138549999999
N-Cadherin-R-V	-0.141009863
N-Ras-M-V	-0.0940143280000001
NDRG1_pT346-R-V	1.96634753
NF-kB-p65_pS536-R-C	0.398042189
NF2-R-C	0.145000742
Notch1-R-V	0.895204994
P-Cadherin-R-C	0.23752753
p21-R-V	0.404425564
p27-R-V	-0.409566689
p27_pT157-R-C	-0.0625754460000001
p27_pT198-R-V	-0.162164749
p38_MAPK-R-V	0.110831312
p38_pT180_Y182-R-V	0.725204591
p53-R-E	-0.0438148409999999
p62-LCK-ligand-M-C	-0.459515945
p70S6K-R-V	0.094066698
p70S6K_pT389-R-V	-0.143283228
p90RSK-R-C	0.240834615
p90RSK_pT359_S363-R-C	0.650390958
PAI-1-M-E	2.323499378
PARP_cleaved-M-E	-0.299278636
Paxillin-R-C	0.506844209
PCNA-M-C	-0.0381124810000001
PDCD4-R-C	0.97564542
PDK1-R-V	-0.0877301670000001
PDK1_pS241-R-V	-0.106190404
PEA15-R-V	0.208800686
PEA15_pS116-R-V	0.175647402
PI3K-p110-alpha-R-C	0.108770708
PI3K-p85-R-V	-0.310258883
PKC-alpha-M-V	0.0261854549999999
PKC-alpha_pS657-R-C	0.0439622729999999
PKC-delta_pS664-R-V	-0.146030098
PKC-pan_BetaII_pS660-R-V	0.425840367
PR-R-V	-0.17181964
PRAS40_pT246-R-V	0.224717005
